Layer[0],IN[1],INFER[1-8],OUT[8],TEE[1-8],Layer[9],Layer[10],classifier
0.395883,0.177797,0.605522,0.065314,0.852441,0.001248,0.000384,1.254213
0.395627,0.153444,0.603858,0.063362,0.824408,0.001280,0.000384,1.225316
0.395916,0.146212,0.603506,0.064194,0.817752,0.001440,0.000448,1.220036
0.398348,0.245255,0.622067,0.079010,0.952028,0.002528,0.000832,1.361288
0.400556,0.198758,0.618322,0.071490,0.892922,0.002976,0.000576,1.304838
0.397259,0.161189,0.625971,0.075138,0.866298,0.001984,0.000640,1.272677
0.397324,0.163653,0.608658,0.066978,0.843321,0.001600,0.000416,1.248485
0.397419,0.152453,0.607154,0.064578,0.828089,0.001248,0.000608,1.232292
0.414956,0.162053,0.605522,0.067010,0.838585,0.001472,0.000672,1.260901
0.396908,0.157925,0.607154,0.066114,0.835161,0.001536,0.000672,1.239429
0.395884,0.160772,0.606866,0.097827,0.869273,0.001504,0.000384,1.271494
0.396652,0.181670,0.603313,0.064450,0.853593,0.001504,0.000480,1.256453
0.395916,0.154725,0.606418,0.067906,0.833369,0.001440,0.000416,1.234917
0.397227,0.155845,0.623219,0.077538,0.860282,0.001664,0.000384,1.264677
0.396140,0.146468,0.608306,0.066529,0.825497,0.001664,0.000384,1.228805
0.396715,0.159077,0.622611,0.066466,0.852314,0.001408,0.000384,1.256197
0.414796,0.157701,0.615090,0.066402,0.843193,0.001408,0.000416,1.264453
0.395852,0.156325,0.605874,0.065953,0.831993,0.001248,0.000576,1.234277
0.396012,0.184806,0.605586,0.088386,0.883066,0.001536,0.000416,1.286086
0.395404,0.147397,0.605201,0.065633,0.822744,0.001344,0.000384,1.224613
0.395563,0.161445,0.605618,0.073826,0.845113,0.001408,0.000416,1.247300
0.395499,0.144964,0.638163,0.102883,0.890266,0.001696,0.000640,1.292838
0.396716,0.159941,0.606738,0.065890,0.836441,0.001568,0.000608,1.240485
0.395788,0.157605,0.604274,0.065282,0.831193,0.001344,0.000384,1.233189
0.410124,0.157349,0.615666,0.066274,0.843481,0.001536,0.000641,1.261542
0.396812,0.161765,0.608434,0.067394,0.841529,0.001472,0.000352,1.245445
0.396203,0.160677,0.622739,0.101443,0.889147,0.001600,0.000416,1.292390
0.396076,0.182533,0.603922,0.066754,0.857049,0.001472,0.000416,1.260037
0.398060,0.147908,0.604786,0.065858,0.822328,0.001472,0.000416,1.226948
0.396683,0.160581,0.621779,0.069506,0.856122,0.001440,0.000416,1.259781
0.395659,0.159013,0.604754,0.064066,0.831833,0.001344,0.000640,1.233796
0.396812,0.155876,0.603474,0.064418,0.827992,0.001472,0.000640,1.231492
0.413356,0.184581,0.618194,0.065154,0.871994,0.001248,0.000416,1.291014
0.396076,0.160965,0.617682,0.065186,0.847641,0.001408,0.000384,1.250213
0.396492,0.149668,0.602674,0.081378,0.837880,0.001473,0.000384,1.241541
0.396012,0.160357,0.604914,0.065698,0.834745,0.001504,0.000608,1.238213
0.399883,0.160901,0.618195,0.065378,0.848762,0.001632,0.000416,1.255973
0.396012,0.147716,0.620659,0.067970,0.840857,0.001600,0.000416,1.244261
0.395916,0.145668,0.600978,0.064066,0.814488,0.001536,0.000672,1.217252
0.396556,0.145956,0.601746,0.065762,0.817496,0.001376,0.000416,1.220868
0.414540,0.183878,0.612882,0.070530,0.871482,0.001472,0.000672,1.292774
0.396684,0.147205,0.604337,0.065250,0.820824,0.001537,0.000672,1.224581
0.396171,0.157668,0.605362,0.066626,0.833208,0.001568,0.000416,1.235748
0.395915,0.162245,0.604338,0.063970,0.834585,0.001504,0.000608,1.237316
0.396076,0.159205,0.606386,0.067330,0.836825,0.001536,0.000416,1.239909
0.395788,0.159397,0.621522,0.077698,0.863065,0.001536,0.000640,1.268166
0.396268,0.188934,0.606258,0.066274,0.865274,0.001312,0.000384,1.267686
0.396204,0.158180,0.620979,0.064034,0.847289,0.001536,0.000352,1.250565
0.413388,0.158853,0.616626,0.065026,0.844441,0.001536,0.000448,1.265029
0.398444,0.147172,0.603378,0.065186,0.820024,0.001472,0.000576,1.225060
0.397387,0.152805,0.604722,0.066018,0.827193,0.001312,0.000384,1.230980
0.395467,0.165093,0.604018,0.066946,0.839865,0.001440,0.000416,1.242084
0.396588,0.183462,0.605970,0.071906,0.865338,0.001312,0.000416,1.268518
0.396972,0.154213,0.621554,0.088611,0.868858,0.001600,0.000416,1.272998
0.396043,0.158244,0.603922,0.068162,0.834456,0.001472,0.000416,1.237796
0.395947,0.149317,0.606418,0.066018,0.825625,0.001632,0.000736,1.229252
0.416076,0.159045,0.615410,0.066850,0.845145,0.001472,0.000480,1.267813
0.396652,0.151013,0.603954,0.066018,0.825433,0.001408,0.000416,1.229317
0.396524,0.148997,0.603698,0.067426,0.824057,0.001408,0.000384,1.226693
0.405132,0.219174,0.617906,0.067202,0.908890,0.003297,0.000640,1.326824
0.397772,0.166565,0.618994,0.063714,0.853241,0.002048,0.000384,1.258245
0.396588,0.154468,0.622771,0.070082,0.851065,0.001472,0.000640,1.254597
0.397419,0.160932,0.603730,0.063554,0.833784,0.001472,0.000576,1.237220
0.396331,0.152804,0.615890,0.065250,0.838232,0.001408,0.000544,1.240580
0.412652,0.151652,0.607538,0.063362,0.826744,0.001440,0.000416,1.246500
0.397324,0.134692,0.618258,0.063329,0.820056,0.001248,0.000320,1.223013
0.402860,0.144740,0.614547,0.065794,0.828985,0.001408,0.000448,1.238181
0.395884,0.169637,0.618995,0.061953,0.854617,0.001344,0.000385,1.257094
0.395308,0.131140,0.602930,0.061602,0.799928,0.001280,0.000288,1.201284
0.396491,0.136324,0.632755,0.078051,0.851098,0.001440,0.000288,1.253893
0.397452,0.142852,0.616467,0.061729,0.825368,0.001248,0.000256,1.228389
0.395948,0.143908,0.611698,0.063266,0.824376,0.001280,0.000288,1.226052
0.396107,0.152260,0.630323,0.062978,0.851481,0.001184,0.000320,1.253573
0.396044,0.135876,0.614002,0.063458,0.816760,0.001152,0.000576,1.218756
0.396748,0.147716,0.611410,0.062146,0.826904,0.001376,0.000352,1.230212
0.409548,0.137700,0.616882,0.060770,0.819704,0.001344,0.000576,1.235684
0.395628,0.142468,0.616850,0.061058,0.825753,0.001184,0.000352,1.226597
0.395596,0.143652,0.603122,0.059618,0.811448,0.001312,0.000352,1.228708
