Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-9],Layer[10],classifier
0.416593,0.017440,0.202184,0.004864,0.048258,0.000576,0.013441,0.180839,0.000736,0.892483
0.420176,0.017249,0.237065,0.005025,0.048961,0.000608,0.013824,0.179559,0.000608,0.931172
0.416145,0.017441,0.202279,0.004769,0.049090,0.000608,0.013696,0.182919,0.000608,0.895011
0.417393,0.017760,0.201928,0.004801,0.049602,0.000576,0.013984,0.183911,0.000672,0.898339
0.415985,0.017376,0.203240,0.004769,0.048449,0.000608,0.013505,0.184295,0.000768,0.895939
0.415600,0.017505,0.202248,0.004896,0.049058,0.000576,0.013633,0.189287,0.000608,0.900675
0.415792,0.017505,0.201896,0.004800,0.048322,0.000576,0.013536,0.182408,0.000800,0.892643
0.415920,0.017345,0.201896,0.004768,0.048194,0.000576,0.013537,0.182951,0.000704,0.892739
0.421264,0.017313,0.220201,0.005056,0.047426,0.000576,0.013376,0.197800,0.000704,0.931204
0.415984,0.017441,0.201768,0.004832,0.047394,0.000576,0.013504,0.181255,0.000608,0.890755
0.415600,0.017313,0.201864,0.004896,0.046914,0.000576,0.013345,0.173446,0.000640,0.882050
0.416624,0.017472,0.202216,0.004832,0.046882,0.000608,0.013377,0.177799,0.000672,0.887235
0.416368,0.017409,0.202568,0.004928,0.048098,0.000576,0.013536,0.217801,0.000608,0.929220
0.420305,0.017504,0.202471,0.004833,0.047009,0.000608,0.013376,0.187079,0.000640,0.900644
0.416848,0.017761,0.203080,0.004864,0.047170,0.000576,0.013440,0.187624,0.000640,0.897955
0.415856,0.017345,0.217577,0.004960,0.047010,0.000544,0.013344,0.180999,0.000673,0.905156
0.415633,0.017152,0.202120,0.004800,0.046946,0.000576,0.013345,0.175719,0.000576,0.882979
0.416752,0.017281,0.202312,0.004832,0.046946,0.000576,0.013344,0.221257,0.000704,0.930788
0.414449,0.017376,0.202504,0.004800,0.046882,0.000576,0.013345,0.179687,0.000608,0.887107
0.415409,0.020833,0.202472,0.004896,0.047010,0.000576,0.013312,0.174727,0.000640,0.886915
0.417136,0.017313,0.202216,0.004896,0.046978,0.000576,0.013377,0.187943,0.000704,0.899171
0.415729,0.017665,0.202248,0.004864,0.048866,0.000576,0.013408,0.180007,0.000544,0.891811
0.415344,0.017376,0.222217,0.005024,0.048194,0.000576,0.013729,0.182919,0.000640,0.912996
0.415089,0.017472,0.202408,0.004801,0.047073,0.000448,0.013345,0.172199,0.000576,0.879843
