Layer[0],Layer[1],Layer[2],IN[3],INFER[3-4],OUT[4],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395468,0.017633,0.191717,0.141509,0.088162,0.062530,0.295593,0.001120,0.014977,0.000384,0.001664,0.001344,0.000320,0.929884
0.394379,0.017728,0.191974,0.136676,0.085218,0.063170,0.288072,0.000864,0.034721,0.000672,0.001600,0.000960,0.000352,0.938908
0.394892,0.017440,0.192102,0.121604,0.086274,0.064898,0.275784,0.001056,0.014657,0.000384,0.001504,0.000992,0.000256,0.906203
0.400268,0.017473,0.192005,0.140869,0.086146,0.065250,0.295433,0.000672,0.014113,0.000384,0.001536,0.000928,0.000256,0.930492
0.394924,0.017600,0.191238,0.135652,0.086787,0.061474,0.286857,0.000704,0.014080,0.000384,0.001504,0.000896,0.000288,0.915515
0.415564,0.017601,0.192325,0.135044,0.101251,0.070850,0.310153,0.000992,0.014561,0.000384,0.001472,0.000928,0.000256,0.961404
0.400044,0.017345,0.191781,0.137444,0.085762,0.061762,0.288041,0.000672,0.014016,0.000352,0.001472,0.000896,0.000288,0.922300
0.399212,0.017632,0.192006,0.122564,0.096547,0.068002,0.290313,0.000672,0.014240,0.000416,0.001504,0.000928,0.000608,0.925115
0.400940,0.017632,0.193510,0.150629,0.102467,0.064834,0.322922,0.000768,0.014560,0.000448,0.001504,0.001568,0.000672,0.962428
0.396267,0.018016,0.192582,0.154276,0.088483,0.062306,0.308585,0.000960,0.015393,0.000352,0.001760,0.002112,0.000576,0.947420
0.399628,0.017505,0.192165,0.132548,0.086275,0.061506,0.283561,0.000640,0.014720,0.000384,0.001536,0.000864,0.000352,0.918363
0.394572,0.017344,0.191750,0.134980,0.087586,0.067074,0.292777,0.000800,0.014496,0.000384,0.001440,0.000992,0.000352,0.922235
0.399692,0.017376,0.191590,0.123844,0.085602,0.062018,0.274632,0.000704,0.014113,0.000416,0.001440,0.000896,0.000320,0.907067
0.394380,0.017185,0.191589,0.134148,0.085987,0.061890,0.285417,0.000672,0.015104,0.000352,0.001472,0.000960,0.000352,0.914779
0.395052,0.017505,0.191397,0.116356,0.085666,0.063074,0.268264,0.000768,0.014369,0.000384,0.001472,0.000960,0.000352,0.897403
0.394188,0.017248,0.210375,0.138980,0.092386,0.065506,0.299944,0.000736,0.014721,0.000416,0.001472,0.000960,0.000352,0.948092
0.395052,0.017377,0.191621,0.124580,0.085731,0.068898,0.282153,0.000768,0.014112,0.000352,0.001408,0.000896,0.000384,0.911579
0.398988,0.017473,0.191526,0.125411,0.085155,0.061922,0.275560,0.000736,0.014592,0.000384,0.001440,0.000928,0.000384,0.909147
0.397996,0.017568,0.191974,0.137956,0.090275,0.070978,0.302473,0.000736,0.014976,0.000384,0.001568,0.001344,0.000576,0.937404
0.396108,0.017601,0.192101,0.133316,0.087235,0.061474,0.285673,0.000768,0.015104,0.000384,0.001536,0.001152,0.000640,0.919100
0.395435,0.017569,0.191590,0.140580,0.092067,0.064162,0.300201,0.000704,0.014688,0.000352,0.001472,0.001216,0.000608,0.932059
0.394476,0.017696,0.191718,0.131972,0.089699,0.063138,0.288233,0.000704,0.014368,0.000384,0.001536,0.000960,0.000384,0.917627
0.410700,0.017441,0.191973,0.137668,0.095299,0.063714,0.299945,0.000704,0.014113,0.000384,0.001440,0.001024,0.000448,0.945532
0.394572,0.017537,0.191877,0.136484,0.086499,0.062978,0.288969,0.000704,0.014144,0.000384,0.001472,0.001056,0.000320,0.918491
0.395532,0.017473,0.191653,0.135012,0.086435,0.068674,0.293129,0.001024,0.014400,0.000385,0.001504,0.000928,0.000608,0.924284
0.400044,0.017569,0.191557,0.145349,0.104931,0.061954,0.315466,0.001152,0.014304,0.000352,0.001472,0.001024,0.000384,0.950812
0.400364,0.017537,0.191813,0.135556,0.087459,0.063298,0.289673,0.000704,0.015264,0.000352,0.001536,0.001025,0.000608,0.926460
0.399724,0.017537,0.192165,0.131428,0.083075,0.061121,0.279400,0.000768,0.015840,0.000384,0.001504,0.001056,0.000608,0.916347
0.400140,0.017664,0.192198,0.136484,0.089603,0.064642,0.294345,0.000736,0.014752,0.000384,0.001504,0.001184,0.000352,0.930971
0.396076,0.017760,0.192166,0.146852,0.087555,0.065154,0.303401,0.000768,0.014432,0.000576,0.001600,0.001185,0.000384,0.936764
0.394956,0.017281,0.192229,0.134852,0.086563,0.062434,0.286857,0.000800,0.014464,0.000352,0.001472,0.001184,0.000352,0.917467
0.395052,0.017632,0.191558,0.123844,0.087426,0.060450,0.274696,0.000704,0.014273,0.000416,0.001504,0.000896,0.000320,0.904219
0.395404,0.017537,0.212742,0.138948,0.095043,0.063458,0.300425,0.000672,0.013984,0.000416,0.001504,0.000960,0.000320,0.951165
0.395788,0.017505,0.191749,0.136164,0.085891,0.065186,0.290185,0.001056,0.014592,0.000416,0.001472,0.000960,0.000352,0.921660
0.399180,0.017345,0.191397,0.134116,0.084355,0.066594,0.288297,0.000672,0.014912,0.000384,0.001568,0.000992,0.000352,0.923387
0.395564,0.017504,0.191846,0.122244,0.084258,0.065474,0.274984,0.000704,0.014913,0.000352,0.001472,0.000896,0.000544,0.923995
0.394987,0.017569,0.192230,0.138500,0.086114,0.062690,0.290216,0.000704,0.015009,0.000384,0.001472,0.000928,0.000320,0.920795
0.394668,0.017345,0.191941,0.138244,0.083362,0.061634,0.286185,0.000768,0.014336,0.000352,0.001504,0.000960,0.000576,0.915867
0.395084,0.017665,0.192741,0.141061,0.090402,0.064642,0.299721,0.000736,0.014593,0.000352,0.001568,0.001120,0.000576,0.932764
0.411436,0.017697,0.191878,0.134884,0.090242,0.065186,0.293768,0.000704,0.014401,0.000352,0.001536,0.001088,0.000576,0.941084
0.399147,0.017569,0.192038,0.137316,0.085794,0.063394,0.289704,0.000768,0.014657,0.000384,0.001536,0.001056,0.000640,0.925051
0.395276,0.017665,0.191941,0.123076,0.087811,0.063233,0.276840,0.000672,0.014785,0.000384,0.001472,0.001024,0.000416,0.907867
0.394699,0.017408,0.191686,0.149924,0.099811,0.064194,0.317225,0.000736,0.014177,0.000320,0.001536,0.000992,0.000384,0.946524
0.399404,0.017665,0.191909,0.136388,0.087939,0.062434,0.289865,0.000640,0.014848,0.000416,0.001536,0.001056,0.000352,0.925052
0.394348,0.017600,0.191814,0.133028,0.085571,0.061890,0.283753,0.000704,0.014176,0.000352,0.001472,0.001024,0.000352,0.912603
0.394539,0.017697,0.192166,0.140452,0.085218,0.064706,0.293416,0.000640,0.014305,0.000384,0.001504,0.000896,0.000384,0.923067
0.399788,0.017760,0.191846,0.136260,0.095267,0.064642,0.299369,0.000672,0.015104,0.000352,0.001505,0.000896,0.000352,0.934716
0.400300,0.017281,0.192005,0.128676,0.089635,0.067522,0.289673,0.000736,0.014176,0.000384,0.001504,0.000864,0.000320,0.925083
0.400780,0.017760,0.194086,0.143844,0.094851,0.067330,0.309481,0.001184,0.015041,0.000384,0.001600,0.001248,0.000352,0.951068
0.412492,0.018177,0.192997,0.139333,0.105987,0.065346,0.313898,0.000768,0.014112,0.000576,0.001568,0.001056,0.000384,0.963356
0.400236,0.017568,0.192966,0.137572,0.087747,0.071298,0.299945,0.000704,0.014464,0.000384,0.001537,0.000992,0.000352,0.936540
0.394475,0.017377,0.192134,0.141604,0.084834,0.062306,0.292040,0.000704,0.014913,0.000384,0.001568,0.000960,0.000352,0.922235
0.394732,0.017377,0.192165,0.128580,0.085059,0.092450,0.309385,0.000736,0.014592,0.000416,0.001536,0.000992,0.000384,0.940156
0.395276,0.017633,0.192293,0.126852,0.083555,0.062818,0.276297,0.000672,0.014240,0.000384,0.001504,0.000928,0.000352,0.906907
0.400108,0.017408,0.192198,0.166597,0.085730,0.064161,0.319881,0.000992,0.014561,0.000416,0.001568,0.001152,0.000608,0.956668
0.415340,0.017569,0.192294,0.140644,0.101219,0.063874,0.309193,0.000736,0.014816,0.000448,0.001600,0.001184,0.000576,0.961788
0.406604,0.017568,0.192454,0.136196,0.102435,0.067810,0.311209,0.001088,0.014657,0.000384,0.001568,0.001024,0.000416,0.953884
0.399308,0.017345,0.192357,0.107971,0.086018,0.066850,0.263976,0.000608,0.014369,0.000416,0.001600,0.000960,0.000384,0.898171
0.399595,0.017729,0.192486,0.112419,0.087651,0.067202,0.270792,0.001088,0.014528,0.000416,0.001632,0.001120,0.000384,0.907834
0.397132,0.017761,0.191718,0.143812,0.091202,0.062305,0.300968,0.000768,0.014465,0.000384,0.001568,0.000896,0.000384,0.932796
0.394988,0.017760,0.192102,0.147652,0.101123,0.063138,0.315209,0.000800,0.014369,0.000352,0.001440,0.001056,0.000448,0.944636
0.394763,0.017601,0.191846,0.118371,0.098659,0.062274,0.282664,0.000736,0.014401,0.000352,0.001536,0.000960,0.000384,0.910811
0.400140,0.017441,0.192037,0.124612,0.086915,0.060801,0.275497,0.000800,0.014496,0.000384,0.001568,0.001088,0.000576,0.911643
0.394763,0.017440,0.191910,0.147588,0.086819,0.064514,0.302313,0.000768,0.014272,0.000320,0.001504,0.001120,0.000608,0.932379
0.394252,0.017537,0.192389,0.141669,0.087682,0.067170,0.299657,0.000768,0.014273,0.000384,0.001568,0.001248,0.000608,0.929468
0.395884,0.017441,0.192261,0.137476,0.085059,0.064098,0.289769,0.000768,0.014656,0.000384,0.001600,0.001088,0.000352,0.921564
0.419500,0.017825,0.193286,0.139716,0.100099,0.065346,0.308521,0.000768,0.014208,0.000416,0.001536,0.001088,0.000416,0.965372
0.396428,0.017537,0.192997,0.132452,0.088227,0.077442,0.301289,0.001184,0.014593,0.000384,0.001600,0.001248,0.000416,0.936284
0.395404,0.017601,0.192197,0.140357,0.097251,0.063713,0.305129,0.000704,0.014144,0.000384,0.001600,0.001440,0.000640,0.936860
0.394508,0.017569,0.192165,0.160101,0.087715,0.064994,0.316298,0.000736,0.014240,0.000352,0.001568,0.001184,0.000448,0.946556
0.394572,0.017824,0.191846,0.122948,0.085634,0.061090,0.272584,0.000736,0.014817,0.000352,0.001536,0.000960,0.000384,0.902875
0.395436,0.017760,0.191334,0.143204,0.088227,0.062882,0.297065,0.000736,0.014432,0.000352,0.001504,0.001024,0.000384,0.927355
0.395596,0.017633,0.192101,0.138532,0.087171,0.063298,0.292265,0.000640,0.014368,0.000352,0.001568,0.001056,0.000448,0.923644
0.395692,0.017504,0.192006,0.139012,0.086595,0.061314,0.289961,0.000896,0.014400,0.000352,0.001504,0.001088,0.000384,0.921819
