Layer[0],Layer[1],Layer[2],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420464,0.017633,0.202312,0.266603,0.015328,0.000384,0.001504,0.001056,0.000384,0.933252
0.420113,0.017792,0.202152,0.230793,0.014689,0.000544,0.001504,0.001088,0.000384,0.896483
0.416081,0.017569,0.201992,0.249385,0.014689,0.000480,0.001440,0.000992,0.000352,0.911364
0.415792,0.017505,0.204040,0.233865,0.014721,0.000544,0.001440,0.001024,0.000384,0.896259
0.432433,0.017665,0.202504,0.251209,0.014272,0.000448,0.001504,0.001024,0.000288,0.930916
0.420816,0.017824,0.202024,0.237770,0.015072,0.000448,0.001504,0.001056,0.000320,0.904771
0.419792,0.017792,0.202568,0.250698,0.014337,0.000448,0.001472,0.000992,0.000352,0.916036
0.416208,0.017697,0.201832,0.263306,0.014209,0.000416,0.001472,0.001184,0.000352,0.925700
0.420720,0.017697,0.202312,0.250922,0.014657,0.000512,0.001440,0.001056,0.000384,0.917796
0.417360,0.017825,0.202056,0.248041,0.014401,0.000512,0.001504,0.001088,0.000384,0.910979
0.417552,0.017761,0.202152,0.235273,0.014209,0.000480,0.001472,0.001056,0.000352,0.898467
0.428657,0.017568,0.202088,0.244842,0.014657,0.000512,0.001536,0.001152,0.000416,0.919268
0.417168,0.017921,0.201864,0.251146,0.014432,0.000448,0.001536,0.000992,0.000352,0.913827
0.422032,0.017952,0.202024,0.247114,0.014433,0.000480,0.001472,0.001152,0.000352,0.914884
0.421712,0.017761,0.221353,0.247849,0.014880,0.000448,0.001504,0.001184,0.000384,0.936004
0.417809,0.017728,0.202056,0.239946,0.014464,0.000544,0.001504,0.001185,0.000352,0.902916
0.420657,0.017601,0.202152,0.237993,0.014177,0.000448,0.001504,0.001248,0.000384,0.903780
0.420656,0.017633,0.202280,0.241385,0.014432,0.000448,0.001472,0.001152,0.000352,0.908739
0.438418,0.017728,0.202184,0.254154,0.014401,0.000512,0.001536,0.001120,0.000384,0.938597
0.422384,0.017665,0.202408,0.249578,0.014432,0.000448,0.001536,0.001120,0.000416,0.918116
0.420689,0.017536,0.202472,0.244714,0.014401,0.000480,0.001536,0.000960,0.000352,0.910692
0.421232,0.017601,0.221833,0.241865,0.014369,0.000448,0.001568,0.001056,0.000384,0.928740
0.416112,0.017633,0.202376,0.234569,0.014401,0.000512,0.001408,0.001152,0.000384,0.896131
0.421649,0.018016,0.202120,0.243626,0.014433,0.000544,0.001440,0.000992,0.000384,0.911812
0.415824,0.017505,0.202024,0.250569,0.014656,0.000480,0.001536,0.001024,0.000352,0.911363
0.420945,0.017568,0.202760,0.246218,0.014369,0.000448,0.001536,0.001184,0.000384,0.913604
0.416784,0.017921,0.202824,0.244234,0.014560,0.000544,0.001504,0.001121,0.000416,0.907908
0.416304,0.017345,0.202728,0.252810,0.014752,0.000512,0.001568,0.001089,0.000352,0.916164
0.442386,0.017824,0.205353,0.237353,0.014753,0.000544,0.001376,0.001088,0.000352,0.929509
0.417328,0.017921,0.203176,0.235721,0.014401,0.000416,0.001536,0.001088,0.000320,0.900547
0.417360,0.017761,0.202696,0.240585,0.014401,0.000480,0.001504,0.001056,0.000320,0.904035
0.420657,0.018465,0.202215,0.251850,0.032482,0.000544,0.001568,0.001184,0.000384,0.937445
0.415920,0.017728,0.202056,0.247306,0.014336,0.000481,0.001536,0.001088,0.000352,0.908996
0.416049,0.017664,0.202183,0.246826,0.014305,0.000448,0.001536,0.001024,0.000416,0.908484
0.420112,0.017953,0.202344,0.252170,0.014624,0.000480,0.001504,0.000993,0.000416,0.918596
0.440562,0.017952,0.202312,0.253130,0.014433,0.000448,0.001536,0.001088,0.000352,0.939717
0.416240,0.017313,0.202376,0.240233,0.014593,0.000480,0.001536,0.000960,0.000384,0.902531
0.421040,0.017729,0.202152,0.244874,0.014432,0.000448,0.001600,0.001056,0.000384,0.911012
0.416368,0.017921,0.202120,0.261514,0.014625,0.000512,0.001440,0.001120,0.000352,0.923972
0.416145,0.017856,0.202600,0.245354,0.014529,0.000448,0.001568,0.001120,0.000384,0.908004
0.419025,0.017729,0.202184,0.245033,0.015457,0.000448,0.001408,0.001024,0.000384,0.909892
0.415984,0.017729,0.202248,0.244169,0.014400,0.000448,0.001440,0.000992,0.000352,0.904867
0.434545,0.017857,0.202504,0.241929,0.014944,0.000544,0.001504,0.001088,0.000416,0.923780
0.415985,0.017472,0.202344,0.252426,0.014561,0.000448,0.001472,0.001120,0.000384,0.913956
0.416272,0.017281,0.202312,0.251049,0.015936,0.000512,0.001504,0.001216,0.000384,0.913539
0.416593,0.017697,0.202248,0.265610,0.014401,0.000448,0.001536,0.001024,0.000384,0.927397
0.415824,0.017345,0.202280,0.253130,0.014560,0.000448,0.001472,0.000960,0.000416,0.914851
0.416688,0.017697,0.202152,0.243625,0.014881,0.000416,0.001408,0.000960,0.000352,0.907523
0.420144,0.017505,0.202696,0.242698,0.015968,0.000544,0.001440,0.000992,0.000352,0.909603
0.436849,0.017729,0.202024,0.242665,0.014977,0.000576,0.001504,0.001024,0.000320,0.925796
0.420432,0.017473,0.202312,0.240265,0.014401,0.000608,0.001504,0.001120,0.000416,0.906627
0.416144,0.017505,0.202792,0.237481,0.014593,0.000576,0.001472,0.001024,0.000384,0.899331
0.420145,0.017537,0.217608,0.246634,0.014624,0.000576,0.001409,0.001120,0.000384,0.928165
0.421200,0.017664,0.203048,0.253866,0.014401,0.000448,0.001504,0.001088,0.000416,0.921828
0.420176,0.017889,0.202088,0.252650,0.014497,0.000480,0.001440,0.001056,0.000384,0.918788
0.420368,0.017953,0.202664,0.254826,0.014433,0.000480,0.001504,0.001056,0.000384,0.921476
0.416081,0.017281,0.202343,0.260970,0.015008,0.000448,0.001569,0.001088,0.000352,0.923781
0.420753,0.017761,0.202087,0.260298,0.014464,0.000480,0.001632,0.001185,0.000352,0.927749
0.416272,0.017921,0.202184,0.254026,0.014432,0.000480,0.001600,0.001088,0.000353,0.916260
