Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396044,0.187014,0.546608,0.070946,0.810808,0.010689,0.048193,0.000992,0.013664,0.000417,0.001440,0.001024,0.000352,1.291207
0.400940,0.167845,0.549168,0.069666,0.791159,0.006369,0.047681,0.000576,0.013600,0.000384,0.001441,0.001152,0.000384,1.270694
0.394924,0.155396,0.532784,0.067586,0.760278,0.012033,0.047489,0.000832,0.013953,0.000384,0.001472,0.001024,0.000416,1.240165
0.395436,0.172645,0.534416,0.070434,0.781367,0.011457,0.047745,0.000800,0.013633,0.000384,0.001376,0.001056,0.000416,1.261894
0.395020,0.164453,0.548816,0.069730,0.787383,0.011745,0.049121,0.000800,0.013601,0.000352,0.001472,0.001056,0.000352,1.268358
0.394188,0.165061,0.549200,0.100931,0.819224,0.011424,0.048578,0.000768,0.013568,0.000416,0.001440,0.001024,0.000384,1.297830
0.394731,0.164645,0.530960,0.067138,0.766231,0.005248,0.047682,0.000800,0.013600,0.000416,0.001472,0.001088,0.000416,1.238628
0.394795,0.163365,0.530384,0.065890,0.763319,0.005248,0.047650,0.000608,0.013600,0.000352,0.001472,0.001280,0.000384,1.235332
0.413805,0.193541,0.540752,0.071426,0.810968,0.006656,0.047713,0.000640,0.013505,0.000384,0.001376,0.001024,0.000352,1.303527
0.400012,0.164101,0.531984,0.074946,0.774647,0.006368,0.047330,0.000608,0.013536,0.000416,0.001440,0.001088,0.000352,1.253925
0.399500,0.167941,0.532144,0.069474,0.773207,0.005280,0.047490,0.000768,0.013600,0.000384,0.001440,0.001024,0.000352,1.250373
0.394508,0.149668,0.527920,0.067330,0.748790,0.012161,0.047457,0.000608,0.013536,0.000352,0.001473,0.001024,0.000352,1.227269
0.399756,0.165413,0.529167,0.069602,0.768087,0.007104,0.047297,0.000768,0.013505,0.000384,0.001408,0.000992,0.000448,1.247109
0.394316,0.164965,0.548464,0.078274,0.796215,0.010689,0.047713,0.001056,0.013825,0.000416,0.001408,0.000992,0.000384,1.275078
0.394507,0.160005,0.528752,0.066594,0.760183,0.012224,0.049762,0.000768,0.013472,0.000384,0.001344,0.000928,0.000384,1.240836
0.394252,0.166085,0.531248,0.068546,0.771447,0.005760,0.048290,0.000608,0.013600,0.000352,0.001472,0.000992,0.000416,1.244261
0.416397,0.189413,0.545681,0.069314,0.810232,0.006208,0.048257,0.000832,0.013633,0.000416,0.001440,0.001120,0.000320,1.306727
0.395308,0.157733,0.530607,0.070018,0.763223,0.005280,0.047425,0.000640,0.013601,0.000448,0.001376,0.000928,0.000352,1.236165
0.394508,0.166949,0.528976,0.066178,0.765751,0.005184,0.047489,0.000864,0.013473,0.000384,0.001376,0.001056,0.000384,1.237509
0.394700,0.170981,0.530352,0.067106,0.772023,0.005248,0.047521,0.000608,0.013633,0.000416,0.001536,0.001024,0.000352,1.244581
0.399308,0.165829,0.531664,0.069250,0.770583,0.006944,0.047745,0.000608,0.013569,0.000416,0.001472,0.000992,0.000384,1.249669
0.400203,0.163781,0.557073,0.094403,0.819289,0.005760,0.047393,0.000640,0.013633,0.000448,0.001568,0.001184,0.000352,1.298022
0.396588,0.166213,0.529936,0.066786,0.766295,0.007360,0.047586,0.000832,0.013696,0.000416,0.001472,0.001216,0.000416,1.241765
0.395084,0.168293,0.530992,0.067650,0.770391,0.005696,0.048097,0.000800,0.013665,0.000448,0.001568,0.001088,0.000384,1.244613
0.416109,0.167333,0.541840,0.070338,0.782903,0.005408,0.048769,0.000768,0.013633,0.000352,0.001376,0.000960,0.000320,1.277574
0.394828,0.150340,0.529424,0.065442,0.749558,0.006336,0.048066,0.000640,0.013568,0.000384,0.001472,0.001024,0.000384,1.222724
0.399436,0.145285,0.529359,0.065058,0.743158,0.005184,0.047521,0.000608,0.013536,0.000384,0.001440,0.001088,0.000352,1.219333
0.399756,0.164325,0.529200,0.066786,0.763927,0.005344,0.047426,0.000608,0.013568,0.000352,0.001472,0.000992,0.000352,1.240869
0.399468,0.165541,0.529808,0.066594,0.765399,0.007520,0.047457,0.000992,0.013409,0.000448,0.001472,0.000992,0.000320,1.244709
0.395020,0.163365,0.552624,0.080835,0.801304,0.009728,0.048929,0.000832,0.014241,0.000384,0.001504,0.001088,0.000416,1.281574
0.394828,0.166725,0.531791,0.068802,0.771991,0.005792,0.048513,0.000832,0.013665,0.000384,0.001440,0.001056,0.000352,1.246725
0.395532,0.192198,0.532688,0.073506,0.801944,0.010880,0.049314,0.000800,0.013792,0.000384,0.001440,0.000960,0.000384,1.282054
0.409772,0.166405,0.543280,0.068354,0.782040,0.006368,0.048385,0.000864,0.013761,0.000416,0.001440,0.000992,0.000384,1.272262
0.400460,0.162821,0.528400,0.065442,0.760023,0.006464,0.047745,0.000832,0.013665,0.000352,0.001408,0.000992,0.000448,1.239173
0.399724,0.163109,0.541584,0.067586,0.775863,0.011680,0.047362,0.000864,0.013632,0.000416,0.001376,0.001024,0.000320,1.258821
0.394892,0.149669,0.540368,0.074658,0.769463,0.006272,0.047362,0.001088,0.013504,0.000384,0.001504,0.001056,0.000320,1.242181
0.399660,0.177637,0.531568,0.068674,0.781431,0.011520,0.047426,0.000800,0.013504,0.000384,0.001472,0.000928,0.000352,1.264613
0.395404,0.157860,0.558481,0.080834,0.802103,0.010560,0.047361,0.000800,0.013441,0.000416,0.001472,0.000960,0.000352,1.280390
0.399308,0.129380,0.530000,0.067234,0.730326,0.012160,0.047745,0.000832,0.013601,0.000416,0.001408,0.000960,0.000352,1.215204
0.394859,0.162853,0.527888,0.068386,0.762999,0.006976,0.047490,0.001024,0.013536,0.000416,0.001440,0.000960,0.000352,1.237477
0.416300,0.171269,0.542480,0.069890,0.787639,0.011137,0.047297,0.000832,0.013633,0.000416,0.001376,0.000960,0.000384,1.288486
0.402892,0.163684,0.544720,0.068706,0.780887,0.006496,0.047361,0.000992,0.013569,0.000384,0.001440,0.000992,0.000320,1.262661
0.394828,0.190117,0.529872,0.067010,0.790231,0.013985,0.047361,0.001024,0.013505,0.000384,0.001472,0.001088,0.000352,1.271558
0.394860,0.165797,0.536720,0.067714,0.774647,0.010624,0.048642,0.000768,0.013568,0.000384,0.001408,0.001024,0.000384,1.253541
0.399404,0.163973,0.530736,0.066978,0.765079,0.012480,0.048802,0.001024,0.013472,0.000384,0.001344,0.001088,0.000384,1.250373
0.399852,0.158373,0.545264,0.076642,0.783671,0.007521,0.048833,0.001120,0.013568,0.000384,0.001441,0.000960,0.000352,1.265222
0.399244,0.164197,0.543504,0.070274,0.782391,0.005249,0.047873,0.000864,0.013536,0.000416,0.001408,0.001025,0.000448,1.260134
