IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.177221,1.597232,0.073058,1.855319,0.000768,1.858839
0.133828,1.578927,0.065250,1.784821,0.000832,1.787477
0.154084,1.601103,0.082531,1.845527,0.000832,1.848887
0.151877,1.601103,0.076355,1.837559,0.000768,1.840791
0.155461,1.596655,0.079843,1.840375,0.000896,1.843607
0.151749,1.582383,0.076834,1.818230,0.000736,1.820758
0.148740,1.589519,0.072002,1.818134,0.000864,1.821398
0.153636,1.599887,0.070946,1.831286,0.000832,1.833750
0.151876,1.605648,0.083618,1.849558,0.000832,1.852630
0.151844,1.584079,0.069634,1.813781,0.000864,1.816885
0.150244,1.591888,0.080578,1.830294,0.000736,1.833206
0.149413,1.587919,0.075010,1.819350,0.000704,1.821526
0.131140,1.597455,0.079426,1.815958,0.000704,1.819030
0.119652,1.585935,0.070434,1.784117,0.000896,1.786805
0.156324,1.592815,0.104739,1.862167,0.000832,1.865687
0.153764,1.574799,0.069826,1.805077,0.000768,1.807733
0.153989,1.592399,0.079395,1.834327,0.000832,1.837847
0.153541,1.580591,0.070978,1.812438,0.000896,1.815286
0.170790,1.580271,0.079554,1.837975,0.000896,1.840695
0.152773,1.586095,0.071426,1.817430,0.000800,1.820182
0.152581,1.584559,0.069890,1.814582,0.000800,1.816982
0.152132,1.619312,0.087651,1.867351,0.000832,1.870423
0.152741,1.577167,0.078882,1.816022,0.000800,1.818646
0.155365,1.596559,0.083811,1.844279,0.000800,1.847255
0.152037,1.588143,0.070114,1.817302,0.000800,1.820054
0.152037,1.597839,0.088675,1.846103,0.000704,1.848599
0.151973,1.582351,0.070882,1.812630,0.000704,1.815062
0.153541,1.598607,0.080770,1.841015,0.000704,1.844279
0.153221,1.586063,0.070242,1.817558,0.000896,1.820374
0.154533,1.604591,0.077475,1.844983,0.000832,1.848599
0.154565,1.573711,0.073634,1.809238,0.000704,1.811766
0.154789,1.605711,0.082851,1.851959,0.000864,1.855063
0.156101,1.573679,0.078498,1.816246,0.000800,1.818902
0.155972,1.593456,0.087554,1.846006,0.000833,1.849399
0.156293,1.588975,0.073954,1.826486,0.000992,1.829430
0.153412,1.593391,0.079586,1.834806,0.000768,1.838071
0.152517,1.585007,0.070690,1.814806,0.000800,1.817366
0.155141,1.598160,0.082914,1.843863,0.000832,1.846743
0.152292,1.574671,0.075106,1.808821,0.000832,1.811573
0.168357,1.580879,0.069794,1.826518,0.000736,1.829174
0.152549,1.584623,0.069378,1.813494,0.000864,1.816086
0.156164,1.572014,0.072130,1.808085,0.000896,1.810709
0.141380,1.572271,0.069026,1.790997,0.000800,1.793557
0.140356,1.579567,0.072610,1.800693,0.000768,1.803446
0.154725,1.596399,0.082211,1.840855,0.000768,1.843415
0.155845,1.576943,0.070242,1.810230,0.000768,1.813302
0.180774,1.592047,0.094211,1.874776,0.000800,1.877880
0.139300,1.573070,0.068066,1.788150,0.000768,1.791254
0.152517,1.601327,0.080547,1.842423,0.000864,1.845495
0.155013,1.584527,0.070114,1.816886,0.000608,1.819318
0.154981,1.602032,0.084450,1.849815,0.000800,1.852951
0.155525,1.572783,0.072642,1.808246,0.000832,1.810998
0.125668,1.596943,0.072962,1.802646,0.000768,1.805782
0.227462,1.608751,0.124516,1.969946,0.000736,1.972986
