Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.400715,0.017601,0.192262,0.004832,0.048385,0.000672,0.013665,0.000352,0.001472,0.001248,0.108291,0.036417,0.000032,0.147172,0.835672
0.421325,0.017600,0.191686,0.005216,0.047809,0.000608,0.013697,0.000384,0.001504,0.001280,0.109891,0.041377,0.000064,0.153957,0.862362
0.400043,0.017664,0.192006,0.004832,0.047809,0.000576,0.013729,0.000384,0.001504,0.001184,0.111011,0.038433,0.000064,0.152356,0.840792
0.395819,0.017665,0.191750,0.004832,0.048545,0.000832,0.013537,0.000416,0.001472,0.001120,0.109603,0.033985,0.000064,0.146564,0.831192
0.395244,0.017792,0.191398,0.004960,0.048258,0.000800,0.013440,0.000320,0.001472,0.001248,0.110787,0.034177,0.000032,0.147749,0.830265
0.399916,0.017696,0.191590,0.005248,0.048545,0.000576,0.013504,0.000384,0.001472,0.001056,0.105123,0.034497,0.000064,0.142308,0.829080
0.395628,0.017505,0.192005,0.004832,0.048770,0.000608,0.013440,0.000384,0.001440,0.001184,0.112036,0.032897,0.000064,0.147589,0.830393
0.395756,0.017473,0.191813,0.005249,0.047585,0.000576,0.013440,0.000384,0.001536,0.001248,0.111651,0.031297,0.000032,0.145412,0.830009
0.395851,0.017537,0.191238,0.005248,0.047713,0.000576,0.013409,0.000352,0.001536,0.001216,0.129412,0.038177,0.000064,0.171557,0.853785
0.396204,0.017761,0.191589,0.004993,0.047649,0.000576,0.013473,0.000352,0.001504,0.001184,0.103235,0.029953,0.000032,0.135652,0.818873
0.397836,0.017664,0.192710,0.004896,0.047489,0.000576,0.013601,0.000352,0.001504,0.001248,0.112259,0.034721,0.000032,0.149796,0.835032
0.396651,0.017697,0.192166,0.004896,0.047073,0.000608,0.013473,0.000352,0.001504,0.001184,0.103299,0.029985,0.000032,0.135716,0.818232
0.401452,0.017633,0.213414,0.005312,0.047042,0.000640,0.013504,0.000352,0.001504,0.001216,0.106436,0.035233,0.000064,0.144357,0.855866
0.400651,0.017761,0.191750,0.004864,0.047105,0.000608,0.013569,0.000352,0.001472,0.001120,0.098755,0.032641,0.000064,0.133988,0.820440
0.401612,0.017568,0.191686,0.004896,0.047105,0.000576,0.013505,0.000352,0.001536,0.001184,0.106435,0.038689,0.000096,0.147780,0.834680
0.401420,0.017505,0.191781,0.004832,0.047042,0.000672,0.013504,0.000352,0.001472,0.001088,0.101507,0.035233,0.000032,0.139204,0.825368
0.410796,0.017569,0.191621,0.004897,0.047425,0.000576,0.013568,0.000384,0.001472,0.001248,0.116836,0.034657,0.000032,0.154213,0.851737
0.400460,0.017600,0.191558,0.005248,0.047426,0.000576,0.013440,0.000384,0.001440,0.001152,0.102083,0.033889,0.000064,0.138532,0.824696
0.400012,0.017696,0.191302,0.004832,0.047457,0.000576,0.013504,0.000352,0.001536,0.001184,0.106083,0.034561,0.000064,0.143076,0.828408
0.396428,0.017696,0.191302,0.004928,0.047330,0.000608,0.013472,0.000416,0.001472,0.001184,0.106851,0.038145,0.000032,0.147652,0.830073
0.396236,0.017473,0.191301,0.004864,0.047138,0.000576,0.013440,0.000384,0.001440,0.001184,0.108804,0.033889,0.000096,0.145381,0.826617
0.396172,0.017568,0.191558,0.005248,0.047201,0.000608,0.013537,0.000352,0.001536,0.001216,0.107171,0.035201,0.000096,0.145220,0.828024
0.399916,0.017601,0.191525,0.004864,0.047106,0.000576,0.013504,0.000384,0.001504,0.001120,0.109060,0.034593,0.000032,0.146181,0.832441
0.395595,0.017472,0.191366,0.004832,0.047137,0.000640,0.032641,0.000480,0.001728,0.001216,0.105924,0.033793,0.000032,0.141989,0.842681
