Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-4],OUT[4],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395659,0.017600,0.192006,0.005088,0.120132,0.081794,0.063906,0.268936,0.000960,0.014784,0.000640,0.001504,0.001152,0.000416,0.907291
0.396683,0.017665,0.191814,0.004960,0.117347,0.083555,0.082658,0.287240,0.000800,0.014721,0.000384,0.001472,0.001152,0.000352,0.925051
0.395371,0.017569,0.191782,0.005120,0.115651,0.082819,0.062690,0.264296,0.000736,0.014208,0.000384,0.001440,0.001056,0.000384,0.899738
0.398316,0.017377,0.191621,0.004928,0.117700,0.083010,0.062754,0.266472,0.000736,0.014241,0.000352,0.001472,0.001088,0.000416,0.904347
0.397804,0.017632,0.191686,0.004992,0.121124,0.087522,0.065986,0.277736,0.000768,0.014177,0.000608,0.001472,0.001120,0.000416,0.916123
0.419212,0.017505,0.192006,0.004928,0.125988,0.088322,0.065186,0.282824,0.000736,0.014401,0.000384,0.001536,0.001024,0.000448,0.943420
0.395820,0.017696,0.191846,0.005216,0.130468,0.085027,0.065474,0.284361,0.000768,0.015488,0.000480,0.001504,0.001280,0.000416,0.923195
0.395788,0.017376,0.191686,0.005088,0.118500,0.080994,0.067042,0.269672,0.000736,0.014561,0.000640,0.001504,0.001312,0.000384,0.906779
0.396140,0.017472,0.191878,0.004928,0.145380,0.108644,0.067202,0.324618,0.000800,0.014880,0.000672,0.001472,0.001184,0.000416,0.962844
0.397484,0.017441,0.192485,0.005025,0.118147,0.081890,0.062497,0.265575,0.000800,0.014657,0.000352,0.001504,0.001184,0.000384,0.904027
0.399276,0.017344,0.192294,0.005024,0.123140,0.084066,0.066434,0.277000,0.000768,0.015617,0.000640,0.001504,0.001184,0.000384,0.919707
0.395500,0.017376,0.192198,0.005088,0.119108,0.083362,0.064642,0.270280,0.000768,0.015169,0.000416,0.001536,0.001152,0.000352,0.907643
0.396683,0.017409,0.192230,0.005152,0.119235,0.083811,0.063874,0.270120,0.000736,0.014432,0.000384,0.001536,0.001408,0.000384,0.908187
0.397868,0.017377,0.191749,0.005025,0.116739,0.082754,0.064353,0.266983,0.000736,0.014369,0.000608,0.001440,0.001216,0.000384,0.905403
0.396972,0.017408,0.191622,0.005056,0.120164,0.089539,0.066274,0.279401,0.000736,0.014592,0.000608,0.001536,0.001248,0.000416,0.917147
0.395724,0.017505,0.208870,0.005184,0.122276,0.088642,0.064578,0.278440,0.000672,0.014209,0.000416,0.001472,0.001184,0.000352,0.931868
0.398028,0.017632,0.192006,0.004896,0.118980,0.083426,0.063906,0.269832,0.000640,0.014849,0.000416,0.001440,0.001184,0.000384,0.909915
0.397580,0.017536,0.191846,0.005120,0.122340,0.083042,0.063458,0.272200,0.000704,0.014241,0.000704,0.001472,0.001120,0.000320,0.910555
0.396971,0.017728,0.191622,0.005056,0.121508,0.081346,0.064610,0.270792,0.000736,0.014400,0.000384,0.001504,0.001152,0.000416,0.909051
0.397708,0.017536,0.191430,0.005248,0.115876,0.083874,0.063426,0.266504,0.000768,0.014977,0.000384,0.001472,0.001152,0.000384,0.905211
0.398795,0.017569,0.191718,0.005056,0.121635,0.083683,0.065346,0.274152,0.000800,0.014528,0.000608,0.001504,0.001152,0.000384,0.914075
0.396683,0.017441,0.191942,0.005088,0.121795,0.085379,0.068194,0.278664,0.000800,0.014240,0.000641,0.001536,0.001120,0.000384,0.917083
0.412684,0.017536,0.192134,0.005152,0.122180,0.089155,0.064770,0.279497,0.000704,0.014464,0.000416,0.001472,0.001216,0.000352,0.933627
0.396172,0.017536,0.191974,0.004960,0.119460,0.084354,0.064226,0.271400,0.000704,0.014209,0.000608,0.001536,0.001120,0.000416,0.907931
0.397356,0.017600,0.191750,0.005056,0.116740,0.084194,0.065986,0.270440,0.000704,0.014817,0.000448,0.001536,0.001120,0.000448,0.909019
0.395979,0.017409,0.191846,0.005152,0.121603,0.101571,0.104164,0.330730,0.000768,0.014368,0.000416,0.001568,0.001280,0.000384,0.968124
0.398188,0.017537,0.192421,0.005121,0.121923,0.083203,0.066882,0.275784,0.000704,0.014528,0.000672,0.001504,0.001184,0.000416,0.916283
0.397483,0.017504,0.192006,0.005024,0.121604,0.084386,0.065506,0.275112,0.000768,0.014401,0.000608,0.001472,0.001280,0.000384,0.914491
0.400108,0.018081,0.194214,0.005152,0.135396,0.083362,0.068515,0.291017,0.001120,0.015520,0.000608,0.001792,0.002528,0.000608,0.942204
