Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-10],OUT[10],TEE[8-10],classifier
0.395820,0.036097,0.192326,0.004832,0.047970,0.000832,0.013760,0.000352,0.111651,0.045154,0.063778,0.223783,0.922460
0.395627,0.017952,0.191750,0.004896,0.050305,0.000800,0.013601,0.000416,0.118915,0.038850,0.063457,0.224646,0.907483
0.396043,0.017633,0.192006,0.004832,0.049217,0.000896,0.013761,0.000352,0.113923,0.041537,0.067970,0.226630,0.907898
0.395019,0.017633,0.192198,0.004896,0.048225,0.000608,0.014177,0.000384,0.117123,0.038209,0.064578,0.223270,0.903322
0.396299,0.017825,0.192006,0.004896,0.048737,0.000832,0.013761,0.000352,0.116323,0.045921,0.064001,0.229478,0.911162
0.395787,0.017793,0.191942,0.004896,0.049121,0.000608,0.013857,0.000352,0.115171,0.039553,0.062850,0.220998,0.902042
0.395596,0.017696,0.192390,0.004864,0.048514,0.000640,0.013600,0.000320,0.114243,0.045474,0.063874,0.226599,0.906747
0.411564,0.017537,0.191781,0.004928,0.048674,0.000800,0.013600,0.000320,0.112484,0.037569,0.063778,0.217159,0.913147
0.395564,0.017665,0.191749,0.004897,0.048961,0.000832,0.013568,0.000384,0.112132,0.037793,0.060546,0.213479,0.893851
0.395180,0.017696,0.192006,0.004896,0.048417,0.000576,0.013473,0.000384,0.114755,0.038593,0.061538,0.218470,0.898522
0.395084,0.017696,0.191686,0.004864,0.048705,0.000832,0.013824,0.000384,0.109091,0.037889,0.093123,0.243399,0.922875
0.399724,0.017729,0.197478,0.004896,0.048225,0.000608,0.013889,0.000384,0.115299,0.039809,0.063266,0.221926,0.912731
0.396140,0.017536,0.193350,0.004864,0.048737,0.000608,0.013792,0.000352,0.115171,0.038498,0.062209,0.219206,0.901274
0.396652,0.017600,0.192454,0.004928,0.048482,0.000608,0.013632,0.000384,0.116804,0.039265,0.064930,0.224583,0.906459
0.411948,0.017633,0.192869,0.004864,0.048930,0.000800,0.014144,0.000352,0.119044,0.039393,0.064322,0.225927,0.924315
0.395084,0.017729,0.192389,0.004929,0.048705,0.000800,0.013889,0.000352,0.109859,0.039361,0.061794,0.214470,0.894779
0.395116,0.017856,0.191846,0.004832,0.048161,0.000577,0.013600,0.000384,0.113155,0.044162,0.061986,0.222439,0.901115
0.395243,0.017920,0.191526,0.004864,0.067778,0.000832,0.013696,0.000416,0.110884,0.038689,0.059554,0.212135,0.911291
0.395947,0.017601,0.191910,0.004832,0.048193,0.000768,0.013505,0.000352,0.111363,0.043681,0.063042,0.221350,0.901178
0.396139,0.017760,0.191558,0.004896,0.047745,0.001056,0.013569,0.000384,0.111715,0.039137,0.072386,0.226310,0.906235
0.394988,0.017857,0.191877,0.004896,0.048162,0.000832,0.013568,0.000352,0.112932,0.044705,0.062786,0.223463,0.902395
0.413996,0.017761,0.193445,0.004833,0.048577,0.000608,0.013536,0.000352,0.113188,0.038305,0.060738,0.215271,0.915035
0.396492,0.017632,0.192358,0.004928,0.048962,0.000608,0.013536,0.000384,0.109635,0.035905,0.058497,0.207238,0.888314
0.395659,0.017505,0.192134,0.004864,0.048385,0.000608,0.013569,0.000352,0.117571,0.046882,0.067810,0.235687,0.915707
0.396971,0.017697,0.212518,0.005056,0.048706,0.000864,0.013920,0.000352,0.119684,0.045345,0.062242,0.230951,0.934011
0.395403,0.017569,0.192294,0.004832,0.048289,0.000608,0.013633,0.000352,0.105571,0.034561,0.060610,0.203942,0.883930
0.395948,0.017761,0.192389,0.004864,0.050146,0.000800,0.014176,0.000384,0.111332,0.040097,0.062146,0.216711,0.899611
0.395211,0.017409,0.192070,0.004992,0.048289,0.000608,0.013793,0.000352,0.105443,0.036769,0.060290,0.205766,0.884922
0.395756,0.017889,0.191685,0.004864,0.048418,0.000544,0.013568,0.000384,0.111556,0.037889,0.061762,0.214631,0.894331
0.395019,0.017537,0.191654,0.004864,0.048065,0.000608,0.013569,0.000320,0.101859,0.037537,0.058658,0.201222,0.879802
0.395499,0.017569,0.192006,0.004896,0.047937,0.000832,0.013569,0.000320,0.111459,0.038497,0.060322,0.213350,0.892378
0.394476,0.017728,0.208134,0.004993,0.048897,0.000832,0.013537,0.000384,0.110595,0.039169,0.060802,0.213382,0.909275
0.395052,0.017696,0.191846,0.004832,0.047809,0.000608,0.013473,0.000320,0.113635,0.037825,0.060514,0.215174,0.893338
0.396396,0.017697,0.192805,0.004865,0.048417,0.000800,0.014304,0.000416,0.112676,0.045153,0.062562,0.223655,0.906715
0.396780,0.017504,0.191878,0.004896,0.048130,0.000576,0.013824,0.000352,0.111619,0.038273,0.062402,0.215719,0.895995
0.395116,0.017696,0.192038,0.004864,0.049282,0.000832,0.013696,0.000352,0.108931,0.039298,0.063937,0.215142,0.895835
0.394860,0.017729,0.192037,0.004929,0.048097,0.000864,0.013568,0.000416,0.109860,0.034945,0.061154,0.209031,0.887515
0.395115,0.017728,0.191974,0.004928,0.047233,0.000608,0.013569,0.000416,0.111907,0.045249,0.061506,0.221862,0.900282
0.395404,0.017824,0.208519,0.005024,0.047233,0.000864,0.013505,0.000384,0.113795,0.038369,0.061154,0.216102,0.911771
0.394508,0.017568,0.192038,0.004832,0.048514,0.000800,0.013472,0.000384,0.108259,0.036226,0.059041,0.206438,0.885178
0.395020,0.017728,0.191974,0.004800,0.047490,0.001056,0.013536,0.000416,0.110499,0.038081,0.060738,0.212454,0.890426
0.394508,0.017664,0.191814,0.004832,0.048577,0.000801,0.013504,0.000352,0.109603,0.037889,0.059746,0.210118,0.888570
0.395691,0.017601,0.191973,0.004832,0.048545,0.000576,0.013537,0.000416,0.114787,0.044449,0.061378,0.223782,0.903578
0.395979,0.017536,0.192038,0.004832,0.047745,0.000640,0.013537,0.000384,0.110307,0.039169,0.061634,0.214214,0.893850
0.395884,0.017472,0.191782,0.004896,0.048130,0.000544,0.013536,0.000384,0.109507,0.038433,0.067425,0.218599,0.897691
0.394348,0.017312,0.209479,0.005152,0.048449,0.000832,0.013537,0.000352,0.104995,0.038881,0.061762,0.208710,0.904891
0.395083,0.017345,0.191686,0.004864,0.048257,0.000608,0.013505,0.000416,0.107427,0.034721,0.058626,0.203974,0.881978
0.394828,0.017505,0.191557,0.004865,0.047617,0.000608,0.013536,0.000320,0.106980,0.037633,0.060258,0.207847,0.884891
0.395308,0.017537,0.192101,0.004865,0.047777,0.000576,0.013536,0.000384,0.108868,0.038401,0.061698,0.212007,0.889947
0.411724,0.017505,0.192006,0.004832,0.047201,0.000864,0.013505,0.000384,0.109891,0.040353,0.061058,0.214342,0.908987
0.395115,0.017664,0.191878,0.005024,0.047681,0.000544,0.013473,0.000352,0.111299,0.040065,0.066242,0.220838,0.899194
0.395148,0.017728,0.191878,0.004864,0.047106,0.000576,0.013472,0.000352,0.110371,0.039170,0.061601,0.214246,0.891866
0.395595,0.017568,0.208326,0.005056,0.048130,0.000800,0.013536,0.000384,0.114884,0.040737,0.059810,0.218599,0.915387
0.395595,0.017793,0.193958,0.004992,0.049281,0.000864,0.013665,0.000352,0.106787,0.041985,0.059906,0.211974,0.895226
0.396044,0.017825,0.191941,0.004833,0.049057,0.000832,0.013632,0.000352,0.111715,0.045057,0.063266,0.223110,0.904187
0.395147,0.017632,0.192070,0.004832,0.049345,0.000864,0.013505,0.000416,0.108163,0.036705,0.059714,0.207622,0.887386
0.395307,0.017665,0.191622,0.004928,0.048321,0.000832,0.014177,0.000384,0.109731,0.038721,0.060546,0.211878,0.891514
0.395051,0.017665,0.191654,0.004896,0.049025,0.000640,0.013953,0.000320,0.105635,0.035265,0.057602,0.201446,0.880730
0.395532,0.017601,0.191621,0.004865,0.048449,0.000608,0.013632,0.000384,0.110403,0.038657,0.061250,0.213382,0.892251
0.394411,0.017345,0.215846,0.005088,0.047650,0.000832,0.013536,0.000384,0.110468,0.037729,0.060290,0.213223,0.915067
0.394380,0.017632,0.191110,0.004864,0.048418,0.000608,0.013504,0.000384,0.105411,0.038369,0.060418,0.207174,0.884538
0.396108,0.017568,0.191750,0.004800,0.047810,0.000608,0.013504,0.000352,0.109027,0.038945,0.059458,0.210502,0.889210
0.394603,0.017696,0.191622,0.004832,0.048193,0.000608,0.013537,0.000320,0.108067,0.046945,0.065762,0.223878,0.902426
0.408268,0.017825,0.191846,0.004864,0.048001,0.000640,0.013537,0.000384,0.110787,0.042017,0.060482,0.216326,0.908219
0.395084,0.017760,0.191110,0.004960,0.048642,0.001024,0.013472,0.000352,0.098563,0.037889,0.058498,0.197734,0.876794
0.396747,0.017793,0.191238,0.004832,0.048673,0.001056,0.013537,0.000352,0.104547,0.039905,0.060546,0.207974,0.888026
0.394828,0.017633,0.191749,0.004865,0.048001,0.017248,0.014080,0.000384,0.100131,0.036673,0.064610,0.204422,0.900251
0.395116,0.017473,0.191621,0.004865,0.047489,0.000832,0.013504,0.000352,0.095107,0.038497,0.057218,0.193606,0.870746
0.394476,0.017632,0.191558,0.004896,0.047841,0.000832,0.013536,0.000352,0.109315,0.039169,0.058530,0.210182,0.888474
0.395564,0.017697,0.191717,0.004832,0.048738,0.000864,0.013504,0.000384,0.109860,0.037249,0.059777,0.209894,0.889082
0.410572,0.017825,0.191781,0.004865,0.048033,0.000832,0.013504,0.000352,0.109508,0.043745,0.065826,0.222183,0.916859
0.394827,0.017665,0.191462,0.004864,0.047905,0.000800,0.013473,0.000352,0.110243,0.043809,0.066402,0.223366,0.900698
0.394252,0.017536,0.191622,0.004832,0.047618,0.000800,0.013536,0.000352,0.110755,0.035233,0.057793,0.207270,0.884346
0.396748,0.017504,0.195174,0.004832,0.048610,0.000576,0.013664,0.000384,0.129188,0.045057,0.065345,0.242983,0.927452
0.395980,0.017536,0.192806,0.004800,0.048897,0.000640,0.013985,0.000384,0.106467,0.041121,0.061122,0.211782,0.893626
0.396012,0.017760,0.192358,0.004992,0.048417,0.000864,0.013601,0.000384,0.100579,0.038625,0.058242,0.200742,0.881434
0.396652,0.017728,0.192070,0.004864,0.048993,0.000576,0.013537,0.000384,0.102883,0.041057,0.060450,0.207334,0.888122
0.412333,0.017600,0.191654,0.004896,0.047617,0.000832,0.013568,0.000352,0.102243,0.039201,0.062082,0.206662,0.901595
0.394732,0.017536,0.191558,0.004864,0.047905,0.000576,0.013568,0.000352,0.108195,0.037569,0.060066,0.208742,0.886138
0.395468,0.017664,0.191974,0.004800,0.048961,0.000865,0.013536,0.000384,0.104163,0.038337,0.060738,0.206278,0.885786
0.394700,0.017569,0.191589,0.004864,0.048290,0.001056,0.013504,0.000384,0.116164,0.035841,0.090019,0.245128,0.923292
0.395500,0.017408,0.191270,0.004896,0.048129,0.000800,0.013472,0.000352,0.102595,0.034721,0.058242,0.198374,0.876186
0.394220,0.017537,0.191557,0.004896,0.047394,0.000608,0.013568,0.000384,0.110852,0.047233,0.066850,0.228327,0.904923
0.394955,0.017664,0.191910,0.004832,0.047137,0.000832,0.013473,0.000352,0.108867,0.035873,0.059490,0.207238,0.885306
0.412012,0.017601,0.191814,0.004832,0.048897,0.000800,0.013569,0.000384,0.109987,0.039553,0.066242,0.218854,0.915963
0.398188,0.017536,0.192070,0.004832,0.048578,0.000832,0.013536,0.000352,0.106691,0.039841,0.060834,0.210150,0.892378
0.394635,0.017665,0.191654,0.004960,0.048545,0.000608,0.013505,0.000384,0.107139,0.044513,0.066306,0.221094,0.898714
0.394507,0.017665,0.191206,0.004832,0.047585,0.000608,0.013505,0.000384,0.107331,0.047969,0.062050,0.220326,0.896634
0.396844,0.017537,0.191909,0.004929,0.047489,0.000608,0.013824,0.000352,0.109763,0.038625,0.060642,0.212326,0.892827
0.394764,0.017697,0.191493,0.004896,0.048386,0.000576,0.013472,0.000384,0.106947,0.040258,0.058561,0.208806,0.886522
0.394604,0.017440,0.191526,0.004896,0.048578,0.000576,0.013440,0.000352,0.104195,0.042401,0.065858,0.215366,0.893306
