Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.397260,0.017761,0.133764,0.588625,0.067970,0.794231,0.000672,1.214596
0.395948,0.017985,0.129379,0.588274,0.064706,0.786647,0.000640,1.206148
0.396939,0.017569,0.132068,0.585841,0.065378,0.787415,0.000736,1.207459
0.396652,0.017729,0.131844,0.587825,0.069890,0.793719,0.000736,1.213924
0.396587,0.017984,0.137188,0.608114,0.086563,0.836569,0.000736,1.257541
0.397708,0.017633,0.141380,0.591089,0.069507,0.806456,0.000736,1.228261
0.396684,0.017825,0.132580,0.589681,0.065410,0.791575,0.000640,1.211460
0.421197,0.017920,0.125700,0.598834,0.064962,0.792952,0.000864,1.238021
0.395564,0.017728,0.135268,0.587218,0.064609,0.790904,0.000640,1.209348
0.396364,0.017824,0.125124,0.588497,0.065986,0.784055,0.000768,1.204227
0.396332,0.017825,0.138276,0.588625,0.067010,0.797975,0.000736,1.217604
0.395980,0.017792,0.136741,0.588145,0.064706,0.793624,0.000736,1.212676
0.395980,0.017632,0.138340,0.601490,0.068386,0.812824,0.000640,1.231972
0.397132,0.017921,0.121827,0.602546,0.063330,0.791767,0.000704,1.212260
0.396556,0.017665,0.125667,0.587602,0.067074,0.784535,0.000576,1.204804
0.396204,0.017856,0.137956,0.605938,0.085794,0.835161,0.000672,1.255557
0.398444,0.017793,0.131556,0.587601,0.068802,0.791703,0.000704,1.213124
0.396780,0.017600,0.136260,0.587601,0.066146,0.794008,0.000768,1.213220
0.416428,0.017792,0.123716,0.603026,0.067202,0.797784,0.000736,1.237605
0.397100,0.017696,0.139684,0.586642,0.065314,0.796024,0.000672,1.216420
0.396300,0.017824,0.133252,0.587634,0.070402,0.794968,0.000672,1.214372
0.396588,0.018048,0.161061,0.587794,0.067554,0.820249,0.000672,1.240293
0.396075,0.017793,0.136452,0.586033,0.066402,0.792567,0.000736,1.212388
0.396587,0.017537,0.137828,0.617810,0.074371,0.834521,0.000800,1.254085
0.397899,0.017920,0.129988,0.593585,0.065313,0.793015,0.000736,1.215300
0.397740,0.017888,0.140453,0.588753,0.069314,0.803000,0.000896,1.225380
0.396876,0.017793,0.164197,0.601425,0.064674,0.835128,0.000640,1.255846
0.395627,0.017729,0.123428,0.587089,0.065378,0.780535,0.000704,1.199939
0.395084,0.017729,0.126499,0.586834,0.065026,0.782775,0.000704,1.201252
0.414732,0.017729,0.131972,0.600561,0.068098,0.804663,0.000800,1.242916
0.395627,0.017665,0.138916,0.588498,0.068994,0.800696,0.000768,1.219044
0.396972,0.017888,0.138660,0.605106,0.084963,0.833049,0.000768,1.253541
0.396812,0.017920,0.124932,0.588081,0.067233,0.784280,0.000640,1.204388
0.396811,0.017889,0.134756,0.586865,0.067106,0.792727,0.000672,1.212932
0.396204,0.017889,0.123587,0.603506,0.080195,0.811800,0.000704,1.231877
0.395852,0.017760,0.139684,0.590674,0.067970,0.802936,0.000640,1.222372
0.395724,0.017888,0.117508,0.599698,0.066466,0.787736,0.000832,1.206660
0.412588,0.017696,0.135524,0.604338,0.067746,0.811320,0.000672,1.247172
0.396043,0.017665,0.134884,0.587601,0.072386,0.800535,0.000705,1.220197
0.395820,0.017728,0.135076,0.589554,0.065954,0.794488,0.000672,1.213860
0.396044,0.017825,0.122435,0.588114,0.067170,0.781719,0.000640,1.201668
0.395916,0.017984,0.134116,0.588978,0.067906,0.795160,0.000672,1.214724
0.396300,0.017600,0.136228,0.607122,0.079363,0.827161,0.000800,1.246821
0.396459,0.017857,0.148804,0.595762,0.068258,0.816920,0.000640,1.236452
0.395660,0.017856,0.104067,0.588785,0.066882,0.764406,0.000832,1.184419
0.396108,0.018049,0.140900,0.604786,0.080738,0.830936,0.000704,1.250373
0.395371,0.017633,0.135108,0.589393,0.065026,0.793623,0.000704,1.212131
0.398412,0.017985,0.139204,0.588817,0.067362,0.799383,0.000704,1.221604
0.412589,0.017728,0.135428,0.596178,0.072770,0.808344,0.000608,1.244069
0.395820,0.017857,0.128611,0.584690,0.067650,0.784887,0.000640,1.203748
0.396523,0.017888,0.131236,0.598834,0.067714,0.801624,0.000704,1.221316
0.397196,0.017633,0.141220,0.588241,0.066402,0.799671,0.000704,1.220196
0.395243,0.017889,0.126564,0.599057,0.064994,0.795831,0.000672,1.214275
0.395564,0.017729,0.134500,0.604882,0.080578,0.824216,0.000736,1.242885
0.395756,0.017760,0.147813,0.588625,0.068706,0.809336,0.000864,1.229508
0.394923,0.017632,0.153285,0.588241,0.068386,0.813880,0.000832,1.231972
0.396268,0.017665,0.137892,0.614034,0.069026,0.825656,0.000800,1.245349
0.396556,0.017888,0.125124,0.583889,0.065154,0.778039,0.000736,1.198051
0.395660,0.017633,0.135428,0.586417,0.065186,0.791063,0.000672,1.209956
0.411852,0.017665,0.134692,0.601906,0.068226,0.808792,0.000736,1.244133
0.397164,0.017888,0.130788,0.584177,0.063682,0.782647,0.000736,1.203523
0.395148,0.017857,0.125667,0.585330,0.086594,0.801719,0.000768,1.220516
0.395436,0.017696,0.134820,0.587154,0.072674,0.798872,0.000704,1.217252
0.396492,0.017632,0.136453,0.587441,0.066018,0.793656,0.000672,1.213604
0.396460,0.017824,0.137541,0.613330,0.079138,0.834425,0.000640,1.255429
0.395403,0.017761,0.134788,0.591601,0.069410,0.799415,0.000705,1.218660
0.396075,0.017633,0.134244,0.601106,0.066178,0.805912,0.000704,1.225156
0.414124,0.017729,0.132579,0.598129,0.065314,0.799479,0.000704,1.237284
0.395308,0.017760,0.133412,0.587858,0.064386,0.789496,0.000672,1.208132
0.396460,0.017600,0.137380,0.588946,0.064514,0.794872,0.000672,1.214436
0.395532,0.017824,0.140933,0.597201,0.067490,0.809528,0.000672,1.228676
0.396395,0.017793,0.138628,0.586001,0.065090,0.793591,0.000736,1.213667
