Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-7],OUT[7],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.416163,0.017504,0.202658,0.004768,0.049568,0.109601,0.047840,0.064097,0.224482,0.002016,0.000768,0.000384,0.923815
0.419459,0.017472,0.202753,0.004833,0.049312,0.105185,0.044960,0.059168,0.212545,0.002208,0.000928,0.000384,0.916198
0.419459,0.017472,0.203042,0.004768,0.047456,0.106689,0.045408,0.087137,0.242530,0.002208,0.000992,0.000384,0.944519
0.419939,0.017472,0.202785,0.004800,0.047617,0.106560,0.047393,0.059840,0.216737,0.003104,0.001088,0.000416,0.920230
0.420355,0.017408,0.202946,0.004832,0.047520,0.108673,0.046336,0.061121,0.219234,0.003232,0.001120,0.000384,0.923591
0.420227,0.017536,0.202402,0.004864,0.047040,0.106017,0.060672,0.063489,0.233442,0.002048,0.001024,0.000384,0.935047
0.442403,0.017536,0.202561,0.004768,0.048993,0.110529,0.047968,0.061664,0.223425,0.002080,0.000992,0.000416,0.949862
0.419587,0.017280,0.202530,0.004960,0.049376,0.125601,0.045536,0.060929,0.234978,0.002176,0.001312,0.000384,0.938887
0.415395,0.017696,0.202561,0.004864,0.049921,0.110208,0.045281,0.059136,0.217985,0.002016,0.001216,0.000384,0.919270
0.419715,0.017504,0.202241,0.004833,0.049472,0.124545,0.058784,0.059745,0.246594,0.002144,0.000992,0.000416,0.950119
0.419683,0.017440,0.202466,0.004800,0.048480,0.103329,0.047520,0.061537,0.215362,0.002016,0.001088,0.000416,0.917959
0.419907,0.017408,0.202401,0.004832,0.047489,0.108608,0.048481,0.062208,0.222209,0.001856,0.000896,0.000416,0.923750
0.415395,0.017248,0.202722,0.004768,0.047872,0.107329,0.045632,0.058337,0.214274,0.002016,0.000832,0.000384,0.911783
0.433571,0.017185,0.202561,0.004832,0.047264,0.098017,0.044960,0.057281,0.202978,0.002016,0.001056,0.000416,0.918503
0.414946,0.017600,0.202465,0.004864,0.047072,0.107329,0.048033,0.062144,0.220386,0.002176,0.001024,0.000352,0.917350
0.419939,0.017440,0.202498,0.004800,0.047712,0.104321,0.048736,0.062816,0.218849,0.001920,0.000928,0.000385,0.920903
0.420195,0.017408,0.202178,0.004800,0.066528,0.112481,0.048192,0.062753,0.226530,0.001984,0.001056,0.000416,0.948391
0.419779,0.017632,0.202369,0.004800,0.047553,0.103392,0.045921,0.060672,0.212929,0.002112,0.000992,0.000352,0.914022
0.417827,0.017952,0.203970,0.004960,0.047264,0.113409,0.047424,0.063233,0.227426,0.002144,0.001088,0.000416,0.930151
0.420131,0.017504,0.202593,0.004800,0.049857,0.108192,0.045761,0.061024,0.218081,0.002208,0.000896,0.000416,0.922182
0.419939,0.017472,0.203554,0.004864,0.049056,0.133921,0.049568,0.071041,0.257442,0.002080,0.000992,0.000416,0.962375
0.416419,0.017216,0.202561,0.004768,0.047457,0.109728,0.046561,0.060736,0.220097,0.002144,0.000992,0.000416,0.918598
0.420131,0.017440,0.203106,0.004896,0.047392,0.107521,0.045376,0.060288,0.216097,0.002048,0.000961,0.000384,0.918855
0.420867,0.017408,0.221474,0.004864,0.047680,0.109185,0.047904,0.058817,0.218882,0.002048,0.000896,0.000416,0.940871
0.414659,0.017440,0.202561,0.004832,0.047233,0.106944,0.044961,0.061888,0.216609,0.001952,0.000960,0.000352,0.912806
0.419651,0.017632,0.202818,0.004800,0.047232,0.132129,0.049792,0.061121,0.246178,0.002112,0.000928,0.000384,0.948007
0.420323,0.017601,0.202689,0.005152,0.046976,0.110497,0.052257,0.060896,0.226626,0.002240,0.000992,0.000416,0.929127
0.415267,0.017408,0.202594,0.004832,0.047328,0.113409,0.045632,0.059713,0.222050,0.002176,0.001184,0.000384,0.920103
0.416835,0.017632,0.202849,0.004864,0.047233,0.115264,0.045729,0.059584,0.223617,0.002144,0.001184,0.000416,0.923366
0.420867,0.017568,0.203010,0.004768,0.048672,0.108321,0.047840,0.067457,0.226754,0.001888,0.001024,0.000352,0.931047
0.436932,0.017536,0.202753,0.004832,0.049313,0.112672,0.048609,0.062368,0.226881,0.002048,0.000928,0.000352,0.948103
