Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.394443,0.017793,0.139172,0.604338,0.089411,0.836729,1.254053
0.394444,0.017761,0.136036,0.582673,0.063330,0.785591,1.201956
0.395404,0.017761,0.120067,0.584242,0.063074,0.770711,1.188484
0.411597,0.017696,0.142468,0.600370,0.065890,0.812440,1.246629
0.395148,0.017632,0.132900,0.589810,0.064898,0.790680,1.207908
0.394828,0.017729,0.133956,0.587889,0.063842,0.788983,1.205444
0.409356,0.017760,0.130596,0.600946,0.069474,0.804440,1.235588
0.395116,0.017793,0.139524,0.600498,0.065922,0.809496,1.226853
0.394476,0.017696,0.136132,0.614579,0.087906,0.842393,1.258789
0.394444,0.017728,0.137732,0.583601,0.064417,0.789271,1.206147
0.394604,0.018049,0.130116,0.583953,0.064898,0.782327,1.199076
0.394987,0.017568,0.129476,0.604178,0.085794,0.822968,1.239620
0.394956,0.017376,0.161957,0.598578,0.067906,0.831961,1.248517
0.394315,0.017761,0.136132,0.591921,0.066626,0.798391,1.215395
0.409964,0.017664,0.099907,0.595634,0.063586,0.762423,1.194916
0.395180,0.017985,0.122531,0.602418,0.066146,0.794679,1.212164
0.394443,0.017856,0.129316,0.587153,0.065762,0.785495,1.201763
0.395404,0.017377,0.130979,0.587057,0.067170,0.788695,1.206116
0.395147,0.017953,0.126692,0.583953,0.063842,0.777879,1.195043
0.394827,0.017761,0.128004,0.599665,0.084739,0.815736,1.232516
0.394892,0.017920,0.133988,0.584465,0.063778,0.785623,1.202403
0.394476,0.017536,0.119748,0.580497,0.069506,0.773495,1.188739
0.394763,0.017409,0.129892,0.603281,0.076066,0.812664,1.228612
0.394635,0.017697,0.138180,0.593074,0.065537,0.800343,1.216676
0.396300,0.018017,0.149380,0.606162,0.065122,0.824024,1.241829
0.414573,0.017472,0.130756,0.588306,0.064578,0.786808,1.223045
0.394412,0.017632,0.150917,0.586993,0.064514,0.805784,1.221700
0.394059,0.017345,0.124900,0.602673,0.065058,0.795927,1.211171
0.410445,0.017760,0.141284,0.598866,0.073250,0.816792,1.247877
0.394667,0.017281,0.128068,0.588113,0.066914,0.786487,1.202051
0.394379,0.017344,0.157349,0.602322,0.076354,0.839577,1.255237
0.394699,0.017761,0.152708,0.592530,0.065282,0.813656,1.229956
0.394891,0.018017,0.130084,0.586161,0.066242,0.786071,1.203843
0.394859,0.017473,0.140292,0.602802,0.078498,0.825528,1.242308
0.394860,0.017665,0.128195,0.591090,0.064834,0.787671,1.204612
0.394251,0.017377,0.125636,0.586193,0.065794,0.780919,1.197155
0.415756,0.017633,0.139428,0.596529,0.067426,0.806776,1.244837
0.394860,0.017985,0.136068,0.581745,0.063266,0.784279,1.201572
0.394860,0.017504,0.122596,0.584049,0.063170,0.773047,1.189731
0.411436,0.017793,0.129603,0.602418,0.065314,0.800759,1.234244
0.394571,0.017569,0.128324,0.585137,0.065026,0.781687,1.198147
0.394764,0.017441,0.127940,0.586097,0.083234,0.800759,1.217188
0.394315,0.017344,0.123716,0.584273,0.063714,0.775351,1.191203
0.395308,0.017793,0.138916,0.588593,0.066210,0.797399,1.214884
0.394860,0.017760,0.128740,0.606482,0.084387,0.823513,1.240517
