TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.674099,0.005792,0.048323,0.000864,0.013441,0.000416,0.001440,0.001120,0.000352,1.755001
1.702645,0.005601,0.052035,0.000672,0.014081,0.000416,0.001473,0.001184,0.000384,1.787003
1.665107,0.005473,0.049251,0.000832,0.014241,0.000384,0.001568,0.001280,0.000352,1.746425
1.687636,0.005377,0.050115,0.000608,0.013729,0.000416,0.001568,0.001216,0.000352,1.768825
1.700949,0.005280,0.048963,0.000608,0.013793,0.000384,0.001505,0.001120,0.000352,1.780891
1.690324,0.005536,0.049572,0.000576,0.013569,0.000448,0.001504,0.001312,0.000352,1.772730
1.662483,0.005569,0.048675,0.000608,0.013409,0.000448,0.001472,0.001184,0.000352,1.742552
1.694325,0.005408,0.048036,0.000640,0.013473,0.000384,0.001440,0.001120,0.000320,1.773498
1.659666,0.005376,0.047683,0.000704,0.013504,0.000384,0.001440,0.001088,0.000352,1.737624
1.700662,0.005376,0.047716,0.001024,0.013601,0.000384,0.001440,0.001184,0.000384,1.780219
1.698677,0.005376,0.047843,0.000544,0.013505,0.000384,0.001504,0.001120,0.000320,1.777338
1.694389,0.005473,0.047651,0.000576,0.013601,0.000416,0.001600,0.001217,0.000352,1.773691
1.701557,0.005184,0.047972,0.000640,0.013441,0.000384,0.001504,0.000896,0.000384,1.779642
1.703765,0.005537,0.047779,0.000800,0.013473,0.000416,0.001408,0.000864,0.000384,1.781722
1.647730,0.005345,0.050819,0.000800,0.013473,0.000416,0.001472,0.001248,0.000352,1.730264
1.685268,0.005249,0.048131,0.000640,0.013601,0.000448,0.001504,0.001024,0.000320,1.764313
1.656338,0.005344,0.047844,0.000672,0.014017,0.000416,0.001376,0.000992,0.000352,1.734359
1.716662,0.005281,0.047683,0.000544,0.013633,0.000416,0.001440,0.000896,0.000384,1.793563
1.659154,0.005217,0.047971,0.000576,0.013409,0.000448,0.001440,0.000928,0.000384,1.736567
1.685140,0.005376,0.047684,0.000800,0.013633,0.000416,0.001440,0.000864,0.000416,1.762617
1.694804,0.005248,0.047523,0.000800,0.013441,0.000416,0.001440,0.000833,0.000352,1.771770
1.723478,0.005537,0.047619,0.000576,0.013889,0.000384,0.001376,0.001184,0.000385,1.802556
1.667506,0.005344,0.047459,0.000544,0.013921,0.000448,0.001408,0.000800,0.000352,1.744952
1.746649,0.005280,0.047459,0.000800,0.013409,0.000448,0.001376,0.001024,0.000320,1.824638
