Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-8],Layer[9],Layer[10],classifier
0.438258,0.017856,0.202952,0.005313,0.048834,0.000896,0.014272,0.000416,0.170567,0.001536,0.000608,0.910436
0.416016,0.017761,0.202856,0.005152,0.048482,0.000864,0.013728,0.000352,0.191656,0.001536,0.000384,0.908163
0.420881,0.017632,0.203208,0.005153,0.048482,0.000800,0.013792,0.000416,0.171751,0.001632,0.000384,0.892835
0.420784,0.017632,0.203112,0.005120,0.048450,0.000832,0.014049,0.000448,0.200616,0.001504,0.000352,0.922468
0.416145,0.017664,0.203048,0.005377,0.048129,0.000833,0.013664,0.000640,0.172391,0.001568,0.000608,0.888771
0.415920,0.017665,0.202792,0.005312,0.048386,0.000800,0.014208,0.000384,0.174823,0.001696,0.000640,0.892290
0.417201,0.017568,0.202824,0.004865,0.048097,0.000800,0.013824,0.000416,0.173191,0.001600,0.000416,0.889027
0.456369,0.017920,0.204264,0.004768,0.049122,0.000832,0.013857,0.000384,0.177479,0.001504,0.000384,0.936420
0.416304,0.017761,0.204072,0.005280,0.048482,0.000864,0.014432,0.000416,0.178983,0.001696,0.000416,0.897731
0.416177,0.017568,0.203560,0.005313,0.048290,0.000800,0.013792,0.000416,0.175751,0.001472,0.000384,0.892867
0.414480,0.017760,0.203016,0.004800,0.048162,0.000832,0.014081,0.000416,0.203016,0.001568,0.000384,0.917540
0.416528,0.017761,0.203848,0.005312,0.048130,0.000832,0.013729,0.000384,0.182695,0.001408,0.000384,0.899523
0.416561,0.017761,0.202343,0.005089,0.048130,0.000832,0.013696,0.000576,0.182407,0.001505,0.000352,0.898756
0.416080,0.017569,0.203240,0.005120,0.048674,0.000832,0.013857,0.000416,0.167718,0.001504,0.000352,0.884035
0.432369,0.017505,0.203624,0.005024,0.048386,0.000832,0.013856,0.000416,0.186728,0.001600,0.000416,0.919108
0.419984,0.017472,0.202920,0.004864,0.048866,0.000832,0.013825,0.000640,0.184903,0.001408,0.000576,0.905859
0.419920,0.017505,0.202632,0.005216,0.047906,0.000800,0.013793,0.000416,0.159846,0.001376,0.000608,0.877954
0.420688,0.017761,0.202152,0.005248,0.048194,0.000576,0.013857,0.000384,0.225192,0.001632,0.000672,0.946149
0.416368,0.017697,0.202664,0.005024,0.048226,0.000832,0.014017,0.000640,0.170662,0.001537,0.000416,0.886307
0.417264,0.017857,0.202504,0.004832,0.048642,0.000864,0.014017,0.000416,0.180039,0.001536,0.000384,0.898019
0.420432,0.017665,0.202792,0.005056,0.048354,0.000800,0.013889,0.000416,0.174535,0.001600,0.000320,0.894083
0.433489,0.017729,0.204232,0.005312,0.048002,0.000768,0.013857,0.000640,0.178919,0.001248,0.000544,0.913924
0.415760,0.017729,0.202888,0.005024,0.048098,0.000832,0.013825,0.000384,0.170759,0.001280,0.000256,0.884579
0.417168,0.017376,0.203144,0.005344,0.048226,0.000800,0.013665,0.000384,0.173767,0.001152,0.000480,0.889891
0.420849,0.017472,0.202952,0.004833,0.048033,0.000833,0.013760,0.000448,0.196648,0.001568,0.000640,0.917796
0.420464,0.017409,0.202728,0.005024,0.048130,0.000832,0.013665,0.000448,0.173030,0.001664,0.000384,0.892195
0.416080,0.017601,0.202248,0.005024,0.048354,0.000832,0.013632,0.000384,0.170759,0.001408,0.000352,0.884546
0.420336,0.017665,0.203240,0.004832,0.047618,0.000832,0.013568,0.000416,0.173575,0.001536,0.000352,0.892674
0.433553,0.017600,0.202888,0.005024,0.048385,0.000832,0.013633,0.000416,0.167143,0.001440,0.000384,0.900131
0.416048,0.017953,0.203336,0.005376,0.048130,0.000864,0.013825,0.000608,0.175111,0.001504,0.000384,0.892995
0.416785,0.017504,0.203208,0.004833,0.047906,0.000832,0.013696,0.000416,0.159910,0.001665,0.000384,0.875779
0.420752,0.017889,0.202472,0.005056,0.047810,0.000832,0.014017,0.000416,0.194279,0.001408,0.000352,0.913603
0.416273,0.017696,0.202888,0.005281,0.048193,0.000832,0.013600,0.000384,0.173735,0.001504,0.000320,0.889027
0.417361,0.017536,0.203016,0.005089,0.048321,0.000800,0.013569,0.000384,0.167591,0.001440,0.000576,0.883939
0.420465,0.017601,0.202631,0.005025,0.048034,0.000800,0.013664,0.000416,0.162919,0.001696,0.000416,0.882147
