Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420387,0.196513,0.049248,0.060481,0.309410,0.203201,0.005536,0.049537,0.000800,0.013472,0.000384,0.001440,0.000864,0.000384,1.011943
0.438019,0.201858,0.049760,0.063136,0.318114,0.203010,0.005312,0.047584,0.000800,0.013472,0.000384,0.001472,0.001088,0.000384,1.036647
0.416419,0.175170,0.051200,0.062944,0.293154,0.203426,0.005600,0.047968,0.000800,0.013472,0.000384,0.001472,0.000928,0.000352,0.991079
0.417699,0.198306,0.051872,0.063681,0.317251,0.203745,0.005504,0.047873,0.000832,0.013344,0.000352,0.001472,0.000896,0.000320,1.016456
0.421795,0.195713,0.050144,0.060865,0.310402,0.204225,0.005504,0.047713,0.000832,0.013440,0.000352,0.001440,0.000992,0.000352,1.014087
0.420547,0.169857,0.050273,0.062176,0.285506,0.203682,0.005568,0.047776,0.000832,0.013344,0.000384,0.001408,0.000992,0.000384,0.987303
0.420227,0.169953,0.051041,0.063040,0.287394,0.203681,0.009377,0.047904,0.000832,0.013472,0.000352,0.001440,0.000896,0.000416,0.993127
0.422051,0.173729,0.051425,0.061152,0.289666,0.222754,0.005760,0.047712,0.000768,0.013408,0.000352,0.001408,0.001024,0.000352,1.013447
0.416995,0.177057,0.052160,0.063328,0.296226,0.204194,0.009472,0.047424,0.000832,0.013536,0.000352,0.001440,0.001248,0.000384,0.999207
0.421027,0.178658,0.050240,0.060897,0.293123,0.203745,0.005536,0.047616,0.000800,0.013408,0.000352,0.001473,0.000896,0.000384,0.995912
0.417251,0.173313,0.049888,0.060449,0.287074,0.205121,0.005504,0.047776,0.000832,0.013473,0.000384,0.001440,0.001024,0.000416,0.987624
0.415875,0.179265,0.049792,0.060161,0.292482,0.203809,0.005536,0.047937,0.000768,0.013408,0.000384,0.001376,0.001024,0.000384,0.990695
0.416675,0.181025,0.051424,0.063521,0.299522,0.204193,0.009440,0.047809,0.000800,0.013408,0.000384,0.001408,0.000992,0.000352,1.002631
0.420579,0.199169,0.050241,0.068288,0.320930,0.203010,0.005504,0.047968,0.000800,0.013824,0.000416,0.001440,0.000992,0.000384,1.023495
0.438979,0.176866,0.050208,0.061281,0.291875,0.203617,0.009120,0.047968,0.000832,0.013857,0.000352,0.001408,0.000928,0.000384,1.016872
0.416387,0.171426,0.047360,0.059520,0.281602,0.203746,0.005504,0.047744,0.000800,0.013760,0.000384,0.001440,0.000896,0.000384,0.980103
0.422019,0.174178,0.051328,0.063328,0.292226,0.204834,0.005568,0.047552,0.000832,0.013728,0.000352,0.001376,0.001024,0.000352,0.997575
0.437668,0.202049,0.063808,0.062881,0.332034,0.203169,0.005376,0.047425,0.000864,0.014016,0.000384,0.001440,0.000992,0.000352,1.051208
0.421091,0.175393,0.050657,0.063200,0.292418,0.203521,0.005537,0.047808,0.000800,0.013952,0.000384,0.001440,0.000992,0.000384,0.995591
0.416515,0.174305,0.050624,0.061441,0.289570,0.203137,0.005568,0.047681,0.000800,0.014016,0.000352,0.001472,0.001056,0.000288,0.987143
0.415971,0.179393,0.052768,0.076289,0.312354,0.203553,0.005537,0.047712,0.000768,0.013568,0.000352,0.001440,0.000864,0.000352,1.009575
0.416643,0.177281,0.051104,0.061824,0.293698,0.203969,0.005344,0.048545,0.000832,0.013504,0.000352,0.001408,0.000992,0.000320,0.993095
0.416483,0.177057,0.048768,0.059169,0.288578,0.204161,0.005376,0.047777,0.000608,0.013664,0.000352,0.001440,0.000832,0.000384,0.986599
0.416227,0.206081,0.059553,0.062432,0.331554,0.219938,0.005408,0.047584,0.000832,0.013312,0.000352,0.001440,0.000768,0.000288,1.044583
0.417187,0.167713,0.047488,0.059009,0.277346,0.204033,0.005440,0.047777,0.000608,0.013696,0.000352,0.001312,0.000768,0.000352,0.975943
0.416483,0.180737,0.047776,0.061985,0.293794,0.203905,0.005568,0.047649,0.000832,0.013632,0.000352,0.001408,0.001120,0.000384,0.992039
0.416387,0.172930,0.066240,0.060257,0.302915,0.204705,0.005632,0.047520,0.000832,0.013601,0.000352,0.001344,0.000992,0.000352,1.001672
0.417219,0.180417,0.048384,0.059265,0.291778,0.203585,0.009376,0.047937,0.000608,0.013792,0.000352,0.001632,0.000768,0.000384,0.995975
0.420867,0.176641,0.048640,0.059841,0.288418,0.204129,0.005568,0.048161,0.000832,0.013760,0.000352,0.001408,0.000992,0.000608,0.993319
0.421123,0.178881,0.051008,0.062945,0.296034,0.203329,0.009376,0.048449,0.000576,0.013408,0.000352,0.001504,0.001088,0.000352,1.003527
0.429315,0.158049,0.067232,0.059521,0.288162,0.203489,0.005568,0.047713,0.000800,0.014144,0.000384,0.001600,0.000896,0.000352,0.998983
0.422755,0.215681,0.054593,0.064288,0.338402,0.204802,0.006208,0.048288,0.001024,0.014272,0.000608,0.001728,0.001824,0.000864,1.051495
0.421955,0.188258,0.050912,0.061825,0.304771,0.204321,0.005600,0.048705,0.000800,0.014272,0.000640,0.001472,0.001280,0.000352,1.013480
0.440099,0.163425,0.049472,0.060385,0.276546,0.203745,0.005600,0.047937,0.000800,0.013600,0.000384,0.001408,0.000928,0.000352,1.001383
0.416835,0.174465,0.050112,0.065153,0.292770,0.207361,0.005504,0.048129,0.000832,0.013408,0.000352,0.001440,0.000864,0.000576,0.994919
0.417507,0.157857,0.062080,0.062561,0.285602,0.204545,0.005600,0.047713,0.000800,0.013440,0.000352,0.001536,0.000736,0.000352,0.984967
0.419491,0.194018,0.049280,0.075393,0.322787,0.206209,0.005600,0.048737,0.000800,0.013504,0.000384,0.001504,0.001312,0.000640,1.028680
0.419843,0.175649,0.050016,0.064993,0.294306,0.203745,0.005536,0.047937,0.000832,0.013440,0.000352,0.001504,0.001056,0.000384,0.997351
0.421571,0.209345,0.054337,0.070240,0.338114,0.205058,0.006048,0.048064,0.001056,0.013984,0.000352,0.001728,0.001952,0.000576,1.048583
0.416611,0.205090,0.051936,0.074657,0.335459,0.205441,0.005792,0.048065,0.001024,0.014112,0.000320,0.001888,0.001376,0.000544,1.039528
0.415971,0.172993,0.051744,0.064065,0.292162,0.210497,0.005568,0.047841,0.000768,0.013568,0.000352,0.001600,0.001024,0.000384,0.997511
0.417763,0.161634,0.050400,0.066304,0.282850,0.204482,0.005408,0.048768,0.000864,0.013440,0.000384,0.001440,0.001024,0.000416,0.985383
0.415619,0.179618,0.050944,0.065504,0.299970,0.229794,0.005600,0.048065,0.000800,0.014304,0.000352,0.001792,0.001120,0.000384,1.026344
0.416387,0.165602,0.050080,0.063008,0.282402,0.204322,0.005568,0.050400,0.000576,0.014112,0.000384,0.001568,0.001024,0.000576,0.985448
0.416323,0.173282,0.051616,0.066240,0.294434,0.203906,0.005568,0.048160,0.000832,0.013568,0.000352,0.001408,0.000992,0.000416,0.993383
0.415715,0.175201,0.050337,0.062048,0.290946,0.206114,0.005536,0.047808,0.000736,0.013536,0.000352,0.001440,0.000992,0.000640,0.991239
0.416451,0.178626,0.051040,0.067104,0.300450,0.205538,0.005632,0.049376,0.000800,0.013792,0.000416,0.001440,0.001664,0.000384,1.004263
0.416003,0.177378,0.051712,0.080608,0.313218,0.203938,0.005408,0.047872,0.000768,0.013472,0.000320,0.001472,0.001216,0.000576,1.012455
0.422659,0.198082,0.051040,0.063585,0.316579,0.204673,0.005568,0.047648,0.000800,0.013537,0.000384,0.001472,0.001024,0.000384,1.023016
0.421347,0.177985,0.051808,0.063361,0.297026,0.203745,0.009472,0.048769,0.000800,0.013888,0.000352,0.001504,0.001024,0.000384,1.005863
0.416771,0.173441,0.050656,0.064353,0.292002,0.203905,0.005632,0.048033,0.000800,0.013696,0.000352,0.001472,0.001248,0.000608,0.992167
0.420131,0.175458,0.050784,0.064385,0.294307,0.203777,0.005760,0.048160,0.000768,0.014369,0.000384,0.001504,0.001120,0.000576,0.998504
0.437764,0.181025,0.050784,0.062017,0.297730,0.203425,0.005536,0.048129,0.000832,0.013888,0.000352,0.001536,0.001312,0.000608,1.019240
0.420675,0.178466,0.051680,0.079393,0.313443,0.206817,0.005504,0.047873,0.000672,0.013728,0.000352,0.001600,0.001248,0.000416,1.019688
0.419811,0.177121,0.050432,0.062753,0.293570,0.204545,0.005536,0.047712,0.000800,0.013760,0.000352,0.001472,0.001056,0.000640,0.996487
0.432931,0.170626,0.049792,0.061280,0.285026,0.203906,0.005568,0.048608,0.000832,0.013920,0.000384,0.001600,0.001120,0.000576,1.001703
0.419683,0.175137,0.050913,0.063584,0.293250,0.203042,0.005408,0.047488,0.000800,0.013536,0.000352,0.001440,0.001056,0.000416,0.993799
0.420131,0.172769,0.050913,0.064672,0.291778,0.203618,0.005408,0.047936,0.000832,0.013504,0.000352,0.001504,0.001024,0.000576,0.993671
0.421539,0.205505,0.050209,0.063616,0.322914,0.203778,0.005440,0.049056,0.000832,0.013568,0.000384,0.001504,0.001088,0.000384,1.029031
0.415523,0.196577,0.050689,0.064096,0.314850,0.204034,0.005568,0.048256,0.000768,0.013664,0.000352,0.001536,0.001120,0.000576,1.013415
0.420707,0.174113,0.051457,0.064512,0.293474,0.204706,0.005536,0.047808,0.000800,0.013632,0.000352,0.001504,0.001024,0.000576,0.997575
0.415459,0.177697,0.051680,0.067137,0.300322,0.217121,0.005568,0.048865,0.000832,0.013504,0.000384,0.001536,0.001088,0.000384,1.012807
0.415683,0.178753,0.050368,0.061217,0.294242,0.204225,0.009440,0.048097,0.000800,0.013536,0.000352,0.001408,0.001088,0.000576,0.996807
0.415683,0.171874,0.049536,0.063488,0.288386,0.204130,0.005568,0.048064,0.000832,0.013824,0.000384,0.001440,0.000928,0.000320,0.986471
0.419587,0.204002,0.049824,0.063456,0.320866,0.204930,0.005536,0.047904,0.000832,0.013568,0.000352,0.001472,0.000928,0.000416,1.023431
0.421123,0.174753,0.049025,0.075904,0.303330,0.204258,0.005472,0.049600,0.000832,0.013504,0.000352,0.001440,0.000928,0.000384,1.007911
0.415075,0.168673,0.048993,0.063200,0.284002,0.204321,0.005185,0.048064,0.000544,0.013376,0.000352,0.001376,0.000896,0.000352,0.980423
0.414883,0.160353,0.049248,0.063649,0.276482,0.203841,0.005568,0.048160,0.000800,0.013376,0.000416,0.001440,0.000896,0.000416,0.973383
0.438755,0.210050,0.051552,0.066465,0.331459,0.208737,0.005568,0.047393,0.000768,0.013568,0.000416,0.001376,0.000960,0.000352,1.056712
0.420355,0.180929,0.049568,0.062752,0.296738,0.203842,0.009280,0.048128,0.000832,0.013344,0.000384,0.001408,0.000896,0.000640,1.002663
0.420515,0.172993,0.051265,0.064064,0.291714,0.203969,0.005568,0.048224,0.000832,0.013536,0.000384,0.001472,0.000960,0.000384,0.994535
0.431811,0.176033,0.051488,0.064161,0.295298,0.204353,0.005664,0.048161,0.000832,0.013696,0.000416,0.001408,0.001408,0.000608,1.011687
0.416035,0.169282,0.049536,0.060256,0.282370,0.204001,0.005504,0.047616,0.000800,0.013408,0.000384,0.001504,0.000960,0.000608,0.980296
0.415939,0.172321,0.051969,0.064608,0.292162,0.204418,0.005600,0.047552,0.000832,0.013440,0.000320,0.001440,0.000864,0.000416,0.989383
0.417603,0.202881,0.052929,0.065024,0.324930,0.204609,0.005665,0.049088,0.000864,0.013952,0.000384,0.001504,0.001376,0.000416,1.028167
