Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.419792,0.017505,0.203176,0.004832,0.046978,0.167974,0.014273,0.000480,0.001472,0.000928,0.000352,0.885506
0.421297,0.017441,0.203624,0.004832,0.046882,0.171686,0.014145,0.000512,0.001472,0.000928,0.000320,0.891075
0.416272,0.017696,0.203624,0.004864,0.046914,0.168263,0.013984,0.000449,0.001408,0.000960,0.000384,0.884099
0.418865,0.017473,0.203016,0.004832,0.046946,0.158118,0.014176,0.000480,0.001505,0.000992,0.000384,0.874691
0.416561,0.017729,0.203496,0.004800,0.047042,0.178183,0.014080,0.000512,0.001376,0.001024,0.000320,0.895236
0.420400,0.017568,0.204360,0.004928,0.047682,0.172455,0.014209,0.000512,0.001536,0.001120,0.000384,0.894147
0.416689,0.017281,0.223624,0.005345,0.047137,0.168839,0.014625,0.000448,0.001440,0.001440,0.000384,0.906468
0.415312,0.017441,0.203016,0.005184,0.047010,0.175751,0.014368,0.000480,0.001408,0.000993,0.000352,0.890371
0.417264,0.017440,0.213193,0.005120,0.047138,0.189735,0.013985,0.000416,0.001504,0.000992,0.000352,0.916388
0.416720,0.017537,0.202888,0.004768,0.046882,0.157638,0.013985,0.000480,0.001440,0.001120,0.000352,0.872226
0.416977,0.017408,0.203495,0.004833,0.046882,0.166534,0.014241,0.000480,0.001408,0.000960,0.000352,0.881795
0.417169,0.017696,0.203240,0.005057,0.047009,0.187624,0.014560,0.000480,0.001409,0.001024,0.000352,0.904388
0.416688,0.017601,0.204008,0.004800,0.046946,0.200872,0.014048,0.000512,0.001408,0.000992,0.000384,0.917572
0.419505,0.017761,0.222664,0.005345,0.047105,0.178951,0.014209,0.000544,0.001408,0.001024,0.000320,0.917892
0.416912,0.017729,0.202760,0.004896,0.047042,0.176359,0.014752,0.000481,0.001472,0.001152,0.000416,0.893795
0.416145,0.017793,0.202375,0.005089,0.047074,0.171750,0.013953,0.000480,0.001472,0.001024,0.000320,0.886051
0.415312,0.017505,0.204232,0.004832,0.046978,0.172903,0.013953,0.000512,0.001472,0.000992,0.000352,0.887587
0.415632,0.017377,0.204264,0.004896,0.047010,0.174503,0.013761,0.000480,0.001440,0.000928,0.000352,0.888963
0.420848,0.017344,0.203208,0.004800,0.047170,0.162631,0.014304,0.000512,0.001472,0.000960,0.000416,0.882082
0.420817,0.017601,0.202824,0.005056,0.047010,0.172550,0.014049,0.000448,0.001440,0.000992,0.000320,0.890435
0.417072,0.017441,0.217672,0.005121,0.047265,0.158727,0.014272,0.000448,0.001408,0.000896,0.000320,0.888707
0.420368,0.020993,0.202600,0.004832,0.047074,0.162887,0.013984,0.000448,0.001376,0.000896,0.000352,0.883426
0.420272,0.017632,0.202792,0.005280,0.046978,0.183560,0.014272,0.000448,0.001408,0.000928,0.000416,0.902339
0.419984,0.018144,0.202024,0.005120,0.047010,0.172455,0.014145,0.000448,0.001344,0.000992,0.000352,0.890051
0.430129,0.017697,0.202920,0.005024,0.047042,0.173959,0.014241,0.000448,0.001440,0.001024,0.000320,0.903748
0.415504,0.017665,0.203400,0.005088,0.047170,0.166726,0.014177,0.000448,0.001440,0.000992,0.000352,0.880994
0.416496,0.017473,0.202728,0.005056,0.046978,0.167942,0.013824,0.000448,0.001440,0.000928,0.000352,0.881442
0.420368,0.017729,0.202984,0.005248,0.046946,0.205768,0.014401,0.000448,0.001376,0.000960,0.000352,0.924900
0.415408,0.017505,0.203720,0.004800,0.046914,0.171527,0.014048,0.000449,0.001440,0.000928,0.000320,0.884675
0.416624,0.017697,0.203944,0.004864,0.046946,0.168423,0.014176,0.000448,0.001440,0.000896,0.000352,0.883554
0.414480,0.017473,0.203528,0.004896,0.046978,0.162087,0.014208,0.000448,0.001408,0.000928,0.000352,0.874690
0.429713,0.017344,0.203496,0.004993,0.047009,0.163879,0.013920,0.000480,0.001408,0.000929,0.000320,0.891683
0.416753,0.017697,0.203272,0.004864,0.047042,0.170790,0.014241,0.000448,0.001536,0.001024,0.000384,0.887747
0.415121,0.017344,0.202856,0.004801,0.046817,0.163847,0.014144,0.000480,0.001440,0.000928,0.000352,0.875907
0.417041,0.017856,0.204809,0.004800,0.046946,0.173062,0.014337,0.000448,0.001440,0.001024,0.000352,0.892035
0.417617,0.017696,0.202983,0.004993,0.047042,0.168678,0.014241,0.000448,0.001472,0.001024,0.000384,0.884259
0.416528,0.017505,0.203368,0.004832,0.047010,0.171655,0.013824,0.000480,0.001408,0.000896,0.000352,0.885475
0.416240,0.017537,0.202760,0.004800,0.046946,0.169735,0.013856,0.000480,0.001409,0.001024,0.000352,0.883171
0.435857,0.017409,0.203656,0.004832,0.047106,0.169830,0.013889,0.000448,0.001376,0.000928,0.000352,0.904131
0.420560,0.017216,0.203016,0.004800,0.046978,0.171367,0.013921,0.000448,0.001440,0.000992,0.000320,0.889763
0.415697,0.017376,0.203112,0.004896,0.047074,0.171335,0.013697,0.000512,0.001440,0.000992,0.000352,0.883555
0.416528,0.017313,0.202920,0.005216,0.047106,0.163559,0.013984,0.000448,0.001408,0.000960,0.000352,0.878626
0.416240,0.017664,0.203144,0.005313,0.046913,0.181191,0.013920,0.000512,0.001472,0.000960,0.000416,0.897507
0.417521,0.017664,0.202664,0.005281,0.046945,0.167047,0.013825,0.000480,0.001408,0.000928,0.000352,0.882467
0.417744,0.017601,0.204488,0.005056,0.046850,0.181671,0.014113,0.000512,0.001440,0.001088,0.000352,0.900131
0.420273,0.017665,0.223144,0.005153,0.047105,0.159911,0.014112,0.000544,0.001440,0.000864,0.000384,0.899587
0.417168,0.017441,0.202984,0.004800,0.047010,0.163687,0.014048,0.000512,0.001472,0.000960,0.000352,0.878818
0.420497,0.017633,0.203048,0.004832,0.047170,0.172166,0.014208,0.000448,0.001536,0.000960,0.000320,0.892259
0.416944,0.017377,0.203752,0.004832,0.046946,0.170567,0.014080,0.000480,0.001536,0.001056,0.000352,0.886466
0.420592,0.017505,0.203464,0.004928,0.047202,0.170471,0.013824,0.000448,0.001536,0.001025,0.000352,0.889443
0.415729,0.017345,0.203944,0.004864,0.046882,0.164006,0.013953,0.000480,0.001472,0.001120,0.000352,0.877795
0.416944,0.017697,0.202696,0.004800,0.047522,0.183367,0.014369,0.000512,0.001472,0.001248,0.000384,0.901155
0.418320,0.017697,0.219977,0.005152,0.047426,0.178727,0.014048,0.000512,0.001504,0.001088,0.000384,0.914915
0.445937,0.017665,0.205896,0.005216,0.049154,0.194056,0.016513,0.000512,0.001536,0.001184,0.000352,0.949285
0.421329,0.017729,0.202984,0.005248,0.048226,0.174887,0.014432,0.000480,0.001568,0.000928,0.000384,0.898307
0.421040,0.017536,0.202984,0.005312,0.048386,0.176999,0.014081,0.000512,0.001536,0.000992,0.000384,0.899075
0.422064,0.017729,0.203144,0.005312,0.048130,0.170503,0.014368,0.000513,0.001600,0.001088,0.000352,0.894499
0.417648,0.017824,0.202760,0.005024,0.047554,0.184743,0.014048,0.000512,0.001504,0.000960,0.000352,0.902499
0.416849,0.017600,0.202216,0.005057,0.047233,0.171879,0.014209,0.000512,0.001600,0.001184,0.000416,0.888739
0.421680,0.017665,0.221897,0.005184,0.047618,0.170151,0.013888,0.000448,0.001600,0.001152,0.000352,0.911459
0.421809,0.017633,0.202952,0.005088,0.047202,0.181703,0.014048,0.000480,0.001504,0.000992,0.000416,0.903268
0.417840,0.017761,0.202952,0.005216,0.047170,0.174503,0.013984,0.000448,0.001440,0.001120,0.000384,0.892002
0.417329,0.017569,0.202952,0.005280,0.046978,0.179527,0.014208,0.000480,0.001472,0.001120,0.000384,0.897059
