Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.395628,0.017920,0.191398,0.004896,0.047938,0.000800,0.013664,0.107939,0.052450,0.064162,0.229159,0.000992,0.910459
0.395979,0.017632,0.191398,0.004864,0.048993,0.000736,0.014209,0.107395,0.038689,0.061314,0.210374,0.000736,0.891642
0.400236,0.017568,0.191910,0.004800,0.048546,0.000800,0.014080,0.108355,0.038658,0.065217,0.215302,0.000736,0.900827
0.395819,0.017825,0.191974,0.005120,0.048097,0.000992,0.013921,0.109923,0.039425,0.067138,0.220230,0.000768,0.902842
0.413516,0.017921,0.191494,0.004832,0.048353,0.000832,0.013953,0.110787,0.045569,0.061986,0.221702,0.000576,0.920667
0.400428,0.017856,0.191686,0.004896,0.048482,0.000768,0.013664,0.105507,0.036065,0.058562,0.203430,0.000672,0.888346
0.400268,0.017600,0.191558,0.005088,0.049121,0.000832,0.013920,0.108259,0.035873,0.058274,0.205318,0.000704,0.891066
0.396204,0.017696,0.191942,0.004960,0.047809,0.000640,0.013729,0.102083,0.036257,0.085251,0.226823,0.000704,0.907067
0.395787,0.017537,0.192134,0.004864,0.048769,0.000800,0.013665,0.110595,0.038625,0.062050,0.214470,0.000672,0.896186
0.399820,0.017505,0.192005,0.004896,0.048066,0.000800,0.013568,0.111268,0.037985,0.059906,0.212679,0.000640,0.897307
0.396012,0.017505,0.192037,0.005057,0.048161,0.000768,0.014272,0.109316,0.038177,0.061218,0.212455,0.000704,0.894555
0.412108,0.017408,0.191526,0.004864,0.048162,0.000736,0.014720,0.106211,0.045762,0.063138,0.217863,0.000608,0.914491
0.396556,0.017697,0.191877,0.004833,0.047809,0.000768,0.013824,0.106436,0.036353,0.059745,0.205670,0.000705,0.887323
0.400396,0.017633,0.191365,0.004833,0.049057,0.000768,0.013953,0.107107,0.037537,0.061090,0.208710,0.000704,0.893979
0.400363,0.017568,0.191718,0.005056,0.048033,0.000576,0.013569,0.108003,0.035969,0.090179,0.238631,0.000704,0.924987
0.402124,0.017792,0.192038,0.004800,0.049378,0.000928,0.013696,0.124516,0.040577,0.066338,0.234503,0.001184,0.923835
