Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.396620,0.017408,0.191686,0.004832,0.048898,0.106051,0.057346,0.063009,0.229766,0.001280,0.000417,0.897403
0.408460,0.018753,0.191557,0.004833,0.047425,0.106019,0.053026,0.059234,0.222087,0.001312,0.000352,0.900731
0.400076,0.018112,0.192774,0.005280,0.049698,0.157732,0.056354,0.061058,0.279176,0.002752,0.000352,0.957340
0.396716,0.017664,0.192710,0.005056,0.048770,0.100483,0.068482,0.056993,0.229606,0.001728,0.000320,0.898746
0.397260,0.017537,0.191589,0.005089,0.048033,0.112099,0.050018,0.085186,0.251367,0.001440,0.000320,0.919100
0.396684,0.017633,0.192389,0.005057,0.048705,0.087203,0.053473,0.057986,0.202118,0.001056,0.000288,0.869210
0.396460,0.017568,0.192102,0.005088,0.049218,0.106499,0.052386,0.059585,0.222214,0.001536,0.000384,0.890810
0.396844,0.017440,0.192294,0.005056,0.048418,0.093474,0.049442,0.059458,0.206214,0.001280,0.000384,0.873562
0.396524,0.035521,0.193094,0.005088,0.047905,0.105444,0.061345,0.059426,0.229703,0.001440,0.000320,0.915963
0.397036,0.017664,0.192326,0.005024,0.047746,0.107907,0.048929,0.058722,0.218982,0.001504,0.000384,0.886362
0.397900,0.017696,0.192454,0.004928,0.047874,0.109283,0.060482,0.064290,0.237383,0.001248,0.000416,0.906171
0.396268,0.017313,0.191909,0.005248,0.047522,0.097667,0.053857,0.058818,0.213766,0.001280,0.000352,0.879290
0.397484,0.017760,0.192102,0.004832,0.047553,0.105955,0.062657,0.067586,0.239751,0.001344,0.000385,0.906715
0.396652,0.017440,0.191814,0.005024,0.047041,0.094147,0.052994,0.057345,0.208135,0.001344,0.000384,0.873786
0.397100,0.017472,0.191782,0.004864,0.047298,0.098243,0.054497,0.056258,0.212230,0.001408,0.000352,0.878010
0.398348,0.017281,0.205062,0.005120,0.047521,0.099235,0.054242,0.061570,0.218727,0.001280,0.000320,0.899739
0.397131,0.017600,0.191750,0.004960,0.047169,0.109956,0.051265,0.060194,0.225063,0.001504,0.000384,0.892442
0.397067,0.017408,0.192198,0.004864,0.047105,0.101603,0.053346,0.060610,0.219559,0.001344,0.000384,0.885274
0.395628,0.017473,0.191973,0.004896,0.047138,0.100931,0.052865,0.058658,0.215622,0.001344,0.000416,0.879962
0.413484,0.017825,0.192614,0.004896,0.047201,0.109891,0.052002,0.060642,0.225607,0.001632,0.000384,0.910235
0.397003,0.017664,0.191750,0.004864,0.047329,0.100259,0.055586,0.062050,0.221383,0.001408,0.000352,0.888314
0.397772,0.017505,0.192325,0.005345,0.048449,0.102371,0.054562,0.057409,0.217734,0.001281,0.000384,0.886395
0.396299,0.017569,0.192614,0.004864,0.047681,0.141956,0.081955,0.058818,0.286665,0.001632,0.000416,0.954908
0.397164,0.017473,0.191973,0.005057,0.047553,0.105379,0.068386,0.065314,0.242375,0.001568,0.000416,0.909211
0.396716,0.017344,0.191302,0.004832,0.047809,0.097315,0.052770,0.059426,0.213095,0.001280,0.000448,0.879162
0.396044,0.017537,0.192485,0.005089,0.047297,0.094723,0.053921,0.057058,0.208998,0.001344,0.000224,0.874842
0.412268,0.017505,0.191910,0.004896,0.048033,0.110020,0.062657,0.067138,0.243495,0.001505,0.000384,0.926812
0.395596,0.017632,0.191942,0.004960,0.047906,0.097090,0.055362,0.062434,0.218086,0.001280,0.000320,0.883258
0.397995,0.017441,0.191782,0.004832,0.048929,0.091587,0.058402,0.063266,0.216679,0.001248,0.000384,0.885242
0.395948,0.017633,0.191973,0.005089,0.048609,0.107587,0.052130,0.083874,0.248071,0.001472,0.000448,0.916571
0.396556,0.017792,0.192294,0.005344,0.047746,0.097795,0.054753,0.058562,0.215142,0.001312,0.000384,0.883194
0.397291,0.017665,0.192038,0.004800,0.047873,0.103779,0.048770,0.058178,0.213895,0.001664,0.000384,0.881530
0.397196,0.017505,0.191941,0.004864,0.047138,0.097955,0.048065,0.057474,0.206790,0.001312,0.000384,0.873018
0.396940,0.017729,0.207270,0.005408,0.047297,0.100867,0.052802,0.062850,0.219687,0.001248,0.000384,0.901755
0.397035,0.017537,0.192230,0.004832,0.047073,0.110276,0.051041,0.060674,0.225191,0.001440,0.000416,0.892282
0.396683,0.017697,0.191782,0.004896,0.047169,0.105891,0.067106,0.058882,0.235527,0.001440,0.000416,0.901402
0.395468,0.017792,0.191622,0.004896,0.047105,0.108452,0.052257,0.060930,0.224967,0.001632,0.000384,0.891290
0.396972,0.017600,0.192102,0.005216,0.047170,0.092674,0.051426,0.057794,0.205350,0.001472,0.000416,0.871834
0.397804,0.017632,0.192070,0.004864,0.047170,0.093058,0.050018,0.056514,0.202950,0.001408,0.000352,0.869818
0.396811,0.017761,0.192966,0.004960,0.047201,0.106499,0.052450,0.060482,0.223015,0.001504,0.000384,0.891322
0.397612,0.017888,0.192262,0.005056,0.061058,0.112163,0.052930,0.059330,0.228167,0.001312,0.000416,0.910939
0.396268,0.017569,0.192037,0.005057,0.047681,0.097027,0.052705,0.056482,0.209702,0.001152,0.000352,0.875066
0.397356,0.017536,0.191622,0.004896,0.046978,0.101219,0.052833,0.061442,0.219206,0.001376,0.000384,0.884666
0.397035,0.017601,0.191558,0.004864,0.047073,0.097667,0.053762,0.072258,0.227175,0.001472,0.000320,0.892666
0.409292,0.017792,0.191622,0.004928,0.047489,0.106371,0.067298,0.061249,0.238311,0.001312,0.000352,0.916667
0.395948,0.017664,0.191942,0.004864,0.047265,0.091619,0.049058,0.056641,0.200806,0.001216,0.000320,0.865625
0.399180,0.017729,0.192102,0.005088,0.047201,0.114083,0.050593,0.060898,0.229287,0.001568,0.000384,0.899931
0.397612,0.017888,0.192742,0.005120,0.047842,0.109315,0.071778,0.069922,0.255015,0.001600,0.000416,0.924795
0.396492,0.017761,0.192645,0.005057,0.048481,0.105123,0.050882,0.061281,0.220742,0.001440,0.000384,0.889051
0.397291,0.017633,0.192550,0.005344,0.049889,0.108131,0.048418,0.061218,0.221255,0.001600,0.000416,0.892378
0.396396,0.017600,0.192550,0.005120,0.047842,0.111619,0.059618,0.061025,0.236070,0.001440,0.000384,0.904443
0.412717,0.017600,0.192934,0.005056,0.048130,0.108035,0.052065,0.063362,0.226918,0.001440,0.000352,0.910971
0.396076,0.017985,0.192357,0.004928,0.048002,0.107939,0.049762,0.060321,0.221478,0.001440,0.000352,0.888570
0.395148,0.017377,0.192645,0.004865,0.048193,0.123620,0.047841,0.061026,0.235847,0.001312,0.000416,0.901595
0.397036,0.017600,0.191878,0.005024,0.047906,0.103075,0.049505,0.069250,0.242343,0.001472,0.000320,0.910171
0.397036,0.017600,0.192358,0.005024,0.047138,0.109027,0.053281,0.061346,0.226886,0.001728,0.000352,0.893466
0.399083,0.017825,0.192294,0.005280,0.047841,0.113380,0.061665,0.061345,0.240391,0.001696,0.000384,0.911930
0.396268,0.017505,0.192165,0.005089,0.047137,0.107267,0.051042,0.060482,0.222471,0.001440,0.000416,0.888699
0.412236,0.017729,0.192069,0.004864,0.047010,0.108483,0.056002,0.060162,0.227751,0.001632,0.000384,0.910139
0.396075,0.017921,0.192710,0.005024,0.047073,0.107875,0.050690,0.061986,0.224327,0.001600,0.000384,0.891642
0.396876,0.017761,0.191589,0.004896,0.047106,0.110243,0.051042,0.059937,0.225222,0.001632,0.000352,0.892443
0.395819,0.017792,0.192006,0.005088,0.047233,0.107299,0.061409,0.112580,0.285161,0.001504,0.000416,0.950844
0.397932,0.017568,0.192774,0.005120,0.047169,0.104228,0.049377,0.060450,0.217351,0.001600,0.000352,0.886106
0.396684,0.017760,0.192261,0.004832,0.047106,0.106371,0.049377,0.060418,0.219590,0.001728,0.000352,0.886330
0.395468,0.017728,0.192262,0.004928,0.047010,0.105123,0.049537,0.060386,0.218438,0.001472,0.000352,0.884026
0.413549,0.017600,0.192422,0.005152,0.047521,0.110500,0.051201,0.061506,0.226535,0.001408,0.000320,0.910267
0.396428,0.017665,0.192485,0.005057,0.047457,0.107107,0.052098,0.062306,0.225447,0.001664,0.000416,0.893563
0.396428,0.017408,0.192710,0.005024,0.050050,0.106627,0.055201,0.059490,0.224806,0.001376,0.000416,0.894298
0.396108,0.017504,0.192678,0.004832,0.047650,0.106787,0.051521,0.080579,0.242791,0.001504,0.000416,0.909659
0.397836,0.017440,0.192358,0.005024,0.047361,0.109540,0.050369,0.060898,0.224231,0.001984,0.000416,0.892602
0.398572,0.017825,0.192486,0.004992,0.047841,0.105155,0.052898,0.060962,0.222631,0.001728,0.000352,0.893115
0.400684,0.017696,0.192582,0.004928,0.047554,0.107363,0.050721,0.061890,0.223238,0.001376,0.000448,0.894682
0.417804,0.017633,0.192453,0.005345,0.048289,0.112163,0.059874,0.064834,0.240423,0.001568,0.000384,0.930939
0.396492,0.017377,0.191557,0.004833,0.049249,0.113123,0.050530,0.061922,0.229287,0.001536,0.000416,0.897211
0.397996,0.017664,0.191718,0.005184,0.048194,0.111043,0.051554,0.061313,0.227206,0.001568,0.000384,0.896027
0.397868,0.017345,0.191846,0.004896,0.050305,0.113348,0.062689,0.081347,0.260712,0.001696,0.000416,0.931644
0.398892,0.017824,0.192518,0.004832,0.048322,0.111107,0.051201,0.061090,0.226790,0.001536,0.000384,0.897594
0.395884,0.017793,0.192165,0.004929,0.048737,0.106179,0.057346,0.059714,0.226727,0.001504,0.000384,0.894107
0.395723,0.017761,0.191974,0.004896,0.047489,0.104931,0.052066,0.061090,0.221735,0.001344,0.000480,0.887514
0.415724,0.017921,0.192422,0.005056,0.047393,0.115524,0.053761,0.064770,0.237703,0.001536,0.000416,0.924731
0.397484,0.017665,0.191909,0.005056,0.047682,0.111363,0.062242,0.063298,0.240999,0.001408,0.000640,0.909595
0.396460,0.017505,0.192421,0.005121,0.048801,0.113475,0.051394,0.061634,0.230119,0.001440,0.000384,0.899035
0.396524,0.017472,0.192550,0.005088,0.047682,0.108867,0.049057,0.084227,0.246919,0.001408,0.000416,0.915451
0.395211,0.017569,0.192198,0.004864,0.048929,0.113540,0.051809,0.062082,0.230855,0.001344,0.000448,0.897818
0.397484,0.017920,0.192230,0.005248,0.047778,0.111363,0.051458,0.063586,0.229767,0.001376,0.000384,0.898459
0.395532,0.017665,0.191941,0.005217,0.048193,0.114659,0.058465,0.061378,0.238375,0.001760,0.000384,0.906043
0.414189,0.017408,0.191718,0.005344,0.047681,0.112388,0.061570,0.061729,0.239431,0.001537,0.000448,0.924316
0.395404,0.017505,0.191973,0.005088,0.047778,0.109603,0.062338,0.065602,0.241191,0.001376,0.000576,0.907067
0.397964,0.017856,0.193574,0.005120,0.048034,0.110339,0.047777,0.059490,0.220998,0.001600,0.000352,0.892250
0.396876,0.017633,0.192357,0.005121,0.047681,0.102723,0.050498,0.087138,0.244519,0.001472,0.000384,0.912731
0.396523,0.017793,0.192742,0.004896,0.047873,0.110532,0.061217,0.059714,0.235303,0.001408,0.000416,0.903418
0.395916,0.017696,0.191910,0.005056,0.048066,0.105475,0.049089,0.065122,0.223270,0.001344,0.000352,0.889274
0.397132,0.017921,0.191685,0.004896,0.048418,0.107747,0.052162,0.059521,0.223142,0.001377,0.000384,0.891195
0.414892,0.017761,0.192165,0.005056,0.047586,0.109475,0.050402,0.063170,0.226983,0.001664,0.000384,0.913083
0.396587,0.017472,0.191942,0.004832,0.047457,0.109348,0.049793,0.059650,0.222023,0.001472,0.000448,0.888346
0.397644,0.017600,0.192166,0.004896,0.047874,0.112835,0.061186,0.064450,0.242279,0.001472,0.000384,0.911259
0.398956,0.017824,0.192101,0.004992,0.048386,0.114723,0.048642,0.072418,0.239719,0.001600,0.000704,0.910843
0.396908,0.017760,0.192294,0.005088,0.047746,0.110531,0.054242,0.058465,0.226790,0.001600,0.000384,0.894938
0.397292,0.017633,0.192869,0.004864,0.050210,0.111587,0.053698,0.059906,0.228839,0.001536,0.000384,0.899995
0.397228,0.017600,0.192582,0.004896,0.047458,0.111779,0.052514,0.062657,0.230790,0.001665,0.000416,0.899163
0.412812,0.017505,0.192837,0.005280,0.048162,0.110691,0.065442,0.064450,0.244519,0.001536,0.000384,0.929371
0.396844,0.017665,0.192389,0.004864,0.047618,0.109411,0.049506,0.059873,0.222278,0.001441,0.000416,0.889947
0.396459,0.017697,0.193094,0.005088,0.048001,0.112387,0.051041,0.061122,0.227719,0.001376,0.000384,0.896250
0.396268,0.017504,0.191814,0.005312,0.047618,0.106915,0.051617,0.061762,0.223942,0.001472,0.000384,0.890330
0.398188,0.018272,0.193382,0.005120,0.048962,0.144740,0.065154,0.061762,0.275400,0.002752,0.000864,0.951228
0.397292,0.018048,0.192614,0.005184,0.048162,0.112931,0.052642,0.061537,0.230726,0.002593,0.000352,0.901339
0.395659,0.017825,0.192838,0.004832,0.048193,0.110212,0.051841,0.059330,0.224935,0.001856,0.000384,0.892666
0.413420,0.017665,0.191782,0.005248,0.049601,0.108356,0.062497,0.060962,0.235143,0.001824,0.000352,0.921147
0.397036,0.017857,0.193445,0.005089,0.049025,0.113667,0.051042,0.060930,0.229031,0.001728,0.000320,0.899899
0.396748,0.017568,0.192326,0.005088,0.048482,0.105187,0.051329,0.059554,0.219654,0.001536,0.000416,0.888218
0.396076,0.017568,0.192774,0.004896,0.049346,0.109315,0.063618,0.065410,0.242375,0.001408,0.000384,0.911227
0.396396,0.017856,0.192710,0.005248,0.047265,0.106500,0.051041,0.058978,0.219847,0.001280,0.000352,0.886650
0.395883,0.017665,0.192326,0.004864,0.048353,0.107203,0.051970,0.060098,0.222631,0.001408,0.000320,0.889690
0.395628,0.017504,0.192710,0.004864,0.047970,0.134852,0.053601,0.060738,0.252615,0.001568,0.000416,0.919707
0.412332,0.017473,0.191942,0.004768,0.047713,0.106787,0.052930,0.058146,0.221351,0.001408,0.000288,0.903771
0.397388,0.017696,0.192358,0.005056,0.047361,0.101891,0.046466,0.057026,0.209159,0.001504,0.000480,0.877402
0.396043,0.017761,0.191814,0.004832,0.047073,0.108803,0.050978,0.059714,0.223015,0.001408,0.000448,0.888602
0.395595,0.017569,0.191462,0.004864,0.047073,0.099523,0.058050,0.059522,0.220167,0.001312,0.000352,0.883802
0.397740,0.017985,0.194181,0.004864,0.047201,0.115844,0.050273,0.061666,0.231495,0.001568,0.000416,0.902715
0.396492,0.017600,0.193222,0.004864,0.047490,0.107587,0.051905,0.060802,0.223654,0.001504,0.000416,0.891642
0.395948,0.017761,0.193477,0.005249,0.047137,0.106243,0.050882,0.064994,0.225735,0.001408,0.000352,0.893051
0.416844,0.017697,0.192613,0.005280,0.047362,0.105027,0.048257,0.066081,0.222886,0.001409,0.000640,0.911195
0.395436,0.017377,0.192357,0.004832,0.047138,0.108739,0.050722,0.060321,0.223174,0.001280,0.000576,0.888283
0.398444,0.017729,0.192774,0.004864,0.047425,0.104355,0.051874,0.059650,0.219591,0.001376,0.000352,0.888635
0.395275,0.017601,0.192294,0.004832,0.046881,0.109283,0.051138,0.059874,0.223431,0.001280,0.000320,0.887258
0.396108,0.018049,0.191973,0.004800,0.047074,0.110883,0.050754,0.060738,0.225639,0.001344,0.000448,0.892411
0.396139,0.017505,0.191686,0.004864,0.047105,0.106691,0.050818,0.060258,0.220775,0.001376,0.000416,0.885722
0.396075,0.017473,0.192102,0.004896,0.047009,0.110307,0.051650,0.061058,0.226055,0.001376,0.000448,0.891386
0.395660,0.017664,0.211942,0.004992,0.047105,0.111491,0.050370,0.059938,0.224967,0.001408,0.000608,0.910971
0.395915,0.017568,0.192038,0.005312,0.047041,0.101475,0.049826,0.063618,0.218311,0.001408,0.000384,0.884122
0.395628,0.017696,0.192006,0.004832,0.047297,0.103395,0.048610,0.057634,0.212935,0.001184,0.000544,0.878010
0.394956,0.017504,0.192134,0.004896,0.046977,0.106756,0.051361,0.059810,0.221351,0.001280,0.000352,0.885370
0.395852,0.017345,0.191813,0.004832,0.047042,0.104003,0.050561,0.059585,0.217702,0.001408,0.000352,0.882618
0.397292,0.017441,0.191877,0.004864,0.047042,0.106307,0.049793,0.059393,0.218758,0.001344,0.000320,0.885146
0.396588,0.017600,0.191814,0.004768,0.047042,0.106211,0.060930,0.064770,0.235079,0.001248,0.000352,0.900059
0.396299,0.017632,0.208134,0.005088,0.047202,0.110883,0.061666,0.066338,0.242471,0.001440,0.000416,0.926043
0.396876,0.017536,0.193798,0.004832,0.047298,0.101155,0.051969,0.057570,0.214438,0.001632,0.000384,0.883258
0.397708,0.017505,0.193254,0.004832,0.047265,0.106755,0.049986,0.059874,0.220391,0.001536,0.000384,0.889051
0.397164,0.017665,0.192517,0.004865,0.047233,0.118275,0.051746,0.060770,0.234343,0.001536,0.000416,0.902139
0.395884,0.017632,0.192710,0.004800,0.047298,0.112675,0.048737,0.058754,0.224198,0.001440,0.000416,0.891194
0.397035,0.017825,0.191942,0.004864,0.047169,0.106083,0.051266,0.061474,0.222567,0.001632,0.000384,0.889787
0.396364,0.017696,0.192486,0.004896,0.047266,0.106083,0.052449,0.061858,0.223654,0.001728,0.000384,0.890490
0.397739,0.017857,0.211910,0.005120,0.047298,0.111011,0.056706,0.060002,0.231303,0.001760,0.000416,0.920379
0.397804,0.017633,0.192293,0.004928,0.047330,0.112067,0.050754,0.059073,0.225510,0.001729,0.000416,0.894683
0.397035,0.017761,0.192262,0.004832,0.047329,0.106307,0.062178,0.060034,0.232295,0.001472,0.000384,0.899770
0.396779,0.017632,0.192710,0.005056,0.047617,0.113796,0.051841,0.060674,0.230055,0.001568,0.000384,0.898842
0.397484,0.017729,0.193285,0.005152,0.048034,0.109571,0.056930,0.060162,0.230279,0.001408,0.000352,0.899995
0.396972,0.017537,0.192709,0.004801,0.048673,0.106371,0.053506,0.059554,0.222919,0.001504,0.000384,0.892123
0.398028,0.017888,0.193222,0.005056,0.047458,0.116131,0.062338,0.066594,0.248743,0.001536,0.000416,0.919003
0.397483,0.017793,0.213798,0.005248,0.048194,0.112067,0.051650,0.060738,0.228423,0.001536,0.000416,0.920635
0.397260,0.017600,0.192230,0.005120,0.047874,0.106563,0.051906,0.060577,0.222822,0.001376,0.000384,0.891482
0.396939,0.017761,0.192390,0.005280,0.048449,0.106820,0.050913,0.059778,0.221127,0.001344,0.000416,0.890298
0.396844,0.017889,0.192421,0.005153,0.047297,0.104739,0.052578,0.060257,0.221351,0.001472,0.000416,0.889211
0.396812,0.017728,0.192358,0.004864,0.047457,0.106404,0.049953,0.061474,0.221287,0.001376,0.000384,0.888346
0.396588,0.017632,0.191814,0.004896,0.047170,0.108995,0.061698,0.060706,0.235079,0.001376,0.000608,0.901019
0.397164,0.017696,0.192806,0.004800,0.047426,0.110755,0.051361,0.062306,0.227974,0.001472,0.000416,0.896378
0.397132,0.035105,0.193222,0.005184,0.047906,0.110531,0.051169,0.061473,0.227366,0.001472,0.000480,0.915420
0.397419,0.017856,0.191846,0.005056,0.048097,0.109156,0.051873,0.060706,0.225095,0.001536,0.000672,0.893946
0.398124,0.017633,0.192198,0.004896,0.047777,0.111779,0.062242,0.060994,0.238631,0.001600,0.000448,0.907707
0.399115,0.017825,0.192518,0.005120,0.047233,0.108772,0.052641,0.061506,0.226919,0.001376,0.000448,0.897370
0.396748,0.017792,0.194342,0.005184,0.048354,0.108035,0.050977,0.060322,0.222982,0.001472,0.000320,0.893018
0.395979,0.017441,0.192326,0.004864,0.048225,0.105859,0.054850,0.059682,0.223943,0.001376,0.000416,0.891098
0.395884,0.017697,0.191941,0.004864,0.047842,0.106339,0.051906,0.062017,0.223846,0.001921,0.000384,0.890587
0.417228,0.017889,0.194118,0.005280,0.049121,0.117572,0.061826,0.066306,0.249064,0.001664,0.000448,0.941500
0.398027,0.017920,0.192934,0.004864,0.048257,0.115172,0.051617,0.061698,0.232199,0.001664,0.000416,0.903002
0.397931,0.017345,0.192742,0.005216,0.047777,0.108740,0.051937,0.060386,0.224711,0.001504,0.000384,0.893946
0.396843,0.017473,0.192646,0.004832,0.047425,0.107555,0.050402,0.077762,0.240103,0.001536,0.000448,0.908154
0.396332,0.017633,0.192613,0.004897,0.047393,0.106723,0.051554,0.060002,0.222183,0.001792,0.000416,0.889595
0.396300,0.017792,0.191974,0.004864,0.047042,0.106787,0.053217,0.060674,0.224390,0.001888,0.000416,0.891098
0.397132,0.017664,0.192454,0.004864,0.047106,0.110947,0.051362,0.059937,0.226310,0.001408,0.000384,0.894298
0.427692,0.017888,0.192390,0.005280,0.047393,0.113828,0.051553,0.063842,0.232967,0.001440,0.000352,0.931451
0.397516,0.017536,0.192710,0.005056,0.047841,0.106884,0.049345,0.059330,0.219399,0.001536,0.000416,0.888890
0.396363,0.017537,0.192614,0.005088,0.048065,0.105667,0.059458,0.060482,0.229351,0.001888,0.000384,0.897530
0.396683,0.017665,0.192422,0.004832,0.048225,0.108067,0.068099,0.101091,0.281481,0.001472,0.000352,0.949660
0.397484,0.017824,0.192134,0.004864,0.047554,0.109763,0.050401,0.060705,0.224646,0.001600,0.000416,0.893178
0.398604,0.017600,0.192582,0.004896,0.047970,0.108195,0.051074,0.062817,0.225926,0.001536,0.000352,0.895707
0.397132,0.017472,0.192486,0.005120,0.047362,0.106787,0.061282,0.061634,0.233159,0.001600,0.000352,0.901147
0.420397,0.017504,0.192998,0.004864,0.048801,0.103364,0.060225,0.060898,0.228455,0.001504,0.000352,0.921371
0.397387,0.017504,0.191910,0.004864,0.047521,0.107524,0.051265,0.060866,0.223143,0.001472,0.000352,0.891130
0.397356,0.017792,0.192486,0.004832,0.047554,0.108099,0.048289,0.059682,0.220102,0.001440,0.000416,0.888858
0.397068,0.017760,0.192582,0.004832,0.047138,0.151844,0.063906,0.064834,0.284520,0.001504,0.000384,0.952252
0.396684,0.017569,0.193093,0.005281,0.048225,0.106627,0.050946,0.062626,0.223527,0.001344,0.000288,0.892091
0.397836,0.017440,0.192422,0.004832,0.048930,0.105123,0.054753,0.063362,0.226982,0.001472,0.000320,0.896410
0.397260,0.017344,0.192166,0.004896,0.048001,0.110308,0.051681,0.060290,0.225959,0.001440,0.000320,0.893786
0.414316,0.017697,0.192486,0.005056,0.048129,0.116900,0.050785,0.061826,0.232903,0.001600,0.000384,0.919035
0.396044,0.017409,0.192325,0.004833,0.047297,0.107651,0.063458,0.061154,0.235879,0.001504,0.000320,0.901979
0.395756,0.017377,0.192517,0.005024,0.048610,0.106659,0.050050,0.062561,0.223046,0.001825,0.000384,0.891323
0.396395,0.017376,0.192678,0.004960,0.061442,0.109475,0.061154,0.066242,0.240487,0.001632,0.000448,0.922523
0.397484,0.017665,0.192581,0.004929,0.047585,0.106819,0.051714,0.060705,0.222919,0.001568,0.000416,0.891387
0.397164,0.017856,0.192454,0.004992,0.048034,0.111011,0.048257,0.058914,0.221670,0.001632,0.000416,0.890554
0.397388,0.017920,0.192358,0.004864,0.047585,0.107940,0.050497,0.062178,0.223975,0.001600,0.000416,0.892570
0.412300,0.017537,0.192421,0.004865,0.048161,0.109923,0.060834,0.065602,0.240007,0.001536,0.000384,0.923131
0.397324,0.017889,0.192581,0.004929,0.048737,0.103363,0.049570,0.059073,0.215718,0.001792,0.000480,0.885691
0.396523,0.017664,0.192646,0.004864,0.047489,0.108036,0.051297,0.068514,0.230919,0.001632,0.000416,0.898266
0.398283,0.017409,0.208262,0.005152,0.047554,0.115683,0.060866,0.064738,0.244839,0.001504,0.000608,0.931163
0.395851,0.017665,0.192198,0.005056,0.048417,0.111107,0.049186,0.060066,0.224007,0.001600,0.000384,0.891738
0.395659,0.017409,0.192005,0.004865,0.047937,0.108899,0.066114,0.059906,0.238791,0.001536,0.000352,0.904922
0.396299,0.017857,0.192454,0.004896,0.047777,0.111908,0.061185,0.064258,0.241191,0.001440,0.000320,0.908410
0.397579,0.017761,0.192070,0.004832,0.047265,0.111171,0.049058,0.058594,0.222791,0.001632,0.000384,0.891226
0.395916,0.017568,0.191813,0.004896,0.047586,0.108515,0.049345,0.058274,0.219718,0.001536,0.000416,0.885626
0.396844,0.017760,0.191430,0.004832,0.047649,0.131620,0.068034,0.060290,0.263560,0.001472,0.000384,0.930171
0.395660,0.017825,0.210310,0.005152,0.047202,0.106243,0.050945,0.063682,0.225030,0.001536,0.000384,0.909851
0.397195,0.017505,0.191494,0.004928,0.047265,0.110947,0.062178,0.065794,0.242631,0.001536,0.000384,0.909434
0.395787,0.017472,0.191494,0.004832,0.047201,0.107363,0.051714,0.060706,0.223303,0.001568,0.000416,0.888570
