Layer[0],Layer[1],Layer[2],IN[3],INFER[3-8],OUT[8],TEE[3-8],Layer[9],Layer[10],classifier
0.396268,0.017408,0.191782,0.130788,0.103395,0.062114,0.300041,0.001248,0.000384,0.912315
0.396108,0.017312,0.191814,0.125476,0.103459,0.063586,0.296073,0.001248,0.000384,0.908699
0.396236,0.017376,0.192070,0.133508,0.102499,0.064194,0.304361,0.001312,0.000384,0.917243
0.396652,0.017280,0.191622,0.138276,0.101891,0.063906,0.307561,0.001280,0.000384,0.920219
0.396876,0.017377,0.191813,0.140517,0.102659,0.065474,0.312266,0.001152,0.000384,0.925212
0.417580,0.017793,0.193958,0.135204,0.116483,0.066530,0.321641,0.001472,0.000352,0.959260
0.396620,0.017440,0.192070,0.135076,0.106979,0.065730,0.311241,0.001248,0.000384,0.924955
0.396268,0.017632,0.192006,0.143396,0.105283,0.064193,0.316201,0.001248,0.000353,0.929500
0.396908,0.017601,0.192037,0.120196,0.115811,0.078179,0.317706,0.001344,0.000416,0.932156
0.396588,0.017440,0.191910,0.132292,0.105123,0.062370,0.303113,0.001376,0.000448,0.916219
0.396844,0.017472,0.191558,0.124996,0.100483,0.061633,0.290504,0.001441,0.000352,0.903643
0.396108,0.017633,0.191813,0.141861,0.106787,0.072450,0.324394,0.001248,0.000384,0.936956
0.413548,0.017441,0.191685,0.132484,0.114532,0.066210,0.316874,0.001280,0.000416,0.946204
0.396235,0.017217,0.191622,0.144036,0.101923,0.062370,0.312041,0.001152,0.000384,0.923963
0.396460,0.017568,0.191558,0.136292,0.108227,0.062242,0.310441,0.001280,0.000352,0.923515
0.396108,0.017761,0.191653,0.147077,0.103235,0.064546,0.318506,0.001216,0.000384,0.930716
0.395819,0.017632,0.191718,0.141508,0.102979,0.062914,0.311145,0.001248,0.000416,0.923323
0.396268,0.017696,0.191462,0.139204,0.120900,0.064866,0.328810,0.001184,0.000352,0.941372
0.396396,0.017568,0.191782,0.142116,0.101123,0.060898,0.307785,0.001184,0.000384,0.920443
0.396012,0.017441,0.191909,0.138085,0.111779,0.064546,0.317962,0.001280,0.000384,0.930940
0.395691,0.017504,0.191430,0.132772,0.102819,0.064354,0.302953,0.001248,0.000416,0.914331
0.395883,0.017408,0.191398,0.127011,0.116451,0.061954,0.308617,0.001312,0.000416,0.920379
0.396236,0.017568,0.207750,0.128100,0.114116,0.063010,0.308522,0.001216,0.000480,0.937276
0.396140,0.017345,0.191717,0.134596,0.102883,0.063330,0.304361,0.001472,0.000448,0.916859
0.395660,0.017505,0.191749,0.131236,0.102755,0.062402,0.299721,0.001312,0.000512,0.912123
0.399724,0.017601,0.191781,0.134052,0.103139,0.065858,0.306569,0.001377,0.000384,0.922396
0.396620,0.017600,0.192198,0.138948,0.103075,0.063522,0.309193,0.001408,0.000416,0.923355
0.397004,0.017568,0.192134,0.140356,0.114756,0.064994,0.323626,0.001152,0.000384,0.937852
0.396268,0.017472,0.191750,0.137444,0.102435,0.063138,0.306249,0.001312,0.000384,0.919451
0.413292,0.017409,0.191845,0.140741,0.103971,0.065954,0.314282,0.001344,0.000416,0.944156
0.396171,0.017472,0.192102,0.131396,0.105539,0.065218,0.305321,0.001376,0.000288,0.918075
0.396043,0.017569,0.191974,0.128419,0.101506,0.069154,0.302377,0.001408,0.000384,0.915451
0.396427,0.017633,0.192134,0.148292,0.120292,0.076642,0.348970,0.001440,0.000480,0.962940
0.396332,0.017440,0.191814,0.125188,0.113187,0.063426,0.304745,0.001504,0.000384,0.917307
0.396012,0.017600,0.191878,0.125924,0.102339,0.061730,0.293129,0.001216,0.000416,0.905531
0.396267,0.017537,0.192582,0.131556,0.115171,0.065474,0.315881,0.001184,0.000352,0.929531
0.429933,0.017824,0.191686,0.144164,0.119524,0.064194,0.331242,0.001216,0.000416,0.978333
0.396332,0.017600,0.192454,0.145700,0.102211,0.064962,0.316553,0.001216,0.000416,0.930907
0.395788,0.017440,0.192134,0.134884,0.106275,0.064962,0.309321,0.001216,0.000384,0.921787
0.395756,0.017345,0.207718,0.132356,0.120291,0.065186,0.321417,0.001280,0.000320,0.949756
0.396076,0.017441,0.192069,0.132164,0.101251,0.063298,0.300233,0.001408,0.000384,0.913403
0.396396,0.017377,0.192293,0.139461,0.105955,0.062882,0.311658,0.001312,0.000352,0.925532
0.395755,0.017440,0.192102,0.133668,0.106307,0.068994,0.312361,0.001344,0.000352,0.925115
0.395980,0.017760,0.191558,0.135748,0.107491,0.065538,0.312137,0.001344,0.000416,0.924859
0.397483,0.017376,0.192038,0.134404,0.106371,0.068706,0.312777,0.001408,0.000416,0.927419
0.396172,0.017376,0.192230,0.132548,0.104419,0.064162,0.305001,0.001472,0.000384,0.918331
0.434573,0.017697,0.192229,0.145253,0.121027,0.065666,0.335722,0.001664,0.000416,0.989085
0.396716,0.017537,0.192069,0.137316,0.107172,0.065922,0.314570,0.001600,0.000480,0.930236
0.396652,0.017601,0.192101,0.137540,0.108612,0.065058,0.314442,0.001376,0.000416,0.928316
0.396172,0.017632,0.192070,0.167621,0.123972,0.067074,0.363083,0.001536,0.000416,0.976861
0.396364,0.017632,0.191750,0.131780,0.106947,0.063458,0.305705,0.001504,0.000416,0.918779
0.396715,0.017665,0.191686,0.127555,0.102467,0.063426,0.296936,0.001440,0.000480,0.910778
0.396204,0.017601,0.191685,0.134564,0.119492,0.064866,0.322218,0.001472,0.000416,0.935164
0.396171,0.017537,0.191974,0.127203,0.114500,0.064290,0.309097,0.001408,0.000416,0.922459
0.396427,0.017600,0.191302,0.136612,0.106979,0.065986,0.313033,0.001344,0.000448,0.926267
0.396492,0.017473,0.191973,0.129028,0.103939,0.063586,0.299785,0.001376,0.000416,0.913851
0.396587,0.052385,0.192422,0.140068,0.109475,0.065186,0.318185,0.001312,0.000448,0.968060
0.396843,0.017985,0.191782,0.137092,0.108643,0.067298,0.316489,0.001472,0.000448,0.931260
0.396139,0.017921,0.191878,0.135844,0.107971,0.067106,0.314121,0.001376,0.000448,0.927451
0.396204,0.017409,0.192293,0.144005,0.131235,0.086466,0.365355,0.001504,0.000384,0.978685
0.396588,0.017441,0.191909,0.135428,0.105828,0.065890,0.310538,0.001504,0.000384,0.923772
0.396332,0.017760,0.191910,0.137156,0.105443,0.066850,0.313929,0.001504,0.000416,0.928475
0.396299,0.017601,0.191942,0.133764,0.106915,0.066306,0.310921,0.001408,0.000384,0.924507
0.412813,0.017664,0.191910,0.127268,0.104899,0.067682,0.303625,0.001536,0.000448,0.933852
0.395595,0.017569,0.192006,0.112451,0.116963,0.062882,0.297064,0.001088,0.000384,0.908282
0.396747,0.017473,0.191974,0.133956,0.112451,0.068162,0.317769,0.001344,0.000320,0.930267
0.395275,0.017569,0.224038,0.131427,0.114180,0.066850,0.315850,0.001120,0.000384,0.959388
0.397516,0.017345,0.191621,0.127652,0.100579,0.062658,0.294217,0.001280,0.000288,0.908155
0.396331,0.017377,0.191526,0.115811,0.109027,0.062210,0.290440,0.001216,0.000384,0.902266
0.395948,0.017409,0.191717,0.115524,0.102659,0.061698,0.283177,0.001216,0.000352,0.894139
0.411597,0.017568,0.191590,0.132452,0.110467,0.063778,0.310313,0.001248,0.000320,0.938204
0.395883,0.017569,0.191365,0.125220,0.110851,0.059585,0.299113,0.001440,0.000384,0.910202
0.396587,0.017505,0.192422,0.120259,0.103011,0.060450,0.287112,0.001184,0.000320,0.899450
0.395468,0.017537,0.191557,0.123620,0.101219,0.060322,0.288489,0.001056,0.000352,0.898683
0.397356,0.017632,0.193094,0.146117,0.105923,0.065954,0.321450,0.001408,0.000384,0.937820
0.396620,0.017440,0.192358,0.135940,0.105795,0.065410,0.310857,0.001536,0.000480,0.925467
0.396140,0.017601,0.192518,0.134916,0.103491,0.065698,0.307433,0.001408,0.000448,0.922236
0.396459,0.017633,0.192070,0.138468,0.107299,0.067170,0.316681,0.001376,0.000512,0.931003
0.396299,0.017441,0.192070,0.136612,0.105699,0.065506,0.311785,0.001472,0.000320,0.926107
0.396844,0.017793,0.192037,0.135364,0.106243,0.071075,0.316458,0.001600,0.000384,0.930684
0.417132,0.017664,0.192230,0.137988,0.104675,0.063490,0.309545,0.001376,0.000416,0.944700
0.396012,0.017569,0.192005,0.130372,0.113988,0.065505,0.313674,0.001376,0.000448,0.926908
0.396364,0.017569,0.191909,0.136580,0.107748,0.064737,0.313098,0.001440,0.000416,0.926684
0.396108,0.017664,0.192262,0.131108,0.128548,0.077378,0.340586,0.001312,0.000384,0.953820
0.396044,0.017633,0.192037,0.145477,0.110115,0.063618,0.322474,0.001440,0.000416,0.936764
0.396108,0.017632,0.192134,0.132996,0.106083,0.064674,0.307049,0.001440,0.000384,0.920571
0.396907,0.017472,0.191558,0.146244,0.114691,0.064834,0.329161,0.001504,0.000384,0.942684
0.409420,0.017697,0.192101,0.144069,0.112227,0.065954,0.327306,0.001440,0.000352,0.954524
0.396492,0.017537,0.192229,0.136837,0.105123,0.065890,0.311690,0.001440,0.000512,0.925756
0.396204,0.017568,0.191846,0.120163,0.105796,0.063137,0.292873,0.001408,0.000384,0.905883
0.395915,0.017697,0.208934,0.138212,0.112004,0.066658,0.320906,0.001472,0.000352,0.952028
0.396620,0.017569,0.192133,0.136100,0.105923,0.064706,0.310313,0.001408,0.000480,0.923995
0.396267,0.017537,0.191878,0.136228,0.117219,0.064578,0.321961,0.001376,0.000384,0.935163
0.396652,0.017601,0.191525,0.141060,0.107971,0.083938,0.336906,0.001440,0.000480,0.950428
0.396076,0.017440,0.192006,0.136964,0.106691,0.065154,0.312265,0.001184,0.000384,0.925851
0.396171,0.017793,0.192230,0.139428,0.107363,0.064642,0.315081,0.001440,0.000416,0.929275
0.398412,0.017793,0.192389,0.136644,0.104035,0.064738,0.308713,0.001248,0.000480,0.925179
0.412972,0.017793,0.192741,0.130468,0.112675,0.068834,0.315722,0.001376,0.000384,0.947132
0.396395,0.017537,0.191654,0.122563,0.111588,0.062305,0.299944,0.001441,0.000416,0.913307
0.395659,0.017409,0.191526,0.134308,0.108387,0.063586,0.309769,0.001280,0.000416,0.921723
0.398476,0.017665,0.192101,0.156997,0.122628,0.064321,0.347786,0.001217,0.000384,0.963133
0.395884,0.017505,0.191685,0.135268,0.104452,0.062785,0.305481,0.001312,0.000352,0.917308
0.395915,0.017601,0.191622,0.123939,0.102915,0.062626,0.292616,0.001280,0.000416,0.905146
0.396044,0.017473,0.191973,0.132164,0.104227,0.062786,0.302473,0.001280,0.000352,0.915195
0.411949,0.017376,0.192614,0.127300,0.112483,0.064290,0.308617,0.001376,0.000416,0.938236
0.395692,0.017441,0.191845,0.130436,0.103203,0.063490,0.300585,0.001248,0.000416,0.912635
0.395820,0.017600,0.191654,0.136932,0.122500,0.063490,0.326634,0.001280,0.000416,0.938652
0.395916,0.017536,0.210182,0.122404,0.113987,0.063106,0.302889,0.001280,0.000384,0.934331
0.395819,0.017473,0.192101,0.119587,0.101763,0.062050,0.286953,0.001216,0.000448,0.899354
0.396012,0.017409,0.191749,0.105699,0.104516,0.062977,0.277256,0.001280,0.000352,0.889691
0.396075,0.017409,0.191462,0.135460,0.106563,0.064290,0.309737,0.001184,0.000352,0.921307
0.396428,0.017440,0.191718,0.125892,0.105571,0.062306,0.296905,0.001280,0.000416,0.909595
0.396492,0.017536,0.192390,0.134948,0.104611,0.062658,0.305193,0.001280,0.000384,0.918683
0.396972,0.017344,0.191718,0.125476,0.103939,0.062786,0.295529,0.001536,0.000480,0.909147
0.426061,0.017920,0.192134,0.136036,0.103971,0.062338,0.305513,0.001280,0.000416,0.949436
0.396428,0.017889,0.192197,0.136804,0.105347,0.065442,0.310793,0.001440,0.000352,0.924539
0.397356,0.017761,0.192517,0.131972,0.107396,0.065122,0.308362,0.001440,0.000384,0.923772
0.397676,0.017600,0.192326,0.133476,0.121316,0.070274,0.328362,0.001440,0.000448,0.943516
0.396556,0.017472,0.191750,0.134020,0.106243,0.064450,0.307753,0.001152,0.000384,0.920731
0.396524,0.017632,0.192038,0.133860,0.117508,0.063330,0.318314,0.001312,0.000608,0.931676
0.396651,0.017376,0.191494,0.132740,0.101475,0.061250,0.299209,0.001184,0.000416,0.911675
0.415148,0.017665,0.192453,0.143845,0.114755,0.065154,0.326922,0.001408,0.000480,0.959772
0.396652,0.017376,0.191654,0.125892,0.103587,0.061954,0.294857,0.001280,0.000672,0.908155
0.396747,0.017537,0.192646,0.126371,0.101283,0.072419,0.303081,0.001312,0.000384,0.916763
0.396428,0.017665,0.191717,0.144517,0.102787,0.061762,0.312618,0.001376,0.000384,0.925436
0.395628,0.017409,0.192005,0.133668,0.104451,0.063521,0.304777,0.001216,0.000416,0.917468
0.396779,0.017889,0.191814,0.123363,0.106467,0.064354,0.298184,0.001312,0.000352,0.911994
0.396876,0.017377,0.192421,0.134403,0.116227,0.064898,0.319178,0.001216,0.000512,0.933244
0.396748,0.017633,0.191909,0.121572,0.113731,0.064130,0.302953,0.001248,0.000384,0.916123
0.396652,0.017344,0.192038,0.127716,0.103107,0.063010,0.297385,0.001216,0.000352,0.910139
0.397260,0.017536,0.191654,0.122051,0.103780,0.063265,0.292328,0.001408,0.000384,0.906107
0.396395,0.017569,0.209254,0.136484,0.119300,0.063426,0.322890,0.001216,0.000416,0.953820
0.395756,0.017345,0.191525,0.121668,0.101891,0.062722,0.289673,0.001184,0.000384,0.901339
0.398188,0.017632,0.193798,0.131492,0.112259,0.068066,0.315113,0.001504,0.000416,0.932475
0.397516,0.017441,0.192389,0.137925,0.121763,0.063938,0.326858,0.001344,0.000448,0.941628
0.396300,0.017600,0.192006,0.121955,0.104067,0.062305,0.291881,0.001280,0.000352,0.905179
0.396363,0.017345,0.191686,0.134532,0.104163,0.062754,0.304713,0.001376,0.000416,0.918011
0.396012,0.017408,0.192006,0.133700,0.104867,0.063586,0.305449,0.001312,0.000384,0.918043
0.412940,0.017505,0.191750,0.126947,0.118884,0.062626,0.311497,0.001376,0.000416,0.941212
