Layer[0],IN[1],INFER[1-10],OUT[10],TEE[1-10],classifier
0.409516,0.191654,0.626291,0.070274,0.892507,1.306215
0.396620,0.169413,0.614514,0.070626,0.859065,1.260165
0.394892,0.167973,0.611090,0.069826,0.853465,1.252741
0.396460,0.168997,0.610354,0.072162,0.856185,1.257285
0.395436,0.167045,0.608850,0.070338,0.850233,1.249861
0.396428,0.142660,0.631987,0.082722,0.861849,1.262245
0.395628,0.166949,0.608722,0.069666,0.849945,1.249669
0.397964,0.183941,0.609490,0.068578,0.865946,1.268326
0.416140,0.159557,0.621426,0.075394,0.860505,1.282118
0.396043,0.165540,0.624435,0.069730,0.863898,1.264389
0.395947,0.158149,0.612082,0.069410,0.843801,1.243748
0.395851,0.182469,0.608466,0.068130,0.862937,1.263109
0.395596,0.181157,0.610770,0.067874,0.863673,1.263525
0.395020,0.155652,0.621011,0.070210,0.850553,1.249285
0.395596,0.176869,0.608658,0.066946,0.856473,1.255845
0.394924,0.159493,0.610194,0.070082,0.843673,1.242821
0.412428,0.149668,0.622803,0.069538,0.845753,1.262085
0.395723,0.149188,0.606194,0.070946,0.830104,1.229924
0.395052,0.160836,0.609010,0.070210,0.844025,1.245125
0.396012,0.158533,0.608530,0.067842,0.838841,1.239365
0.395915,0.147557,0.607762,0.065666,0.824921,1.224740
0.395628,0.159077,0.622418,0.075618,0.861081,1.260677
0.395340,0.146692,0.609330,0.067266,0.827448,1.227172
0.395468,0.162564,0.608466,0.067650,0.842489,1.242117
0.396364,0.163749,0.615218,0.067490,0.851289,1.251557
0.394924,0.145732,0.606897,0.069474,0.826073,1.225221
0.395948,0.155173,0.608082,0.067490,0.834361,1.234149
0.415244,0.159493,0.616594,0.067938,0.847641,1.267589
0.395980,0.161893,0.610418,0.069762,0.846137,1.246789
0.396428,0.160196,0.628147,0.092995,0.885434,1.285926
0.395532,0.155301,0.606834,0.069538,0.835353,1.234565
0.396171,0.191174,0.606642,0.067970,0.869818,1.270309
0.395500,0.181285,0.610770,0.074914,0.871065,1.271141
0.395596,0.166981,0.606898,0.066338,0.844281,1.244421
0.395435,0.160036,0.609266,0.068098,0.841529,1.240996
0.424076,0.161829,0.621491,0.069986,0.857242,1.285606
0.396076,0.167333,0.623250,0.069602,0.863994,1.263974
0.396876,0.158693,0.638771,0.088898,0.890554,1.291654
0.395788,0.167141,0.608978,0.070402,0.850969,1.251589
0.395371,0.188901,0.611282,0.069986,0.874073,1.273285
0.395852,0.184677,0.626515,0.072386,0.888346,1.288582
0.398764,0.172133,0.615123,0.072770,0.864442,1.267142
0.396492,0.167333,0.610322,0.071394,0.853177,1.253829
0.395980,0.167621,0.621810,0.070467,0.863962,1.263878
0.396652,0.167717,0.613650,0.070883,0.856602,1.257798
