Layer[0],IN[1],INFER[1-6],OUT[6],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396172,0.168165,0.632979,0.088162,0.893402,0.000704,0.002336,0.001184,0.000416,1.301062
0.395948,0.169253,0.605714,0.068866,0.848185,0.000672,0.002336,0.001184,0.000384,1.253925
0.395628,0.168965,0.615954,0.067554,0.856281,0.000736,0.002368,0.001216,0.000416,1.262725
0.395916,0.173989,0.613683,0.065250,0.856986,0.000704,0.002432,0.001088,0.000384,1.263334
0.396715,0.168261,0.603793,0.065890,0.842232,0.000768,0.002497,0.001184,0.000800,1.250149
0.397612,0.198374,0.623410,0.068770,0.895194,0.000800,0.002624,0.001312,0.000704,1.304806
0.396556,0.165221,0.603922,0.065506,0.838777,0.000768,0.002528,0.001120,0.000352,1.245733
0.396428,0.169861,0.613650,0.068642,0.856409,0.000768,0.002592,0.001216,0.000608,1.264677
0.395660,0.172165,0.622643,0.069730,0.868730,0.000800,0.002624,0.001152,0.000352,1.275526
0.396780,0.170885,0.605746,0.068578,0.849369,0.000768,0.002656,0.001056,0.000416,1.256965
0.396396,0.168325,0.607410,0.069474,0.848985,0.000736,0.002336,0.001152,0.000608,1.256102
0.414157,0.167941,0.605298,0.067106,0.844825,0.000800,0.002496,0.001024,0.000608,1.270054
0.396204,0.191398,0.605297,0.065985,0.866810,0.000704,0.002464,0.001120,0.000608,1.273990
0.396108,0.165605,0.623059,0.068482,0.861242,0.000704,0.002624,0.001280,0.000384,1.268582
0.396747,0.148100,0.603378,0.066338,0.822360,0.000704,0.002336,0.001152,0.000608,1.231364
0.397388,0.155045,0.617682,0.068674,0.846137,0.000800,0.002656,0.001152,0.000384,1.254469
0.395916,0.169157,0.650515,0.072194,0.896251,0.000768,0.002496,0.001024,0.000384,1.303207
0.396172,0.167973,0.621747,0.069794,0.863770,0.000768,0.002752,0.001088,0.000608,1.271814
0.395884,0.169541,0.604882,0.065762,0.844313,0.000704,0.002240,0.001184,0.000416,1.251205
0.396140,0.168869,0.615347,0.073922,0.862330,0.000736,0.002112,0.001088,0.000544,1.269030
0.396780,0.167397,0.606322,0.066370,0.844505,0.000768,0.002368,0.001120,0.000608,1.251461
0.396332,0.168325,0.640275,0.077474,0.890330,0.000864,0.002432,0.001248,0.000576,1.298215
0.396620,0.168485,0.606450,0.066946,0.846681,0.000768,0.002560,0.001088,0.000576,1.254661
0.396140,0.156069,0.621554,0.066050,0.848217,0.000704,0.002496,0.001216,0.000896,1.255333
0.409356,0.170725,0.623251,0.067202,0.865754,0.000736,0.002656,0.001216,0.000608,1.286630
0.396748,0.169637,0.606066,0.070370,0.850233,0.000800,0.002592,0.001152,0.000608,1.259013
0.396620,0.157477,0.616178,0.067682,0.845369,0.000800,0.002464,0.001184,0.000384,1.270598
0.396460,0.170853,0.606034,0.066562,0.847929,0.000800,0.002401,0.001248,0.000608,1.256006
0.395723,0.168037,0.615794,0.073282,0.861337,0.000832,0.002560,0.001024,0.000416,1.268965
0.396140,0.168453,0.623315,0.076002,0.872122,0.000704,0.002464,0.001120,0.000416,1.279078
0.396044,0.166341,0.606802,0.071714,0.849177,0.000704,0.002272,0.001024,0.000576,1.256485
0.397388,0.175461,0.610738,0.069890,0.861273,0.000832,0.002433,0.001216,0.000384,1.270438
0.412620,0.169733,0.617746,0.067938,0.859513,0.000769,0.002592,0.001216,0.000416,1.282918
0.397387,0.197349,0.604146,0.066562,0.872281,0.000704,0.002528,0.001121,0.000864,1.281126
0.396588,0.154084,0.615763,0.075266,0.849241,0.000768,0.002656,0.001184,0.000384,1.257093
0.397068,0.188806,0.601778,0.064162,0.858906,0.000704,0.002752,0.001184,0.000640,1.267238
0.395660,0.163973,0.605202,0.064386,0.837497,0.000672,0.002784,0.001280,0.000608,1.244005
0.396619,0.181765,0.621586,0.067170,0.874393,0.000736,0.002689,0.001312,0.000416,1.282502
0.396524,0.197542,0.602834,0.063746,0.867770,0.000704,0.002144,0.001120,0.000352,1.273926
0.395499,0.163525,0.621843,0.065890,0.855610,0.000736,0.002336,0.001056,0.000352,1.262309
0.395596,0.172677,0.604562,0.066178,0.847417,0.000736,0.002176,0.001056,0.000384,1.253253
0.395628,0.168773,0.605810,0.065634,0.844057,0.000672,0.002304,0.001120,0.000352,1.250085
0.395980,0.163045,0.619538,0.079650,0.866458,0.001056,0.005248,0.001152,0.000832,1.277094
0.396108,0.194054,0.604274,0.076610,0.879066,0.000768,0.002144,0.001120,0.000800,1.285574
0.397676,0.163813,0.605650,0.066434,0.840153,0.000768,0.002592,0.001280,0.000832,1.249861
0.432237,0.192581,0.605810,0.065666,0.868089,0.000704,0.002336,0.001088,0.000832,1.311719
0.396300,0.161380,0.603857,0.065154,0.835096,0.000704,0.002785,0.001248,0.000384,1.242725
0.396140,0.168325,0.605874,0.065250,0.843257,0.000576,0.002208,0.001120,0.000320,1.249221
0.396620,0.179973,0.614450,0.065794,0.863961,0.000704,0.002144,0.001185,0.000576,1.270662
0.396268,0.195174,0.606354,0.067106,0.872218,0.000672,0.003136,0.001216,0.000832,1.279526
0.395755,0.195302,0.622355,0.070498,0.892923,0.000640,0.002784,0.001280,0.000640,1.299558
0.395627,0.163045,0.606418,0.071938,0.845145,0.000704,0.002177,0.001280,0.000384,1.251493
0.395916,0.165957,0.603698,0.074050,0.847545,0.000736,0.004992,0.001152,0.000416,1.256709
0.411916,0.163813,0.613010,0.065250,0.846009,0.000704,0.002240,0.001088,0.000576,1.268517
0.396780,0.169093,0.603026,0.065282,0.841561,0.000800,0.002592,0.001408,0.000448,1.250245
0.396043,0.155588,0.620051,0.073378,0.852761,0.000704,0.002816,0.001216,0.000576,1.259909
0.395595,0.166597,0.602578,0.064418,0.837593,0.000640,0.002304,0.001216,0.000352,1.242916
0.395212,0.165509,0.602865,0.064418,0.836664,0.000704,0.002496,0.001120,0.000384,1.242085
0.395564,0.197798,0.619666,0.075074,0.897466,0.000704,0.002496,0.001152,0.000384,1.304614
0.395372,0.160164,0.601234,0.063938,0.829464,0.000672,0.005088,0.001152,0.000448,1.238276
0.396203,0.191941,0.601650,0.063650,0.861177,0.000672,0.002720,0.001152,0.000352,1.267621
0.412173,0.153028,0.611826,0.066498,0.835480,0.000768,0.002305,0.001088,0.000608,1.258502
0.395948,0.150532,0.599026,0.063938,0.817016,0.000704,0.002112,0.001088,0.000352,1.221796
0.395883,0.166340,0.632946,0.079939,0.883002,0.001024,0.004448,0.001056,0.000384,1.291878
0.397868,0.170501,0.604434,0.068642,0.847833,0.000736,0.002304,0.001248,0.000384,1.256357
0.395788,0.152132,0.602130,0.064354,0.822872,0.000704,0.002176,0.001120,0.000416,1.229124
0.395660,0.164260,0.629010,0.074626,0.871769,0.000704,0.002625,0.001280,0.000800,1.278182
0.395948,0.150212,0.601490,0.065314,0.821144,0.000768,0.002432,0.001120,0.000352,1.226916
0.395084,0.166149,0.603409,0.065122,0.838488,0.000704,0.002273,0.001088,0.000384,1.242629
0.412813,0.164836,0.602353,0.073987,0.844825,0.001024,0.002272,0.001056,0.000352,1.268678
0.395372,0.151748,0.600818,0.067202,0.824056,0.000672,0.003072,0.001152,0.000384,1.230500
0.396204,0.164581,0.631602,0.077091,0.877178,0.000704,0.002176,0.001120,0.000704,1.282918
0.396012,0.167557,0.605106,0.065250,0.841689,0.000736,0.002176,0.001088,0.000384,1.247397
0.397004,0.153125,0.600497,0.063265,0.820632,0.000928,0.002337,0.000928,0.000352,1.227813
0.398860,0.169989,0.622963,0.078306,0.876154,0.000768,0.002528,0.001216,0.000480,1.286694
0.396555,0.166181,0.618515,0.065826,0.854810,0.000672,0.002368,0.001120,0.000608,1.261349
0.396428,0.166981,0.617874,0.065889,0.855225,0.000672,0.002240,0.001280,0.000768,1.262310
0.416525,0.164901,0.612754,0.069122,0.850617,0.000704,0.002912,0.001088,0.000416,1.278438
0.395596,0.146181,0.601009,0.065698,0.816856,0.000992,0.004417,0.000992,0.000384,1.224549
0.395660,0.161477,0.618802,0.073091,0.858778,0.000704,0.004640,0.000928,0.000416,1.267334
0.396556,0.172517,0.602962,0.062690,0.842233,0.000672,0.002176,0.001120,0.000576,1.248965
0.396428,0.159045,0.602258,0.064514,0.829369,0.000608,0.002048,0.000960,0.000352,1.235557
0.396843,0.142820,0.615122,0.069698,0.831480,0.000640,0.002304,0.001024,0.000608,1.238436
0.395819,0.160965,0.602258,0.063746,0.830777,0.000736,0.005152,0.001088,0.000352,1.238981
0.396524,0.168069,0.603442,0.066562,0.842105,0.000768,0.002688,0.001184,0.000352,1.249509
0.411404,0.150756,0.616819,0.063458,0.834969,0.000704,0.002208,0.001056,0.000576,1.256933
0.395820,0.151268,0.601586,0.063522,0.819992,0.000640,0.002272,0.000992,0.000576,1.224836
0.396875,0.140773,0.613458,0.079170,0.837593,0.001024,0.005184,0.001185,0.000704,1.249285
0.396171,0.159333,0.601234,0.063010,0.827449,0.000672,0.002752,0.001056,0.000352,1.233220
0.396460,0.158084,0.603250,0.068514,0.833784,0.000704,0.003040,0.001025,0.000608,1.242853
0.396268,0.169189,0.621075,0.084930,0.879866,0.000704,0.002816,0.001248,0.000832,1.288423
0.396908,0.171973,0.602450,0.064194,0.842617,0.000640,0.002176,0.001056,0.000384,1.249413
0.395500,0.185445,0.605074,0.063554,0.858297,0.000608,0.002144,0.000992,0.000416,1.262789
0.425516,0.161541,0.623026,0.073794,0.862906,0.001088,0.003008,0.001152,0.000896,1.299974
0.395851,0.173606,0.600433,0.062274,0.840185,0.000640,0.002240,0.001152,0.000800,1.246725
0.396075,0.160676,0.600786,0.090563,0.856730,0.000960,0.005184,0.001184,0.000704,1.267653
0.395532,0.162277,0.613106,0.109571,0.888634,0.000672,0.003040,0.001088,0.000417,1.295687
0.396939,0.176421,0.612306,0.064482,0.857241,0.000704,0.002304,0.001120,0.000864,1.265733
0.398444,0.170981,0.624307,0.078050,0.880058,0.001024,0.003264,0.001249,0.000672,1.293159
0.396363,0.145093,0.604978,0.066754,0.820889,0.000704,0.002496,0.001120,0.000608,1.228068
0.396268,0.203654,0.605010,0.067778,0.880602,0.000704,0.002497,0.001184,0.000576,1.288679
0.412461,0.207590,0.615218,0.069186,0.896538,0.000704,0.002304,0.001184,0.000609,1.320392
0.396684,0.173701,0.604722,0.068578,0.851225,0.000640,0.005344,0.001248,0.000384,1.261606
0.397036,0.170437,0.618386,0.070339,0.863834,0.000768,0.003296,0.001152,0.000384,1.272838
0.396748,0.170053,0.606034,0.067234,0.847449,0.000736,0.005248,0.001089,0.000320,1.257478
0.397772,0.164677,0.605298,0.068194,0.843129,0.000736,0.003008,0.001120,0.000608,1.253445
0.415724,0.167877,0.615282,0.070275,0.858458,0.000704,0.003072,0.001184,0.000640,1.286886
0.396939,0.172325,0.618770,0.076066,0.871641,0.000736,0.002593,0.001024,0.000576,1.280070
0.396780,0.200966,0.607378,0.088931,0.901691,0.000736,0.003104,0.001184,0.000640,1.310983
0.396396,0.177893,0.603410,0.067682,0.853465,0.000736,0.002560,0.001120,0.000352,1.260709
0.396524,0.169029,0.605842,0.068546,0.847449,0.000768,0.002464,0.001056,0.000800,1.254789
0.397804,0.166949,0.623347,0.084482,0.879258,0.001024,0.003137,0.001280,0.000480,1.289639
0.396427,0.147269,0.605330,0.066978,0.823801,0.000832,0.002496,0.001088,0.000640,1.231492
0.395820,0.172037,0.607762,0.068770,0.853145,0.000736,0.002336,0.001120,0.000832,1.260037
0.429837,0.198982,0.621906,0.071746,0.896442,0.000672,0.003073,0.001152,0.000832,1.338536
0.395563,0.193285,0.606546,0.066754,0.870873,0.000736,0.003744,0.001153,0.000608,1.279014
0.396140,0.159621,0.622610,0.106595,0.893210,0.000992,0.003489,0.001184,0.000896,1.302407
0.396108,0.169829,0.606066,0.066530,0.846809,0.001024,0.003201,0.001280,0.000352,1.255014
0.395755,0.172070,0.604369,0.066849,0.847354,0.000768,0.002464,0.001120,0.000640,1.254053
0.413037,0.193926,0.621266,0.068130,0.888570,0.000672,0.003552,0.001120,0.000704,1.313735
0.396139,0.178021,0.618034,0.073666,0.873850,0.000736,0.003297,0.001184,0.000544,1.282182
0.395916,0.164197,0.620050,0.066818,0.855257,0.000768,0.005377,0.001248,0.000384,1.265222
0.396171,0.200294,0.604401,0.066242,0.874681,0.000736,0.002592,0.001216,0.000672,1.281734
0.396108,0.150853,0.606386,0.066594,0.828281,0.000832,0.003680,0.001184,0.000608,1.237285
0.397931,0.151812,0.640467,0.079106,0.875801,0.000704,0.003137,0.001344,0.000992,1.286342
0.396332,0.166117,0.604498,0.066882,0.842009,0.000832,0.002336,0.001184,0.000576,1.249093
0.396044,0.165253,0.604658,0.066434,0.840985,0.000768,0.004704,0.001248,0.000576,1.250629
0.413389,0.192197,0.604946,0.066690,0.867929,0.000800,0.003105,0.001088,0.000640,1.292743
0.394860,0.157669,0.614898,0.067298,0.844121,0.000704,0.004000,0.001440,0.000608,1.251525
0.395724,0.154084,0.619794,0.079618,0.858169,0.000640,0.005216,0.001185,0.000640,1.268646
0.395308,0.154213,0.620082,0.065538,0.844569,0.000704,0.002560,0.001056,0.000608,1.250629
0.396140,0.169925,0.606546,0.068834,0.849785,0.000768,0.004256,0.001088,0.000608,1.258757
0.395564,0.185926,0.603538,0.067042,0.860570,0.000736,0.002400,0.001024,0.000416,1.266470
0.396268,0.164837,0.607314,0.067106,0.843641,0.000736,0.002528,0.001120,0.000608,1.251653
0.396044,0.168293,0.616242,0.070787,0.859802,0.000672,0.002816,0.001120,0.000384,1.266406
0.411180,0.172582,0.606002,0.066178,0.849114,0.000768,0.002912,0.001248,0.000384,1.272294
0.395788,0.170341,0.608402,0.067714,0.850905,0.000704,0.002432,0.001217,0.000928,1.257830
0.395467,0.203878,0.620146,0.085091,0.913531,0.000672,0.002976,0.001216,0.000640,1.321031
0.395756,0.169445,0.605234,0.066594,0.845945,0.000736,0.002816,0.001184,0.000576,1.252965
0.395756,0.168645,0.606834,0.068834,0.848857,0.000736,0.002464,0.001088,0.000832,1.256101
0.412556,0.164261,0.614642,0.067298,0.850297,0.000736,0.003137,0.001120,0.000864,1.275174
0.395692,0.169317,0.615026,0.066978,0.855513,0.000736,0.002272,0.001120,0.000609,1.262150
0.395404,0.151941,0.614834,0.065218,0.835993,0.000704,0.002400,0.001120,0.000608,1.242405
0.395756,0.174341,0.607122,0.066914,0.853209,0.000736,0.002240,0.001120,0.000608,1.260261
0.395244,0.154692,0.619347,0.065506,0.844153,0.000736,0.002400,0.001120,0.000800,1.250437
0.395147,0.163493,0.623603,0.070914,0.862298,0.000736,0.005184,0.001248,0.000480,1.271685
0.395723,0.171781,0.606481,0.068738,0.851546,0.000800,0.002496,0.001088,0.000384,1.256901
0.396299,0.168389,0.604466,0.066338,0.843737,0.000736,0.005249,0.001088,0.000352,1.253829
0.414445,0.164421,0.614610,0.072674,0.855801,0.000864,0.002688,0.001056,0.000800,1.281958
0.594450,0.214214,0.676756,0.131684,1.027230,0.000832,0.005312,0.001089,0.000704,1.695763
0.396108,0.194534,0.637555,0.069154,0.905787,0.000800,0.002240,0.001184,0.000320,1.312967
0.395372,0.153348,0.601394,0.066306,0.825080,0.000800,0.005280,0.001376,0.000640,1.234148
0.395116,0.167461,0.607154,0.066594,0.845209,0.000768,0.002784,0.001120,0.000640,1.251717
0.395852,0.173893,0.605426,0.068450,0.852025,0.000832,0.002400,0.001024,0.000384,1.257637
0.394987,0.167141,0.605490,0.066274,0.843129,0.000768,0.005217,0.001120,0.000384,1.251845
0.395628,0.170053,0.640883,0.080963,0.896667,0.000736,0.003072,0.001184,0.000384,1.304455
0.395436,0.164613,0.605458,0.065826,0.839769,0.000704,0.002784,0.001152,0.000384,1.245637
0.395564,0.166693,0.614322,0.064610,0.849113,0.000672,0.002368,0.001120,0.000448,1.254501
0.410157,0.188901,0.611410,0.070179,0.876058,0.000704,0.002688,0.001216,0.000352,1.296743
0.395404,0.166629,0.601969,0.064194,0.836728,0.000704,0.002209,0.001024,0.000672,1.243173
0.395180,0.168229,0.603282,0.072290,0.847641,0.000672,0.003488,0.001056,0.000416,1.254629
0.394636,0.186054,0.602162,0.063425,0.855577,0.000705,0.002816,0.001152,0.000352,1.261030
0.395467,0.172421,0.614354,0.065346,0.855673,0.000704,0.002304,0.001088,0.000352,1.260357
0.395052,0.170437,0.622194,0.069730,0.867033,0.000672,0.005249,0.001184,0.000608,1.276422
0.396940,0.168677,0.605490,0.066370,0.844601,0.000672,0.002304,0.001088,0.000448,1.251973
0.394923,0.161668,0.604050,0.064962,0.834841,0.000704,0.004768,0.001056,0.000352,1.242692
0.424460,0.194854,0.613298,0.069730,0.881466,0.000672,0.002849,0.001184,0.000608,1.316615
0.395436,0.193606,0.602961,0.064226,0.864281,0.000640,0.002272,0.001088,0.000352,1.269574
0.395883,0.162213,0.602706,0.068802,0.837241,0.000704,0.002272,0.001056,0.000576,1.242852
0.395276,0.166725,0.604082,0.065538,0.840185,0.000704,0.002144,0.001056,0.000608,1.246181
0.394892,0.159557,0.602418,0.064642,0.830457,0.000704,0.005088,0.001152,0.000800,1.238053
0.395148,0.148516,0.618963,0.075554,0.846745,0.000736,0.005152,0.001152,0.000416,1.254725
0.395116,0.165093,0.604818,0.065538,0.839097,0.000704,0.005120,0.001056,0.000576,1.247525
0.395468,0.190054,0.619634,0.065762,0.879642,0.000672,0.002304,0.001056,0.000832,1.285798
0.411501,0.166821,0.614354,0.066114,0.851033,0.000704,0.005024,0.001120,0.000544,1.275366
0.394892,0.163941,0.602802,0.064930,0.835737,0.000704,0.002240,0.001088,0.000352,1.240773
0.395788,0.188581,0.634323,0.065666,0.892538,0.000736,0.002304,0.000992,0.000576,1.298246
0.396076,0.165413,0.602002,0.066210,0.837753,0.000704,0.002528,0.001760,0.000384,1.245189
0.395532,0.154948,0.604882,0.070978,0.834872,0.000704,0.002880,0.001184,0.000480,1.241925
0.396940,0.174085,0.623538,0.090947,0.893114,0.000736,0.005344,0.001152,0.000736,1.304262
0.396236,0.169509,0.603858,0.067234,0.844825,0.000704,0.002816,0.001152,0.000800,1.252453
0.395084,0.164229,0.621330,0.066754,0.856762,0.000704,0.002144,0.001088,0.000384,1.261926
0.410188,0.173349,0.614866,0.069954,0.862106,0.000704,0.002272,0.001120,0.000576,1.283494
0.394988,0.168229,0.606962,0.067042,0.846361,0.000672,0.005216,0.001184,0.000416,1.253957
0.395596,0.167813,0.622899,0.077026,0.872442,0.000768,0.002848,0.001152,0.000416,1.279142
0.395980,0.166757,0.614418,0.065186,0.851033,0.000736,0.002560,0.001568,0.000896,1.260165
0.394988,0.163877,0.604786,0.064738,0.838009,0.000704,0.002976,0.001152,0.000672,1.245253
0.395116,0.160517,0.618994,0.076355,0.860186,0.000640,0.003328,0.001440,0.000640,1.268230
0.394988,0.166373,0.602802,0.065474,0.838809,0.000736,0.002304,0.001088,0.000672,1.244549
0.396139,0.170181,0.605106,0.065442,0.845049,0.000672,0.005249,0.001152,0.000640,1.255526
0.410700,0.170629,0.611506,0.066914,0.853433,0.000672,0.002784,0.001120,0.000832,1.275301
0.395500,0.153029,0.620658,0.069730,0.847033,0.000704,0.002688,0.001120,0.000352,1.253477
0.394955,0.154117,0.621266,0.085186,0.865338,0.000704,0.005248,0.001056,0.000608,1.274469
0.394956,0.190918,0.619826,0.065442,0.880634,0.000736,0.002144,0.001088,0.000576,1.285606
0.396331,0.168325,0.615667,0.067458,0.855578,0.000864,0.004512,0.001056,0.000640,1.264613
0.395372,0.185382,0.619858,0.067234,0.876154,0.000768,0.002656,0.000960,0.000352,1.281926
0.395148,0.166821,0.603954,0.065762,0.841785,0.000704,0.002048,0.001056,0.000832,1.247045
0.395947,0.170341,0.605938,0.065698,0.845721,0.000672,0.002752,0.001152,0.000608,1.252837
0.395467,0.174822,0.612530,0.067298,0.859002,0.000704,0.002176,0.001120,0.000416,1.264741
0.395308,0.150084,0.615155,0.066498,0.835801,0.000704,0.002720,0.001216,0.000416,1.242981
0.395116,0.163173,0.636339,0.080418,0.884282,0.000736,0.004000,0.001024,0.000416,1.291334
0.394795,0.162149,0.601874,0.067970,0.835737,0.000640,0.005024,0.001120,0.000352,1.243460
