Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-9],Layer[10],classifier
0.421873,0.017537,0.203080,0.005280,0.047426,0.000768,0.213800,0.000704,0.917444
0.416145,0.017504,0.202632,0.005088,0.048226,0.000800,0.205000,0.000672,0.904484
0.431089,0.017729,0.202696,0.004928,0.048194,0.000800,0.216201,0.000832,0.930181
0.420113,0.017569,0.202664,0.004800,0.048610,0.000768,0.216648,0.000704,0.919460
0.417585,0.017505,0.202535,0.005217,0.049282,0.000832,0.197447,0.000993,0.898692
0.421329,0.017632,0.202408,0.004800,0.048322,0.000832,0.219465,0.000704,0.923300
0.420912,0.017345,0.202664,0.005280,0.047330,0.000800,0.213833,0.000704,0.916036
0.417009,0.017473,0.202535,0.005217,0.047426,0.000800,0.195207,0.000960,0.893859
0.422353,0.017505,0.202887,0.005121,0.047298,0.000992,0.217224,0.000896,0.921188
0.439121,0.017729,0.202440,0.004864,0.049282,0.000992,0.213705,0.000896,0.936517
0.415632,0.017665,0.202024,0.005056,0.048066,0.000832,0.190728,0.000672,0.888099
0.417233,0.017825,0.202856,0.005216,0.050466,0.000768,0.188935,0.000672,0.892483
0.421841,0.017600,0.220040,0.005120,0.048354,0.000800,0.228489,0.000992,0.951237
0.420497,0.017728,0.202248,0.005056,0.048738,0.000800,0.189864,0.000832,0.892899
0.416496,0.017505,0.202408,0.004896,0.049122,0.000800,0.197992,0.000608,0.897187
0.421681,0.017761,0.202504,0.005024,0.048034,0.000768,0.202024,0.000608,0.906212
0.418480,0.017729,0.202568,0.005056,0.048322,0.000800,0.193160,0.000864,0.894595
0.416176,0.017729,0.202664,0.004832,0.047970,0.000800,0.198152,0.000832,0.896323
0.415728,0.017505,0.203848,0.004992,0.048706,0.000832,0.196648,0.000800,0.896483
0.420240,0.017537,0.222185,0.005280,0.048450,0.000992,0.195912,0.000672,0.919108
0.422353,0.017440,0.202760,0.005249,0.048449,0.000768,0.195111,0.000768,0.900067
0.416432,0.017953,0.202376,0.005408,0.048802,0.000832,0.217865,0.000640,0.918180
0.417264,0.017537,0.202728,0.005280,0.049442,0.000800,0.212105,0.000608,0.913220
0.416176,0.017441,0.202280,0.004896,0.048866,0.000800,0.210889,0.000768,0.908964
0.422737,0.017665,0.203016,0.005024,0.048642,0.000832,0.214152,0.000800,0.920388
0.420689,0.017696,0.202984,0.004897,0.048450,0.001024,0.202024,0.000800,0.905764
0.438225,0.017569,0.202791,0.005025,0.048322,0.000800,0.214920,0.000736,0.936100
0.421648,0.017665,0.202632,0.004832,0.048130,0.000832,0.209448,0.000704,0.912931
0.417488,0.017505,0.202312,0.004864,0.048674,0.000800,0.211784,0.000640,0.911268
0.421968,0.017441,0.203240,0.004800,0.047714,0.000832,0.244842,0.000832,0.949125
0.420912,0.017505,0.203112,0.005088,0.048354,0.000768,0.198184,0.000800,0.901956
0.416592,0.017537,0.202824,0.005216,0.048642,0.000992,0.200616,0.000608,0.901443
0.421680,0.017473,0.202920,0.005024,0.048642,0.000832,0.212936,0.000929,0.918436
0.443921,0.017857,0.202920,0.004832,0.049506,0.000800,0.231849,0.000865,0.962022
0.417680,0.017729,0.203784,0.005152,0.048834,0.000832,0.213288,0.000672,0.915587
0.417232,0.017537,0.203944,0.004992,0.049058,0.000832,0.211752,0.000832,0.913219
0.416816,0.017505,0.222825,0.005472,0.048130,0.000768,0.210440,0.000672,0.930532
0.421265,0.017505,0.202856,0.005056,0.048546,0.000768,0.202696,0.000864,0.907236
0.416593,0.017504,0.202536,0.004865,0.048578,0.000800,0.213768,0.000864,0.912964
0.415697,0.017824,0.202856,0.004832,0.048546,0.000768,0.203592,0.000673,0.902468
0.418512,0.017440,0.203240,0.004992,0.048034,0.000768,0.218921,0.000768,0.920228
0.417841,0.017728,0.203528,0.004801,0.048193,0.000832,0.219433,0.000704,0.921380
0.417265,0.017472,0.203656,0.004833,0.048513,0.000832,0.216360,0.000576,0.916740
0.440273,0.017761,0.203016,0.005184,0.048898,0.000832,0.205736,0.000736,0.929636
0.415856,0.017665,0.202696,0.005248,0.049346,0.000736,0.218248,0.000704,0.917795
0.417168,0.017697,0.204072,0.005280,0.048834,0.001056,0.202472,0.000608,0.905347
0.420529,0.017600,0.204008,0.004833,0.047842,0.000768,0.195207,0.000640,0.916644
