Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-8],Layer[9],Layer[10],classifier
0.420369,0.017568,0.219273,0.005056,0.047330,0.000576,0.183783,0.001184,0.000352,0.902723
0.420785,0.017728,0.201992,0.005152,0.047106,0.000576,0.219625,0.001568,0.000448,0.922564
0.420368,0.017985,0.212584,0.005185,0.047202,0.000800,0.231177,0.001408,0.000480,0.944837
0.419921,0.017664,0.202152,0.005089,0.046849,0.000577,0.190983,0.001440,0.000416,0.892163
0.420272,0.017633,0.202280,0.004832,0.046914,0.000576,0.215529,0.001216,0.000352,0.916324
0.420977,0.017633,0.202472,0.004896,0.046850,0.000608,0.192583,0.001216,0.000352,0.894531
0.416528,0.017536,0.202088,0.004832,0.047522,0.000608,0.190760,0.001472,0.000448,0.889187
0.420272,0.017665,0.222089,0.005024,0.048610,0.000576,0.193319,0.001376,0.000352,0.917092
0.420369,0.017473,0.202120,0.004832,0.047874,0.000544,0.198055,0.001312,0.000416,0.899684
0.420496,0.017665,0.204456,0.004800,0.047650,0.000576,0.192136,0.001312,0.000352,0.896803
0.420753,0.017440,0.203464,0.004832,0.047521,0.000576,0.191048,0.001248,0.000384,0.894595
0.420272,0.017601,0.201992,0.005056,0.047106,0.000576,0.191591,0.001472,0.000481,0.894979
0.420208,0.017697,0.201960,0.005056,0.048546,0.000576,0.181607,0.001248,0.000320,0.884003
0.420048,0.017537,0.202056,0.004832,0.048546,0.000576,0.217065,0.001216,0.000320,0.919588
0.432977,0.017505,0.202344,0.004864,0.047810,0.000576,0.226697,0.001152,0.000352,0.942085
0.421872,0.017632,0.202216,0.005056,0.047073,0.000480,0.193064,0.001504,0.000448,0.898467
0.415344,0.017505,0.202088,0.005408,0.048386,0.000576,0.183559,0.001280,0.000416,0.882882
0.420337,0.017761,0.202280,0.005088,0.048770,0.000576,0.197191,0.001280,0.000352,0.902788
0.419888,0.017473,0.202728,0.005056,0.047490,0.000576,0.192552,0.001280,0.000384,0.894019
0.420433,0.017601,0.202343,0.005121,0.048674,0.000608,0.186471,0.001248,0.000352,0.890339
0.421041,0.017536,0.202376,0.005056,0.047458,0.000608,0.193320,0.001280,0.000352,0.896131
0.439602,0.017792,0.202183,0.004929,0.048642,0.000544,0.198631,0.001441,0.000480,0.923045
0.415792,0.017921,0.202440,0.005056,0.048002,0.000608,0.187271,0.001280,0.000384,0.885411
0.419824,0.017504,0.202120,0.005056,0.048258,0.000576,0.182088,0.001376,0.000448,0.884867
0.420817,0.017472,0.202888,0.005056,0.048674,0.000800,0.195080,0.001312,0.000480,0.899491
0.419953,0.018016,0.202472,0.005057,0.049026,0.000608,0.187655,0.001216,0.000384,0.891107
0.415888,0.017952,0.202952,0.005120,0.048674,0.000608,0.193864,0.001312,0.000384,0.894467
0.419856,0.017953,0.202568,0.005024,0.047874,0.000832,0.208968,0.001184,0.000384,0.913475
0.440338,0.017600,0.203432,0.005344,0.048514,0.000544,0.185192,0.001504,0.000480,0.910436
0.416497,0.017696,0.202760,0.005089,0.049442,0.000544,0.187303,0.001408,0.000480,0.887875
0.421137,0.017985,0.202440,0.005184,0.048034,0.000576,0.187975,0.001376,0.000416,0.891907
0.420241,0.017536,0.202248,0.005184,0.049025,0.000608,0.190344,0.001280,0.000384,0.894243
0.420049,0.017760,0.202024,0.005088,0.047874,0.000576,0.185928,0.001440,0.000480,0.887843
0.420016,0.017537,0.202248,0.005088,0.048994,0.000608,0.183879,0.001217,0.000384,0.886595
0.415728,0.017665,0.203208,0.005024,0.048002,0.000544,0.204168,0.001216,0.000384,0.902307
0.437778,0.018784,0.203272,0.004833,0.047457,0.000608,0.193288,0.001216,0.000384,0.914756
0.419985,0.018240,0.202376,0.005089,0.047649,0.000545,0.188039,0.001440,0.000480,0.891235
0.415696,0.017633,0.202792,0.005024,0.048418,0.000608,0.190343,0.001248,0.000448,0.889282
0.420657,0.017473,0.202728,0.004960,0.047906,0.000608,0.198728,0.001376,0.000448,0.903140
0.421680,0.017633,0.203336,0.004992,0.048034,0.000800,0.187687,0.001184,0.000417,0.894499
0.421233,0.017505,0.203208,0.004896,0.049026,0.000768,0.193543,0.001408,0.000384,0.899300
0.420529,0.017505,0.203048,0.004832,0.048450,0.000768,0.207016,0.001280,0.000384,0.911812
0.439473,0.017664,0.203048,0.004992,0.048674,0.000608,0.195272,0.001376,0.000384,0.918500
0.421712,0.017505,0.202536,0.004864,0.048418,0.000576,0.193448,0.001376,0.000480,0.898819
0.420400,0.017473,0.203208,0.004992,0.048898,0.000576,0.195784,0.001216,0.000416,0.899715
0.419921,0.017665,0.202280,0.004896,0.047810,0.000576,0.191879,0.001344,0.000416,0.894563
0.416944,0.017473,0.203464,0.005120,0.048610,0.000608,0.194824,0.001504,0.000448,0.896771
0.415984,0.017729,0.202344,0.005056,0.048066,0.000608,0.192135,0.001248,0.000384,0.890466
0.415408,0.017409,0.202472,0.005024,0.048322,0.000768,0.194471,0.001313,0.000416,0.892579
0.435473,0.017761,0.203656,0.005120,0.048098,0.000576,0.204456,0.001376,0.000448,0.925124
0.415824,0.017633,0.202504,0.005152,0.048866,0.000800,0.200392,0.001504,0.000480,0.900387
0.420368,0.017409,0.202376,0.005088,0.048770,0.000576,0.188840,0.001312,0.000416,0.892803
0.420337,0.017472,0.203912,0.004865,0.048289,0.000608,0.182119,0.001376,0.000384,0.886371
0.416080,0.017633,0.203112,0.004864,0.048258,0.000640,0.193479,0.001472,0.000416,0.893347
0.420336,0.017697,0.202344,0.005216,0.048706,0.000672,0.196872,0.001472,0.000384,0.900227
0.415728,0.017665,0.201800,0.005056,0.048226,0.000608,0.196328,0.001472,0.000256,0.895139
0.444210,0.017632,0.203176,0.005025,0.048097,0.000576,0.197287,0.001440,0.000416,0.925476
0.417488,0.017793,0.204040,0.005152,0.048002,0.000640,0.196360,0.001664,0.000416,0.899651
0.415985,0.017568,0.202504,0.005121,0.048322,0.000576,0.194375,0.001504,0.000416,0.894275
