Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-8],OUT[8],TEE[7-8],Layer[9],Layer[10],classifier
0.416515,0.017632,0.202754,0.004768,0.047104,0.000576,0.013408,0.111361,0.034528,0.061057,0.210146,0.001216,0.000416,0.921063
0.416195,0.017633,0.202273,0.004800,0.047296,0.000576,0.013344,0.106657,0.040513,0.061728,0.211938,0.001216,0.000384,0.922023
0.416003,0.017280,0.202881,0.004768,0.047073,0.000640,0.013504,0.108257,0.040768,0.061472,0.213697,0.001376,0.000416,0.924070
0.416035,0.017408,0.203298,0.004832,0.046848,0.000576,0.013344,0.108353,0.034560,0.059841,0.205730,0.001120,0.000448,0.915943
0.434403,0.017281,0.202881,0.004864,0.046880,0.000608,0.013344,0.104865,0.035616,0.060288,0.203874,0.001120,0.000416,0.932071
0.416931,0.017184,0.202369,0.005056,0.046977,0.000576,0.013376,0.104768,0.036257,0.059840,0.203905,0.001216,0.000416,0.914342
0.416483,0.017504,0.205921,0.004864,0.047041,0.000576,0.013408,0.108033,0.042720,0.061344,0.215361,0.001152,0.000384,0.928934
0.416803,0.017216,0.202114,0.004800,0.046880,0.000576,0.013504,0.100417,0.040224,0.081569,0.225890,0.001312,0.000384,0.936679
0.416835,0.017248,0.202561,0.004864,0.046817,0.000544,0.013440,0.107584,0.036385,0.060608,0.207681,0.001120,0.000384,0.917894
0.416259,0.017408,0.202177,0.004800,0.047040,0.000544,0.013408,0.106241,0.042304,0.058368,0.209729,0.001024,0.000449,0.919079
0.417699,0.017696,0.202914,0.004992,0.046880,0.000576,0.013344,0.109409,0.036448,0.057281,0.206402,0.001280,0.000416,0.918887
0.433507,0.017472,0.202849,0.004832,0.047009,0.000576,0.013312,0.107521,0.044448,0.057824,0.212897,0.001120,0.000416,0.940454
0.416195,0.017792,0.202370,0.004832,0.046880,0.000608,0.013376,0.107585,0.036064,0.059169,0.205890,0.001152,0.000384,0.915847
0.416163,0.017408,0.202338,0.004800,0.046880,0.000608,0.013312,0.109217,0.036096,0.058177,0.206434,0.001184,0.000416,0.916167
0.415875,0.017473,0.202529,0.004928,0.047104,0.000544,0.013376,0.129953,0.049537,0.065152,0.247874,0.001216,0.000384,0.957735
0.415779,0.017216,0.202914,0.004800,0.046912,0.000576,0.013408,0.105249,0.036320,0.059456,0.204002,0.001216,0.000448,0.913831
0.416387,0.017120,0.202274,0.005056,0.046816,0.000576,0.013472,0.105473,0.044736,0.058049,0.211298,0.001184,0.000384,0.920871
0.417795,0.017280,0.203265,0.004864,0.046945,0.000608,0.013408,0.100576,0.034625,0.057632,0.195841,0.001312,0.000416,0.908390
0.433603,0.017504,0.203137,0.004800,0.047137,0.000544,0.013376,0.105409,0.040768,0.064064,0.213249,0.001312,0.000416,0.941638
0.415843,0.017440,0.202882,0.004864,0.047008,0.000576,0.013408,0.104897,0.042848,0.060897,0.211938,0.001216,0.000352,0.921959
0.416706,0.017249,0.202753,0.004864,0.046880,0.000576,0.013441,0.108992,0.036321,0.064928,0.213089,0.001280,0.000480,0.923590
0.416579,0.017440,0.202337,0.004832,0.047105,0.000576,0.036032,0.108769,0.036064,0.057409,0.205186,0.001440,0.000416,0.938983
0.417091,0.017312,0.202210,0.004768,0.046976,0.000576,0.013344,0.104609,0.035456,0.058849,0.201858,0.001152,0.000384,0.911879
0.417251,0.017601,0.202433,0.004832,0.046816,0.000608,0.013377,0.106336,0.045569,0.060576,0.215617,0.001344,0.000384,0.926503
0.416323,0.017280,0.202689,0.004896,0.046849,0.000576,0.013344,0.105377,0.041952,0.060992,0.211297,0.001088,0.000416,0.920550
0.437347,0.017344,0.202306,0.004800,0.046944,0.000576,0.013312,0.107393,0.036768,0.058625,0.205762,0.001248,0.000416,0.936263
0.417219,0.017409,0.203169,0.004832,0.047168,0.000640,0.013473,0.105696,0.035681,0.059136,0.203937,0.001344,0.000416,0.916423
0.417987,0.017536,0.203137,0.004896,0.046881,0.000576,0.013408,0.107265,0.045920,0.059456,0.215905,0.001216,0.000384,0.928614
0.415715,0.017632,0.222338,0.004992,0.047200,0.000608,0.013472,0.103681,0.041568,0.058977,0.207394,0.001120,0.000416,0.937671
0.417251,0.017440,0.203394,0.004832,0.046944,0.000608,0.013440,0.108929,0.044161,0.061312,0.217474,0.001184,0.000416,0.930215
0.416611,0.017472,0.205057,0.004896,0.047297,0.000640,0.013568,0.112865,0.040160,0.063488,0.219969,0.001217,0.000448,0.933703
0.415939,0.017505,0.202401,0.004800,0.047072,0.000576,0.013376,0.108864,0.042977,0.061952,0.217058,0.001344,0.000384,0.928327
0.417347,0.017344,0.202786,0.004832,0.047392,0.000608,0.013408,0.107265,0.036672,0.057793,0.204930,0.001184,0.000416,0.916935
0.417571,0.017600,0.202434,0.004864,0.046944,0.000608,0.013440,0.107649,0.044128,0.058817,0.213698,0.001184,0.000416,0.925159
