TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.738240,0.015072,0.000736,0.001409,0.001248,0.000384,1.763842
1.746816,0.015104,0.000992,0.001536,0.001120,0.000416,1.772386
1.762817,0.017025,0.000704,0.001504,0.001056,0.000384,1.791203
1.737472,0.015457,0.000704,0.001504,0.001248,0.000352,1.763649
1.724479,0.015232,0.000704,0.001473,0.001024,0.000352,1.750241
1.854374,0.015585,0.000736,0.001504,0.001025,0.000352,1.880872
1.739424,0.015584,0.000768,0.001441,0.001184,0.000384,1.765890
1.747649,0.015457,0.000768,0.001472,0.000992,0.000352,1.773218
1.761217,0.015840,0.000736,0.001601,0.001184,0.000384,1.787779
1.735744,0.015137,0.000704,0.001600,0.001089,0.000384,1.761474
1.766562,0.015393,0.000736,0.021377,0.001248,0.000352,1.811780
1.759841,0.014849,0.000736,0.001600,0.001376,0.000384,1.785442
1.721375,0.016737,0.000736,0.001472,0.001152,0.000384,1.748992
1.715103,0.014881,0.000768,0.001472,0.001216,0.000352,1.740160
1.744545,0.017185,0.000672,0.001440,0.001088,0.000384,1.772290
1.717375,0.015329,0.000672,0.001440,0.001248,0.000352,1.743424
1.782178,0.015873,0.000736,0.001440,0.001216,0.000385,1.809284
1.731936,0.014593,0.000672,0.001472,0.001248,0.000352,1.756769
1.747584,0.014752,0.000896,0.001377,0.001120,0.000352,1.772738
1.765122,0.014657,0.000704,0.001408,0.001120,0.000352,1.790147
1.749344,0.014849,0.000736,0.001568,0.001057,0.000416,1.774402
1.766562,0.015297,0.000768,0.001568,0.001280,0.000480,1.793059
1.759393,0.014753,0.000736,0.001568,0.001184,0.000384,1.784610
1.714526,0.014945,0.000704,0.001536,0.001313,0.000352,1.740129
1.726847,0.014977,0.000704,0.001440,0.001248,0.000320,1.752769
1.726432,0.014977,0.000800,0.001536,0.001216,0.000320,1.752641
1.784098,0.015489,0.000768,0.001665,0.001536,0.000416,1.810916
1.760673,0.015169,0.000672,0.001536,0.001120,0.000384,1.786018
1.760481,0.015553,0.000736,0.001536,0.001056,0.000320,1.786659
1.735264,0.015073,0.000896,0.001664,0.001248,0.000384,1.760321
1.757089,0.015233,0.000736,0.001632,0.001344,0.000416,1.782626
1.728287,0.015616,0.000704,0.001697,0.001184,0.000384,1.754241
1.759969,0.015777,0.000704,0.002080,0.001281,0.000384,1.787171
1.708415,0.015649,0.000704,0.001664,0.001248,0.000384,1.734848
1.784834,0.015777,0.000736,0.001728,0.001184,0.000416,1.811460
1.734815,0.016064,0.000704,0.001888,0.001408,0.000352,1.762401
1.743169,0.015585,0.000704,0.001568,0.001152,0.000384,1.769794
1.732127,0.016193,0.000736,0.001440,0.001217,0.000320,1.758465
1.778914,0.016769,0.000736,0.001696,0.000992,0.000352,1.806211
1.738688,0.016161,0.000704,0.001600,0.001088,0.000384,1.765793
1.779011,0.018465,0.000736,0.001664,0.001184,0.000384,1.808804
1.888232,0.015937,0.000736,0.001569,0.048962,0.000480,1.963372
1.754369,0.015553,0.000672,0.001440,0.001153,0.000352,1.780547
1.725855,0.015137,0.000704,0.001472,0.001120,0.000416,1.751136
1.861414,0.017569,0.000960,0.002016,0.001760,0.000576,1.894569
1.751168,0.016609,0.000736,0.001984,0.001120,0.000384,1.780354
1.820132,0.018081,0.000704,0.002081,0.001504,0.000608,1.852550
1.773890,0.015841,0.000736,0.001824,0.001120,0.000544,1.801188
1.750977,0.016513,0.000672,0.001632,0.001248,0.000608,1.778690
1.737952,0.016129,0.000608,0.001472,0.001184,0.000416,1.764673
1.752128,0.015329,0.000704,0.001504,0.001120,0.000384,1.777986
1.734271,0.015744,0.000705,0.001568,0.001248,0.000448,1.760577
1.757153,0.015873,0.000800,0.001536,0.000992,0.000384,1.783106
1.761473,0.016000,0.000928,0.001568,0.001184,0.000416,1.788643
1.733791,0.015297,0.000736,0.001504,0.001184,0.000384,1.759585
1.770498,0.015553,0.000704,0.001728,0.001184,0.000352,1.797284
1.738912,0.015521,0.000768,0.002016,0.001216,0.000448,1.765313
1.784451,0.016321,0.000704,0.001472,0.001184,0.000384,1.811908
1.741952,0.016769,0.001056,0.001472,0.001280,0.000416,1.769794
1.771138,0.015969,0.000736,0.001472,0.001184,0.000416,1.797315
1.762625,0.015904,0.000736,0.001473,0.001280,0.000416,1.789667
