Layer[0],Layer[1],Layer[2],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415696,0.017281,0.202216,0.256714,0.000736,0.001984,0.001056,0.000416,0.902595
0.415633,0.017280,0.201992,0.270475,0.000832,0.002048,0.000992,0.000416,0.916868
0.420240,0.017345,0.202120,0.245385,0.000704,0.001921,0.001088,0.000384,0.895779
0.415440,0.017953,0.202376,0.253354,0.000704,0.002112,0.001120,0.000384,0.900419
0.416400,0.017665,0.202088,0.246858,0.000672,0.002048,0.001056,0.000352,0.894371
0.436241,0.017601,0.203496,0.257610,0.000672,0.002080,0.001121,0.000384,0.927525
0.416144,0.017409,0.202280,0.254858,0.000800,0.002176,0.001184,0.000416,0.902947
0.419536,0.017921,0.202056,0.246378,0.000768,0.002176,0.001088,0.000416,0.897443
0.416240,0.017249,0.202152,0.279627,0.000832,0.002144,0.000960,0.000384,0.926628
0.415248,0.017281,0.202311,0.245289,0.000800,0.002176,0.001088,0.000352,0.890690
0.415824,0.017409,0.202248,0.252458,0.000672,0.002016,0.001024,0.000416,0.898307
0.415632,0.017280,0.201928,0.238922,0.000864,0.002816,0.001088,0.000416,0.886179
0.429137,0.017345,0.202312,0.243081,0.000768,0.001985,0.001024,0.000384,0.903076
0.415600,0.017505,0.202216,0.251658,0.000704,0.002016,0.000992,0.000384,0.897955
0.416016,0.017793,0.202536,0.267274,0.000704,0.002112,0.001120,0.000384,0.914339
0.416113,0.017537,0.202599,0.268011,0.000896,0.002240,0.000992,0.000416,0.915524
0.415600,0.017857,0.204008,0.253450,0.000832,0.002048,0.001184,0.000416,0.903619
0.416208,0.017441,0.202216,0.251338,0.000768,0.002048,0.001088,0.000416,0.898915
0.415984,0.017985,0.202216,0.213192,0.000736,0.002656,0.001024,0.000416,0.861121
0.430993,0.017760,0.202280,0.238602,0.000896,0.002784,0.001024,0.000384,0.901667
0.416881,0.017472,0.201800,0.251114,0.000832,0.003008,0.001121,0.000352,0.899140
0.415824,0.017952,0.202376,0.220617,0.000896,0.002720,0.000896,0.000448,0.868514
0.415792,0.017409,0.202824,0.233321,0.000768,0.001952,0.000992,0.000352,0.878946
0.415344,0.017601,0.202408,0.223241,0.000736,0.001792,0.000992,0.000384,0.868706
0.415472,0.017665,0.201992,0.244682,0.000704,0.001824,0.000960,0.000384,0.889379
0.419824,0.017409,0.202088,0.263050,0.000672,0.002016,0.000992,0.000416,0.913571
0.416624,0.017377,0.220201,0.256618,0.000672,0.002080,0.001184,0.000416,0.923140
0.415856,0.017665,0.202216,0.255882,0.000704,0.001952,0.001024,0.000672,0.904611
0.416401,0.017344,0.201864,0.246634,0.000800,0.002112,0.000960,0.000384,0.892835
0.415185,0.017472,0.202312,0.262283,0.000672,0.001760,0.001088,0.000416,0.907332
0.415408,0.017504,0.202056,0.249674,0.000736,0.002976,0.000928,0.000416,0.896643
0.415440,0.017441,0.202120,0.246890,0.000704,0.001856,0.000896,0.000480,0.892963
0.415216,0.017153,0.202024,0.271818,0.000704,0.001825,0.000832,0.000352,0.916260
0.415825,0.017441,0.220200,0.271947,0.000800,0.002016,0.001120,0.000352,0.937317
0.415793,0.017536,0.203464,0.254890,0.000960,0.002273,0.001056,0.000416,0.904516
0.416272,0.017697,0.202088,0.270346,0.000800,0.002176,0.001121,0.000352,0.917892
0.417104,0.017441,0.202440,0.254890,0.000768,0.003072,0.001120,0.000384,0.906083
0.415536,0.017569,0.202024,0.247466,0.000640,0.002112,0.001056,0.000352,0.893731
0.415952,0.017473,0.202056,0.247273,0.000736,0.002689,0.001024,0.000384,0.893923
0.415248,0.017921,0.201800,0.257066,0.000640,0.001984,0.000992,0.000576,0.903139
0.420848,0.017473,0.214728,0.282508,0.000832,0.001856,0.001024,0.000416,0.947589
0.415793,0.017440,0.201992,0.276491,0.000672,0.001824,0.001024,0.000384,0.922693
0.415664,0.017313,0.202088,0.276043,0.000704,0.001984,0.000960,0.000384,0.921700
0.416208,0.017728,0.202312,0.244842,0.000704,0.001888,0.000768,0.000416,0.893251
0.414192,0.017825,0.202120,0.254794,0.000704,0.002368,0.001024,0.000384,0.900643
0.415984,0.018081,0.202184,0.233481,0.000736,0.002272,0.000960,0.000416,0.881986
0.416272,0.017761,0.203464,0.265354,0.000769,0.002368,0.001216,0.000384,0.916804
0.416752,0.017761,0.218440,0.253034,0.000832,0.002048,0.001056,0.000384,0.917668
0.415409,0.017632,0.202247,0.240362,0.000736,0.003072,0.001056,0.000352,0.888259
0.415824,0.017633,0.201800,0.246154,0.000704,0.001952,0.001056,0.000352,0.892515
0.417136,0.017984,0.201960,0.250634,0.000704,0.001952,0.001056,0.000288,0.898787
0.429009,0.018081,0.201864,0.247466,0.000640,0.002048,0.001024,0.000608,0.908708
0.416176,0.017761,0.201992,0.241577,0.000768,0.002080,0.000928,0.000352,0.888323
0.416848,0.017729,0.201704,0.235849,0.000704,0.002176,0.000992,0.000416,0.882435
0.415952,0.017889,0.201672,0.260906,0.000768,0.002048,0.000928,0.000352,0.906819
0.420656,0.017761,0.202536,0.260906,0.000832,0.002176,0.001152,0.000416,0.914788
0.416529,0.018049,0.202216,0.267338,0.000832,0.002240,0.001248,0.000416,0.917604
0.417040,0.017568,0.202888,0.251114,0.000800,0.002272,0.001248,0.000608,0.901379
0.431056,0.017792,0.202024,0.258378,0.000768,0.002113,0.000992,0.000352,0.921188
0.415857,0.017984,0.201960,0.267691,0.000896,0.002080,0.001120,0.000384,0.915332
0.419856,0.017601,0.202184,0.258282,0.000704,0.002080,0.001024,0.000416,0.909668
0.415824,0.017536,0.222441,0.267850,0.000768,0.002720,0.001088,0.000384,0.937221
