Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-10],classifier
0.415600,0.017504,0.204104,0.005089,0.194631,0.912004
0.416560,0.017729,0.203272,0.005120,0.192200,0.910115
0.421840,0.017793,0.225257,0.005248,0.204584,0.945893
0.420560,0.017504,0.202760,0.005216,0.189448,0.902371
0.419888,0.017761,0.202088,0.005280,0.202536,0.916356
0.420944,0.017633,0.202696,0.005248,0.193320,0.909059
0.415633,0.017537,0.202183,0.005057,0.193575,0.917796
0.416464,0.017536,0.202888,0.005184,0.183208,0.894755
0.420560,0.017697,0.202664,0.005088,0.192744,0.908419
0.439121,0.017537,0.202728,0.005120,0.189831,0.924132
0.421425,0.017568,0.202888,0.005409,0.192775,0.907748
0.420592,0.017664,0.202824,0.005344,0.194824,0.913572
0.420720,0.017728,0.202280,0.005248,0.192392,0.947525
0.421425,0.018432,0.203079,0.005249,0.192775,0.912260
0.421265,0.017505,0.203784,0.005280,0.194184,0.910564
0.415984,0.017537,0.202728,0.004896,0.189511,0.900259
0.438769,0.017792,0.203400,0.005248,0.220969,0.959622
0.416496,0.017921,0.203144,0.005088,0.221929,0.960998
0.415344,0.017537,0.204008,0.005024,0.202184,0.919140
0.415953,0.017633,0.218120,0.005152,0.190920,0.914180
0.420016,0.017569,0.202664,0.004832,0.183687,0.895875
0.415856,0.017569,0.202376,0.005216,0.182215,0.889379
0.415601,0.017440,0.202280,0.005089,0.193927,0.897892
0.434161,0.017889,0.201960,0.004960,0.188743,0.917188
0.420016,0.017728,0.202376,0.005248,0.189800,0.908964
0.419793,0.017601,0.202152,0.005056,0.198920,0.913796
0.420305,0.017601,0.219752,0.005217,0.202728,0.932165
0.420113,0.017473,0.201927,0.004833,0.211752,0.929669
0.420304,0.017569,0.202056,0.005248,0.180327,0.890787
0.419376,0.017504,0.201960,0.005248,0.198856,0.910404
0.420113,0.017568,0.203015,0.005281,0.186279,0.901059
0.420433,0.017760,0.202152,0.005120,0.194568,0.907428
0.419376,0.017505,0.202504,0.005056,0.194216,0.908611
0.420305,0.017632,0.221257,0.005344,0.209064,0.945925
0.420176,0.017665,0.201896,0.005472,0.188231,0.903075
0.416464,0.017568,0.202632,0.005088,0.195528,0.909636
0.420912,0.017537,0.202152,0.005088,0.202472,0.916548
0.419536,0.017729,0.202856,0.005216,0.186856,0.902403
0.420144,0.017761,0.203784,0.005024,0.201672,0.917476
0.421457,0.017536,0.203560,0.005441,0.191783,0.907364
0.435473,0.017633,0.202216,0.005248,0.188071,0.920708
0.419600,0.017473,0.201928,0.005440,0.197128,0.915779
0.419313,0.017665,0.201960,0.005280,0.201352,0.914852
0.419665,0.017761,0.202536,0.005216,0.200456,0.947590
0.420017,0.017504,0.201896,0.005249,0.190023,0.900291
0.415825,0.017504,0.202664,0.004865,0.177383,0.888003
0.420497,0.017568,0.202024,0.005057,0.197191,0.915492
0.437809,0.018369,0.201928,0.005280,0.200968,0.936005
0.420016,0.017665,0.202568,0.005056,0.203400,0.918756
0.415568,0.017569,0.203464,0.005216,0.193640,0.904227
0.420080,0.017632,0.202184,0.005248,0.214153,0.935557
0.420017,0.017729,0.202536,0.005056,0.186663,0.899204
0.420400,0.017985,0.202024,0.004960,0.199624,0.942596
0.420592,0.017537,0.202952,0.005248,0.184807,0.897476
0.439185,0.017601,0.201992,0.005024,0.229609,0.967749
0.415280,0.017729,0.202504,0.004768,0.182215,0.896643
0.420305,0.017985,0.202824,0.005280,0.191047,0.911044
0.419344,0.017793,0.226921,0.005152,0.195688,0.941796
0.419984,0.017729,0.202376,0.005184,0.202888,0.917860
0.420016,0.017697,0.202760,0.005312,0.198984,0.913379
0.420976,0.017537,0.202472,0.005216,0.201224,0.916548
0.420145,0.017537,0.202344,0.005216,0.181287,0.901284
