Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-10],classifier
0.416048,0.017697,0.202344,0.005248,0.195944,0.909059
0.417777,0.017761,0.203048,0.004768,0.201672,0.919620
0.420945,0.017760,0.202568,0.005313,0.197511,0.917988
0.435057,0.017792,0.202632,0.005120,0.188232,0.918244
0.422449,0.017505,0.205448,0.005056,0.190983,0.910212
0.420657,0.017729,0.202920,0.005280,0.202408,0.916644
0.416176,0.017504,0.203144,0.005088,0.208617,0.941157
0.421777,0.017761,0.203016,0.005216,0.201704,0.917124
0.415696,0.017729,0.202984,0.005280,0.190888,0.905412
0.417105,0.017600,0.202696,0.005057,0.200007,0.913092
0.431697,0.017696,0.203047,0.005089,0.195143,0.931364
0.420369,0.017504,0.202983,0.005025,0.191815,0.911876
0.418032,0.017601,0.202952,0.005024,0.207752,0.925988
0.420560,0.017665,0.224489,0.005216,0.228009,0.994311
0.420017,0.017600,0.203016,0.005057,0.188775,0.901347
0.420465,0.017568,0.203143,0.004961,0.186439,0.904484
0.415793,0.017312,0.202792,0.005057,0.186535,0.896067
0.416304,0.017633,0.202472,0.005248,0.188007,0.902339
0.420624,0.017665,0.203048,0.005056,0.189064,0.904899
0.420721,0.017760,0.203176,0.005121,0.186407,0.910212
0.416721,0.017728,0.222248,0.005248,0.194184,0.924645
0.420177,0.017665,0.202343,0.005281,0.195847,0.911428
0.417200,0.017505,0.202856,0.004960,0.199592,0.908963
0.421264,0.017632,0.203688,0.005024,0.205641,0.921060
0.416336,0.017665,0.202504,0.004736,0.230569,0.969414
0.420752,0.017793,0.203176,0.005280,0.226473,0.944581
0.421488,0.017793,0.202696,0.005216,0.202344,0.919908
0.438481,0.017569,0.202696,0.005248,0.200168,0.934308
0.420433,0.017568,0.203112,0.005313,0.200295,0.918884
0.421265,0.017632,0.202568,0.005057,0.199271,0.913124
0.416784,0.017825,0.203112,0.005280,0.181575,0.932132
0.415888,0.017537,0.203240,0.005216,0.202472,0.926308
0.421521,0.017728,0.203432,0.005217,0.201576,0.918692
0.420560,0.017888,0.202728,0.004992,0.198952,0.916868
0.437265,0.017857,0.202440,0.005248,0.203976,0.939236
0.420657,0.017568,0.202856,0.005249,0.197799,0.913892
0.416880,0.017601,0.202312,0.005312,0.201800,0.917379
0.420656,0.017665,0.202344,0.005280,0.221225,0.938212
0.420208,0.017729,0.203144,0.005248,0.207944,0.921668
0.421968,0.017536,0.202760,0.005248,0.200840,0.913412
0.417936,0.017633,0.203240,0.004864,0.206920,0.922148
0.435153,0.017601,0.202376,0.005280,0.206952,0.937925
0.420753,0.017569,0.203688,0.005344,0.201032,0.917380
0.416848,0.017601,0.202952,0.004864,0.196808,0.915140
0.415888,0.017633,0.219240,0.005217,0.206248,0.940004
0.420337,0.017568,0.202728,0.004832,0.178310,0.896195
0.416496,0.017505,0.202120,0.004864,0.191624,0.905923
0.417488,0.017505,0.202312,0.005248,0.205000,0.915140
0.420432,0.017984,0.202344,0.004992,0.212137,0.925668
0.416560,0.017665,0.202824,0.004832,0.179815,0.897827
0.416112,0.017761,0.203016,0.005056,0.196072,0.908899
0.416560,0.017569,0.221001,0.005472,0.196680,0.933284
0.421264,0.017825,0.202312,0.005248,0.201192,0.918467
0.416208,0.017537,0.202408,0.005280,0.202408,0.910339
0.420592,0.017537,0.203432,0.005024,0.199016,0.912932
0.420721,0.017696,0.203208,0.005249,0.180967,0.893219
0.415728,0.017729,0.202792,0.004768,0.200264,0.912195
0.416080,0.017761,0.202440,0.005344,0.186311,0.894403
0.420465,0.037410,0.203528,0.005120,0.195975,0.931333
0.415633,0.017472,0.203080,0.004833,0.202600,0.914052
0.416144,0.017696,0.203272,0.005248,0.207273,0.920356
0.416945,0.017632,0.202696,0.005121,0.200743,0.916900
0.416081,0.017792,0.203272,0.005153,0.196871,0.910340
0.415024,0.017665,0.202792,0.005024,0.199464,0.907811
0.421200,0.017664,0.204616,0.005025,0.205544,0.930948
0.441457,0.017761,0.203080,0.005280,0.195816,0.945637
0.420817,0.017697,0.202440,0.005280,0.190567,0.911652
0.421777,0.017601,0.202440,0.005088,0.191495,0.907524
0.420625,0.017537,0.203048,0.005088,0.212168,0.936069
0.416976,0.017505,0.203976,0.005120,0.180167,0.901187
0.417041,0.017537,0.203015,0.005024,0.191463,0.901892
0.416464,0.017601,0.203816,0.005280,0.197544,0.911587
0.437489,0.017537,0.203656,0.005152,0.194920,0.930820
0.421841,0.017633,0.203175,0.005184,0.192295,0.909988
0.416113,0.017632,0.202888,0.005249,0.192167,0.903876
