Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.431693,0.017344,0.136004,0.601426,0.065890,0.806712,0.001408,0.000416,1.262949
0.396235,0.017600,0.132804,0.587985,0.065026,0.789111,0.001344,0.000448,1.209828
0.395371,0.017537,0.125476,0.613202,0.073698,0.816568,0.001568,0.000416,1.237668
0.395756,0.017408,0.134852,0.588849,0.066498,0.793848,0.001504,0.000384,1.215140
0.395596,0.017537,0.128291,0.588274,0.067842,0.787671,0.001568,0.000416,1.208676
0.395627,0.017761,0.131940,0.609138,0.079234,0.823704,0.001472,0.000448,1.243940
0.395499,0.017473,0.125604,0.585041,0.063010,0.778551,0.001472,0.000384,1.198179
0.395788,0.017536,0.130052,0.590930,0.066722,0.790776,0.001408,0.000384,1.210916
0.410828,0.017505,0.129892,0.601554,0.069538,0.804312,0.001440,0.000448,1.240133
0.396076,0.017600,0.130532,0.589938,0.065153,0.788600,0.001376,0.000384,1.208484
0.395723,0.017537,0.134596,0.589521,0.064930,0.792279,0.001280,0.000384,1.211811
0.396364,0.017696,0.125924,0.583633,0.061986,0.775191,0.001504,0.000384,1.194883
0.395435,0.017344,0.131812,0.583601,0.064930,0.783511,0.001536,0.000384,1.203107
0.395660,0.017441,0.123939,0.604914,0.076323,0.810776,0.001440,0.000384,1.233477
0.395756,0.017344,0.129380,0.587986,0.070850,0.791704,0.001472,0.000384,1.211844
0.395916,0.017248,0.140068,0.594258,0.064194,0.801720,0.001344,0.000384,1.220996
0.395499,0.017601,0.124292,0.599985,0.105411,0.833368,0.001377,0.000416,1.253541
0.395372,0.017376,0.140997,0.583761,0.064482,0.792664,0.001248,0.000384,1.212356
0.395276,0.017345,0.144804,0.583345,0.077282,0.808727,0.001505,0.000448,1.228805
0.414540,0.017345,0.160101,0.591857,0.067042,0.822360,0.001408,0.000352,1.261381
0.395819,0.017569,0.138916,0.601234,0.063874,0.807704,0.001472,0.000384,1.228196
0.395308,0.017440,0.131812,0.598706,0.082978,0.816920,0.001473,0.000448,1.236741
0.396012,0.017760,0.139780,0.585138,0.066754,0.795064,0.001440,0.000416,1.216260
0.396332,0.017792,0.131140,0.598674,0.067490,0.800952,0.001312,0.000384,1.222756
0.396108,0.017569,0.132324,0.608498,0.068866,0.812824,0.001504,0.000416,1.233541
0.395756,0.017696,0.132292,0.590194,0.065602,0.791736,0.001472,0.000416,1.212708
0.395788,0.017729,0.138404,0.586481,0.069922,0.798071,0.001408,0.000448,1.218372
0.395564,0.017569,0.140132,0.595697,0.071042,0.811224,0.001376,0.000448,1.232069
0.396716,0.017856,0.134308,0.598802,0.066626,0.803256,0.001504,0.000448,1.225220
0.396331,0.017472,0.127972,0.584561,0.067778,0.783671,0.001408,0.000416,1.204451
0.413132,0.017376,0.139077,0.596881,0.069922,0.809208,0.001344,0.000384,1.246724
0.395820,0.017440,0.124100,0.584881,0.067394,0.779767,0.001312,0.000416,1.200323
0.396140,0.017408,0.141348,0.613938,0.078850,0.838361,0.001536,0.000416,1.259077
0.396075,0.017825,0.128388,0.598993,0.070307,0.801624,0.001728,0.000416,1.223204
0.395659,0.017248,0.134148,0.597234,0.065218,0.799960,0.001312,0.000416,1.219236
0.396332,0.017536,0.126212,0.618642,0.076162,0.824632,0.001408,0.000480,1.244549
0.395852,0.017505,0.107235,0.604562,0.068482,0.783415,0.001472,0.000416,1.202852
0.396459,0.017377,0.127492,0.585073,0.068898,0.784887,0.001376,0.000384,1.205123
0.406732,0.017601,0.115619,0.598834,0.066338,0.783927,0.001216,0.000352,1.214308
0.395820,0.017408,0.121764,0.585009,0.065634,0.775383,0.001568,0.000352,1.194787
0.395532,0.017376,0.139205,0.597681,0.067842,0.808408,0.001472,0.000352,1.228036
0.408812,0.017473,0.132932,0.600850,0.074530,0.812024,0.001376,0.000384,1.244837
0.399084,0.017665,0.133252,0.590737,0.069186,0.797815,0.001600,0.000416,1.223364
0.396555,0.017408,0.111299,0.602162,0.073314,0.790711,0.001440,0.000448,1.211716
0.396683,0.017601,0.140868,0.588562,0.063969,0.797367,0.001409,0.000480,1.218116
0.395115,0.017376,0.134084,0.583025,0.069922,0.790903,0.001473,0.000416,1.210372
0.394635,0.017537,0.117603,0.603378,0.069794,0.794423,0.001568,0.000416,1.213251
0.395564,0.017569,0.107651,0.584529,0.063330,0.758870,0.001280,0.000384,1.178147
0.394347,0.017473,0.124036,0.595985,0.067330,0.790871,0.001600,0.000416,1.208996
0.395211,0.017505,0.147812,0.594578,0.067298,0.813688,0.001280,0.000384,1.232772
0.671988,0.017601,0.183237,0.661428,0.131395,0.979964,0.001409,0.000384,1.675794
0.394891,0.017633,0.120740,0.596305,0.068642,0.789111,0.001472,0.000416,1.207907
0.395244,0.017761,0.126339,0.585585,0.067586,0.783191,0.001376,0.000512,1.204228
0.395500,0.017601,0.128868,0.596017,0.067682,0.796279,0.001344,0.000416,1.216100
0.394700,0.017377,0.103971,0.617458,0.081474,0.806775,0.001184,0.000448,1.225445
0.394700,0.017281,0.118595,0.585521,0.064513,0.772310,0.001313,0.000384,1.190596
0.395148,0.017633,0.132643,0.595057,0.071906,0.803159,0.001344,0.000384,1.222084
0.412909,0.017344,0.118148,0.581265,0.062658,0.765527,0.001120,0.000384,1.201220
0.394539,0.017377,0.116131,0.579793,0.062850,0.761846,0.001216,0.000384,1.179362
0.394476,0.017345,0.129348,0.582897,0.063490,0.778871,0.001440,0.000384,1.197924
0.407532,0.017440,0.104099,0.582322,0.060321,0.750262,0.001312,0.000385,1.181027
0.394764,0.017472,0.117284,0.592818,0.060449,0.774103,0.001344,0.000384,1.192131
0.394284,0.017537,0.139588,0.585937,0.068002,0.797591,0.001536,0.000384,1.217220
0.394892,0.017600,0.113028,0.593937,0.069058,0.779607,0.001313,0.000416,1.199364
0.394763,0.017569,0.095235,0.588849,0.068738,0.756022,0.001280,0.000384,1.174626
0.394060,0.017504,0.116356,0.598002,0.069666,0.787576,0.001344,0.000448,1.205988
0.395147,0.017409,0.108931,0.594258,0.065506,0.771799,0.001216,0.000416,1.190403
0.395500,0.017601,0.125603,0.580561,0.061473,0.770934,0.001216,0.000608,1.190435
0.395212,0.017216,0.118052,0.598514,0.070754,0.790776,0.001248,0.000640,1.209476
