IN[0],INFER[0-8],OUT[8],TEE[0-8],Layer[9],Layer[10],classifier
0.148708,1.585711,0.082307,1.824566,0.001536,0.000480,1.829686
0.152356,1.576366,0.067074,1.802933,0.001569,0.000352,1.807190
0.148324,1.584783,0.079746,1.819478,0.001472,0.000416,1.823574
0.148676,1.568718,0.067170,1.790869,0.001472,0.000384,1.794677
0.167013,1.583631,0.068354,1.825655,0.001504,0.000480,1.829431
0.133988,1.568975,0.063362,1.772245,0.001600,0.000576,1.776597
0.161797,1.569646,0.064066,1.801525,0.001728,0.000384,1.805717
0.144580,1.567567,0.073410,1.791637,0.001536,0.000448,1.795733
0.144549,1.569038,0.064706,1.784757,0.001344,0.000416,1.788501
0.170693,1.568431,0.066178,1.810710,0.001952,0.000416,1.815158
0.184229,1.577358,0.068098,1.836822,0.001729,0.000544,1.841751
0.141508,1.576271,0.091619,1.817974,0.001600,0.000576,1.822550
0.124323,1.574255,0.070082,1.775380,0.001632,0.000544,1.779700
0.149477,1.606863,0.084547,1.849047,0.001568,0.000608,1.854583
0.138340,1.571119,0.068194,1.784245,0.001504,0.000384,1.788181
0.149125,1.591087,0.090851,1.838199,0.001408,0.000576,1.842391
0.148740,1.573295,0.068194,1.797685,0.001600,0.000544,1.802453
0.152165,1.593423,0.083267,1.835607,0.001472,0.000576,1.840247
0.149668,1.572015,0.075842,1.804757,0.001568,0.000448,1.809205
0.153156,1.592144,0.074978,1.828438,0.001504,0.000480,1.833430
0.154532,1.573839,0.069058,1.804789,0.001568,0.000544,1.809173
0.147396,1.598992,0.077922,1.832406,0.001472,0.000480,1.837366
0.153861,1.573679,0.069026,1.802358,0.001632,0.000672,1.806646
0.152452,1.629969,0.098563,1.889272,0.001696,0.000512,1.894712
0.150436,1.572463,0.071458,1.801077,0.001504,0.000512,1.805397
0.150340,1.593103,0.076162,1.827926,0.001664,0.000608,1.833206
0.151684,1.573711,0.067490,1.799733,0.001536,0.000576,1.804149
0.134276,1.589551,0.080515,1.811030,0.001440,0.000576,1.815190
0.150277,1.572590,0.067971,1.798358,0.001600,0.000704,1.803030
0.146533,1.587183,0.082818,1.823542,0.001504,0.000576,1.827638
0.167749,1.576175,0.070178,1.820758,0.001728,0.000480,1.825430
0.114884,1.599439,0.081059,1.804054,0.001568,0.000480,1.809110
0.136772,1.576719,0.069602,1.790453,0.001568,0.000512,1.794837
0.176741,1.577103,0.068450,1.830358,0.001568,0.000704,1.835094
0.141316,1.584623,0.073218,1.807509,0.001696,0.000480,1.812118
0.152613,1.572046,0.075267,1.808374,0.001536,0.000544,1.812726
0.149893,1.589135,0.086083,1.832375,0.001568,0.000448,1.836695
0.144132,1.579342,0.067522,1.797942,0.001600,0.000416,1.802038
0.150309,1.587759,0.081667,1.828599,0.001664,0.000512,1.834103
0.152037,1.572846,0.068130,1.800470,0.001536,0.000544,1.804662
0.155653,1.589295,0.078914,1.832534,0.001632,0.000544,1.837143
0.149892,1.573678,0.068674,1.799701,0.001536,0.000544,1.803861
0.140132,1.608816,0.084067,1.841815,0.001632,0.000544,1.847191
0.152068,1.573711,0.067810,1.801205,0.001440,0.000576,1.805333
0.128452,1.600559,0.080130,1.818038,0.001696,0.000576,1.823414
0.146052,1.569423,0.068098,1.791285,0.001760,0.000576,1.795701
0.151909,1.589167,0.080163,1.829143,0.001664,0.000576,1.834615
0.149285,1.572910,0.074882,1.804886,0.001504,0.000576,1.809782
0.149957,1.590543,0.088387,1.836727,0.001472,0.000512,1.840887
0.146533,1.569838,0.076963,1.800182,0.001792,0.000448,1.804566
0.151429,1.588719,0.083267,1.830775,0.001696,0.000544,1.835543
0.147428,1.570927,0.074562,1.799477,0.001632,0.000576,1.803733
0.148421,1.591887,0.084195,1.833079,0.001856,0.000704,1.838935
0.174886,1.568814,0.066402,1.817238,0.001568,0.000576,1.821430
0.145700,1.584943,0.113092,1.851991,0.001632,0.000576,1.857431
0.148260,1.570063,0.067170,1.792501,0.001632,0.000480,1.796853
0.144644,1.593551,0.071395,1.816470,0.001760,0.000544,1.820886
0.143844,1.568943,0.070786,1.790901,0.001632,0.000544,1.795189
