IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.130820,1.502541,0.080259,1.720692,0.049441,0.000928,0.013633,0.000320,0.001536,0.000992,0.000352,1.791766
0.148900,1.540782,0.094467,1.789557,0.051170,0.000832,0.014016,0.000352,0.001504,0.001056,0.000352,1.862615
0.148196,1.499885,0.065538,1.719763,0.049314,0.000800,0.013664,0.000352,0.001504,0.001184,0.000384,1.790549
0.142884,1.532430,0.072322,1.753908,0.049474,0.000864,0.013888,0.000384,0.001472,0.001120,0.000416,1.826134
0.143524,1.500845,0.066082,1.716051,0.049026,0.000832,0.013824,0.000384,0.001536,0.001056,0.000416,1.787093
0.165317,1.539853,0.067266,1.778869,0.048705,0.000800,0.013601,0.000384,0.001504,0.001184,0.000416,1.849303
0.137444,1.500909,0.065730,1.709779,0.048641,0.000832,0.013600,0.000384,0.001536,0.001088,0.000352,1.780021
0.131652,1.506125,0.071490,1.715795,0.051650,0.000864,0.013568,0.000416,0.001536,0.001088,0.000384,1.789270
0.125892,1.501165,0.065122,1.698355,0.048993,0.000832,0.013441,0.000352,0.001536,0.001056,0.000384,1.768821
0.136164,1.506669,0.071042,1.720467,0.053282,0.000928,0.013569,0.000384,0.001568,0.001152,0.000416,1.795670
0.129411,1.506316,0.073891,1.717107,0.048673,0.000832,0.013537,0.000384,0.001472,0.001152,0.000384,1.787349
0.142693,1.501996,0.070914,1.721780,0.051297,0.000864,0.013537,0.000384,0.001568,0.001184,0.000416,1.794966
0.136484,1.498508,0.073859,1.714739,0.066978,0.000864,0.013568,0.000416,0.001504,0.001152,0.000384,1.804117
0.140708,1.500557,0.067138,1.715411,0.051554,0.000832,0.013600,0.000352,0.001472,0.001184,0.000384,1.788789
0.145284,1.502893,0.093283,1.747316,0.051938,0.000832,0.013600,0.000320,0.001504,0.001056,0.000384,1.820886
0.145860,1.502221,0.073666,1.728147,0.049570,0.000864,0.013600,0.000352,0.001472,0.001089,0.000416,1.799510
0.136196,1.529518,0.076866,1.748372,0.052578,0.000864,0.013504,0.000384,0.001536,0.001152,0.000384,1.822775
0.156165,1.504301,0.080322,1.747348,0.049890,0.000928,0.014112,0.000320,0.001440,0.001216,0.000417,1.819863
0.144933,1.518125,0.109411,1.779797,0.049474,0.000800,0.013568,0.000352,0.001728,0.000896,0.000544,1.851607
0.172774,1.513325,0.072674,1.765109,0.050017,0.001025,0.013792,0.000384,0.001504,0.001056,0.000352,1.837047
0.144836,1.514990,0.076898,1.743476,0.050626,0.001024,0.013568,0.000352,0.001504,0.001024,0.000416,1.815958
0.133124,1.513709,0.067682,1.720563,0.049826,0.000896,0.013600,0.000384,0.001536,0.001056,0.000384,1.791925
0.144228,1.513197,0.071106,1.734644,0.052225,0.000864,0.013473,0.000352,0.001472,0.001120,0.000384,1.808566
0.145093,1.501260,0.068866,1.722260,0.049825,0.000928,0.013569,0.000320,0.001568,0.001152,0.000384,1.793846
0.137861,1.513357,0.079682,1.737876,0.049794,0.000832,0.013536,0.000384,0.001504,0.000960,0.000576,1.809750
0.128324,1.499981,0.065602,1.699987,0.049697,0.000832,0.013665,0.000352,0.001504,0.001024,0.000352,1.771125
0.141028,1.520398,0.106499,1.773877,0.049729,0.000833,0.013888,0.000384,0.001440,0.001312,0.000608,1.845655
0.144228,1.502573,0.067234,1.720467,0.049570,0.000864,0.013696,0.000352,0.001504,0.001120,0.000384,1.791829
0.165381,1.519821,0.075715,1.767797,0.050209,0.000928,0.013825,0.000352,0.001408,0.001216,0.000416,1.840599
0.150405,1.501709,0.068034,1.725620,0.052289,0.000832,0.013601,0.000384,0.001504,0.000928,0.000384,1.799446
0.132739,1.523437,0.070882,1.734515,0.050466,0.000864,0.013600,0.000384,0.001536,0.001344,0.000416,1.807638
0.141188,1.506637,0.068931,1.723668,0.049601,0.000928,0.013568,0.000352,0.001536,0.001120,0.000384,1.795222
0.143620,1.521230,0.078658,1.750292,0.049857,0.001088,0.013792,0.000352,0.001536,0.001312,0.000448,1.823286
0.133700,1.501293,0.067234,1.708851,0.049665,0.001120,0.013536,0.000320,0.001472,0.001216,0.000384,1.780757
0.144580,1.517966,0.088034,1.757876,0.050306,0.000768,0.014048,0.000352,0.001504,0.001153,0.000576,1.831383
0.143588,1.516270,0.067810,1.734484,0.049697,0.000864,0.013825,0.000384,0.001536,0.001120,0.000384,1.806582
0.144932,1.522349,0.077090,1.751156,0.049441,0.000832,0.013857,0.000320,0.001536,0.001280,0.000416,1.822902
0.143780,1.501965,0.069474,1.721107,0.049569,0.000832,0.013569,0.000320,0.001536,0.001248,0.000448,1.792949
0.143268,1.517901,0.071170,1.740084,0.049857,0.000928,0.013633,0.000320,0.001472,0.001120,0.000384,1.812214
0.142852,1.500877,0.088483,1.738964,0.049409,0.000864,0.013569,0.000384,0.001504,0.001216,0.000384,1.810742
0.162405,1.529965,0.067554,1.766868,0.050466,0.000896,0.013536,0.000384,0.001568,0.001184,0.000352,1.839414
0.172966,1.514861,0.071778,1.765877,0.050626,0.000832,0.013632,0.000352,0.001504,0.001120,0.000416,1.838359
0.132068,1.510125,0.068450,1.717300,0.050049,0.000832,0.013697,0.000448,0.001408,0.001120,0.000384,1.789270
