Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.432163,0.017472,0.138561,0.568069,0.066496,0.776614,0.014432,0.000448,0.001408,0.001280,0.000640,1.250793
0.421699,0.017536,0.136833,0.568100,0.066497,0.775302,0.014464,0.000512,0.001472,0.001120,0.000416,1.238313
0.419907,0.017472,0.136481,0.568452,0.066144,0.774629,0.014400,0.000480,0.001504,0.001120,0.000576,1.236424
0.415555,0.017472,0.130913,0.569220,0.065313,0.769126,0.014752,0.000448,0.001408,0.001376,0.000352,1.226345
0.420419,0.017312,0.136801,0.571204,0.067553,0.779526,0.014624,0.000448,0.001440,0.001152,0.000576,1.242441
0.421155,0.017312,0.134433,0.587652,0.076801,0.802534,0.014592,0.000480,0.001792,0.001184,0.000608,1.265737
0.421315,0.017568,0.126689,0.566980,0.069408,0.766917,0.016320,0.000480,0.001472,0.001056,0.000352,1.231944
0.419843,0.017280,0.134849,0.568612,0.064833,0.771558,0.014336,0.000480,0.001376,0.001280,0.000384,1.232425
0.436803,0.017568,0.130721,0.577988,0.066689,0.778758,0.014464,0.000480,0.001472,0.001024,0.000576,1.257449
0.416003,0.017472,0.126913,0.567652,0.069760,0.768293,0.014592,0.000448,0.001504,0.001568,0.000672,1.226280
0.415618,0.017473,0.137953,0.568676,0.067712,0.778437,0.014816,0.000544,0.001504,0.001280,0.000608,1.236553
0.421251,0.017600,0.133889,0.569252,0.067489,0.774182,0.014816,0.000544,0.001600,0.001216,0.000576,1.237769
0.421091,0.017344,0.140193,0.567332,0.066305,0.777670,0.014816,0.000448,0.001472,0.001280,0.000384,1.240873
0.420835,0.017441,0.128961,0.583972,0.073824,0.790405,0.014688,0.000480,0.001408,0.001440,0.000416,1.253001
0.420131,0.017728,0.133569,0.574052,0.070400,0.781606,0.015488,0.000416,0.001408,0.001312,0.000352,1.244521
0.417443,0.017280,0.138977,0.568004,0.066241,0.776678,0.014496,0.000480,0.001440,0.001152,0.000352,1.234857
0.423811,0.017632,0.147617,0.566756,0.066144,0.784293,0.014497,0.000448,0.001536,0.001312,0.000384,1.250153
0.421443,0.017281,0.128160,0.566565,0.065984,0.764325,0.014784,0.000512,0.001536,0.001056,0.000352,1.227145
0.421027,0.017600,0.129569,0.566212,0.064353,0.763462,0.015040,0.000512,0.001408,0.001312,0.000384,1.226537
0.435427,0.017344,0.143329,0.568708,0.066400,0.782053,0.015009,0.000480,0.001952,0.001312,0.000576,1.260137
0.421283,0.018049,0.135937,0.568196,0.063552,0.771237,0.014624,0.000480,0.001536,0.001376,0.000416,1.234665
0.416355,0.017344,0.136385,0.582884,0.076097,0.798662,0.014496,0.000448,0.001888,0.001344,0.000384,1.256393
0.421891,0.017760,0.135553,0.568260,0.065761,0.773446,0.014720,0.000448,0.001408,0.001088,0.000384,1.236841
0.416771,0.017632,0.143169,0.569156,0.066656,0.782661,0.014912,0.000448,0.001472,0.001024,0.000352,1.241672
0.415939,0.017504,0.142146,0.593124,0.070656,0.810022,0.014656,0.000480,0.001408,0.001376,0.000352,1.268073
0.421059,0.017824,0.132001,0.570980,0.066177,0.772582,0.014496,0.000512,0.001408,0.001152,0.000384,1.235337
0.421475,0.017792,0.129729,0.569252,0.067009,0.769574,0.014592,0.000480,0.001504,0.001280,0.000384,1.233769
0.437571,0.017568,0.142881,0.568292,0.070272,0.784933,0.015393,0.000448,0.001504,0.001120,0.000352,1.265257
0.420548,0.017600,0.135649,0.586116,0.072032,0.797413,0.016448,0.000448,0.001408,0.001441,0.000352,1.261674
0.420227,0.017281,0.126112,0.584485,0.072320,0.786565,0.014336,0.000512,0.001440,0.001088,0.000384,1.247625
0.416835,0.017696,0.137761,0.570788,0.071457,0.783558,0.014816,0.000480,0.001472,0.001408,0.000384,1.243465
0.415811,0.017408,0.124449,0.568100,0.064960,0.761221,0.014497,0.000480,0.001440,0.001248,0.000384,1.218761
0.415331,0.017665,0.140129,0.587268,0.070560,0.801669,0.014464,0.000448,0.001440,0.001440,0.000352,1.259113
0.419971,0.017280,0.133601,0.567396,0.065313,0.769542,0.015328,0.000448,0.001472,0.001056,0.000384,1.231529
0.417891,0.017280,0.125281,0.568100,0.064256,0.760773,0.014529,0.000480,0.001472,0.001216,0.000352,1.220489
0.442308,0.017664,0.136833,0.580356,0.068832,0.789701,0.014368,0.000448,0.001441,0.001312,0.000384,1.273546
0.421187,0.017504,0.140769,0.566436,0.065248,0.775749,0.015296,0.000480,0.001536,0.000960,0.000480,1.239529
0.415715,0.017600,0.118433,0.567076,0.063713,0.752614,0.015360,0.000448,0.002176,0.001504,0.000576,1.234409
0.421187,0.017920,0.167201,0.581892,0.076321,0.830406,0.015808,0.000448,0.001472,0.001536,0.000544,1.297673
0.417219,0.017760,0.140481,0.574309,0.068288,0.787366,0.016064,0.000512,0.001760,0.001632,0.000384,1.249225
0.420707,0.017632,0.135841,0.586533,0.069792,0.796550,0.015104,0.000448,0.001696,0.001440,0.000416,1.260201
0.417411,0.017664,0.138529,0.572260,0.069025,0.783398,0.014688,0.000480,0.001568,0.001280,0.000384,1.243177
0.416355,0.017472,0.137089,0.571652,0.069409,0.781670,0.014624,0.000480,0.001504,0.001408,0.000384,1.240105
0.437059,0.017536,0.137505,0.573060,0.068929,0.783302,0.014848,0.000480,0.001536,0.001088,0.000384,1.262985
0.420163,0.017344,0.145793,0.568868,0.069793,0.788230,0.014720,0.000480,0.001600,0.001184,0.000416,1.251145
0.421123,0.017728,0.134945,0.589700,0.071361,0.799942,0.015072,0.000448,0.001600,0.001440,0.000384,1.264361
0.416739,0.017696,0.134945,0.570532,0.066528,0.775813,0.015008,0.000448,0.001537,0.001664,0.000352,1.236105
0.415683,0.017505,0.127137,0.571076,0.067296,0.768997,0.014400,0.000448,0.001568,0.001280,0.000352,1.226313
0.416163,0.017760,0.161890,0.573124,0.071168,0.809862,0.016544,0.000512,0.001792,0.001216,0.000608,1.270825
0.415555,0.017728,0.136129,0.569284,0.067105,0.775910,0.014912,0.000480,0.001952,0.001280,0.000416,1.234697
0.420323,0.017504,0.139905,0.577860,0.068001,0.789414,0.014688,0.000480,0.001536,0.001504,0.000384,1.251945
0.440163,0.017664,0.137729,0.577668,0.070401,0.789510,0.014752,0.000480,0.001440,0.001088,0.000608,1.272585
0.420003,0.017536,0.135969,0.567364,0.066272,0.773029,0.014720,0.000448,0.001632,0.001376,0.000384,1.234920
0.419459,0.017504,0.142401,0.588869,0.069888,0.804998,0.014688,0.000512,0.001568,0.001696,0.000384,1.267753
0.415395,0.017632,0.132897,0.565668,0.069345,0.771654,0.014784,0.000480,0.001536,0.001152,0.000384,1.229257
0.417731,0.017632,0.142529,0.568900,0.067329,0.782470,0.019616,0.000544,0.001632,0.001280,0.000576,1.248585
0.415779,0.017504,0.148097,0.568996,0.071585,0.792454,0.015872,0.000448,0.001632,0.001056,0.000384,1.251657
0.421059,0.017728,0.131361,0.565188,0.066304,0.766341,0.014688,0.000480,0.001600,0.001056,0.000384,1.229416
0.415875,0.017472,0.141985,0.571396,0.067265,0.784262,0.014464,0.000512,0.001536,0.001120,0.000384,1.241833
0.437155,0.017536,0.141185,0.566596,0.066849,0.777830,0.015392,0.000448,0.001632,0.001088,0.000384,1.257993
0.420259,0.017536,0.138721,0.567716,0.065568,0.775141,0.014496,0.000480,0.001536,0.001632,0.000384,1.237672
0.421411,0.017664,0.137057,0.585605,0.071296,0.797478,0.014880,0.000544,0.001536,0.001120,0.000384,1.261193
0.421123,0.017728,0.138497,0.581924,0.072193,0.795942,0.014336,0.000448,0.001472,0.001248,0.000384,1.258441
0.420963,0.017728,0.137857,0.569092,0.066049,0.776678,0.014624,0.000448,0.001568,0.001408,0.000384,1.240169
0.419107,0.017792,0.224737,0.580485,0.077056,0.887302,0.015424,0.000672,0.001600,0.001792,0.000608,1.352489
0.419043,0.018369,0.136257,0.568644,0.069408,0.778437,0.015136,0.000480,0.001568,0.001440,0.000384,1.241737
0.417699,0.017632,0.162914,0.571300,0.067040,0.804678,0.015424,0.000480,0.001632,0.001312,0.000352,1.265225
0.421187,0.017792,0.140833,0.568901,0.067296,0.780934,0.015008,0.000448,0.001472,0.001088,0.000352,1.244745
0.417059,0.017664,0.138145,0.570372,0.068321,0.780646,0.014752,0.000480,0.001472,0.001152,0.000384,1.239881
0.420963,0.017280,0.138529,0.584708,0.069793,0.796934,0.014400,0.000480,0.002176,0.001344,0.000320,1.260809
0.422083,0.017472,0.139809,0.567716,0.066336,0.777125,0.014464,0.000512,0.001440,0.000992,0.000384,1.240424
0.419971,0.017824,0.134593,0.566500,0.064321,0.769190,0.019104,0.000480,0.001440,0.001376,0.000416,1.235625
0.419971,0.017600,0.162465,0.572196,0.066465,0.804870,0.014752,0.000448,0.001504,0.001152,0.000352,1.267081
