IN[0],INFER[0-2],OUT[2],TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.153189,1.492620,0.068738,1.722131,0.005473,0.050721,0.000896,0.013953,0.000352,0.001408,0.001216,0.000384,1.801334
0.158053,1.500813,0.069922,1.735860,0.005440,0.048482,0.000576,0.013568,0.000416,0.001440,0.001536,0.000384,1.812406
0.147013,1.493356,0.069091,1.715476,0.005440,0.048129,0.000832,0.013825,0.000352,0.001440,0.001216,0.000384,1.791446
0.137412,1.492013,0.074210,1.710355,0.005440,0.048706,0.000800,0.013664,0.000384,0.001728,0.001313,0.000320,1.787126
0.116772,1.493548,0.068482,1.685778,0.005473,0.069890,0.000992,0.014208,0.000448,0.001504,0.001408,0.000480,1.786389
0.132996,1.492332,0.066978,1.698226,0.007841,0.049761,0.000832,0.013633,0.000416,0.001472,0.001184,0.000320,1.778133
0.150916,1.496812,0.095651,1.750132,0.008224,0.048482,0.000832,0.013824,0.000384,0.001504,0.001120,0.000416,1.829270
0.154533,1.495596,0.069122,1.726771,0.006689,0.048513,0.000832,0.013825,0.000448,0.001472,0.001376,0.000416,1.804918
0.129603,1.509805,0.076994,1.723955,0.009184,0.048322,0.000640,0.014112,0.000352,0.001504,0.001280,0.000416,1.805237
0.147653,1.494092,0.069538,1.717780,0.007104,0.048449,0.000832,0.014049,0.000352,0.001760,0.001184,0.000352,1.796438
0.150149,1.512045,0.082307,1.752597,0.006496,0.048673,0.000896,0.013633,0.000352,0.001504,0.001120,0.000352,1.831159
0.151973,1.506541,0.069570,1.734708,0.008096,0.049602,0.000832,0.013824,0.000352,0.001472,0.001057,0.000320,1.814935
0.151908,1.509005,0.104611,1.772373,0.009312,0.049697,0.000832,0.013729,0.000352,0.001504,0.001216,0.000352,1.854071
0.151109,1.493708,0.069698,1.720787,0.005441,0.048545,0.000832,0.013569,0.000384,0.001536,0.001120,0.000384,1.797174
0.149956,1.509933,0.087715,1.755188,0.008224,0.048546,0.000672,0.013568,0.000384,0.001472,0.001248,0.000384,1.834903
0.149637,1.492909,0.071202,1.720436,0.011040,0.049250,0.000640,0.013600,0.000352,0.001440,0.001408,0.000384,1.803254
0.140420,1.511278,0.096354,1.754709,0.008000,0.049281,0.000800,0.013793,0.000384,0.001472,0.001216,0.000352,1.834807
