IN[5632],IN[2560],IN[3072],IN[4],IN[128],IN[8192],IN[6144],IN[8704],IN[4096],IN[16],IN[1536],IN[5120],IN[1024],IN[2048],IN[6656],IN[64],IN[32],IN[256],IN[7680],IN[8],IN[9728],IN[512],IN[3584],IN[9216],IN[7168],IN[10240],IN[1],IN[2],IN[4608]
0.155746,0.10841700000000001,0.108769,0.08236900000000001,0.072001,0.143042,0.18160199999999999,0.191554,0.145954,0.083457,0.12829000000000002,0.15565,0.106209,0.132866,0.148801,0.099841,0.077953,0.079424,0.179202,0.080961,0.191938,0.099617,0.128578,0.156386,0.183362,0.15741,0.07312,0.083937,0.176642
0.139329,0.153954,0.142497,0.068385,0.094177,0.151553,0.18323399999999998,0.166914,0.135778,0.08665700000000001,0.124129,0.133537,0.088961,0.13158499999999998,0.16153800000000001,0.078657,0.098913,0.100257,0.15484900000000001,0.079137,0.15254500000000001,0.091585,0.12758599999999998,0.182529,0.18291400000000002,0.15117,0.072545,0.067745,0.152257
0.16886600000000002,0.132865,0.11398499999999999,0.078337,0.090273,0.145698,0.13731300000000002,0.161217,0.109473,0.084385,0.12825699999999998,0.175522,0.08505700000000001,0.12259300000000001,0.139234,0.074785,0.100641,0.092128,0.125729,0.076961,0.17149,0.089281,0.176802,0.205794,0.18861,0.166114,0.075553,0.096609,0.156641
0.172066,0.102849,0.091201,0.07449700000000001,0.079425,0.17913800000000002,0.173122,0.188962,0.165026,0.08432100000000001,0.096609,0.177537,0.10518499999999999,0.128353,0.15273699999999998,0.078177,0.077089,0.102433,0.140545,0.077409,0.17113699999999998,0.09299199999999999,0.157889,0.185601,0.174178,0.156865,0.074049,0.07088,0.17149
0.143713,0.10387300000000001,0.10278499999999999,0.08288,0.090849,0.17949,0.129153,0.180545,0.125281,0.07177599999999999,0.131617,0.155329,0.11238499999999998,0.121601,0.11824100000000001,0.10771300000000002,0.094081,0.083009,0.158722,0.098273,0.176289,0.137154,0.14086500000000002,0.16003399999999998,0.185634,0.165986,0.078976,0.090081,0.16157
0.17293,0.102113,0.138177,0.069985,0.10905699999999999,0.164577,0.120065,0.182082,0.12633699999999998,0.070145,0.099233,0.151201,0.09612899999999999,0.14205,0.131905,0.088001,0.097761,0.104929,0.139041,0.095361,0.183106,0.101601,0.160546,0.154914,0.188642,0.169185,0.074849,0.08620900000000001,0.16838599999999998
0.174402,0.10348900000000001,0.109633,0.078753,0.077056,0.164321,0.141985,0.147074,0.139489,0.069888,0.114337,0.17238599999999998,0.079553,0.092833,0.146242,0.083233,0.079457,0.120098,0.157314,0.086913,0.204898,0.099617,0.16048199999999999,0.18979400000000002,0.18861,0.15645,0.076257,0.07660800000000001,0.133601
0.172834,0.100993,0.109473,0.095777,0.08643300000000001,0.17865699999999998,0.15917,0.152834,0.147777,0.071009,0.11097699999999999,0.188546,0.102017,0.095937,0.135297,0.071905,0.097505,0.079265,0.140289,0.087424,0.17869000000000002,0.094753,0.112001,0.155042,0.18848199999999998,0.15545799999999999,0.072001,0.07008099999999999,0.16797
0.13584200000000002,0.13180899999999998,0.11881800000000001,0.066304,0.087392,0.153921,0.14768199999999998,0.16739300000000001,0.121762,0.074976,0.114657,0.157922,0.104449,0.14588900000000002,0.115585,0.11184100000000001,0.07104099999999999,0.090337,0.154082,0.08860900000000001,0.180385,0.133921,0.114593,0.132386,0.173954,0.179298,0.074048,0.093697,0.15376099999999998
0.12934500000000002,0.121857,0.153121,0.071489,0.083969,0.125953,0.14093,0.18144200000000002,0.147137,0.085569,0.127905,0.15549000000000002,0.095297,0.121153,0.11593800000000001,0.122977,0.07584099999999999,0.08067300000000001,0.13916900000000001,0.089921,0.178721,0.124865,0.10797000000000001,0.14038499999999998,0.17113699999999998,0.208546,0.075009,0.102977,0.139842
0.137153,0.124129,0.143074,0.073888,0.098689,0.137281,0.18125,0.177858,0.126913,0.091009,0.12861,0.16886600000000002,0.096897,0.10758499999999999,0.120769,0.073665,0.086721,0.083201,0.139105,0.079809,0.21161799999999997,0.10649700000000001,0.12134500000000001,0.145729,0.187426,0.207682,0.07376,0.084896,0.12934500000000002
0.14016199999999998,0.143297,0.15670499999999998,0.069985,0.079361,0.164994,0.13289700000000002,0.171329,0.126753,0.090305,0.099585,0.179233,0.075809,0.107649,0.136001,0.074337,0.074081,0.089825,0.18243399999999999,0.079105,0.17117000000000002,0.097345,0.159649,0.151522,0.137665,0.169281,0.073889,0.096289,0.136641
0.17597000000000002,0.156066,0.149794,0.069281,0.087424,0.159393,0.136641,0.179586,0.147202,0.073281,0.11238499999999998,0.15213,0.103457,0.092705,0.131425,0.091425,0.07343999999999999,0.100961,0.172802,0.06848,0.200322,0.095041,0.13273800000000002,0.14566500000000002,0.142594,0.181697,0.075041,0.094113,0.168354
0.182017,0.154978,0.107457,0.069249,0.074976,0.19037,0.136962,0.171458,0.120993,0.073313,0.09363300000000001,0.174978,0.104769,0.121313,0.142529,0.074273,0.089729,0.072673,0.160193,0.070785,0.198882,0.092961,0.12304200000000001,0.156642,0.17974600000000002,0.205986,0.071457,0.087297,0.155777
0.138721,0.12108900000000002,0.108001,0.073089,0.09328099999999999,0.158146,0.150369,0.13081800000000002,0.14163299999999998,0.066433,0.123777,0.175906,0.100129,0.117666,0.12041700000000001,0.08566499999999999,0.103681,0.077089,0.171649,0.08432100000000001,0.20636999999999997,0.137282,0.116129,0.152897,0.142689,0.20752199999999998,0.076449,0.102113,0.129313
0.13452999999999998,0.128641,0.114625,0.07596900000000001,0.09686499999999999,0.177314,0.138658,0.18925,0.166402,0.087681,0.156033,0.176002,0.10572899999999999,0.118177,0.117665,0.081856,0.08569700000000001,0.082753,0.12749000000000002,0.073728,0.20093,0.102274,0.156546,0.202786,0.143969,0.19228900000000002,0.077601,0.090337,0.157634
0.159906,0.11152100000000001,0.138593,0.09238500000000001,0.07772799999999999,0.15446600000000002,0.12326600000000001,0.176034,0.126049,0.076545,0.115553,0.139969,0.095297,0.102657,0.12374500000000001,0.083649,0.07596900000000001,0.07936,0.148609,0.10796900000000001,0.193089,0.092512,0.130146,0.171618,0.13757,0.182594,0.074273,0.102913,0.153666
0.127138,0.114113,0.125921,0.082113,0.076001,0.143073,0.15065699999999999,0.19206600000000001,0.126658,0.075136,0.130498,0.152418,0.10681700000000001,0.09478500000000001,0.139649,0.083585,0.086113,0.074977,0.145762,0.09792100000000001,0.141537,0.108993,0.115041,0.176322,0.136737,0.17933,0.072897,0.092961,0.173986
