Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396171,0.017824,0.191814,0.154308,0.097891,0.063362,0.319049,0.014625,0.000512,0.001504,0.001056,0.000416,0.950076
0.395436,0.017664,0.191398,0.117508,0.099171,0.070882,0.291369,0.015552,0.000512,0.001440,0.000992,0.000352,0.920827
0.394860,0.017729,0.191365,0.129764,0.099331,0.068162,0.300457,0.015585,0.000736,0.001408,0.000832,0.000352,0.929372
0.395275,0.017600,0.191846,0.140836,0.089315,0.060001,0.293384,0.014305,0.000512,0.001472,0.000960,0.000384,0.922395
0.394636,0.017440,0.191942,0.141572,0.098403,0.066178,0.309641,0.014496,0.000481,0.001440,0.001088,0.000352,0.938204
0.396012,0.017440,0.192198,0.137476,0.088003,0.060225,0.288905,0.014304,0.000576,0.001504,0.001184,0.000352,0.919483
0.395148,0.017569,0.191813,0.136100,0.088451,0.065378,0.293705,0.014336,0.000512,0.001537,0.001056,0.000352,0.922876
0.395851,0.017729,0.203462,0.140100,0.098147,0.065090,0.306601,0.014400,0.000544,0.001441,0.000992,0.000352,0.947996
0.395308,0.017601,0.191941,0.127076,0.087171,0.058849,0.276328,0.014593,0.000544,0.001440,0.001024,0.000352,0.905723
0.394412,0.017728,0.191750,0.127460,0.086115,0.059233,0.276136,0.014689,0.000800,0.001504,0.001056,0.000384,0.905435
0.394412,0.017536,0.192390,0.138116,0.086371,0.061378,0.289545,0.015520,0.000512,0.001440,0.001024,0.000352,0.919739
0.394763,0.017537,0.191494,0.132164,0.087362,0.061410,0.284616,0.014913,0.000512,0.001504,0.000928,0.000320,0.912923
0.394444,0.017696,0.192102,0.135844,0.086147,0.067362,0.292265,0.014144,0.000544,0.001440,0.001024,0.000352,0.920283
0.394700,0.017633,0.191973,0.139044,0.086371,0.061186,0.289737,0.014592,0.000512,0.001408,0.001056,0.000352,0.918203
0.414444,0.024065,0.191942,0.141700,0.085762,0.062178,0.292936,0.015553,0.000512,0.001472,0.000992,0.000384,0.949148
0.394572,0.017568,0.192134,0.129572,0.083234,0.063074,0.279016,0.014337,0.000544,0.001536,0.000960,0.000352,0.906907
0.394540,0.017376,0.191302,0.133796,0.084771,0.059713,0.281416,0.014241,0.000512,0.001472,0.001088,0.000288,0.908219
0.395756,0.017505,0.191781,0.143045,0.087650,0.060034,0.293961,0.034721,0.000896,0.001760,0.001120,0.000416,0.946652
0.394987,0.017697,0.191974,0.125059,0.086819,0.060674,0.275816,0.014304,0.000544,0.001504,0.000928,0.000352,0.904346
0.396779,0.017697,0.192102,0.141764,0.089506,0.062018,0.296584,0.015425,0.000512,0.001792,0.000960,0.000384,0.929051
0.395084,0.017441,0.191813,0.139653,0.084482,0.058626,0.285833,0.015296,0.000576,0.001408,0.000992,0.000289,0.915708
0.428749,0.017472,0.191718,0.138308,0.098467,0.065730,0.305513,0.015104,0.000512,0.001504,0.001089,0.000288,0.968349
0.394732,0.017376,0.191750,0.121891,0.086786,0.061186,0.272904,0.014592,0.000512,0.001472,0.001025,0.000288,0.900987
0.394252,0.017537,0.191205,0.129444,0.084675,0.058081,0.275240,0.014177,0.000512,0.001472,0.000928,0.000256,0.902075
0.393932,0.017440,0.191590,0.134308,0.101571,0.080034,0.319401,0.014561,0.000544,0.001472,0.000992,0.000288,0.946108
0.394476,0.017377,0.192037,0.135972,0.086819,0.060834,0.286761,0.014368,0.000544,0.001472,0.000960,0.000320,0.914555
0.394124,0.017505,0.191749,0.136740,0.086019,0.061922,0.287977,0.014304,0.000832,0.001440,0.001088,0.000320,0.915291
0.394348,0.017473,0.192581,0.134212,0.088451,0.061282,0.287241,0.014240,0.000544,0.001472,0.001024,0.000320,0.915099
0.411469,0.017440,0.192038,0.134532,0.098307,0.065378,0.301609,0.015392,0.000544,0.001504,0.000960,0.000384,0.947868
0.396236,0.017793,0.191813,0.128420,0.086915,0.061538,0.280393,0.014176,0.000768,0.001472,0.001120,0.000384,0.911803
0.395595,0.017473,0.192006,0.129604,0.087682,0.060834,0.281608,0.014688,0.000608,0.001505,0.001056,0.000416,0.911419
0.395051,0.017505,0.191814,0.160644,0.117316,0.062018,0.343530,0.014464,0.000544,0.001408,0.001056,0.000352,0.971772
