IN[0],INFER[0-10],OUT[10],TEE[0-10],classifier
0.149989,1.597967,0.107332,1.863576,1.864888
0.151781,1.572719,0.074338,1.806774,1.808534
0.146436,1.602288,0.083586,1.840086,1.842006
0.175109,1.578831,0.080290,1.841878,1.843830
0.133028,1.571823,0.067618,1.778869,1.780341
0.175397,1.580015,0.073474,1.837334,1.839223
0.149060,1.582319,0.072130,1.811221,1.813141
0.150564,1.573679,0.090339,1.822902,1.824726
0.152164,1.578447,0.069698,1.807797,1.809045
0.153060,1.599440,0.104931,1.865911,1.867767
0.148581,1.584143,0.070978,1.811094,1.812854
0.149605,1.590991,0.077794,1.826294,1.828086
0.174821,1.576591,0.070146,1.828854,1.830486
0.154884,1.598191,0.091235,1.851639,1.853399
0.148932,1.585904,0.072770,1.814646,1.815958
0.195718,1.630672,0.083299,1.917209,1.918937
0.130819,1.582318,0.075362,1.795637,1.797013
0.151557,1.595535,0.081955,1.838071,1.839735
0.148004,1.577839,0.075330,1.808598,1.809974
0.155460,1.594160,0.124291,1.882552,1.884472
0.151045,1.581103,0.084514,1.823926,1.825910
0.132868,1.603727,0.080290,1.825302,1.827222
0.140357,1.582671,0.080258,1.811414,1.813206
0.154404,1.598352,0.089667,1.851159,1.853239
0.152677,1.579695,0.070402,1.810166,1.811606
0.133028,1.604911,0.109891,1.855896,1.857656
0.149028,1.585647,0.069986,1.812182,1.813558
0.194950,1.600207,0.071042,1.873943,1.875448
0.179397,1.580335,0.077987,1.845783,1.847287
0.136132,1.573006,0.076546,1.792437,1.793877
0.152901,1.603952,0.081506,1.847255,1.849111
0.149925,1.578671,0.068482,1.804758,1.806710
0.151524,1.597872,0.117027,1.875479,1.877432
0.183685,1.579375,0.083107,1.854039,1.855991
0.146852,1.598480,0.080610,1.834134,1.835958
0.131523,1.572910,0.074947,1.786965,1.788437
0.151493,1.598671,0.085891,1.844823,1.846679
0.149061,1.585039,0.072386,1.814166,1.815574
0.153796,1.606736,0.082499,1.851703,1.853559
0.144613,1.579630,0.076482,1.807734,1.809238
0.149732,1.603792,0.085506,1.848054,1.849910
0.132100,1.578191,0.070402,1.788117,1.789397
0.177893,1.594704,0.083074,1.863351,1.864855
0.148100,1.572815,0.074370,1.803349,1.805205
0.149348,1.603632,0.085634,1.846774,1.848758
0.173733,1.579183,0.076706,1.837430,1.838838
0.146885,1.592207,0.084867,1.831991,1.833719
0.146244,1.584815,0.074979,1.813526,1.815286
0.150853,1.591759,0.080514,1.831798,1.833750
0.140484,1.570638,0.074402,1.793205,1.794997
0.148805,1.594703,0.073730,1.824694,1.826422
0.148132,1.581455,0.068258,1.804853,1.806069
0.121636,1.570318,0.070146,1.769300,1.770932
0.131204,1.586639,0.065922,1.790613,1.791957
0.143204,1.581583,0.074018,1.805909,1.807477
0.147493,1.577039,0.078050,1.810614,1.812374
0.138372,1.576559,0.077250,1.800853,1.802581
0.147909,1.599119,0.082851,1.837623,1.839639
0.150181,1.573326,0.078658,1.810486,1.812086
0.145925,1.589775,0.086114,1.829110,1.830934
0.145765,1.577967,0.077186,1.808374,1.809974
0.146245,1.584879,0.086786,1.825654,1.827414
0.143269,1.571278,0.074274,1.796246,1.798006
0.144836,1.595823,0.094147,1.841558,1.843158
0.141092,1.579695,0.068706,1.795253,1.796629
0.143045,1.592623,0.076098,1.819894,1.821590
0.131812,1.583055,0.069507,1.791478,1.792662
0.141093,1.604367,0.081251,1.833719,1.835255
0.152612,1.581902,0.071842,1.814038,1.815446
0.141252,1.582831,0.081474,1.811989,1.813653
0.142628,1.568399,0.073058,1.789589,1.790805
0.143204,1.591183,0.078946,1.820214,1.821910
0.144164,1.575726,0.072931,1.798870,1.800246
0.144132,1.597007,0.118788,1.867159,1.868855
0.146788,1.573647,0.072642,1.799477,1.800661
0.144869,1.604335,0.082914,1.839479,1.841143
0.145508,1.579727,0.071619,1.804086,1.805910
0.150405,1.599087,0.078626,1.837143,1.839095
0.131780,1.571631,0.070978,1.782293,1.783989
0.144868,1.593584,0.084962,1.830998,1.832790
0.146277,1.576847,0.073026,1.803606,1.805334
0.145060,1.589296,0.080034,1.821590,1.823414
0.145956,1.583375,0.069506,1.804853,1.806133
0.145028,1.601519,0.083235,1.837367,1.839127
0.142532,1.583791,0.066562,1.798581,1.799893
0.167589,1.602128,0.073090,1.849783,1.851543
0.141924,1.569294,0.067426,1.786677,1.788053
0.149380,1.572110,0.078083,1.807254,1.808950
0.146020,1.578095,0.077506,1.808725,1.810549
0.145380,1.580591,0.084515,1.816758,1.818198
0.172901,1.580719,0.102435,1.862839,1.864695
0.130212,1.569326,0.070051,1.775573,1.776853
0.143844,1.601136,0.079330,1.831894,1.833686
0.147653,1.577679,0.071586,1.804406,1.806198
0.147492,1.602704,0.083682,1.841334,1.842743
0.146884,1.571503,0.073314,1.799509,1.801237
0.158949,1.589327,0.078786,1.834102,1.835862
0.146789,1.586095,0.070946,1.811382,1.813078
0.150885,1.588431,0.078530,1.826070,1.827798
0.135716,1.580751,0.076579,1.799414,1.800822
0.146500,1.600400,0.108771,1.862775,1.864023
0.144389,1.570318,0.068386,1.789781,1.791221
0.145156,1.585007,0.077474,1.815670,1.817238
0.145764,1.572399,0.066914,1.791189,1.792533
0.147268,1.591247,0.083874,1.830998,1.832566
0.151012,1.570703,0.080643,1.810646,1.812150
0.155237,1.603664,0.097539,1.865784,1.867800
0.180005,1.579086,0.078115,1.846167,1.847991
0.149893,1.600591,0.109156,1.867032,1.868440
0.150596,1.587600,0.073954,1.820118,1.821718
0.151332,1.597520,0.083714,1.840534,1.842326
0.128132,1.583887,0.076066,1.794773,1.795957
0.145029,1.594415,0.082019,1.828503,1.829719
0.146148,1.581519,0.074434,1.809461,1.811061
0.171077,1.596399,0.068386,1.843702,1.845142
0.117220,1.581807,0.073730,1.779957,1.781461
0.148101,1.572526,0.073443,1.800886,1.802518
0.132004,1.577454,0.077315,1.794485,1.795701
0.144196,1.584975,0.073123,1.808886,1.810550
0.142693,1.582639,0.067394,1.798230,1.799478
0.142533,1.569998,0.068994,1.787349,1.788597
0.140741,1.581359,0.095138,1.824343,1.826071
0.119044,1.579151,0.070050,1.773941,1.775349
0.157156,1.587247,0.072867,1.824566,1.826262
