Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-8],OUT[8],TEE[4-8],Layer[9],Layer[10],classifier
0.416291,0.017472,0.202561,0.005376,0.115873,0.099233,0.063264,0.281794,0.001408,0.000416,0.931462
0.416195,0.017472,0.202754,0.005056,0.109985,0.098176,0.069697,0.281282,0.001536,0.000352,0.930279
0.416579,0.017472,0.203169,0.005280,0.107521,0.098817,0.061888,0.271362,0.001184,0.000352,0.920710
0.432195,0.017344,0.202338,0.005376,0.108737,0.097344,0.062561,0.271778,0.001120,0.000320,0.935463
0.415331,0.017376,0.202497,0.005280,0.116033,0.095937,0.064064,0.279202,0.001216,0.000384,0.926278
0.416259,0.017760,0.202273,0.005280,0.113089,0.105217,0.062912,0.284386,0.001248,0.000320,0.933031
0.415619,0.017408,0.219650,0.005216,0.103937,0.108833,0.061408,0.277826,0.001248,0.000384,0.943687
0.415363,0.017568,0.202177,0.005248,0.112065,0.109537,0.064321,0.289059,0.001376,0.000352,0.936615
0.416131,0.017472,0.202434,0.005152,0.111905,0.096704,0.062177,0.274114,0.001312,0.000352,0.922631
0.415427,0.017312,0.203457,0.005248,0.108321,0.104001,0.065120,0.280706,0.001280,0.000352,0.929382
0.415555,0.017472,0.202466,0.005280,0.117601,0.103168,0.064737,0.288802,0.001184,0.000416,0.936935
0.415523,0.017440,0.202561,0.005152,0.106081,0.104545,0.064320,0.277954,0.001184,0.000384,0.925350
0.415491,0.017504,0.202690,0.005248,0.110401,0.100576,0.062369,0.276578,0.001152,0.000416,0.924423
0.433379,0.017504,0.202625,0.005088,0.109793,0.096481,0.063392,0.272866,0.001088,0.000416,0.938502
0.414915,0.017632,0.202402,0.005376,0.112160,0.096417,0.062433,0.274018,0.001184,0.000384,0.921479
0.415459,0.017440,0.202530,0.005248,0.111489,0.104928,0.063777,0.283202,0.001376,0.000416,0.931111
0.415299,0.017280,0.202561,0.005312,0.113889,0.097249,0.082913,0.297603,0.001312,0.000416,0.945191
0.415523,0.017280,0.202306,0.005248,0.106625,0.096160,0.062785,0.269090,0.001408,0.000416,0.916487
0.415939,0.017312,0.202337,0.005088,0.109921,0.103073,0.066432,0.282338,0.001312,0.000384,0.930022
0.415587,0.017408,0.205474,0.005024,0.109568,0.097377,0.065985,0.276002,0.001440,0.000384,0.926695
0.435139,0.017857,0.202753,0.005280,0.114753,0.097985,0.064096,0.280354,0.001344,0.000352,0.948999
0.415907,0.017600,0.202177,0.005312,0.107489,0.097729,0.063936,0.272450,0.001280,0.000320,0.920358
0.416259,0.017600,0.202498,0.005312,0.107873,0.105824,0.062913,0.279650,0.001216,0.000416,0.928039
0.415778,0.017473,0.202273,0.005312,0.106785,0.116225,0.064576,0.290978,0.001280,0.000352,0.939078
0.415939,0.017152,0.203106,0.005408,0.131104,0.098177,0.064001,0.296482,0.001184,0.000384,0.945575
0.415235,0.017633,0.202849,0.005216,0.114337,0.103841,0.064160,0.285378,0.001216,0.000384,0.933127
0.415779,0.017600,0.202529,0.005408,0.108961,0.096033,0.063808,0.271970,0.001184,0.000288,0.919782
0.434243,0.017248,0.202658,0.005280,0.110081,0.095904,0.063105,0.272098,0.001280,0.000384,0.939207
0.415843,0.017312,0.202305,0.005120,0.110113,0.095361,0.060960,0.269922,0.001120,0.000384,0.917702
0.416739,0.018432,0.201954,0.005280,0.124225,0.106368,0.062209,0.295938,0.001632,0.000384,0.947623
0.415363,0.017440,0.221762,0.005280,0.114944,0.111425,0.066433,0.295970,0.001344,0.000416,0.965639
0.415683,0.017217,0.204161,0.005120,0.108737,0.099553,0.064032,0.275586,0.001152,0.000416,0.924999
0.415971,0.017344,0.202274,0.005440,0.122272,0.102145,0.066209,0.293954,0.001280,0.000352,0.944071
0.415587,0.017504,0.202369,0.005312,0.108161,0.099105,0.066144,0.276738,0.001344,0.000288,0.924838
0.415523,0.017472,0.202434,0.005344,0.109184,0.098209,0.064129,0.274562,0.001216,0.000288,0.923495
0.416099,0.017281,0.203073,0.005216,0.111041,0.103489,0.066336,0.284194,0.001152,0.000320,0.932615
0.415139,0.017568,0.204162,0.005120,0.111968,0.102401,0.065825,0.283682,0.001184,0.000352,0.932327
0.431971,0.017537,0.202433,0.005120,0.104833,0.097536,0.066145,0.271778,0.001088,0.000288,0.935495
0.415459,0.017472,0.202113,0.005216,0.110625,0.096769,0.067392,0.277954,0.001280,0.000352,0.925414
0.415011,0.017376,0.202530,0.005344,0.111712,0.104417,0.069185,0.288322,0.000992,0.000352,0.935591
0.416451,0.017281,0.202913,0.005344,0.118113,0.120065,0.070432,0.312162,0.001888,0.000384,0.963079
0.415171,0.017408,0.202786,0.005088,0.105729,0.104000,0.063841,0.276642,0.001280,0.000384,0.924391
0.415587,0.017568,0.202497,0.005344,0.110817,0.097729,0.063168,0.275042,0.001152,0.000352,0.923430
0.417443,0.017632,0.202146,0.005216,0.116768,0.105185,0.063937,0.289186,0.001120,0.000416,0.938471
0.431172,0.017536,0.202369,0.005088,0.112001,0.101537,0.063968,0.280738,0.001248,0.000384,0.943751
0.416387,0.017408,0.202177,0.005024,0.114304,0.097025,0.064032,0.278849,0.001249,0.000384,0.926695
0.415683,0.017569,0.202305,0.005312,0.120513,0.096545,0.066016,0.286498,0.001248,0.000416,0.934471
0.416163,0.017536,0.221410,0.005216,0.112896,0.101857,0.065121,0.283202,0.001152,0.000416,0.951015
0.416291,0.017441,0.202433,0.005152,0.111009,0.104961,0.070240,0.289570,0.001184,0.000384,0.938215
0.417091,0.017952,0.202530,0.005280,0.109120,0.097537,0.065025,0.275202,0.001376,0.000352,0.925287
0.416227,0.017824,0.203681,0.005568,0.130369,0.102145,0.066816,0.302850,0.002048,0.000416,0.955238
0.415747,0.017472,0.202722,0.005120,0.118849,0.105985,0.062304,0.290434,0.001280,0.000384,0.938151
0.415779,0.017312,0.202817,0.005408,0.105825,0.104833,0.061536,0.275714,0.001248,0.000384,0.923334
0.416067,0.017792,0.203522,0.005216,0.111968,0.105601,0.068193,0.289090,0.001440,0.000352,0.938631
0.429571,0.017312,0.203970,0.005056,0.109313,0.102977,0.063648,0.279106,0.001312,0.000416,0.942087
0.415939,0.017472,0.202273,0.005120,0.116385,0.102529,0.064704,0.286690,0.001184,0.000352,0.934470
0.416835,0.017248,0.202370,0.005440,0.102144,0.104769,0.063713,0.273922,0.001184,0.000384,0.922759
0.415555,0.018144,0.202978,0.005312,0.110145,0.117409,0.068384,0.299842,0.001280,0.000320,0.948519
0.415811,0.017408,0.202274,0.005216,0.111360,0.102209,0.066369,0.282978,0.001056,0.000352,0.930407
