Layer[0],Layer[1],Layer[2],IN[3],INFER[3-7],OUT[7],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.395980,0.017601,0.191269,0.136324,0.103427,0.064866,0.307977,0.002528,0.001089,0.000352,0.922460
0.396524,0.017728,0.192070,0.142532,0.105316,0.068354,0.320234,0.002528,0.001152,0.000416,0.938236
0.396075,0.017760,0.207142,0.139044,0.115524,0.065602,0.323850,0.002368,0.001056,0.000384,0.955772
0.395980,0.017729,0.191557,0.133028,0.103556,0.071586,0.311882,0.002496,0.001184,0.000416,0.927964
0.396075,0.017793,0.191365,0.126883,0.101667,0.063138,0.294792,0.002688,0.001152,0.000384,0.910842
0.395724,0.017792,0.191366,0.138212,0.101347,0.086371,0.329706,0.003136,0.001248,0.000416,0.945980
0.395628,0.017856,0.191429,0.134660,0.103971,0.063394,0.305865,0.002528,0.001088,0.000384,0.921307
0.395660,0.017664,0.191270,0.136548,0.103043,0.063874,0.306729,0.002560,0.001216,0.000416,0.921531
0.395660,0.017760,0.191046,0.135428,0.103139,0.063650,0.305865,0.002304,0.001120,0.000384,0.919963
0.413708,0.017697,0.191397,0.147749,0.114531,0.067682,0.333386,0.002752,0.001088,0.000384,0.967196
0.405676,0.017792,0.191526,0.137700,0.106723,0.064834,0.312745,0.002880,0.001312,0.000448,0.938811
0.396715,0.017729,0.191782,0.140100,0.102755,0.065954,0.312393,0.003232,0.001120,0.000448,0.930011
0.396844,0.017760,0.210214,0.140581,0.112291,0.066882,0.323370,0.002560,0.001120,0.000416,0.958972
0.395819,0.017600,0.191398,0.142052,0.102339,0.065634,0.313225,0.002432,0.001120,0.000384,0.928603
0.396139,0.017825,0.191750,0.132868,0.107043,0.065762,0.308905,0.002624,0.001248,0.000448,0.924859
0.396076,0.017889,0.191877,0.140901,0.117379,0.087651,0.349291,0.003584,0.001248,0.000416,0.966781
0.395307,0.017921,0.191302,0.124867,0.100995,0.062018,0.291208,0.002720,0.001216,0.000416,0.906586
0.400556,0.017792,0.191302,0.121731,0.104675,0.064994,0.294505,0.002432,0.001120,0.000384,0.914171
0.396204,0.017664,0.191366,0.134212,0.103779,0.073218,0.315305,0.002624,0.001120,0.000352,0.930843
0.415884,0.017889,0.191781,0.140612,0.114820,0.067138,0.325898,0.002624,0.001088,0.000384,0.962332
0.396268,0.017792,0.191589,0.129060,0.105059,0.066178,0.303817,0.002848,0.001184,0.000448,0.920635
0.395819,0.017793,0.191462,0.126691,0.102467,0.063746,0.296456,0.002592,0.001120,0.000384,0.911355
0.400171,0.017697,0.191174,0.148292,0.115619,0.062849,0.330281,0.003009,0.001120,0.000384,0.950076
0.400428,0.017728,0.191494,0.125348,0.103139,0.061602,0.293577,0.002720,0.001120,0.000416,0.913979
0.400428,0.017665,0.191269,0.133796,0.102691,0.062850,0.302569,0.002528,0.001088,0.000416,0.922236
0.399980,0.017792,0.191494,0.133508,0.103299,0.064834,0.305001,0.004000,0.001120,0.000416,0.925723
0.401132,0.017697,0.191718,0.143012,0.102819,0.064194,0.313545,0.002592,0.001120,0.000352,0.934524
0.397100,0.017632,0.191654,0.130948,0.103939,0.065026,0.302953,0.002752,0.001184,0.000352,0.919515
0.400588,0.017632,0.191526,0.135652,0.104963,0.067362,0.312265,0.003456,0.001185,0.000384,0.933468
0.400428,0.017632,0.210950,0.136868,0.114627,0.068034,0.323177,0.004160,0.001088,0.000416,0.963868
0.395596,0.017505,0.191749,0.133860,0.106724,0.066402,0.310986,0.002624,0.001152,0.000384,0.926588
0.400460,0.017729,0.191206,0.136932,0.103907,0.064610,0.308745,0.002528,0.001184,0.000416,0.928636
0.400300,0.017665,0.191461,0.121444,0.105379,0.086851,0.317130,0.005664,0.001216,0.000416,0.940188
0.400076,0.017824,0.191942,0.133380,0.101763,0.066338,0.304809,0.002624,0.001216,0.000384,0.924635
0.396620,0.017729,0.191301,0.133252,0.102211,0.064738,0.303881,0.002560,0.001312,0.000352,0.919835
0.400588,0.017696,0.191814,0.144836,0.101859,0.065474,0.315593,0.003360,0.001248,0.000352,0.938075
0.412236,0.017920,0.191750,0.166181,0.117699,0.065698,0.353066,0.003457,0.001312,0.000448,0.986237
0.401036,0.017601,0.191365,0.125188,0.102595,0.063938,0.295209,0.002592,0.001280,0.000480,0.915579
0.396620,0.017760,0.191654,0.137956,0.111108,0.070306,0.322666,0.002688,0.001216,0.000384,0.939100
0.400428,0.017824,0.208295,0.137636,0.102787,0.067842,0.311273,0.004192,0.001216,0.000416,0.949788
0.402156,0.017633,0.193285,0.131492,0.105923,0.068802,0.310281,0.002849,0.001216,0.000448,0.934652
0.401580,0.017792,0.191494,0.132964,0.107331,0.066178,0.309801,0.002688,0.001088,0.000416,0.930875
0.401196,0.017857,0.191941,0.136100,0.104516,0.066434,0.310346,0.003040,0.001344,0.000384,0.931804
0.401356,0.017856,0.191686,0.134628,0.102211,0.064418,0.304713,0.003008,0.001312,0.000384,0.926171
0.400523,0.017632,0.191558,0.137508,0.104163,0.063554,0.308489,0.002432,0.001120,0.000352,0.928123
0.401612,0.017473,0.191813,0.123812,0.102403,0.062722,0.292105,0.002688,0.001184,0.000320,0.913435
0.416013,0.017952,0.191750,0.131524,0.100579,0.062242,0.297513,0.005376,0.001216,0.000320,0.935836
0.401132,0.017665,0.191333,0.131523,0.101667,0.064354,0.300776,0.003008,0.001312,0.000352,0.921916
0.401676,0.017792,0.191430,0.137540,0.103267,0.068098,0.311977,0.005312,0.001120,0.000384,0.936251
0.400908,0.017665,0.191461,0.122372,0.118948,0.073122,0.318282,0.003040,0.001280,0.000416,0.939644
0.400044,0.017728,0.191590,0.135428,0.106819,0.068226,0.314185,0.002944,0.001216,0.000448,0.934587
0.400715,0.017824,0.191398,0.134916,0.103971,0.066562,0.308809,0.002976,0.001344,0.000416,0.929275
0.400364,0.017633,0.192262,0.160036,0.104579,0.065570,0.333449,0.004257,0.001120,0.000352,0.955517
0.412365,0.017664,0.191366,0.134532,0.113891,0.066882,0.318665,0.003328,0.001089,0.000384,0.951453
0.395916,0.017601,0.191173,0.129924,0.104515,0.066466,0.304393,0.005633,0.001184,0.000448,0.922780
0.396171,0.017825,0.191686,0.137444,0.099939,0.064610,0.305417,0.003168,0.001184,0.000416,0.921755
0.401611,0.017632,0.210150,0.148549,0.111075,0.065026,0.328106,0.003168,0.001120,0.000384,0.968988
0.395723,0.017569,0.191302,0.131523,0.106180,0.066882,0.308329,0.002848,0.001312,0.000448,0.923515
0.401676,0.017760,0.191142,0.151589,0.103395,0.065122,0.323402,0.002656,0.001120,0.000480,0.944988
0.396108,0.017633,0.191717,0.136772,0.103747,0.065794,0.309609,0.002688,0.001249,0.000416,0.925308
0.401292,0.017729,0.191685,0.127140,0.104099,0.064194,0.298697,0.002784,0.001152,0.000384,0.920315
0.400620,0.017792,0.191462,0.128004,0.103459,0.063874,0.298633,0.002752,0.001120,0.000416,0.918843
0.400843,0.017664,0.191430,0.138692,0.103683,0.065730,0.311561,0.002656,0.001216,0.000384,0.932571
0.418988,0.017760,0.191397,0.134116,0.117348,0.065282,0.322122,0.002528,0.001120,0.000416,0.960637
0.400844,0.017793,0.191237,0.129924,0.106307,0.065506,0.305033,0.002528,0.001088,0.000384,0.924988
0.396363,0.017921,0.191270,0.135876,0.103331,0.063522,0.306153,0.002624,0.001216,0.000416,0.922363
0.400716,0.017793,0.191109,0.150309,0.106339,0.064066,0.324138,0.002720,0.001184,0.000416,0.944636
0.402636,0.017857,0.193702,0.130915,0.104164,0.063969,0.302344,0.003072,0.001280,0.000352,0.927548
0.396171,0.017729,0.191590,0.114723,0.109923,0.064226,0.291848,0.002720,0.001280,0.000416,0.906778
0.397772,0.017633,0.191461,0.133796,0.100579,0.065122,0.302537,0.003200,0.001216,0.000416,0.921051
0.418700,0.017665,0.191717,0.136100,0.110628,0.072258,0.322602,0.002464,0.001184,0.000448,0.962492
0.400364,0.017345,0.191909,0.130916,0.103587,0.063138,0.300841,0.003008,0.001248,0.000352,0.921915
0.396235,0.017633,0.191494,0.138052,0.102531,0.064482,0.309193,0.002784,0.001184,0.000416,0.925211
0.395724,0.017857,0.208806,0.124547,0.101475,0.063362,0.293032,0.003136,0.001216,0.000384,0.927196
0.400652,0.017824,0.191654,0.122436,0.102723,0.063970,0.292489,0.002592,0.001344,0.000448,0.913371
0.400651,0.017792,0.191622,0.127332,0.103843,0.064066,0.298377,0.003200,0.001280,0.000384,0.919771
0.401356,0.017761,0.192101,0.137412,0.108292,0.066114,0.315306,0.002656,0.001152,0.000384,0.937308
0.401068,0.017664,0.191782,0.127012,0.103395,0.064386,0.298185,0.002624,0.001152,0.000384,0.919355
0.397227,0.017825,0.191334,0.143364,0.112227,0.064578,0.323593,0.003424,0.001216,0.000416,0.941339
0.395596,0.017824,0.191910,0.136900,0.111619,0.062466,0.314409,0.002752,0.000992,0.000416,0.928987
0.396939,0.034753,0.192326,0.137284,0.118052,0.068610,0.327690,0.002592,0.001120,0.000416,0.963388
0.396204,0.017632,0.191558,0.129668,0.107395,0.062338,0.302697,0.002336,0.001056,0.000416,0.916859
0.395948,0.017632,0.191174,0.138884,0.110467,0.061826,0.316393,0.002560,0.001024,0.000352,0.930139
0.400683,0.017601,0.191878,0.133892,0.103331,0.086882,0.327465,0.002976,0.001312,0.000384,0.948540
0.396108,0.017792,0.191334,0.142436,0.103299,0.067042,0.316521,0.002624,0.001056,0.000384,0.931835
0.395596,0.017601,0.192005,0.144709,0.104131,0.065666,0.318122,0.002336,0.001088,0.000384,0.933148
0.395788,0.017633,0.191621,0.140548,0.101283,0.065826,0.311081,0.003072,0.001056,0.000352,0.926588
0.411148,0.017825,0.192005,0.147589,0.102243,0.063778,0.317450,0.002976,0.001120,0.000416,0.949340
0.395916,0.017760,0.192262,0.143204,0.101443,0.068546,0.316457,0.002433,0.001152,0.000384,0.932956
0.395436,0.017600,0.191590,0.129636,0.102467,0.062594,0.297897,0.003232,0.001216,0.000384,0.913371
0.397931,0.018081,0.216070,0.151237,0.116035,0.070883,0.342091,0.002560,0.001152,0.000448,0.985917
