IN[0],INFER[0-5],OUT[5],TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.155301,1.572175,0.072738,1.808182,0.015808,0.000608,0.001472,0.001312,0.000384,1.831255
0.156612,1.556687,0.067906,1.788021,0.014752,0.000576,0.001440,0.001120,0.000352,1.809653
0.153348,1.567759,0.088707,1.816598,0.015808,0.000576,0.001472,0.001185,0.000384,1.839543
0.135140,1.552751,0.069538,1.764085,0.015040,0.000512,0.001504,0.001184,0.000416,1.786517
0.159397,1.571726,0.087043,1.826102,0.015713,0.000480,0.001536,0.001184,0.000384,1.849239
0.154404,1.555470,0.067970,1.784501,0.016000,0.000544,0.001441,0.001056,0.000384,1.807446
0.152453,1.568302,0.081603,1.810198,0.016096,0.000544,0.001441,0.000992,0.000384,1.833591
0.153093,1.553934,0.067522,1.781109,0.016385,0.000512,0.001696,0.001152,0.000576,1.804534
0.150501,1.571279,0.074338,1.802870,0.016256,0.000768,0.001569,0.000960,0.000608,1.826135
0.150661,1.556014,0.066530,1.780085,0.015297,0.000544,0.001536,0.001184,0.000352,1.802294
0.138116,1.568718,0.092642,1.806485,0.015425,0.000544,0.001472,0.001600,0.000384,1.829078
0.152036,1.562414,0.068546,1.790101,0.016225,0.000544,0.001504,0.001152,0.000384,1.813622
0.150948,1.585871,0.075363,1.818838,0.015008,0.000800,0.001440,0.001056,0.000416,1.840823
0.156773,1.555726,0.070787,1.790742,0.015488,0.000768,0.001504,0.001184,0.000384,1.813462
0.155589,1.564782,0.069282,1.796917,0.015073,0.000544,0.001408,0.001120,0.000352,1.818678
0.152964,1.551790,0.070883,1.782869,0.015808,0.000608,0.001536,0.001216,0.000352,1.806005
0.151461,1.552174,0.066946,1.777461,0.015777,0.000544,0.001472,0.001024,0.000416,1.799990
0.179717,1.550894,0.086659,1.824598,0.015809,0.000544,0.001536,0.001152,0.000384,1.847447
0.156965,1.568367,0.069410,1.800950,0.014880,0.000544,0.001568,0.001121,0.000416,1.823063
0.152421,1.566863,0.081730,1.809430,0.015105,0.000576,0.001504,0.001152,0.000384,1.831735
0.149796,1.550862,0.069154,1.776276,0.015745,0.000736,0.001472,0.001120,0.000416,1.799221
0.153060,1.570991,0.084963,1.817014,0.015680,0.000992,0.001504,0.001056,0.000384,1.840182
0.152133,1.552366,0.068034,1.779477,0.014817,0.000544,0.001472,0.001056,0.000384,1.800822
0.154597,1.583439,0.091075,1.838519,0.015904,0.000736,0.001568,0.001184,0.000416,1.861943
0.157029,1.553390,0.070274,1.787381,0.016673,0.000544,0.001664,0.001248,0.000608,1.811446
0.151460,1.573326,0.085091,1.817718,0.016289,0.000800,0.001600,0.001216,0.000544,1.841975
0.152004,1.554414,0.067170,1.780917,0.014913,0.000544,0.001568,0.001120,0.000384,1.802614
0.136036,1.582191,0.089763,1.816310,0.015905,0.000544,0.001472,0.000960,0.000384,1.839319
0.181541,1.551278,0.067330,1.807158,0.015041,0.000608,0.001568,0.001152,0.000448,1.829559
0.147429,1.580271,0.125700,1.862552,0.015968,0.000544,0.001504,0.001056,0.000352,1.886040
0.152165,1.554190,0.087555,1.801238,0.014816,0.000544,0.001504,0.001056,0.000448,1.822646
0.144901,1.589615,0.100771,1.842871,0.016161,0.000544,0.001440,0.001056,0.000416,1.866200
0.134532,1.558479,0.077890,1.778069,0.015649,0.000544,0.001536,0.001152,0.000416,1.801206
0.154788,1.575471,0.093379,1.831926,0.015553,0.000576,0.001536,0.001184,0.000416,1.855191
0.178501,1.565230,0.068706,1.819862,0.016033,0.000512,0.001472,0.001184,0.000384,1.843223
0.152868,1.573327,0.077762,1.810805,0.015841,0.000608,0.001504,0.001248,0.000384,1.833654
0.152580,1.555407,0.067234,1.782293,0.014752,0.000736,0.001504,0.001056,0.000352,1.803829
0.171493,1.562383,0.069506,1.810902,0.014753,0.000512,0.001440,0.001120,0.000384,1.832183
0.152069,1.563791,0.066914,1.789686,0.014976,0.000576,0.001472,0.000992,0.000416,1.811318
0.154213,1.552718,0.068066,1.782325,0.015713,0.000544,0.001536,0.001184,0.000416,1.804854
0.152804,1.554671,0.067106,1.781589,0.014912,0.000544,0.001472,0.001248,0.000416,1.803445
0.152261,1.563471,0.071362,1.793942,0.014848,0.000544,0.001536,0.001152,0.000384,1.815990
0.155077,1.553390,0.100035,1.816086,0.015969,0.000576,0.001536,0.001248,0.000384,1.839255
0.152133,1.552782,0.069922,1.782325,0.014817,0.000576,0.001472,0.001088,0.000416,1.804278
0.151172,1.568718,0.075522,1.801589,0.016160,0.000736,0.001440,0.001152,0.000416,1.824822
0.152356,1.557231,0.068770,1.785173,0.014720,0.000512,0.001473,0.001184,0.000416,1.807062
0.150277,1.573039,0.107779,1.839223,0.015808,0.000544,0.001505,0.001248,0.000352,1.862552
0.149029,1.552846,0.066690,1.775541,0.015969,0.000512,0.001440,0.001024,0.000416,1.798390
0.150757,1.580751,0.104867,1.843223,0.016160,0.000704,0.001473,0.001120,0.000416,1.866904
0.156101,1.552526,0.069026,1.786038,0.014784,0.000544,0.001376,0.001120,0.000384,1.807542
0.140932,1.566894,0.076290,1.791158,0.015712,0.000480,0.001504,0.001248,0.000416,1.813910
0.153636,1.552399,0.068002,1.780469,0.016000,0.000544,0.001536,0.001216,0.000480,1.803701
0.142596,1.573519,0.080835,1.804758,0.015776,0.000544,0.001536,0.001216,0.000384,1.828470
0.147301,1.554734,0.087107,1.796310,0.015424,0.000512,0.001536,0.001408,0.000416,1.819030
0.153349,1.568975,0.076802,1.805814,0.015712,0.000512,0.001504,0.001280,0.000416,1.828535
0.127940,1.560527,0.068770,1.763797,0.015552,0.000544,0.001536,0.001153,0.000608,1.786550
0.177637,1.574126,0.085987,1.845527,0.016321,0.000576,0.001504,0.001152,0.000640,1.869688
0.150084,1.551502,0.067010,1.775636,0.015105,0.000544,0.001472,0.001216,0.000384,1.797813
0.151844,1.566479,0.082627,1.808982,0.016064,0.000544,0.001504,0.001216,0.000416,1.832726
0.160165,1.559950,0.070114,1.797238,0.015808,0.000608,0.001504,0.001344,0.000384,1.820534
0.152197,1.568239,0.075618,1.803382,0.015489,0.000512,0.001472,0.001344,0.000352,1.826263
0.137188,1.552942,0.073090,1.769781,0.015649,0.000576,0.001504,0.001152,0.000384,1.792726
0.154693,1.568719,0.077570,1.807734,0.015681,0.000544,0.001568,0.001248,0.000384,1.830775
0.155748,1.565646,0.068450,1.797013,0.015009,0.000544,0.001504,0.001248,0.000448,1.819286
0.163013,1.553006,0.065826,1.789653,0.014817,0.000512,0.001472,0.001248,0.000416,1.811382
0.149669,1.553742,0.067138,1.777845,0.015041,0.000512,0.001472,0.001088,0.000384,1.799510
0.140388,1.552558,0.067138,1.767380,0.015169,0.000512,0.001440,0.001600,0.000384,1.789877
0.153892,1.552079,0.072098,1.785429,0.015744,0.000480,0.001504,0.001632,0.000416,1.808469
0.188229,1.554767,0.068034,1.818678,0.015168,0.000576,0.001440,0.001696,0.000416,1.841302
0.154533,1.569038,0.072387,1.804374,0.016032,0.000512,0.001472,0.001312,0.000384,1.828214
0.155909,1.554958,0.068290,1.786773,0.014689,0.000512,0.001472,0.001344,0.000384,1.808566
0.157412,1.566671,0.078914,1.810677,0.016001,0.000544,0.001472,0.001184,0.000416,1.834102
0.161797,1.569167,0.075042,1.812278,0.016288,0.000608,0.001568,0.001313,0.000416,1.836887
0.153508,1.575759,0.094435,1.832118,0.016801,0.000608,0.001632,0.001184,0.000576,1.856791
0.155301,1.556046,0.068514,1.787733,0.015585,0.000512,0.001568,0.001216,0.000384,1.810326
0.133124,1.577007,0.076770,1.794869,0.016321,0.000576,0.001600,0.001312,0.000416,1.818870
0.152645,1.553518,0.069026,1.782230,0.015264,0.000512,0.001504,0.001344,0.000448,1.804790
0.154533,1.580527,0.076738,1.819158,0.016321,0.000544,0.001568,0.001152,0.000416,1.842679
0.153637,1.564398,0.070818,1.796534,0.015808,0.000544,0.001408,0.001056,0.000576,1.819414
0.136164,1.575215,0.073890,1.791925,0.015969,0.000544,0.001504,0.001248,0.000416,1.815126
0.142820,1.554607,0.067938,1.771989,0.014784,0.000544,0.001504,0.001024,0.000352,1.793685
0.149701,1.571695,0.079906,1.808310,0.015777,0.000672,0.001504,0.001088,0.000384,1.831927
0.154181,1.554478,0.068418,1.784629,0.015745,0.000512,0.001472,0.001120,0.000416,1.807318
0.125699,1.569935,0.076482,1.779573,0.015808,0.000544,0.001440,0.001120,0.000384,1.802773
0.151557,1.551630,0.066082,1.775701,0.014721,0.000480,0.001472,0.001024,0.000416,1.797494
0.147780,1.567983,0.076802,1.799893,0.014849,0.000576,0.001472,0.001120,0.000384,1.822166
0.147013,1.551566,0.065602,1.770677,0.015585,0.000544,0.001504,0.001088,0.000384,1.793142
0.133764,1.576559,0.070370,1.787477,0.016065,0.000544,0.001536,0.001280,0.000384,1.810998
0.148932,1.551503,0.065378,1.772565,0.016000,0.000576,0.001472,0.001152,0.000416,1.795285
0.132420,1.564367,0.069506,1.772757,0.015297,0.000512,0.001504,0.001024,0.000384,1.794454
0.174309,1.548846,0.064258,1.793397,0.014689,0.000512,0.001536,0.000960,0.000384,1.814390
0.150180,1.569071,0.076866,1.802677,0.016097,0.000576,0.001536,0.001088,0.000384,1.825718
0.149700,1.549006,0.069666,1.774741,0.015904,0.000512,0.001504,0.001184,0.000352,1.797301
0.164325,1.556431,0.065538,1.793462,0.014944,0.000576,0.001504,0.001120,0.000352,1.814998
0.167877,1.550766,0.066466,1.792053,0.015713,0.000704,0.001408,0.001248,0.000384,1.814934
0.148741,1.550286,0.064258,1.769077,0.014720,0.000608,0.001504,0.001152,0.000384,1.790485
0.169862,1.552846,0.064418,1.792214,0.014656,0.000512,0.001472,0.001120,0.000416,1.813590
0.140484,1.556686,0.064770,1.767605,0.014624,0.000544,0.001440,0.001120,0.000384,1.788758
0.146756,1.550670,0.065570,1.770004,0.015745,0.000480,0.001472,0.001184,0.000384,1.792309
0.180389,1.550190,0.065634,1.802773,0.014689,0.000480,0.001472,0.001216,0.000416,1.824502
0.149445,1.550478,0.090563,1.797494,0.015840,0.000576,0.001536,0.001248,0.000384,1.820598
0.190054,1.562703,0.074178,1.838519,0.018081,0.000960,0.001696,0.002656,0.000832,1.866712
0.159013,1.582575,0.092099,1.843671,0.017601,0.000736,0.001792,0.002272,0.000800,1.871864
0.147492,1.554638,0.066370,1.775125,0.015744,0.000448,0.001600,0.001025,0.000384,1.798294
0.140260,1.566927,0.082466,1.796949,0.016065,0.000512,0.001792,0.001248,0.000352,1.820886
0.144613,1.551790,0.064418,1.767637,0.015680,0.000544,0.001984,0.001376,0.000416,1.792021
0.148260,1.570447,0.095939,1.821526,0.015680,0.000544,0.001504,0.001120,0.000352,1.844407
0.144836,1.552846,0.066018,1.769780,0.014945,0.000576,0.001504,0.001056,0.000352,1.791797
0.150693,1.573039,0.100067,1.831255,0.015680,0.000576,0.001472,0.001312,0.000448,1.854391
0.148100,1.550574,0.065889,1.771125,0.015840,0.000512,0.001472,0.001184,0.000384,1.793813
0.170278,1.571662,0.083075,1.830679,0.015776,0.000544,0.001440,0.001121,0.000384,1.853336
0.136196,1.554254,0.068418,1.766260,0.014945,0.000576,0.001664,0.001248,0.000384,1.788373
0.128612,1.571119,0.075010,1.780501,0.015777,0.000544,0.001440,0.001216,0.000384,1.803126
0.146756,1.549838,0.065986,1.768852,0.014785,0.000544,0.001472,0.001120,0.000416,1.790261
0.149957,1.566958,0.074499,1.796694,0.015744,0.000544,0.001408,0.001120,0.000416,1.819158
0.147685,1.551086,0.065314,1.770517,0.014784,0.000480,0.001440,0.001088,0.000384,1.791798
0.147652,1.569743,0.083330,1.808021,0.015777,0.000544,0.001504,0.001056,0.000416,1.830934
0.152004,1.549742,0.065186,1.772917,0.015584,0.000544,0.001376,0.001056,0.000384,1.794933
0.125636,1.565327,0.073698,1.771029,0.015872,0.000576,0.001504,0.001120,0.000384,1.793814
0.165605,1.551279,0.065922,1.789366,0.014784,0.000512,0.001504,0.001280,0.000352,1.810902
0.146597,1.566446,0.106468,1.826615,0.015744,0.000512,0.001440,0.001024,0.000384,1.849399
0.138276,1.553743,0.068514,1.766485,0.015872,0.000544,0.001408,0.001312,0.000352,1.789173
0.153060,1.575887,0.074243,1.809494,0.015264,0.000544,0.001536,0.001088,0.000384,1.831414
0.176294,1.555118,0.066690,1.804822,0.014849,0.000576,0.001472,0.001184,0.000384,1.826455
0.141252,1.571471,0.066594,1.785269,0.014912,0.000512,0.001504,0.001120,0.000416,1.807094
0.146660,1.547150,0.065218,1.765012,0.014817,0.000544,0.001440,0.001056,0.000416,1.786453
0.149508,1.563215,0.064002,1.782709,0.015712,0.000576,0.001440,0.001120,0.000384,1.805397
0.149764,1.554510,0.071650,1.783861,0.015969,0.000576,0.001504,0.001152,0.000352,1.807062
0.148485,1.551886,0.065858,1.771861,0.014720,0.000544,0.001472,0.001216,0.000384,1.793365
0.148644,1.552686,0.066338,1.774613,0.015584,0.000512,0.001472,0.001312,0.000384,1.797205
0.133380,1.553390,0.064289,1.757524,0.015777,0.000576,0.001472,0.001216,0.000384,1.780437
0.140388,1.560430,0.093763,1.803541,0.016481,0.000576,0.001600,0.001184,0.000416,1.827126
0.178085,1.554318,0.066754,1.805558,0.015104,0.000608,0.001440,0.001280,0.000480,1.827702
0.152900,1.585103,0.075362,1.821590,0.016225,0.000576,0.001536,0.001280,0.000384,1.845495
0.149765,1.553390,0.068130,1.777269,0.015745,0.000544,0.001408,0.001184,0.000416,1.800086
0.151717,1.575151,0.086306,1.821558,0.016641,0.000544,0.001696,0.001248,0.000352,1.845655
0.151717,1.564526,0.067458,1.790101,0.015233,0.000576,0.001536,0.001280,0.000576,1.812630
0.155077,1.577327,0.111555,1.853720,0.015936,0.000480,0.001536,0.001312,0.000384,1.877112
0.150276,1.564975,0.073122,1.795253,0.015905,0.000576,0.001600,0.001312,0.000384,1.818262
0.153060,1.572975,0.072162,1.806293,0.015969,0.000480,0.001504,0.001120,0.000352,1.829654
0.138564,1.555215,0.068610,1.769717,0.016896,0.000512,0.001440,0.001184,0.000320,1.793429
0.156580,1.574126,0.126148,1.863543,0.016577,0.000480,0.001472,0.001216,0.000352,1.886904
0.151973,1.566255,0.068546,1.793622,0.016224,0.000576,0.001504,0.001376,0.000480,1.816886
0.153796,1.576462,0.088578,1.827254,0.015809,0.000512,0.001440,0.001312,0.000384,1.850519
0.174149,1.552910,0.069026,1.802390,0.015872,0.000544,0.001408,0.001312,0.000384,1.824790
0.152068,1.571214,0.079427,1.810294,0.016032,0.000576,0.001504,0.001376,0.000384,1.833910
0.150661,1.552942,0.067074,1.777429,0.014720,0.000544,0.001441,0.001344,0.000384,1.798774
0.150181,1.571791,0.076610,1.807126,0.015937,0.000576,0.001504,0.001248,0.000352,1.830423
0.147492,1.548814,0.065122,1.767508,0.015521,0.000512,0.001536,0.001152,0.000384,1.789781
0.144548,1.571375,0.085059,1.807510,0.015552,0.000544,0.001504,0.001120,0.000384,1.830326
0.149060,1.552366,0.066562,1.774356,0.015745,0.000512,0.001440,0.001216,0.000352,1.796693
0.124228,1.578575,0.081506,1.791541,0.015809,0.000512,0.001504,0.001280,0.000448,1.814838
0.128580,1.547726,0.064866,1.747892,0.014784,0.000544,0.001472,0.001056,0.000352,1.768980
0.167429,1.593424,0.065378,1.832663,0.014688,0.000576,0.001440,0.001120,0.000384,1.853911
0.145604,1.547374,0.068002,1.767413,0.015904,0.000512,0.001568,0.001152,0.000416,1.789845
0.148004,1.556686,0.068995,1.779861,0.014496,0.000544,0.001440,0.001120,0.000384,1.800757
0.148612,1.549710,0.063426,1.767828,0.014593,0.000608,0.001440,0.000992,0.000352,1.788725
0.192262,1.563215,0.072322,1.839447,0.018689,0.000960,0.001536,0.002816,0.000800,1.868152
0.149476,1.572526,0.075907,1.805014,0.016768,0.000704,0.001440,0.001920,0.000384,1.829942
0.177061,1.557070,0.065858,1.805813,0.016257,0.000512,0.001536,0.001248,0.000384,1.829942
0.132036,1.570095,0.079618,1.787765,0.016289,0.000544,0.001504,0.001088,0.000608,1.811350
0.171749,1.552718,0.065026,1.794933,0.016193,0.000544,0.001504,0.001280,0.000608,1.818422
0.143268,1.568015,0.073154,1.789685,0.015745,0.000576,0.001504,0.001216,0.000352,1.812374
0.145572,1.547662,0.064738,1.763540,0.015808,0.000737,0.001440,0.001120,0.000480,1.786485
