Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.393995,0.017441,0.191334,0.004928,0.046945,0.000576,0.013441,0.103875,0.033697,0.059137,0.199461,0.002241,0.001120,0.000352,0.878938
0.395820,0.017312,0.191718,0.004864,0.047170,0.000576,0.013472,0.107683,0.038753,0.061218,0.210438,0.002112,0.001184,0.000352,0.892250
0.395500,0.017248,0.191494,0.004832,0.047234,0.000608,0.013472,0.097987,0.034625,0.058530,0.193798,0.001952,0.001184,0.000384,0.874906
0.394891,0.017952,0.192166,0.004864,0.047809,0.000576,0.013505,0.105475,0.029665,0.056161,0.194022,0.001920,0.001088,0.000352,0.876314
0.394923,0.017345,0.213478,0.004960,0.047010,0.000672,0.013440,0.104643,0.034209,0.057538,0.199110,0.001856,0.001120,0.000352,0.901562
0.394763,0.017313,0.191654,0.004992,0.046977,0.000608,0.013441,0.102979,0.033473,0.058753,0.197861,0.001921,0.001088,0.000352,0.877562
0.395212,0.017504,0.191302,0.004896,0.047330,0.000576,0.013440,0.101507,0.029377,0.055426,0.188966,0.001952,0.001088,0.000352,0.869274
0.396011,0.017633,0.191334,0.004800,0.046977,0.000576,0.013440,0.104867,0.031073,0.057377,0.196197,0.001952,0.001120,0.000288,0.876793
0.415756,0.017473,0.192198,0.004896,0.047041,0.000576,0.013441,0.109667,0.033953,0.056770,0.203110,0.001920,0.001152,0.000416,0.905595
0.394316,0.017313,0.191461,0.004800,0.047137,0.000608,0.013472,0.104387,0.032993,0.063586,0.203878,0.002432,0.001025,0.000352,0.883547
0.394316,0.017376,0.191206,0.004896,0.047042,0.000768,0.013408,0.102211,0.038401,0.061602,0.204838,0.001920,0.000960,0.000384,0.883930
0.396748,0.017600,0.192102,0.004800,0.046945,0.000577,0.013536,0.102627,0.051330,0.070850,0.229511,0.002112,0.001248,0.000480,0.913435
0.394476,0.017344,0.191782,0.004800,0.047265,0.000608,0.013440,0.090691,0.028128,0.054946,0.176709,0.001984,0.001248,0.000384,0.856825
0.396780,0.017376,0.191558,0.004896,0.047298,0.000576,0.013504,0.106371,0.033569,0.062594,0.205350,0.001856,0.001280,0.000352,0.887770
