Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-9],OUT[9],TEE[6-9],Layer[10],classifier
0.396492,0.017473,0.192677,0.004800,0.048098,0.000608,0.119971,0.087363,0.076866,0.287912,0.000736,0.957308
0.395723,0.017281,0.192357,0.004833,0.048769,0.000576,0.104675,0.069122,0.066882,0.244071,0.000672,0.909946
0.399948,0.017536,0.192357,0.004864,0.048098,0.000576,0.106115,0.053922,0.065922,0.228743,0.000640,0.898491
0.401420,0.017473,0.192838,0.004928,0.047809,0.000640,0.101347,0.051554,0.066402,0.222087,0.000576,0.893211
0.433613,0.017505,0.192101,0.004833,0.047169,0.000608,0.132836,0.066466,0.067266,0.269448,0.000640,0.972253
0.399820,0.017664,0.192102,0.004896,0.047138,0.000640,0.099491,0.070242,0.063362,0.236263,0.000576,0.904891
0.399404,0.017569,0.192869,0.004928,0.047457,0.000608,0.107907,0.050690,0.060354,0.221959,0.000608,0.891931
0.395659,0.017409,0.192518,0.004800,0.047137,0.000576,0.157157,0.107555,0.067138,0.336490,0.000736,1.001277
0.395788,0.017536,0.192518,0.004864,0.047394,0.000608,0.100451,0.048737,0.057986,0.209926,0.000576,0.875546
0.400268,0.017536,0.192166,0.004864,0.047169,0.000576,0.108644,0.052033,0.065954,0.229735,0.000864,0.898970
0.400332,0.017409,0.192421,0.004928,0.047394,0.000608,0.115523,0.067170,0.065858,0.251655,0.000608,0.922587
0.416876,0.017441,0.192198,0.004800,0.047105,0.000576,0.111812,0.070402,0.062690,0.248008,0.000640,0.933436
0.395980,0.017537,0.192069,0.004865,0.047041,0.000576,0.109667,0.052738,0.062882,0.228039,0.000576,0.892987
0.395948,0.017569,0.192645,0.004833,0.047041,0.000576,0.101443,0.052546,0.067490,0.224359,0.000640,0.889307
0.395692,0.017601,0.191877,0.004896,0.047042,0.000576,0.143364,0.068482,0.071586,0.286792,0.000576,0.951420
0.395660,0.017377,0.192517,0.004800,0.047074,0.000608,0.107779,0.051298,0.062369,0.224134,0.000609,0.888411
0.395500,0.017345,0.191653,0.004864,0.046978,0.000576,0.105283,0.052034,0.064897,0.225191,0.000576,0.889211
0.395756,0.017345,0.191813,0.004864,0.047426,0.000608,0.108419,0.068418,0.068194,0.248103,0.000640,0.912763
0.411788,0.017537,0.191621,0.004833,0.047009,0.000608,0.107427,0.059650,0.065026,0.235015,0.000640,0.915003
0.395243,0.017601,0.191782,0.004896,0.046977,0.000608,0.114884,0.052545,0.063010,0.233351,0.000608,0.897274
0.400587,0.017633,0.192390,0.004832,0.047169,0.000576,0.113860,0.063298,0.063809,0.245992,0.000704,0.917723
0.399819,0.017441,0.192230,0.004800,0.063554,0.000672,0.134884,0.067394,0.070786,0.277192,0.000608,0.962300
0.400459,0.017248,0.192326,0.004800,0.046977,0.000576,0.108932,0.053217,0.059074,0.224071,0.000544,0.893018
0.395723,0.017633,0.192230,0.004832,0.046977,0.000608,0.107523,0.063810,0.066178,0.240263,0.000608,0.904570
0.395595,0.017665,0.192230,0.004832,0.047073,0.000640,0.110596,0.054593,0.067010,0.235079,0.000672,0.900826
0.412972,0.017472,0.192550,0.005184,0.047297,0.000608,0.108324,0.067202,0.067714,0.246728,0.000736,0.929884
0.395692,0.017408,0.192550,0.004800,0.048226,0.000576,0.112995,0.052834,0.062145,0.230918,0.000800,0.896795
0.401196,0.017377,0.192518,0.004832,0.048321,0.000576,0.110499,0.051554,0.062146,0.227239,0.000864,0.899803
0.400460,0.017536,0.209351,0.005184,0.049377,0.000608,0.103171,0.052322,0.067778,0.226183,0.000672,0.916123
0.395595,0.017377,0.192294,0.004864,0.048449,0.000608,0.104355,0.052034,0.068482,0.229927,0.000608,0.896122
0.400172,0.017472,0.192774,0.004800,0.048130,0.000608,0.113347,0.052066,0.061058,0.229447,0.000640,0.901275
0.400395,0.017345,0.192454,0.004864,0.047585,0.000608,0.105667,0.051618,0.060482,0.220519,0.000736,0.890074
0.399564,0.017536,0.192870,0.004864,0.047873,0.000640,0.104676,0.064481,0.064641,0.238439,0.000577,0.908795
0.399980,0.017345,0.192742,0.004832,0.047713,0.000576,0.109155,0.068834,0.065473,0.246567,0.000673,0.916220
0.396523,0.017696,0.193542,0.004800,0.047457,0.000608,0.134468,0.087235,0.061858,0.287113,0.000640,0.955420
0.414348,0.017761,0.208614,0.005184,0.047425,0.000640,0.114787,0.057986,0.068770,0.245991,0.000640,0.946588
0.399884,0.017408,0.192742,0.004896,0.047041,0.000640,0.112036,0.052321,0.061282,0.229255,0.000544,0.898362
0.396492,0.017568,0.192582,0.004864,0.047106,0.000640,0.108579,0.052194,0.062913,0.226502,0.000577,0.892187
0.395403,0.017633,0.192102,0.004832,0.047201,0.000608,0.102307,0.049090,0.060802,0.215367,0.000544,0.880218
0.400076,0.017505,0.192197,0.004833,0.047105,0.000608,0.108931,0.052386,0.066242,0.230663,0.000640,0.899579
0.399916,0.017472,0.192230,0.004896,0.047170,0.000576,0.138276,0.054369,0.064066,0.260199,0.000576,0.929595
0.395916,0.017729,0.192741,0.004832,0.047105,0.000576,0.112963,0.052770,0.060194,0.229063,0.000608,0.894619
0.396107,0.017313,0.211750,0.005280,0.047138,0.000608,0.107715,0.062082,0.061026,0.235207,0.000704,0.920123
0.401228,0.017409,0.192229,0.004833,0.047073,0.000576,0.104131,0.052514,0.063394,0.222727,0.000704,0.892283
0.400203,0.017633,0.192390,0.004864,0.047009,0.000608,0.107299,0.065602,0.065602,0.242311,0.000608,0.912954
0.400460,0.017537,0.192293,0.004833,0.047073,0.000608,0.105699,0.051714,0.064962,0.226663,0.000768,0.896763
0.399947,0.017409,0.192262,0.004800,0.047105,0.000640,0.105283,0.051330,0.062178,0.221639,0.000640,0.890138
0.400524,0.017408,0.192486,0.004896,0.046977,0.000608,0.105764,0.052801,0.061442,0.223175,0.000832,0.892506
0.396396,0.017344,0.191750,0.004864,0.047746,0.000608,0.109987,0.052770,0.065890,0.231655,0.000672,0.897051
0.399884,0.017409,0.209894,0.004992,0.047810,0.000608,0.115075,0.071522,0.066530,0.257095,0.000608,0.946268
0.400299,0.017312,0.192326,0.004896,0.049889,0.000576,0.117252,0.052417,0.064193,0.237223,0.000800,0.910522
0.395756,0.017633,0.192485,0.004864,0.048354,0.000576,0.108067,0.052674,0.061922,0.225735,0.000736,0.891899
0.400140,0.017537,0.192614,0.004832,0.048161,0.000608,0.122020,0.050337,0.060002,0.235463,0.000544,0.905723
0.400140,0.017377,0.192325,0.004832,0.047330,0.000608,0.111811,0.052514,0.065858,0.233575,0.000544,0.902363
0.400044,0.017697,0.192134,0.004992,0.047777,0.000576,0.104419,0.068162,0.066242,0.241895,0.000576,0.912315
0.400012,0.017345,0.192037,0.004833,0.048065,0.000576,0.103779,0.051202,0.060002,0.219399,0.000640,0.888411
0.397676,0.017345,0.211910,0.004896,0.047362,0.000608,0.108675,0.052001,0.067810,0.232519,0.000864,0.920284
0.398187,0.017633,0.197254,0.004864,0.047809,0.000576,0.112868,0.052801,0.078499,0.247784,0.000640,0.921019
0.400332,0.017600,0.192294,0.004864,0.047522,0.000576,0.138788,0.065154,0.065922,0.272712,0.000640,0.942172
0.395563,0.017473,0.192101,0.004897,0.047041,0.000576,0.097251,0.051393,0.060897,0.212902,0.000640,0.877017
0.396876,0.017536,0.192166,0.004960,0.047425,0.000608,0.113699,0.051873,0.060994,0.229991,0.000640,0.896314
0.399852,0.017409,0.192581,0.004897,0.047105,0.000608,0.137188,0.051874,0.064578,0.258856,0.000608,0.928348
0.396076,0.017473,0.193029,0.004832,0.047074,0.000576,0.134916,0.053121,0.060226,0.251783,0.000672,0.917563
0.432429,0.017472,0.192710,0.004896,0.046977,0.000577,0.104323,0.064770,0.066466,0.239815,0.000864,0.942108
0.396460,0.017313,0.192613,0.004832,0.046946,0.000608,0.110339,0.051554,0.060609,0.225158,0.000576,0.890875
0.395628,0.017568,0.192614,0.004800,0.046978,0.000576,0.103235,0.051809,0.062818,0.221286,0.000544,0.886234
0.399564,0.017408,0.192038,0.004832,0.046914,0.000640,0.105283,0.069154,0.064162,0.241671,0.000576,0.909307
0.396555,0.017537,0.193382,0.004800,0.047137,0.000608,0.112580,0.051361,0.061378,0.228423,0.000800,0.895674
0.394380,0.017376,0.192037,0.004800,0.047234,0.000576,0.111811,0.050018,0.060033,0.224902,0.000608,0.887546
0.399308,0.017600,0.192614,0.004832,0.046978,0.000576,0.113475,0.063522,0.068706,0.249095,0.000832,0.918267
0.394444,0.036321,0.192165,0.004833,0.046977,0.000576,0.102627,0.051490,0.069442,0.226727,0.000672,0.909019
0.395212,0.017377,0.191909,0.004865,0.047009,0.000576,0.110723,0.051234,0.060994,0.226503,0.000544,0.890203
0.395596,0.017377,0.191589,0.004832,0.048578,0.000576,0.140260,0.053922,0.065218,0.263080,0.000736,0.928700
0.394795,0.017505,0.192006,0.004832,0.047681,0.000576,0.111524,0.065666,0.067074,0.247848,0.000736,0.912507
0.400140,0.017665,0.192613,0.004865,0.047329,0.000576,0.116772,0.062593,0.065282,0.249159,0.000768,0.921052
0.395403,0.017441,0.192102,0.004832,0.047041,0.000576,0.110691,0.052386,0.068674,0.235623,0.000672,0.900282
0.399596,0.017408,0.192934,0.004832,0.047234,0.000608,0.103491,0.052705,0.066498,0.226918,0.000704,0.898010
0.417517,0.017536,0.192294,0.004896,0.047042,0.000576,0.103235,0.059297,0.067650,0.233511,0.000608,0.920220
0.399532,0.017505,0.192357,0.004833,0.047105,0.000576,0.116483,0.050274,0.061922,0.232071,0.000672,0.900763
0.396172,0.017344,0.192166,0.004832,0.047105,0.000608,0.112164,0.052097,0.060962,0.228519,0.000608,0.894074
0.399660,0.017409,0.192261,0.004833,0.047329,0.000576,0.104899,0.052322,0.061698,0.221767,0.000608,0.890267
0.394571,0.017345,0.192197,0.004865,0.047201,0.000576,0.125220,0.057570,0.062817,0.249191,0.000544,0.912955
0.394252,0.017376,0.192358,0.004864,0.046946,0.000608,0.106627,0.052641,0.062210,0.224902,0.000640,0.888410
0.399212,0.017377,0.192646,0.004928,0.046913,0.000608,0.100291,0.049890,0.061441,0.215334,0.000609,0.885051
0.408396,0.017473,0.192710,0.004768,0.047041,0.000608,0.103395,0.050114,0.059553,0.216711,0.000672,0.895195
0.399052,0.017313,0.192230,0.004864,0.047041,0.000608,0.103747,0.052130,0.064514,0.223815,0.000576,0.893051
0.396235,0.017473,0.192742,0.004864,0.046945,0.000608,0.106627,0.057794,0.062402,0.229959,0.000608,0.896282
0.395756,0.017376,0.192518,0.004864,0.046978,0.000608,0.108931,0.051361,0.060098,0.223206,0.000576,0.888954
0.394923,0.017313,0.191814,0.004864,0.047041,0.000576,0.103427,0.052418,0.061826,0.220391,0.000608,0.883162
0.394411,0.017441,0.192582,0.004800,0.047041,0.000608,0.112772,0.049601,0.058466,0.224487,0.000608,0.890490
0.395275,0.017377,0.191846,0.004832,0.047233,0.000608,0.106147,0.062466,0.064898,0.237159,0.000736,0.901722
0.399148,0.017408,0.209415,0.004992,0.047169,0.000608,0.108771,0.062178,0.065442,0.240487,0.000768,0.927579
0.394700,0.017472,0.191814,0.004832,0.047009,0.000608,0.101539,0.050977,0.067106,0.222695,0.000704,0.885530
0.398412,0.017472,0.192102,0.004864,0.046945,0.000608,0.102435,0.051138,0.060034,0.216679,0.000704,0.883578
0.394380,0.017441,0.192005,0.004832,0.047042,0.000608,0.104291,0.052034,0.065634,0.226439,0.000768,0.889979
0.399436,0.017344,0.191558,0.004864,0.047073,0.000608,0.127812,0.053922,0.059010,0.243848,0.000736,0.911547
0.394924,0.017441,0.193221,0.004865,0.047009,0.000576,0.104803,0.053314,0.066978,0.227911,0.000640,0.892603
0.399116,0.017344,0.192262,0.004832,0.047010,0.000576,0.137028,0.067042,0.071810,0.279464,0.000672,0.947932
0.394731,0.017569,0.209766,0.004928,0.047010,0.000608,0.108387,0.061346,0.066338,0.239719,0.000576,0.920667
0.399756,0.017408,0.192742,0.004800,0.047458,0.000576,0.119299,0.059682,0.063458,0.247687,0.000640,0.921083
0.394636,0.017569,0.191973,0.004800,0.048706,0.000608,0.106243,0.052802,0.060993,0.223174,0.000545,0.887963
0.394540,0.017344,0.192486,0.004800,0.047714,0.000608,0.110339,0.052578,0.060321,0.226470,0.000576,0.890202
0.398828,0.017377,0.192613,0.004801,0.047745,0.000576,0.105571,0.052386,0.061410,0.223655,0.000576,0.891771
0.394220,0.017537,0.191621,0.004897,0.047809,0.000576,0.133188,0.059490,0.062594,0.258472,0.000736,0.922268
0.399852,0.017345,0.191973,0.004833,0.047649,0.000576,0.105603,0.050818,0.059681,0.219206,0.000640,0.887963
0.398795,0.017505,0.209830,0.005216,0.047202,0.000608,0.105635,0.068706,0.065858,0.243399,0.000608,0.930491
0.400076,0.017536,0.193030,0.004896,0.047425,0.000609,0.106275,0.063906,0.063393,0.237223,0.000640,0.907867
0.394700,0.017345,0.192229,0.004865,0.047137,0.000608,0.103043,0.052706,0.067522,0.226215,0.000512,0.889595
0.398572,0.017409,0.192357,0.004896,0.047009,0.000608,0.104259,0.065698,0.066690,0.239719,0.000608,0.907035
0.395756,0.017537,0.192261,0.004832,0.047010,0.000576,0.114499,0.051554,0.066722,0.237415,0.000672,0.904603
0.394475,0.017217,0.191782,0.004832,0.047201,0.000480,0.110307,0.061442,0.063938,0.240583,0.000608,0.903290
0.395851,0.017345,0.191430,0.004896,0.047201,0.000640,0.104195,0.051458,0.063522,0.223239,0.000512,0.886458
0.393740,0.017408,0.205510,0.004929,0.047073,0.000640,0.116451,0.062209,0.060770,0.243815,0.000544,0.919291
0.393804,0.017473,0.191461,0.004864,0.047010,0.000576,0.095587,0.051713,0.057986,0.208486,0.000544,0.869370
0.393580,0.017280,0.191718,0.004832,0.047106,0.000608,0.098851,0.068802,0.061281,0.232455,0.000544,0.893403
0.394795,0.017377,0.191782,0.004864,0.047201,0.000608,0.122308,0.050881,0.058530,0.235207,0.000608,0.897786
0.417836,0.017473,0.192581,0.004768,0.047137,0.000608,0.129092,0.060674,0.069378,0.262824,0.000672,0.950652
0.394347,0.017473,0.191525,0.004833,0.047105,0.000608,0.109347,0.061090,0.060226,0.235079,0.000576,0.897178
0.394348,0.017344,0.191462,0.004864,0.046946,0.000608,0.100227,0.066178,0.058785,0.229479,0.000544,0.890747
0.393900,0.017537,0.191941,0.004832,0.047330,0.000576,0.137988,0.057442,0.064290,0.263208,0.000544,0.926588
0.394444,0.017408,0.191750,0.004896,0.047009,0.000576,0.090595,0.065346,0.062178,0.221287,0.000544,0.883226
0.395276,0.017537,0.192965,0.004865,0.046977,0.000640,0.106915,0.063202,0.065986,0.239815,0.000640,0.905371
0.393899,0.017537,0.191845,0.004800,0.047137,0.000576,0.101955,0.049026,0.059041,0.213414,0.000544,0.875289
0.411373,0.017568,0.192486,0.004928,0.046977,0.000640,0.114852,0.058754,0.065442,0.244008,0.000608,0.926876
0.396236,0.017376,0.192326,0.004800,0.047298,0.000608,0.117027,0.060578,0.060898,0.242919,0.000544,0.907579
0.394572,0.017344,0.191942,0.004864,0.046977,0.000576,0.095363,0.052130,0.060994,0.213127,0.000640,0.875930
0.399499,0.017665,0.192358,0.004800,0.047041,0.000608,0.098019,0.069186,0.070242,0.242887,0.000608,0.912827
0.394028,0.017312,0.192134,0.004864,0.047105,0.000609,0.134467,0.051809,0.060706,0.250279,0.000544,0.912155
0.394220,0.017408,0.192006,0.004896,0.047233,0.000640,0.134692,0.051682,0.058754,0.248392,0.000576,0.910459
0.394059,0.017505,0.192134,0.004768,0.047009,0.000544,0.114691,0.059329,0.067042,0.244391,0.000544,0.908026
0.406540,0.017184,0.191846,0.004864,0.046977,0.000609,0.119715,0.059458,0.060386,0.244039,0.000576,0.917787
0.393995,0.017505,0.192582,0.004864,0.046881,0.000640,0.125796,0.055522,0.060801,0.245799,0.000576,0.908187
0.394156,0.017345,0.192293,0.004897,0.046945,0.000608,0.104963,0.059202,0.069698,0.237479,0.000576,0.900411
0.394316,0.017377,0.191813,0.004865,0.047009,0.000576,0.119011,0.060513,0.081059,0.266120,0.000672,0.929148
0.399628,0.017568,0.192326,0.004864,0.047106,0.000608,0.114819,0.052194,0.060354,0.230599,0.000704,0.900219
0.399884,0.017600,0.192006,0.004800,0.047074,0.000608,0.111139,0.052609,0.060706,0.227718,0.000704,0.896474
0.395788,0.017473,0.192453,0.004864,0.047298,0.000608,0.112035,0.056098,0.069602,0.241063,0.000640,0.906843
0.408524,0.017536,0.191878,0.004864,0.048354,0.000576,0.114627,0.060578,0.062594,0.241031,0.000640,0.918587
0.394604,0.017280,0.192038,0.004864,0.048257,0.000576,0.085026,0.066818,0.061474,0.216390,0.000512,0.879450
0.395563,0.017600,0.192166,0.004832,0.047265,0.000608,0.107428,0.077154,0.070242,0.258056,0.000608,0.923707
0.394571,0.017345,0.192390,0.004864,0.047041,0.000608,0.095875,0.059778,0.063458,0.222215,0.000640,0.885018
0.395244,0.017504,0.192198,0.004800,0.046977,0.000544,0.105220,0.051969,0.060130,0.220903,0.000608,0.884666
0.395564,0.017472,0.191942,0.004800,0.047074,0.000608,0.110435,0.066690,0.061410,0.241511,0.000608,0.905499
0.394124,0.017440,0.192070,0.004832,0.046945,0.000576,0.107556,0.051809,0.063426,0.225607,0.000640,0.888186
0.415117,0.017760,0.191622,0.004800,0.047265,0.000576,0.107300,0.066690,0.064674,0.241544,0.000640,0.925340
0.394763,0.017601,0.192230,0.004832,0.047265,0.000608,0.105635,0.051970,0.060258,0.220743,0.000544,0.884314
0.400716,0.017441,0.192037,0.004832,0.047362,0.000544,0.114627,0.062818,0.063394,0.244071,0.000704,0.914331
0.395980,0.017345,0.192069,0.004864,0.047266,0.000576,0.105539,0.061250,0.089890,0.259880,0.000704,0.924476
0.397004,0.017665,0.192357,0.004833,0.047393,0.000576,0.111843,0.054498,0.061090,0.230631,0.000608,0.897467
0.395596,0.017601,0.192133,0.004800,0.049570,0.000608,0.109091,0.050626,0.061762,0.224679,0.000704,0.892731
0.395180,0.017376,0.192678,0.004896,0.047970,0.000608,0.105795,0.064322,0.070594,0.243687,0.000672,0.909275
0.413388,0.017696,0.191750,0.004800,0.048193,0.000576,0.105187,0.052706,0.066626,0.228391,0.000640,0.912091
0.395692,0.017632,0.191910,0.004800,0.047138,0.000608,0.110755,0.064674,0.070114,0.248583,0.000608,0.912763
0.394380,0.017409,0.192165,0.004832,0.047106,0.000608,0.107843,0.059682,0.065634,0.236103,0.000640,0.898907
0.395372,0.017440,0.191814,0.004832,0.047202,0.000576,0.108675,0.070498,0.078210,0.260775,0.000672,0.924187
0.395084,0.017377,0.191845,0.004864,0.047234,0.000640,0.103811,0.052994,0.067234,0.227111,0.000640,0.890811
0.395595,0.017441,0.192102,0.004800,0.047329,0.000608,0.108932,0.054529,0.067906,0.234471,0.000672,0.899162
0.395307,0.017697,0.192454,0.004832,0.048129,0.000608,0.143268,0.053538,0.062082,0.262120,0.000640,0.927771
0.413196,0.017761,0.192389,0.004993,0.048577,0.000640,0.114275,0.061090,0.065090,0.243687,0.000672,0.928315
0.395788,0.017409,0.192677,0.004833,0.048641,0.000640,0.109507,0.053666,0.066466,0.232967,0.000640,0.899931
0.395148,0.017376,0.191750,0.005088,0.048226,0.000576,0.112931,0.061954,0.068642,0.246375,0.000576,0.911003
0.394188,0.017568,0.192518,0.004960,0.047649,0.000576,0.123268,0.064962,0.063586,0.254792,0.000736,0.918811
0.394764,0.017568,0.191878,0.004864,0.047298,0.000608,0.108707,0.061154,0.068322,0.241447,0.000640,0.905211
0.394731,0.017600,0.191974,0.004832,0.047073,0.000576,0.107587,0.051905,0.060898,0.223911,0.000608,0.887482
0.394380,0.017632,0.192006,0.004832,0.047426,0.000608,0.106211,0.052001,0.060546,0.221862,0.000640,0.885082
0.412525,0.017536,0.191782,0.004800,0.046977,0.000576,0.110724,0.062722,0.065922,0.242792,0.000544,0.923868
0.397100,0.017344,0.192294,0.004864,0.047105,0.000608,0.109956,0.054145,0.064354,0.231623,0.000672,0.897658
0.396107,0.017632,0.191910,0.004864,0.047361,0.000608,0.110596,0.064674,0.067362,0.245576,0.000736,0.910587
0.394956,0.017472,0.192902,0.004832,0.062722,0.000640,0.109891,0.050402,0.065570,0.229127,0.000672,0.910043
0.394828,0.017600,0.192230,0.004864,0.047041,0.000576,0.106852,0.067618,0.064098,0.241544,0.000608,0.905755
0.395724,0.017472,0.191558,0.004864,0.047073,0.000576,0.104580,0.052033,0.059586,0.219431,0.000608,0.883194
0.395020,0.017344,0.191526,0.004864,0.047010,0.000608,0.107459,0.052929,0.065890,0.229190,0.000704,0.891866
0.425868,0.017665,0.192037,0.004801,0.047041,0.000576,0.103171,0.053378,0.065314,0.225191,0.000704,0.919995
0.396108,0.017504,0.192070,0.004832,0.047553,0.000576,0.112164,0.051329,0.060514,0.227335,0.000640,0.892634
0.394539,0.017409,0.192614,0.004928,0.048417,0.000576,0.111172,0.066786,0.069346,0.250312,0.000736,0.915995
0.414988,0.017473,0.214726,0.005185,0.049121,0.000640,0.108163,0.052578,0.063426,0.227175,0.000640,0.936732
0.394828,0.017536,0.192422,0.004832,0.047969,0.000576,0.112164,0.064482,0.067362,0.246952,0.000576,0.911547
0.393996,0.017632,0.192326,0.004960,0.047970,0.000640,0.106851,0.052769,0.060994,0.223462,0.000672,0.887770
0.394828,0.017633,0.191557,0.004864,0.047233,0.000608,0.110851,0.052354,0.067010,0.234055,0.000640,0.897691
0.393963,0.017441,0.191333,0.004929,0.047297,0.000608,0.132804,0.053826,0.064322,0.254120,0.000704,0.916443
0.397483,0.017569,0.193574,0.004864,0.047297,0.000576,0.111331,0.054401,0.062658,0.231719,0.000672,0.900218
0.395243,0.017441,0.192582,0.004800,0.047041,0.000640,0.111203,0.053154,0.062530,0.230151,0.000640,0.894810
0.394860,0.017441,0.211558,0.004992,0.047073,0.000641,0.111843,0.062946,0.065154,0.243751,0.000672,0.927964
0.394700,0.017408,0.192454,0.004832,0.047553,0.000608,0.109860,0.052833,0.061730,0.227367,0.000704,0.892154
0.395180,0.017537,0.191813,0.004832,0.047042,0.000576,0.112739,0.051650,0.061314,0.229127,0.000704,0.894523
0.395020,0.017632,0.192006,0.004864,0.047649,0.000576,0.110116,0.052001,0.061762,0.227175,0.000736,0.892250
0.394411,0.017569,0.191750,0.004800,0.047329,0.000608,0.132708,0.078210,0.076515,0.290761,0.000800,0.954588
0.394571,0.017377,0.192325,0.004865,0.047137,0.000608,0.108483,0.061442,0.067682,0.242567,0.000736,0.907034
0.395308,0.017505,0.192101,0.004929,0.047169,0.000608,0.112387,0.060514,0.070690,0.247079,0.000768,0.912219
0.417325,0.017440,0.192934,0.004832,0.047042,0.000576,0.109091,0.051905,0.066210,0.230630,0.000769,0.918012
0.394507,0.017601,0.193061,0.004768,0.047105,0.000576,0.104387,0.053986,0.066658,0.227943,0.000832,0.892634
0.394667,0.017568,0.192326,0.004832,0.047009,0.000576,0.107427,0.050305,0.061218,0.222247,0.000704,0.886042
0.394604,0.017600,0.191622,0.004960,0.047169,0.000576,0.107972,0.054145,0.061218,0.226727,0.000640,0.891162
0.395276,0.017376,0.191654,0.004864,0.047042,0.000576,0.133124,0.068418,0.068130,0.273704,0.000640,0.937052
0.394891,0.017377,0.191622,0.004896,0.047137,0.000544,0.105443,0.052898,0.062850,0.224391,0.000640,0.888154
0.394764,0.017600,0.192262,0.004864,0.047073,0.000576,0.111076,0.066370,0.065634,0.246376,0.000768,0.910299
0.412396,0.017569,0.192229,0.004864,0.047745,0.000544,0.111491,0.052802,0.066018,0.233351,0.000704,0.915291
0.398828,0.017536,0.192166,0.004832,0.047394,0.000608,0.104931,0.050561,0.059394,0.218150,0.000672,0.886074
0.394764,0.017600,0.192646,0.004864,0.048514,0.000576,0.117123,0.062146,0.069570,0.252519,0.000640,0.920795
0.399083,0.017505,0.192742,0.004832,0.048097,0.000576,0.109828,0.054721,0.089059,0.257640,0.000832,0.927771
0.398764,0.017377,0.192165,0.004801,0.047937,0.000608,0.106723,0.053570,0.066242,0.229799,0.000640,0.898075
0.399372,0.017345,0.192357,0.004864,0.047714,0.000608,0.108483,0.052930,0.060898,0.225319,0.000608,0.893979
0.395276,0.017568,0.192774,0.004896,0.048097,0.000608,0.138629,0.051745,0.067106,0.260744,0.000576,0.926555
0.419052,0.017761,0.192933,0.004832,0.048386,0.000576,0.120643,0.065346,0.067202,0.256327,0.000896,0.947291
