Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.401228,0.017280,0.191494,0.005024,0.047905,0.000800,0.107780,0.053121,0.058754,0.222823,0.001376,0.000416,0.894906
0.396044,0.017600,0.191750,0.005344,0.048034,0.000608,0.140836,0.071074,0.079234,0.295176,0.001344,0.000384,0.963517
0.401163,0.017568,0.192198,0.005280,0.048161,0.000768,0.114276,0.049825,0.063266,0.230695,0.001344,0.000384,0.904282
0.402700,0.017568,0.191974,0.005376,0.048321,0.000800,0.109860,0.047937,0.060418,0.221575,0.001376,0.000480,0.896922
0.396940,0.017697,0.191589,0.005344,0.048610,0.000576,0.112067,0.052930,0.062114,0.230439,0.001440,0.000416,0.899419
0.420140,0.017473,0.192038,0.005312,0.048641,0.000800,0.116068,0.061858,0.062401,0.243751,0.001376,0.000384,0.937212
0.396939,0.017344,0.191782,0.004928,0.048385,0.000608,0.106243,0.053633,0.060226,0.223527,0.001344,0.000416,0.891194
0.396620,0.017344,0.191494,0.004864,0.048770,0.000800,0.138500,0.052833,0.062914,0.257703,0.001376,0.000416,0.926171
0.397291,0.017569,0.209958,0.005216,0.048322,0.000800,0.108835,0.061538,0.071010,0.244743,0.001536,0.000416,0.933147
0.400972,0.017569,0.191685,0.004896,0.050146,0.000800,0.118019,0.050530,0.060130,0.232423,0.001408,0.000416,0.906875
0.400908,0.017440,0.191942,0.005120,0.050081,0.000800,0.107492,0.050177,0.061538,0.222375,0.001600,0.000416,0.897210
0.396299,0.017633,0.191718,0.004832,0.048097,0.000768,0.110595,0.047713,0.064546,0.226407,0.001568,0.000448,0.894842
0.417292,0.017537,0.191909,0.005057,0.049857,0.000832,0.106275,0.048194,0.058433,0.216166,0.001473,0.000384,0.907131
0.400876,0.017409,0.191654,0.004896,0.048001,0.000832,0.109571,0.050818,0.062338,0.225831,0.001536,0.000448,0.897851
0.400844,0.017344,0.192230,0.005344,0.048610,0.001024,0.107363,0.050274,0.060385,0.221254,0.001536,0.000416,0.895450
0.399947,0.017601,0.212006,0.005216,0.048418,0.000832,0.114755,0.059234,0.063874,0.240967,0.001440,0.000448,0.934427
0.396620,0.017601,0.191781,0.005057,0.047521,0.000800,0.108355,0.050626,0.059618,0.221767,0.001472,0.000512,0.889787
0.401099,0.017409,0.191622,0.005344,0.047681,0.000832,0.112324,0.050273,0.060802,0.227239,0.001408,0.000384,0.899834
0.400492,0.017601,0.191717,0.004929,0.048129,0.001056,0.112707,0.050082,0.062850,0.228807,0.001696,0.000416,0.901467
0.397227,0.017569,0.191654,0.005056,0.048161,0.000608,0.110564,0.059329,0.060418,0.233959,0.001472,0.000448,0.902906
0.400748,0.017473,0.191781,0.005057,0.047937,0.000832,0.107267,0.050946,0.066370,0.227591,0.001408,0.000384,0.899483
0.401644,0.017600,0.191846,0.004992,0.047810,0.000768,0.115267,0.050882,0.062210,0.232231,0.001440,0.000480,0.905947
0.397452,0.017440,0.211591,0.005376,0.048481,0.000832,0.111012,0.053761,0.064482,0.232487,0.001248,0.000384,0.922363
0.396843,0.017504,0.191910,0.005088,0.049121,0.000800,0.116804,0.050497,0.061794,0.232359,0.001312,0.000384,0.902106
0.396684,0.017409,0.192325,0.005056,0.048034,0.000768,0.110371,0.064578,0.059458,0.237895,0.001312,0.000384,0.906139
0.396524,0.017344,0.192134,0.004800,0.048193,0.000801,0.110051,0.048769,0.059554,0.221382,0.001408,0.000448,0.889786
0.397772,0.017632,0.192166,0.005312,0.048001,0.000800,0.123972,0.050562,0.061378,0.239304,0.002144,0.000512,0.910363
0.396556,0.017600,0.191622,0.005248,0.048609,0.000736,0.112452,0.050337,0.061058,0.227463,0.001728,0.000416,0.897370
0.396780,0.017600,0.192326,0.005280,0.048098,0.000800,0.113795,0.051105,0.062465,0.230790,0.001504,0.000384,0.900090
0.417485,0.017728,0.192006,0.005088,0.047714,0.000608,0.109987,0.050913,0.060002,0.224006,0.001440,0.000384,0.913147
0.395659,0.017345,0.191813,0.004929,0.047873,0.000800,0.114211,0.050881,0.061762,0.229831,0.001472,0.000416,0.896762
0.398316,0.017601,0.192037,0.004961,0.047969,0.000800,0.111075,0.048226,0.062562,0.225287,0.001600,0.000480,0.896283
0.397132,0.017345,0.191589,0.004832,0.048418,0.000800,0.114147,0.049954,0.086946,0.254631,0.001472,0.000480,0.923387
0.396684,0.017537,0.192069,0.005088,0.048514,0.000768,0.106147,0.051042,0.061442,0.221831,0.001408,0.000384,0.890715
0.396492,0.017632,0.192742,0.004896,0.048161,0.000768,0.112356,0.049761,0.060738,0.226023,0.001408,0.000416,0.894778
0.397548,0.017793,0.191589,0.005280,0.047426,0.000896,0.111299,0.050466,0.064130,0.229031,0.001568,0.000416,0.898139
0.417804,0.017697,0.191622,0.005280,0.048225,0.000832,0.107491,0.046242,0.059938,0.217063,0.001504,0.000448,0.907355
0.396364,0.017536,0.191750,0.005280,0.047970,0.001056,0.112163,0.050177,0.061986,0.227686,0.001376,0.000448,0.895834
0.397196,0.017440,0.191494,0.005184,0.047265,0.000832,0.110628,0.049601,0.060514,0.223943,0.001440,0.000416,0.892026
0.396524,0.017569,0.191621,0.005216,0.048194,0.000800,0.106371,0.050754,0.085826,0.246087,0.001440,0.000448,0.914235
0.395788,0.017409,0.192229,0.005057,0.048257,0.000864,0.106851,0.049794,0.064034,0.223783,0.001408,0.000352,0.891803
0.399884,0.017408,0.193350,0.005120,0.047842,0.000608,0.116995,0.051458,0.062274,0.234023,0.001504,0.000416,0.907451
0.397804,0.017441,0.192773,0.005312,0.048161,0.000800,0.113827,0.049218,0.061538,0.228263,0.001536,0.000416,0.899771
0.414252,0.017793,0.191750,0.005056,0.047809,0.000576,0.115588,0.060066,0.063009,0.241959,0.001537,0.000416,0.927676
0.397196,0.017440,0.191398,0.004864,0.047681,0.000832,0.115235,0.049377,0.060130,0.228134,0.001440,0.000480,0.896698
0.397868,0.017440,0.191622,0.005280,0.047393,0.000864,0.116900,0.050753,0.061826,0.233063,0.001664,0.000480,0.902522
0.397484,0.017728,0.191782,0.005056,0.048834,0.000800,0.134692,0.049185,0.064898,0.252263,0.001504,0.000512,0.923003
0.401964,0.017409,0.191685,0.005025,0.047873,0.000800,0.114147,0.050914,0.062146,0.230375,0.001408,0.000384,0.903643
0.396556,0.017600,0.192646,0.005216,0.048034,0.000768,0.138788,0.054370,0.062305,0.258631,0.001537,0.000352,0.928316
0.397227,0.017888,0.192230,0.005088,0.048385,0.000800,0.106724,0.051073,0.061794,0.222951,0.001536,0.000384,0.892794
0.418157,0.017664,0.192070,0.005312,0.048546,0.000800,0.115619,0.060322,0.063618,0.243175,0.001472,0.000512,0.935516
0.400428,0.017632,0.191910,0.005088,0.050370,0.000800,0.113955,0.049058,0.059489,0.225702,0.001504,0.000352,0.900218
0.399915,0.017633,0.191750,0.005440,0.048929,0.000768,0.108964,0.052673,0.060674,0.225703,0.001632,0.000352,0.899194
0.396140,0.017697,0.191333,0.005024,0.063746,0.000960,0.108580,0.049761,0.060962,0.222119,0.001472,0.000416,0.905787
0.396940,0.017569,0.191909,0.005152,0.048130,0.000800,0.111587,0.050626,0.062882,0.228551,0.001440,0.000480,0.897563
