Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.399372,0.017633,0.191493,0.005120,0.048642,0.000800,0.109347,0.048546,0.059681,0.220838,0.002400,0.001504,0.000448,0.895611
0.420140,0.017793,0.191589,0.005312,0.048834,0.000832,0.106435,0.063394,0.064258,0.238503,0.002240,0.001280,0.000480,0.933787
0.397452,0.017761,0.192293,0.005281,0.049025,0.000800,0.111907,0.047906,0.059906,0.222919,0.002592,0.001248,0.000416,0.897627
0.395244,0.017632,0.191718,0.004992,0.048705,0.000832,0.110820,0.048833,0.059138,0.221639,0.002368,0.001440,0.000384,0.891482
0.399308,0.017633,0.191813,0.005312,0.049346,0.000896,0.108515,0.048546,0.076130,0.236903,0.002304,0.001344,0.000384,0.912603
0.395180,0.017792,0.191430,0.005376,0.048546,0.000736,0.107171,0.047649,0.060738,0.218502,0.002464,0.001344,0.000384,0.888250
0.400748,0.017825,0.194085,0.004832,0.048194,0.000832,0.105731,0.045057,0.058498,0.212838,0.002400,0.001408,0.000416,0.890810
0.401003,0.017888,0.191846,0.005280,0.048257,0.000800,0.098595,0.050466,0.057410,0.209543,0.002496,0.001664,0.000416,0.885818
0.412300,0.017697,0.191621,0.005089,0.048289,0.000832,0.107267,0.065634,0.065634,0.241639,0.002176,0.001248,0.000384,0.929499
0.395147,0.017697,0.191653,0.005057,0.050145,0.000832,0.109827,0.049058,0.062178,0.224135,0.002304,0.001600,0.000384,0.895962
0.399116,0.017664,0.191589,0.004832,0.048034,0.000800,0.103491,0.047873,0.059298,0.213702,0.002240,0.001664,0.000384,0.887898
0.399692,0.017825,0.192165,0.004993,0.048769,0.000832,0.105891,0.048450,0.093890,0.251847,0.002592,0.001184,0.000416,0.927004
0.395787,0.017793,0.191462,0.005312,0.048481,0.000832,0.111524,0.048161,0.060098,0.223143,0.002304,0.001440,0.000352,0.893754
0.395244,0.017856,0.192038,0.004800,0.049186,0.000832,0.109283,0.062722,0.060162,0.235463,0.002272,0.001152,0.000384,0.906043
0.399339,0.017824,0.191302,0.004832,0.048289,0.000800,0.103939,0.048866,0.065442,0.221511,0.002464,0.001120,0.000384,0.894970
0.417709,0.017728,0.192934,0.004896,0.047554,0.000832,0.114531,0.059170,0.062722,0.239815,0.002848,0.001344,0.000416,0.934012
0.396492,0.017697,0.192229,0.004865,0.049057,0.000832,0.112259,0.049442,0.061090,0.226087,0.002528,0.001344,0.000384,0.899835
0.396012,0.017729,0.191621,0.005024,0.048802,0.000832,0.116195,0.048770,0.060866,0.228967,0.002496,0.001248,0.000416,0.900123
0.401004,0.017857,0.191493,0.004833,0.047969,0.000800,0.140836,0.058658,0.074178,0.277256,0.002336,0.001184,0.000384,0.952828
0.399500,0.017856,0.191526,0.004896,0.047713,0.000800,0.109508,0.048545,0.060930,0.222151,0.002656,0.001344,0.000384,0.896154
0.396268,0.017632,0.191718,0.004832,0.047585,0.000992,0.106436,0.050049,0.064546,0.224039,0.002400,0.001376,0.000384,0.894842
0.400780,0.017856,0.191462,0.004832,0.047937,0.001056,0.108676,0.049633,0.065122,0.226471,0.002272,0.001248,0.000448,0.901498
0.420524,0.017505,0.191781,0.004897,0.050017,0.000800,0.137828,0.053058,0.062082,0.256136,0.002688,0.001312,0.000640,0.954332
0.399788,0.017632,0.191750,0.004896,0.047906,0.000832,0.103139,0.047905,0.059074,0.213382,0.002560,0.001280,0.000416,0.887738
0.394699,0.017824,0.191686,0.004896,0.048289,0.000800,0.109892,0.064226,0.065730,0.243272,0.003104,0.001312,0.000448,0.914235
0.395020,0.017728,0.191590,0.004896,0.064482,0.000640,0.109475,0.066626,0.061090,0.240263,0.002688,0.001312,0.000416,0.926331
0.395211,0.017633,0.192006,0.004864,0.047201,0.000832,0.109507,0.057154,0.062242,0.232263,0.002624,0.001248,0.000384,0.902266
0.399852,0.017600,0.191718,0.005408,0.047105,0.000992,0.106084,0.063650,0.059329,0.232231,0.002528,0.001312,0.000416,0.906939
