Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.396524,0.017729,0.191621,0.005153,0.047297,0.000576,0.013632,0.000448,0.001665,0.112515,0.040769,0.062754,0.219334,0.902331
0.395755,0.017857,0.192166,0.004864,0.047585,0.000608,0.013697,0.000416,0.001440,0.107459,0.036641,0.061762,0.208870,0.890426
0.397100,0.017857,0.192037,0.005280,0.047970,0.000608,0.014112,0.000384,0.001536,0.110660,0.041281,0.063106,0.218439,0.903355
0.396076,0.017600,0.191590,0.004896,0.048449,0.000576,0.013825,0.000416,0.001504,0.104131,0.037569,0.059618,0.204742,0.886714
0.397515,0.036577,0.191878,0.004896,0.049122,0.000608,0.013696,0.000416,0.001536,0.105475,0.037666,0.061153,0.207334,0.910682
0.395692,0.017889,0.191749,0.004896,0.048002,0.000576,0.013568,0.000416,0.001472,0.104132,0.042785,0.060610,0.210439,0.891451
0.395980,0.017537,0.191397,0.004897,0.048257,0.000576,0.013760,0.000416,0.001536,0.105251,0.036961,0.058113,0.203590,0.884859
0.396460,0.017761,0.191621,0.004992,0.047170,0.000576,0.013440,0.000384,0.001536,0.102787,0.037282,0.060289,0.203366,0.883706
0.395820,0.017824,0.191110,0.004864,0.047010,0.000576,0.013472,0.000352,0.001600,0.100803,0.032321,0.058050,0.194150,0.873850
0.395916,0.017857,0.191077,0.004897,0.047073,0.000608,0.013472,0.000416,0.001472,0.097634,0.035937,0.056962,0.193414,0.872666
0.396236,0.017824,0.191878,0.004896,0.047297,0.000608,0.013569,0.000384,0.001472,0.105347,0.037185,0.060066,0.205574,0.886810
0.396012,0.017920,0.206694,0.004960,0.047682,0.000640,0.013568,0.000576,0.001472,0.109764,0.036321,0.060098,0.209255,0.906171
0.396651,0.017856,0.191686,0.005248,0.047777,0.000608,0.013569,0.000416,0.001536,0.110851,0.037729,0.063394,0.215430,0.899098
0.397132,0.017824,0.191526,0.005280,0.047970,0.000640,0.014016,0.000384,0.001504,0.099011,0.039105,0.058914,0.200166,0.883162
0.395948,0.018048,0.192006,0.005280,0.049729,0.000576,0.013761,0.000416,0.001472,0.103779,0.037345,0.063458,0.207334,0.890522
0.395724,0.017985,0.191813,0.005313,0.047841,0.000576,0.013440,0.000384,0.001472,0.101635,0.036802,0.061057,0.202438,0.883162
0.396620,0.017536,0.191878,0.005280,0.047458,0.000608,0.013472,0.000384,0.001472,0.106115,0.037601,0.059778,0.206470,0.888346
0.396652,0.018016,0.191718,0.004896,0.047138,0.000608,0.013472,0.000384,0.001408,0.101123,0.038145,0.059746,0.201702,0.881850
0.396204,0.017824,0.208487,0.005056,0.047617,0.000608,0.013473,0.000352,0.001376,0.104739,0.041889,0.062594,0.212038,0.910331
0.397483,0.017665,0.191366,0.004896,0.047745,0.000608,0.013473,0.000416,0.001440,0.103907,0.040097,0.062114,0.208998,0.891034
0.395947,0.017504,0.191398,0.004928,0.047905,0.000576,0.013505,0.000416,0.001472,0.102787,0.032417,0.056962,0.195174,0.875642
0.396236,0.017633,0.191269,0.004896,0.047490,0.000576,0.013440,0.000416,0.001504,0.099299,0.035873,0.058082,0.196614,0.877050
0.412812,0.017889,0.191590,0.004928,0.047425,0.000576,0.013729,0.000384,0.001440,0.103075,0.036801,0.061218,0.203942,0.901563
0.396300,0.017825,0.191333,0.004865,0.047105,0.000640,0.013440,0.000384,0.001472,0.103524,0.039233,0.059297,0.205095,0.884987
0.396396,0.017856,0.191366,0.004864,0.047042,0.000640,0.013472,0.000416,0.001472,0.100739,0.039265,0.063074,0.206118,0.886650
0.396716,0.017632,0.191366,0.004928,0.047010,0.000576,0.013440,0.000352,0.001472,0.126020,0.037569,0.063266,0.229767,0.909819
0.396460,0.017793,0.191621,0.004897,0.047041,0.000608,0.013760,0.000673,0.001472,0.108483,0.035841,0.059810,0.207206,0.888635
0.396652,0.017664,0.191142,0.004896,0.046913,0.000608,0.013441,0.000416,0.001472,0.100867,0.037473,0.065282,0.206470,0.886298
0.396523,0.017856,0.191846,0.004896,0.047105,0.000576,0.013473,0.000416,0.001472,0.104195,0.042049,0.064898,0.214086,0.895194
0.424684,0.017760,0.192134,0.005344,0.047105,0.000544,0.013473,0.000416,0.001504,0.104291,0.038433,0.063522,0.209926,0.919899
0.396460,0.017856,0.191014,0.004896,0.047042,0.000576,0.013536,0.000384,0.001408,0.101475,0.037313,0.067490,0.209222,0.888986
0.396940,0.017600,0.192134,0.004896,0.047137,0.000608,0.013569,0.000384,0.001408,0.098563,0.037377,0.066786,0.205926,0.887674
0.398380,0.017664,0.192006,0.004864,0.047617,0.000608,0.013569,0.000416,0.001504,0.126692,0.044321,0.064130,0.238695,0.921435
0.396907,0.017824,0.191750,0.004928,0.047009,0.000576,0.013505,0.000416,0.001440,0.099683,0.037761,0.061346,0.201670,0.882426
0.396235,0.017857,0.192166,0.004928,0.047073,0.000544,0.013569,0.000416,0.001472,0.106339,0.042177,0.060418,0.211846,0.893370
0.397195,0.017665,0.191462,0.005376,0.046945,0.000544,0.013473,0.000416,0.001440,0.102339,0.037985,0.060002,0.203142,0.884186
0.413388,0.017728,0.192166,0.004896,0.047329,0.000576,0.013569,0.000416,0.001440,0.106979,0.036897,0.062274,0.208998,0.907707
0.400076,0.017760,0.192326,0.005344,0.048257,0.000641,0.014016,0.000416,0.001472,0.106787,0.037057,0.059266,0.206310,0.893370
0.396652,0.017792,0.192070,0.005056,0.050370,0.000608,0.013792,0.000416,0.001408,0.105411,0.037441,0.064002,0.209670,0.894618
0.396972,0.017760,0.192390,0.005312,0.048450,0.000576,0.013568,0.000384,0.001440,0.102147,0.035201,0.085347,0.225895,0.909595
0.396684,0.018048,0.192006,0.005376,0.047617,0.000672,0.013537,0.000448,0.001504,0.106947,0.041953,0.061378,0.213542,0.896314
0.396428,0.017569,0.192293,0.005281,0.047169,0.000576,0.013632,0.000416,0.001505,0.107043,0.033313,0.058305,0.201958,0.884571
0.397260,0.017664,0.191910,0.005440,0.047041,0.000544,0.013473,0.000416,0.001728,0.105347,0.033345,0.058466,0.200294,0.882842
0.414252,0.017665,0.191333,0.004864,0.047074,0.000640,0.013504,0.000416,0.001504,0.098275,0.036481,0.060194,0.197894,0.895898
0.396364,0.017728,0.191878,0.004896,0.047233,0.000576,0.013473,0.000384,0.001504,0.104963,0.035393,0.061922,0.205094,0.885850
0.395916,0.017824,0.192166,0.005184,0.047201,0.000640,0.013569,0.000384,0.001472,0.104515,0.037313,0.060546,0.205286,0.885914
0.396236,0.017792,0.191430,0.004864,0.047138,0.000576,0.013504,0.000416,0.001472,0.109891,0.036354,0.088098,0.237415,0.918203
0.399083,0.018241,0.193318,0.005152,0.049505,0.000992,0.013825,0.000640,0.001952,0.125316,0.040001,0.064802,0.233255,0.924252
0.396460,0.017856,0.191878,0.005088,0.047714,0.000608,0.013952,0.000352,0.001504,0.104355,0.038273,0.066210,0.211750,0.894138
0.397100,0.017728,0.191653,0.004896,0.048930,0.000576,0.013536,0.000416,0.001504,0.104035,0.039010,0.062945,0.209030,0.892091
0.412332,0.018145,0.191206,0.004928,0.047553,0.000800,0.013601,0.000384,0.001440,0.105987,0.039329,0.063234,0.211622,0.909083
0.396971,0.017761,0.191686,0.004928,0.048449,0.000608,0.013601,0.000352,0.001504,0.107043,0.037697,0.064098,0.212230,0.895578
0.396588,0.017952,0.192166,0.005184,0.048385,0.000832,0.013760,0.000416,0.001472,0.103011,0.040033,0.062434,0.208582,0.892538
0.399852,0.017728,0.191206,0.004896,0.048930,0.000608,0.013472,0.000416,0.001440,0.101763,0.040386,0.098338,0.243687,0.929147
0.396844,0.017632,0.192102,0.005248,0.048577,0.000577,0.013472,0.000416,0.001472,0.112195,0.035105,0.059970,0.210502,0.894138
0.396972,0.017856,0.192454,0.005088,0.047521,0.000544,0.013505,0.000416,0.001408,0.105987,0.041345,0.061890,0.212230,0.894682
0.396940,0.017697,0.191589,0.004992,0.047362,0.000576,0.013504,0.000384,0.001440,0.107011,0.036609,0.065186,0.211911,0.893435
0.413900,0.017888,0.191590,0.005504,0.047425,0.000576,0.013537,0.000384,0.001440,0.105539,0.037089,0.061442,0.207558,0.906619
0.396139,0.017729,0.191494,0.005056,0.047105,0.000608,0.013505,0.000384,0.001472,0.103331,0.042081,0.061346,0.209958,0.890362
0.396076,0.017569,0.191205,0.004896,0.047394,0.000608,0.013536,0.000416,0.001472,0.104804,0.036417,0.062882,0.207175,0.886939
0.396172,0.017825,0.191429,0.004896,0.047138,0.000576,0.013472,0.000416,0.001472,0.099491,0.037473,0.060098,0.200198,0.880282
0.398668,0.018177,0.192069,0.005121,0.048065,0.000800,0.014176,0.000384,0.001504,0.112835,0.034497,0.059970,0.210694,0.897499
0.399628,0.018017,0.191910,0.005312,0.047425,0.000608,0.013665,0.000384,0.001408,0.099107,0.039393,0.063362,0.204774,0.889403
0.397036,0.018016,0.191494,0.005152,0.047489,0.000576,0.013473,0.000416,0.001472,0.104803,0.037217,0.065602,0.211206,0.892250
0.397324,0.032161,0.192134,0.005056,0.048513,0.000608,0.013921,0.000384,0.001472,0.108419,0.040641,0.061762,0.214470,0.912539
0.395980,0.017760,0.192197,0.004832,0.047234,0.000576,0.013472,0.000352,0.001408,0.096483,0.037601,0.058146,0.196838,0.876762
0.398027,0.017729,0.191622,0.004832,0.048129,0.000608,0.013537,0.000416,0.001696,0.098851,0.044353,0.057666,0.205382,0.888314
0.396300,0.017536,0.191430,0.004864,0.047618,0.000608,0.013696,0.000416,0.001728,0.093859,0.038113,0.061826,0.196582,0.877018
0.397036,0.017728,0.191174,0.005088,0.047266,0.000544,0.013408,0.000416,0.001440,0.098499,0.036577,0.061922,0.201030,0.881626
0.396364,0.017632,0.191814,0.004896,0.048290,0.000544,0.013824,0.000352,0.001472,0.101347,0.037729,0.060962,0.203078,0.884410
0.397100,0.017825,0.191749,0.005153,0.047041,0.000576,0.013440,0.000384,0.001408,0.106724,0.036449,0.060674,0.206791,0.887707
0.398156,0.017888,0.191270,0.005248,0.047393,0.000576,0.013664,0.000448,0.017696,0.106915,0.036289,0.064098,0.211719,0.911963
0.397771,0.017377,0.191238,0.005312,0.047233,0.000576,0.013569,0.000384,0.001440,0.100643,0.035713,0.061826,0.202630,0.883578
0.398188,0.017344,0.191782,0.005152,0.046977,0.000640,0.013409,0.000384,0.001408,0.101091,0.038561,0.062498,0.205478,0.886618
0.398988,0.017313,0.191365,0.005152,0.047042,0.000576,0.013504,0.000416,0.001440,0.102019,0.039938,0.064513,0.209511,0.892251
0.409740,0.017600,0.191782,0.005120,0.047042,0.000512,0.013472,0.000416,0.001440,0.133636,0.037217,0.058082,0.232135,0.925275
0.398860,0.017792,0.191238,0.004864,0.047330,0.000576,0.013504,0.000416,0.001504,0.100675,0.037665,0.061154,0.202982,0.885370
