Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.395531,0.017761,0.191333,0.005312,0.048449,0.000768,0.014401,0.000416,0.097826,0.033409,0.061057,0.195301,0.001312,0.000640,0.878265
0.395563,0.017505,0.191590,0.005312,0.048001,0.000800,0.014561,0.000448,0.120355,0.034625,0.059106,0.217734,0.001664,0.000480,0.902042
0.396396,0.017728,0.210022,0.005281,0.048321,0.000800,0.013984,0.000448,0.109668,0.044161,0.064802,0.221479,0.001632,0.000416,0.923995
0.395788,0.017344,0.192102,0.005024,0.047873,0.000768,0.013921,0.000416,0.116707,0.034497,0.058978,0.213446,0.001600,0.000640,0.895898
0.395276,0.017537,0.191525,0.005056,0.048642,0.000768,0.014176,0.000416,0.105892,0.041377,0.064354,0.214503,0.001408,0.000576,0.896987
0.395531,0.017504,0.191622,0.005024,0.050081,0.000800,0.013697,0.000416,0.108675,0.039265,0.071042,0.222182,0.001472,0.000577,0.906747
0.395052,0.017376,0.191718,0.004896,0.050434,0.000768,0.013568,0.000384,0.108963,0.043490,0.059394,0.214823,0.001760,0.000416,0.898299
0.396619,0.017697,0.191270,0.005056,0.048193,0.000800,0.013601,0.000448,0.105123,0.031777,0.060290,0.200774,0.001568,0.000608,0.884314
0.396459,0.017473,0.191270,0.004864,0.048481,0.000832,0.013569,0.000384,0.110403,0.044257,0.059426,0.217286,0.001568,0.000704,0.900026
0.395340,0.017408,0.220807,0.005216,0.048801,0.000800,0.013504,0.000448,0.111619,0.044130,0.070626,0.229479,0.001568,0.000608,0.942108
0.396396,0.017600,0.191366,0.004768,0.048929,0.000736,0.013793,0.000416,0.108771,0.043361,0.059266,0.214310,0.001632,0.000384,0.897530
0.395756,0.017312,0.191430,0.004864,0.047649,0.000832,0.013825,0.000416,0.106147,0.033729,0.060738,0.203782,0.001632,0.000416,0.885754
0.395660,0.017344,0.191814,0.004832,0.048769,0.000800,0.013665,0.000448,0.108387,0.034337,0.058114,0.203718,0.001312,0.000384,0.885882
0.396076,0.017344,0.191654,0.004832,0.050882,0.000768,0.013696,0.000416,0.103907,0.035969,0.056482,0.199782,0.001600,0.000416,0.885818
0.396236,0.017409,0.191397,0.004896,0.050626,0.000800,0.013504,0.000416,0.108740,0.041729,0.059106,0.212711,0.001440,0.000640,0.897755
0.395147,0.017377,0.191558,0.004896,0.049057,0.000832,0.013665,0.000384,0.101027,0.037569,0.061538,0.203078,0.001632,0.000416,0.884890
0.394763,0.017505,0.211494,0.005120,0.049826,0.000800,0.013696,0.000416,0.107587,0.034433,0.068194,0.213415,0.001376,0.000384,0.916795
0.396427,0.017344,0.191462,0.004800,0.048705,0.000800,0.013697,0.000416,0.102467,0.040961,0.056482,0.203430,0.001792,0.000416,0.888346
0.395723,0.017377,0.191366,0.004864,0.049633,0.000768,0.013633,0.000448,0.099779,0.033569,0.055937,0.192389,0.001729,0.000416,0.875418
0.395372,0.017313,0.191269,0.004897,0.047969,0.000736,0.013504,0.000416,0.105764,0.034401,0.057409,0.200390,0.001536,0.000384,0.880378
0.395563,0.017505,0.191430,0.004864,0.048481,0.000768,0.013537,0.000416,0.108227,0.042401,0.063138,0.216582,0.001312,0.000448,0.897754
0.395596,0.017568,0.191206,0.004800,0.048897,0.000800,0.013472,0.000416,0.104547,0.043425,0.059362,0.210054,0.001536,0.000416,0.891578
0.395980,0.017536,0.191110,0.004832,0.048289,0.000608,0.013600,0.000416,0.100387,0.035425,0.064482,0.203270,0.001312,0.000544,0.884634
0.396555,0.017440,0.211558,0.005025,0.048065,0.000576,0.013504,0.000416,0.108932,0.034561,0.061570,0.207943,0.001472,0.000352,0.911483
0.395627,0.017345,0.191206,0.004832,0.047905,0.000608,0.013473,0.000448,0.104387,0.034625,0.059970,0.201894,0.001344,0.000384,0.882522
0.395500,0.017313,0.191461,0.004800,0.047682,0.000576,0.013472,0.000416,0.103331,0.037474,0.056449,0.200422,0.001504,0.000384,0.881018
0.395820,0.017376,0.191397,0.004864,0.047426,0.000608,0.013568,0.000384,0.108227,0.041154,0.059937,0.212454,0.001376,0.000640,0.893179
0.412172,0.017473,0.191750,0.004832,0.047361,0.000576,0.013537,0.000416,0.111811,0.043233,0.059970,0.218214,0.001440,0.000384,0.916187
0.395948,0.017536,0.191621,0.004896,0.050722,0.000768,0.013728,0.000448,0.106627,0.039074,0.061922,0.210471,0.001792,0.000416,0.895547
0.395596,0.017569,0.191397,0.004897,0.049313,0.000608,0.013600,0.000448,0.106756,0.034337,0.058657,0.202694,0.001473,0.000352,0.885051
0.395692,0.017569,0.191685,0.004800,0.064930,0.000672,0.014049,0.000416,0.106275,0.042945,0.069762,0.221798,0.001376,0.000352,0.920379
0.396076,0.017344,0.192230,0.004832,0.047681,0.000576,0.013505,0.000448,0.110307,0.034369,0.057954,0.205542,0.001344,0.000384,0.886746
0.395628,0.017217,0.191109,0.004864,0.047554,0.000800,0.013504,0.000416,0.104259,0.034466,0.057153,0.198598,0.001440,0.000416,0.877818
0.395884,0.017472,0.191238,0.004960,0.047682,0.000576,0.013536,0.000416,0.109027,0.042690,0.060385,0.215110,0.001409,0.000384,0.895931
0.412300,0.017536,0.191238,0.004928,0.047618,0.000544,0.013504,0.000384,0.106275,0.043458,0.059617,0.212326,0.001441,0.000416,0.908859
0.395980,0.017409,0.191397,0.004864,0.047298,0.000544,0.013472,0.000448,0.102019,0.032545,0.061954,0.199302,0.001440,0.000384,0.879674
0.395308,0.017440,0.191462,0.004832,0.047298,0.000608,0.013472,0.000384,0.104995,0.042593,0.059650,0.210054,0.001376,0.000416,0.889658
0.395884,0.017536,0.191430,0.005280,0.047490,0.000576,0.013504,0.000416,0.126276,0.037217,0.058562,0.225543,0.001504,0.000608,0.907579
0.396428,0.017344,0.191526,0.004864,0.049249,0.000576,0.013473,0.000416,0.105827,0.034337,0.058114,0.201094,0.001344,0.000640,0.884218
0.396299,0.017409,0.191493,0.004833,0.049217,0.000736,0.013473,0.000448,0.131523,0.036258,0.057825,0.228422,0.001408,0.000416,0.911162
