Layer[0],Layer[1],IN[2],INFER[2-7],OUT[7],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.420067,0.017408,0.133025,0.595588,0.065792,0.798022,0.002528,0.001280,0.000512,1.244681
0.415107,0.017504,0.135425,0.583781,0.065568,0.788358,0.002560,0.000928,0.000352,1.229769
0.415171,0.017632,0.127009,0.579780,0.064640,0.774533,0.002432,0.000768,0.000352,1.215593
0.433347,0.017601,0.126592,0.579749,0.065504,0.775941,0.002720,0.001056,0.000416,1.237481
0.415331,0.017472,0.135905,0.584260,0.066657,0.790374,0.002528,0.000864,0.000384,1.231625
0.415363,0.017344,0.125025,0.581765,0.064736,0.774886,0.002560,0.000832,0.000384,1.216073
0.415523,0.017408,0.116193,0.583140,0.065408,0.768357,0.002464,0.000832,0.000352,1.210408
0.415715,0.017536,0.122177,0.596772,0.067105,0.789510,0.002368,0.000864,0.000352,1.231081
0.414947,0.017248,0.132961,0.598980,0.077408,0.812901,0.002528,0.000864,0.000320,1.253577
0.414979,0.017344,0.119777,0.577252,0.063361,0.763686,0.002368,0.000928,0.000320,1.204425
0.422211,0.017280,0.124481,0.581220,0.065760,0.774725,0.002432,0.000992,0.000256,1.222856
0.415459,0.017376,0.122177,0.596100,0.065057,0.787174,0.002432,0.000960,0.000320,1.228521
0.415107,0.017313,0.140769,0.582980,0.064384,0.791429,0.002272,0.000768,0.000320,1.231561
0.417635,0.017504,0.139073,0.587364,0.068833,0.799398,0.002624,0.001056,0.000320,1.244745
0.446595,0.018240,0.197825,0.595588,0.076161,0.875654,0.004832,0.002944,0.000608,1.361322
0.417059,0.017856,0.136769,0.585797,0.067424,0.793414,0.003264,0.001216,0.000320,1.238857
0.416995,0.017536,0.132673,0.600740,0.072417,0.810406,0.003168,0.001216,0.000384,1.254761
0.415875,0.017472,0.140993,0.584196,0.065664,0.797189,0.003072,0.001184,0.000384,1.239880
0.415235,0.017472,0.134945,0.586021,0.070112,0.794598,0.002752,0.001184,0.000384,1.236617
0.416483,0.017472,0.141665,0.586660,0.068481,0.800838,0.003232,0.001248,0.000416,1.244873
0.416323,0.017472,0.131329,0.581764,0.067520,0.784389,0.002656,0.001056,0.000224,1.226888
0.418755,0.018176,0.197921,0.590565,0.070880,0.863942,0.003520,0.002944,0.000352,1.319881
0.416515,0.017536,0.134113,0.593637,0.067168,0.798886,0.002976,0.001216,0.000416,1.243241
0.416547,0.017824,0.128513,0.585348,0.066081,0.784838,0.002912,0.001408,0.000640,1.230217
0.420771,0.017472,0.138977,0.602884,0.070017,0.817446,0.002496,0.001120,0.000352,1.264969
0.421475,0.017504,0.130049,0.583140,0.065568,0.782661,0.002656,0.001056,0.000672,1.231464
0.419203,0.017569,0.161953,0.588900,0.070592,0.826117,0.003360,0.001184,0.000384,1.275561
