Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-7],OUT[7],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.398252,0.018113,0.209318,0.005536,0.114404,0.101635,0.071170,0.290505,0.002656,0.001344,0.000416,0.932700
0.400716,0.017696,0.191526,0.005088,0.114883,0.100355,0.064994,0.283336,0.002720,0.001281,0.000640,0.909339
0.402060,0.017921,0.192325,0.005217,0.120675,0.098595,0.065698,0.288840,0.003264,0.001216,0.000416,0.918011
0.401548,0.017761,0.191653,0.005249,0.114083,0.099171,0.067458,0.284136,0.003008,0.001312,0.000448,0.911355
0.397484,0.017696,0.191621,0.005280,0.120068,0.105251,0.064962,0.293353,0.002816,0.001216,0.000448,0.916059
0.395948,0.017728,0.191334,0.005344,0.114724,0.098627,0.068034,0.284937,0.002848,0.001312,0.000480,0.906171
0.397419,0.017696,0.191398,0.005312,0.112003,0.101091,0.066338,0.282664,0.002688,0.001344,0.000448,0.904986
0.417900,0.017761,0.192133,0.005472,0.112292,0.099683,0.070434,0.285897,0.002816,0.001248,0.000448,0.930363
0.401420,0.017825,0.192165,0.005057,0.111011,0.097891,0.063938,0.276008,0.002816,0.001344,0.000448,0.903003
0.402220,0.017985,0.191973,0.005216,0.119140,0.099235,0.069538,0.293225,0.002912,0.001312,0.000416,0.921691
0.401228,0.017984,0.192326,0.005024,0.139204,0.109475,0.072674,0.326026,0.003104,0.001408,0.000704,0.954140
0.400652,0.017888,0.192613,0.005312,0.112196,0.106691,0.071970,0.297161,0.002784,0.001312,0.000448,0.926043
0.396716,0.017952,0.192101,0.005088,0.121700,0.096899,0.065410,0.288521,0.002912,0.001312,0.000384,0.911099
0.396620,0.017792,0.191718,0.005344,0.113731,0.099235,0.069378,0.285832,0.002913,0.001216,0.000704,0.908443
0.418316,0.017760,0.191718,0.005248,0.122148,0.108259,0.069730,0.303177,0.002816,0.001280,0.000384,0.946812
0.400395,0.021185,0.191686,0.005312,0.110371,0.097667,0.067106,0.279528,0.002784,0.001312,0.000480,0.909018
0.400396,0.017760,0.191366,0.005280,0.110660,0.100003,0.066946,0.280905,0.002752,0.001248,0.000480,0.906427
0.401804,0.017664,0.208102,0.005377,0.117187,0.097859,0.064546,0.282856,0.002720,0.001312,0.000672,0.927227
0.396363,0.017633,0.191430,0.005280,0.110179,0.099491,0.070434,0.283784,0.002528,0.001184,0.000384,0.904858
0.397196,0.017537,0.191685,0.005280,0.119684,0.097539,0.064514,0.285641,0.002912,0.001280,0.000448,0.908795
0.396364,0.017696,0.191526,0.005152,0.115876,0.107683,0.065154,0.293545,0.002528,0.001184,0.000640,0.914939
0.396364,0.017793,0.191429,0.005345,0.114915,0.099715,0.069986,0.287656,0.002688,0.001216,0.000672,0.909595
0.396460,0.017857,0.191717,0.005216,0.120516,0.105795,0.064162,0.293609,0.002688,0.001120,0.000608,0.915483
0.396460,0.017889,0.192069,0.005312,0.118052,0.105315,0.069858,0.296809,0.002592,0.001280,0.000416,0.918907
0.413548,0.017856,0.191878,0.005248,0.116355,0.106340,0.069122,0.296649,0.002304,0.001312,0.000672,0.935740
0.396076,0.017824,0.191974,0.005312,0.109667,0.100259,0.065730,0.278760,0.002656,0.001312,0.000640,0.900858
0.396012,0.017601,0.191941,0.005376,0.117924,0.098179,0.064002,0.283209,0.002944,0.001248,0.000448,0.905179
0.396556,0.017824,0.191750,0.005280,0.113988,0.113123,0.084034,0.314569,0.002817,0.001248,0.000672,0.936668
0.400812,0.018273,0.191685,0.005377,0.115875,0.098627,0.075586,0.293512,0.002752,0.001216,0.000641,0.920604
0.396492,0.017601,0.191621,0.005056,0.116291,0.099811,0.064834,0.284553,0.003008,0.001184,0.000352,0.906747
0.400844,0.017729,0.192357,0.005120,0.116100,0.099011,0.065090,0.284041,0.002720,0.001280,0.000384,0.911067
0.410732,0.017601,0.191942,0.005088,0.112867,0.100003,0.071106,0.287464,0.002720,0.001184,0.000416,0.923451
0.395884,0.017760,0.191686,0.005280,0.114564,0.098083,0.068866,0.285097,0.003328,0.001248,0.000384,0.906779
0.396140,0.018080,0.191718,0.005408,0.111012,0.098402,0.079234,0.291785,0.002976,0.001280,0.000416,0.914427
0.400396,0.017728,0.208519,0.005152,0.111459,0.106435,0.066882,0.288232,0.002720,0.001280,0.000352,0.930811
0.399820,0.017633,0.191621,0.005249,0.111843,0.098371,0.062434,0.276040,0.002560,0.001248,0.000352,0.901243
0.400076,0.017696,0.191206,0.005344,0.105187,0.103716,0.069186,0.281097,0.002752,0.001216,0.000320,0.906107
0.396043,0.017889,0.191558,0.005056,0.118819,0.097507,0.061634,0.281064,0.002720,0.001248,0.000416,0.902874
0.401580,0.017921,0.191333,0.005472,0.110756,0.098755,0.062658,0.275337,0.002688,0.001312,0.000480,0.902139
0.396876,0.017793,0.191717,0.005377,0.114531,0.098179,0.063010,0.279368,0.002784,0.001216,0.000448,0.902235
0.397292,0.018145,0.192805,0.005569,0.108515,0.095427,0.064578,0.272424,0.003072,0.001248,0.000416,0.897179
0.396236,0.017760,0.206214,0.005344,0.115332,0.095811,0.067682,0.282089,0.003104,0.001184,0.000416,0.917659
0.395788,0.017536,0.191878,0.005344,0.107651,0.100131,0.067458,0.280841,0.002720,0.001088,0.000448,0.902715
0.396524,0.017729,0.191749,0.005152,0.097987,0.113860,0.065474,0.281321,0.002944,0.001120,0.000384,0.902651
0.396107,0.021249,0.191398,0.005120,0.117923,0.101123,0.064738,0.286632,0.002304,0.001024,0.000416,0.909274
0.396044,0.017633,0.191813,0.005121,0.109571,0.096515,0.062018,0.271720,0.003200,0.001120,0.000448,0.892859
0.396812,0.017665,0.191685,0.005312,0.105891,0.097315,0.066370,0.274888,0.002176,0.000896,0.000416,0.895771
0.397003,0.017633,0.191622,0.005344,0.109987,0.103075,0.069570,0.286984,0.002624,0.001120,0.000384,0.908250
0.396556,0.017824,0.210343,0.005280,0.116003,0.106595,0.067747,0.295017,0.002688,0.001120,0.000384,0.935100
0.401164,0.017856,0.192038,0.005376,0.115908,0.094914,0.061761,0.275656,0.002720,0.001377,0.000416,0.902715
0.396108,0.017537,0.191845,0.005153,0.134660,0.126563,0.063170,0.327369,0.002432,0.001120,0.000416,0.947548
0.396012,0.017824,0.192006,0.005248,0.112067,0.098274,0.067778,0.283497,0.002752,0.001088,0.000416,0.905755
0.408940,0.017888,0.191878,0.004800,0.110403,0.096835,0.067490,0.279880,0.002945,0.001088,0.000384,0.914555
0.396172,0.018049,0.191749,0.004864,0.109060,0.107683,0.068802,0.288809,0.005344,0.001120,0.000256,0.911931
0.397612,0.018112,0.194950,0.005056,0.112868,0.103107,0.071266,0.290345,0.003200,0.001184,0.000320,0.917051
0.396716,0.018112,0.205318,0.005249,0.113411,0.104451,0.068514,0.290184,0.002656,0.001120,0.000384,0.926107
0.396108,0.017729,0.192037,0.004929,0.110243,0.107587,0.063330,0.284232,0.002688,0.001248,0.000416,0.905403
0.396971,0.018049,0.191686,0.005376,0.111811,0.106115,0.068002,0.291432,0.002465,0.001152,0.000352,0.913083
0.400972,0.017633,0.191909,0.005312,0.118020,0.097475,0.064898,0.284745,0.002592,0.001184,0.000384,0.912155
0.401164,0.018017,0.192741,0.005248,0.117956,0.096835,0.064514,0.282153,0.002656,0.001280,0.000416,0.909531
0.400716,0.017889,0.191845,0.005345,0.116323,0.103395,0.069122,0.291976,0.002688,0.001024,0.000352,0.917819
0.396715,0.017761,0.191622,0.005056,0.114723,0.098019,0.064322,0.280616,0.003200,0.001120,0.000384,0.902874
0.401004,0.017824,0.211494,0.005216,0.116515,0.105155,0.064802,0.289736,0.002528,0.001184,0.000416,0.936443
0.400364,0.017696,0.192262,0.005312,0.113443,0.097635,0.063234,0.277704,0.002560,0.001056,0.000352,0.903419
0.401132,0.017984,0.191846,0.005280,0.118212,0.097506,0.068386,0.287465,0.002880,0.001120,0.000384,0.914651
0.400236,0.018049,0.191846,0.005056,0.117091,0.103747,0.069314,0.293640,0.002721,0.001184,0.000288,0.918972
0.396428,0.017856,0.191846,0.005120,0.115300,0.113443,0.064770,0.296777,0.002848,0.001312,0.000416,0.918843
0.395435,0.017889,0.191910,0.005120,0.115843,0.103171,0.068386,0.290856,0.002496,0.001248,0.000385,0.911195
0.400972,0.017824,0.192390,0.005376,0.120100,0.098147,0.067938,0.290185,0.002720,0.001184,0.000416,0.917563
0.413677,0.020224,0.192390,0.005504,0.121508,0.119107,0.068482,0.314089,0.003040,0.001217,0.000448,0.957309
0.395532,0.017632,0.191686,0.005280,0.114019,0.101891,0.066561,0.286057,0.002752,0.001184,0.000384,0.906811
0.399532,0.017697,0.191845,0.005280,0.122020,0.098979,0.065954,0.291113,0.002688,0.001152,0.000352,0.917083
0.395435,0.017568,0.191878,0.005152,0.113539,0.102531,0.090915,0.310505,0.002784,0.001120,0.000576,0.931195
0.396331,0.017697,0.191942,0.005312,0.114243,0.102691,0.066434,0.286856,0.002944,0.001184,0.000384,0.908730
0.399308,0.017825,0.191974,0.005344,0.115843,0.097443,0.066562,0.283752,0.003040,0.001216,0.000608,0.909851
0.399948,0.017569,0.191973,0.005088,0.122692,0.108355,0.071618,0.305897,0.002817,0.001376,0.000384,0.931484
0.416748,0.017984,0.192134,0.005120,0.113444,0.107651,0.068962,0.293545,0.002976,0.001248,0.000640,0.936699
0.394987,0.018081,0.191973,0.005057,0.109411,0.097891,0.069410,0.279880,0.002816,0.001120,0.000320,0.899898
0.395244,0.017633,0.191685,0.005121,0.116067,0.109187,0.068770,0.298504,0.005505,0.001088,0.000416,0.922428
0.400332,0.017664,0.191974,0.005152,0.142021,0.129827,0.068162,0.344331,0.005536,0.001472,0.000640,0.973245
0.400108,0.017664,0.191654,0.005504,0.119012,0.096259,0.068962,0.287433,0.003232,0.001120,0.000416,0.912571
0.400332,0.017889,0.192165,0.005281,0.113155,0.097603,0.062658,0.276520,0.003136,0.001248,0.000640,0.902651
0.397260,0.017601,0.192710,0.005248,0.115267,0.098147,0.063842,0.280424,0.005280,0.001184,0.000448,0.905915
0.416589,0.017600,0.192102,0.005280,0.114276,0.107939,0.068610,0.294121,0.002944,0.001152,0.000480,0.936700
0.395211,0.017729,0.191878,0.005088,0.118883,0.097507,0.066050,0.286344,0.002880,0.001280,0.000448,0.907450
0.400236,0.017792,0.192038,0.005120,0.114403,0.109924,0.069186,0.296841,0.002464,0.001344,0.000384,0.922459
0.396684,0.017761,0.210022,0.005248,0.120452,0.102787,0.068418,0.294889,0.003072,0.001152,0.000640,0.936444
0.400876,0.017536,0.191974,0.005248,0.115812,0.096258,0.064321,0.279272,0.003009,0.001152,0.000416,0.905339
0.395596,0.017792,0.192454,0.005440,0.118660,0.097539,0.066018,0.285481,0.002688,0.001216,0.000416,0.906715
0.396812,0.017857,0.191909,0.005057,0.111491,0.114211,0.067554,0.298088,0.003809,0.001216,0.000672,0.921532
0.395468,0.017760,0.191622,0.005024,0.134948,0.111075,0.067426,0.316298,0.002784,0.001120,0.000448,0.936348
0.395180,0.017664,0.191526,0.005056,0.102723,0.094915,0.065698,0.266760,0.002592,0.001344,0.000416,0.886586
0.398475,0.017697,0.192966,0.004992,0.105219,0.096867,0.061794,0.268648,0.002528,0.001120,0.000416,0.892218
0.396332,0.017760,0.209223,0.005568,0.121347,0.100291,0.073699,0.298345,0.002368,0.001152,0.000448,0.937308
0.395116,0.017792,0.191814,0.005088,0.113380,0.096866,0.062082,0.275208,0.005152,0.001280,0.000448,0.897691
0.396619,0.017633,0.191750,0.005024,0.107459,0.094659,0.061602,0.266760,0.002528,0.001216,0.000480,0.887770
0.396236,0.017857,0.191877,0.005057,0.116739,0.097923,0.064514,0.283368,0.002880,0.001248,0.000448,0.907163
0.396172,0.017696,0.192198,0.005056,0.117604,0.099138,0.064130,0.284008,0.002689,0.001120,0.000640,0.905275
0.395724,0.017889,0.191397,0.005280,0.118852,0.096867,0.068450,0.287401,0.002784,0.001216,0.000448,0.909755
0.396203,0.017569,0.192198,0.005120,0.118403,0.097603,0.064098,0.283304,0.003424,0.001440,0.000384,0.906074
0.395596,0.017664,0.218023,0.005344,0.118499,0.107076,0.070594,0.301865,0.002304,0.001152,0.000416,0.950204
0.395276,0.017728,0.191589,0.005056,0.113700,0.098019,0.069410,0.284169,0.003136,0.001120,0.000416,0.904315
0.399852,0.017921,0.192325,0.005281,0.116131,0.102435,0.068130,0.290536,0.003232,0.001216,0.000384,0.918587
0.395627,0.017857,0.191910,0.005248,0.115619,0.102595,0.063746,0.284904,0.003392,0.001056,0.000384,0.905786
0.394828,0.017856,0.191782,0.005248,0.117476,0.099139,0.064546,0.284393,0.003232,0.001152,0.000384,0.905179
0.395244,0.017601,0.191461,0.005280,0.111684,0.095299,0.068706,0.278953,0.005152,0.001216,0.000416,0.901371
0.395628,0.017825,0.191909,0.005216,0.116228,0.098915,0.061858,0.279881,0.003552,0.001120,0.000416,0.901819
0.412268,0.017889,0.191718,0.005248,0.116931,0.102339,0.068770,0.291976,0.002880,0.001248,0.000448,0.930556
0.396236,0.018049,0.191877,0.005313,0.110083,0.109571,0.070146,0.293256,0.003616,0.001280,0.000672,0.917371
0.396587,0.017632,0.191654,0.005344,0.121316,0.104131,0.069602,0.297897,0.005120,0.001280,0.000640,0.922331
0.395404,0.017697,0.192421,0.005056,0.117796,0.097155,0.081634,0.300649,0.005441,0.001152,0.000384,0.925212
0.396268,0.017568,0.192102,0.005024,0.115683,0.098435,0.062658,0.281192,0.003296,0.001088,0.000608,0.903547
0.396812,0.017920,0.192038,0.005184,0.110563,0.098915,0.062914,0.275528,0.002816,0.001248,0.000416,0.897819
0.396076,0.017761,0.191589,0.005088,0.120100,0.103235,0.072418,0.299241,0.002752,0.001216,0.000480,0.920508
0.418381,0.017888,0.191814,0.005344,0.119076,0.103299,0.070338,0.297545,0.002816,0.001312,0.000640,0.942460
0.396940,0.017984,0.191334,0.005280,0.117156,0.097474,0.064481,0.282312,0.002913,0.001120,0.000608,0.905147
0.396651,0.017825,0.191685,0.005376,0.120419,0.097027,0.062818,0.283176,0.002656,0.001216,0.000576,0.905595
0.396492,0.017760,0.191910,0.005088,0.120132,0.116355,0.077091,0.318026,0.002912,0.001312,0.000352,0.940380
0.395947,0.017697,0.192166,0.005152,0.120739,0.099939,0.065442,0.289928,0.002817,0.001248,0.000384,0.912699
0.400395,0.017952,0.191910,0.005056,0.117923,0.098786,0.069059,0.290441,0.003072,0.001312,0.000448,0.917659
0.396268,0.017537,0.191525,0.005024,0.121188,0.098595,0.065218,0.288553,0.002624,0.001216,0.000384,0.909691
0.416716,0.017729,0.191909,0.005280,0.112484,0.107555,0.067490,0.292649,0.002528,0.001184,0.000640,0.935963
0.396427,0.017697,0.191525,0.005312,0.114563,0.099843,0.064034,0.283496,0.002656,0.001184,0.000640,0.905210
0.401644,0.017728,0.191686,0.005344,0.114147,0.098146,0.062210,0.277576,0.002592,0.001184,0.000576,0.903994
0.400043,0.017600,0.210374,0.005216,0.112484,0.103395,0.066530,0.285609,0.002336,0.001248,0.000384,0.929403
0.400364,0.017697,0.191590,0.005056,0.106211,0.098627,0.062914,0.270952,0.002784,0.001312,0.000448,0.895739
0.400108,0.017761,0.191269,0.005025,0.116995,0.097603,0.067202,0.284936,0.005024,0.001248,0.000512,0.911675
0.395628,0.017729,0.191493,0.005312,0.117668,0.096579,0.061506,0.278633,0.002944,0.001280,0.000384,0.899259
0.400492,0.017888,0.192102,0.005056,0.122788,0.106979,0.069922,0.302985,0.002656,0.001280,0.000512,0.930939
0.395852,0.017792,0.192518,0.005312,0.118020,0.102659,0.066818,0.290985,0.002656,0.001344,0.000672,0.914363
0.399787,0.017696,0.191622,0.005024,0.111747,0.104483,0.070114,0.290857,0.002848,0.001120,0.000320,0.915163
0.395084,0.017856,0.210311,0.005152,0.115715,0.101795,0.069058,0.290536,0.002720,0.001249,0.000384,0.930876
0.399372,0.017760,0.191942,0.005248,0.115428,0.097698,0.067778,0.285609,0.002784,0.001184,0.000352,0.910299
0.395628,0.017568,0.191814,0.005088,0.114340,0.104963,0.064994,0.287241,0.002720,0.001280,0.000480,0.908059
0.395468,0.017888,0.192038,0.005248,0.110691,0.110020,0.067970,0.292489,0.005216,0.001280,0.000640,0.916763
0.396043,0.017857,0.191910,0.005120,0.112515,0.113507,0.067457,0.296617,0.002944,0.001344,0.000384,0.918491
0.399788,0.017953,0.191557,0.005312,0.111524,0.097283,0.062881,0.274665,0.002528,0.001216,0.000416,0.899707
0.396171,0.017697,0.191398,0.005120,0.121251,0.098723,0.067618,0.291432,0.002752,0.001312,0.000416,0.912538
0.416269,0.017888,0.192390,0.005120,0.118948,0.100515,0.067746,0.290665,0.002656,0.001280,0.000448,0.933436
0.397483,0.017793,0.192582,0.005312,0.116259,0.097283,0.064642,0.281576,0.002784,0.001248,0.000672,0.906586
0.396364,0.017793,0.192229,0.005345,0.118883,0.098499,0.065250,0.285768,0.002688,0.001152,0.000640,0.908219
0.396428,0.018080,0.192134,0.005120,0.117540,0.097219,0.097922,0.317066,0.002848,0.001216,0.000672,0.941532
0.395756,0.018113,0.192101,0.005089,0.104451,0.096067,0.066210,0.270056,0.002624,0.001216,0.000352,0.891707
0.395948,0.017793,0.192165,0.005312,0.114020,0.096675,0.068610,0.282601,0.002560,0.001184,0.000608,0.904571
0.396460,0.017952,0.192422,0.005024,0.119364,0.102563,0.069442,0.294537,0.003008,0.001152,0.000384,0.917339
0.412748,0.017921,0.192485,0.005024,0.146181,0.108419,0.068450,0.326954,0.002880,0.001152,0.000608,0.967932
0.395756,0.017696,0.192134,0.005120,0.112836,0.099715,0.065858,0.281513,0.002624,0.001120,0.000384,0.902491
0.396492,0.017633,0.191525,0.005057,0.118947,0.096675,0.063330,0.283784,0.002560,0.001312,0.000640,0.906011
0.396523,0.017825,0.193030,0.005280,0.128644,0.113731,0.069122,0.316937,0.002784,0.001376,0.000448,0.942299
0.395756,0.018145,0.192421,0.005280,0.114308,0.098595,0.069282,0.285865,0.002592,0.001216,0.000352,0.908507
0.395948,0.017888,0.192134,0.005056,0.111683,0.099235,0.064034,0.278152,0.002688,0.001312,0.000448,0.899450
0.395500,0.017888,0.192198,0.005088,0.112868,0.097282,0.064098,0.279048,0.002657,0.001152,0.000384,0.900091
0.414861,0.017920,0.193030,0.005024,0.115939,0.096451,0.066114,0.281800,0.002720,0.001280,0.000384,0.923484
0.396492,0.017856,0.191878,0.005088,0.113283,0.100387,0.066850,0.283624,0.002657,0.001248,0.000384,0.906235
0.397228,0.017601,0.192229,0.005377,0.115715,0.097347,0.062562,0.278792,0.002688,0.001216,0.000384,0.901627
0.397483,0.018112,0.205926,0.005408,0.110596,0.098499,0.065666,0.278217,0.002464,0.001152,0.000352,0.915547
0.396812,0.017664,0.191782,0.005120,0.116484,0.097283,0.069442,0.286217,0.002624,0.001248,0.000384,0.907963
0.396203,0.017889,0.192166,0.005408,0.116739,0.098403,0.067810,0.286024,0.002624,0.001184,0.000416,0.909211
0.402540,0.018048,0.195398,0.005280,0.118724,0.100803,0.071426,0.294857,0.003040,0.001376,0.000448,0.928347
0.395947,0.017889,0.191974,0.005312,0.119459,0.105603,0.068802,0.297001,0.003264,0.001312,0.000480,0.920347
0.395019,0.017857,0.192070,0.005280,0.118083,0.098851,0.063810,0.284072,0.003456,0.001248,0.000480,0.905562
0.396268,0.017569,0.191653,0.005025,0.117187,0.098371,0.064130,0.282984,0.003584,0.001280,0.000448,0.905755
0.418284,0.017920,0.191750,0.005312,0.114179,0.104035,0.068355,0.291273,0.003040,0.001152,0.000384,0.935292
0.396908,0.017889,0.191974,0.005344,0.116867,0.103651,0.069890,0.294344,0.002945,0.001184,0.000416,0.920156
0.396811,0.017888,0.191622,0.005248,0.121828,0.104067,0.068258,0.297385,0.003200,0.001216,0.000640,0.920283
0.395979,0.017888,0.192230,0.005056,0.118819,0.117988,0.078626,0.318729,0.002464,0.001216,0.000416,0.940251
0.396044,0.017984,0.191654,0.005056,0.116932,0.096355,0.067842,0.286761,0.002656,0.001152,0.000416,0.909435
0.397036,0.018048,0.191846,0.005024,0.117508,0.097827,0.062561,0.282888,0.002977,0.001248,0.000384,0.906043
0.401420,0.017633,0.192229,0.005281,0.116003,0.099555,0.066434,0.285064,0.002656,0.001280,0.000608,0.913243
0.412845,0.017696,0.192134,0.005344,0.114723,0.108132,0.065922,0.291945,0.002592,0.001344,0.000640,0.931580
0.396268,0.017953,0.191973,0.005121,0.110595,0.102883,0.069314,0.286216,0.002656,0.001216,0.000704,0.908411
0.397484,0.017921,0.192037,0.005056,0.111876,0.098531,0.064482,0.278825,0.002400,0.001248,0.000576,0.902683
0.396556,0.018176,0.191942,0.005344,0.128484,0.104579,0.067266,0.303625,0.002528,0.001216,0.000416,0.925883
0.401516,0.018208,0.192230,0.005344,0.107299,0.097187,0.066594,0.274568,0.002528,0.001184,0.000352,0.901978
0.397164,0.018048,0.191526,0.005408,0.111011,0.097379,0.063618,0.275304,0.002464,0.001184,0.000352,0.897402
0.396172,0.018144,0.191845,0.005184,0.110244,0.097219,0.065473,0.276393,0.002624,0.001408,0.000352,0.898267
0.411021,0.017856,0.191846,0.005184,0.108579,0.099107,0.065986,0.277256,0.002432,0.001248,0.000352,0.913563
0.397676,0.017665,0.191845,0.005536,0.119875,0.100387,0.067522,0.292648,0.002752,0.001408,0.000480,0.917211
0.400684,0.018112,0.192294,0.005280,0.115268,0.102627,0.067778,0.289065,0.002976,0.001312,0.000448,0.916699
0.402348,0.018081,0.210470,0.005440,0.119300,0.106563,0.069826,0.298953,0.002560,0.001440,0.000448,0.947068
0.396716,0.018112,0.192486,0.005120,0.113603,0.099171,0.063938,0.280104,0.002368,0.001216,0.000416,0.902746
0.397164,0.018209,0.192133,0.005345,0.112771,0.097923,0.063906,0.277736,0.002304,0.001152,0.000416,0.900955
0.396363,0.017953,0.191910,0.005120,0.112227,0.102723,0.069314,0.289000,0.002624,0.001216,0.000448,0.911002
0.397196,0.017984,0.192454,0.005344,0.114340,0.097602,0.071906,0.287465,0.002912,0.001280,0.000448,0.911867
0.396299,0.017697,0.192102,0.005216,0.112483,0.097763,0.064194,0.277448,0.002208,0.001280,0.000352,0.898842
0.396012,0.018368,0.192230,0.005280,0.117572,0.106211,0.066562,0.293545,0.002624,0.001280,0.000416,0.918139
0.410636,0.018145,0.192293,0.005281,0.117123,0.106051,0.067906,0.294120,0.002976,0.001184,0.000384,0.931643
0.413676,0.017761,0.191333,0.005185,0.117123,0.102691,0.068930,0.292744,0.002880,0.001344,0.000512,0.932283
0.398572,0.018081,0.192069,0.005472,0.116260,0.097571,0.068354,0.285449,0.002624,0.001376,0.000448,0.910491
0.396908,0.017664,0.191878,0.005376,0.118372,0.115235,0.090723,0.329514,0.002752,0.001152,0.000416,0.952828
0.397227,0.017920,0.191814,0.005120,0.113955,0.097763,0.063010,0.278056,0.002688,0.001248,0.000416,0.900794
0.397644,0.017856,0.191590,0.005088,0.112260,0.097986,0.064641,0.278216,0.002657,0.001280,0.000416,0.900923
0.396332,0.017889,0.191589,0.005249,0.110915,0.097027,0.063938,0.274888,0.002528,0.001312,0.000320,0.895739
0.412748,0.018080,0.191814,0.005408,0.114724,0.099459,0.064577,0.281896,0.002560,0.001216,0.000448,0.920860
0.395788,0.021185,0.191781,0.005376,0.113412,0.097795,0.067522,0.281705,0.002656,0.001280,0.000448,0.906747
0.396268,0.017824,0.191750,0.005120,0.110947,0.108196,0.067970,0.290281,0.002592,0.001184,0.000352,0.911739
0.395883,0.017889,0.192166,0.005312,0.126851,0.098306,0.064194,0.292680,0.003264,0.001313,0.000416,0.915387
0.395915,0.017632,0.191814,0.005312,0.120068,0.097122,0.062338,0.282856,0.002976,0.001280,0.000640,0.905083
0.397963,0.018177,0.193062,0.005408,0.118148,0.098307,0.063810,0.284329,0.003456,0.001216,0.000672,0.922747
0.396812,0.018112,0.191814,0.005056,0.110020,0.102851,0.063170,0.281033,0.003520,0.001152,0.000448,0.904187
0.395852,0.017985,0.191685,0.004800,0.111748,0.098435,0.066754,0.282601,0.002784,0.001248,0.000576,0.903931
