Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415760,0.017473,0.202856,0.005344,0.047138,0.193672,0.000736,0.001888,0.001088,0.000384,0.894307
0.415632,0.017633,0.202568,0.005280,0.047426,0.185991,0.000704,0.001696,0.001120,0.000352,0.885090
0.415728,0.017665,0.201704,0.005312,0.047234,0.196455,0.000640,0.001984,0.001216,0.000352,0.895139
0.431441,0.017633,0.201864,0.005312,0.046882,0.204200,0.000672,0.001632,0.001152,0.000320,0.918980
0.419728,0.017569,0.202408,0.005280,0.047266,0.198696,0.000608,0.001696,0.001248,0.000384,0.902691
0.420049,0.018144,0.201896,0.005376,0.047138,0.184872,0.000672,0.001664,0.001152,0.000352,0.887875
0.419921,0.017440,0.201832,0.005312,0.047234,0.223401,0.000672,0.001952,0.001184,0.000352,0.926596
0.420304,0.017665,0.202376,0.005344,0.047138,0.195560,0.000640,0.001792,0.001120,0.000320,0.899139
0.415568,0.017633,0.202952,0.005376,0.047202,0.196072,0.000704,0.001696,0.001184,0.000320,0.896803
0.419920,0.017729,0.202184,0.005344,0.047138,0.188903,0.000704,0.001793,0.001184,0.000352,0.893795
0.437425,0.017505,0.202504,0.005280,0.047490,0.199144,0.000704,0.001920,0.001120,0.000320,0.922308
0.416944,0.017473,0.202280,0.005280,0.047906,0.207624,0.000704,0.001728,0.001408,0.000352,0.909571
0.420625,0.017440,0.202407,0.005281,0.048418,0.195111,0.000672,0.001728,0.001216,0.000352,0.901316
0.420081,0.017472,0.202216,0.005313,0.048577,0.205352,0.000704,0.001792,0.001088,0.000320,0.910820
0.416208,0.017569,0.202760,0.005280,0.048258,0.194984,0.000704,0.001824,0.001152,0.000352,0.896995
0.416080,0.017697,0.202600,0.005312,0.047490,0.199784,0.000704,0.001696,0.001152,0.000224,0.899907
0.419729,0.017473,0.202727,0.005217,0.048066,0.207656,0.000672,0.001760,0.001312,0.000384,0.913636
0.435409,0.017761,0.202536,0.005312,0.048226,0.209160,0.000672,0.001760,0.001216,0.000352,0.930020
0.415984,0.017505,0.202952,0.005248,0.049090,0.203048,0.000640,0.001760,0.001184,0.000352,0.905379
0.420016,0.017793,0.202024,0.005312,0.048066,0.192327,0.000608,0.001889,0.001120,0.000320,0.896611
0.420337,0.017728,0.202567,0.005313,0.048258,0.212776,0.000672,0.001856,0.001088,0.000320,0.919748
0.419984,0.017441,0.202920,0.005440,0.048514,0.186567,0.000704,0.001824,0.001120,0.000320,0.891395
0.420720,0.017537,0.202536,0.005504,0.048066,0.188328,0.000736,0.001760,0.001120,0.000320,0.893923
0.415505,0.017504,0.202632,0.005377,0.047714,0.191591,0.000736,0.001792,0.001216,0.000320,0.891587
0.430801,0.017696,0.201832,0.005281,0.049057,0.193032,0.000704,0.001760,0.001184,0.000416,0.909059
0.419569,0.017441,0.201927,0.005441,0.047266,0.192199,0.000672,0.001728,0.001088,0.000352,0.894755
0.420720,0.017409,0.201960,0.005280,0.049026,0.181383,0.000640,0.001793,0.001120,0.000352,0.886883
0.420241,0.017440,0.201800,0.005089,0.048354,0.223048,0.000704,0.001888,0.001056,0.000353,0.926469
0.416336,0.017665,0.202792,0.005312,0.048066,0.189191,0.000640,0.001664,0.000992,0.000352,0.890115
0.416464,0.017664,0.202568,0.005312,0.048546,0.204808,0.000704,0.001761,0.001056,0.000384,0.905700
0.416177,0.017601,0.202248,0.005344,0.048546,0.206888,0.000704,0.001760,0.001088,0.000320,0.909284
0.452209,0.017568,0.202696,0.005056,0.048578,0.211849,0.000736,0.002016,0.001056,0.000320,0.949317
0.416241,0.017568,0.202728,0.005313,0.048641,0.204199,0.000672,0.001792,0.000992,0.000352,0.905732
0.415760,0.017600,0.202856,0.005216,0.048130,0.193800,0.000736,0.001824,0.001056,0.000352,0.894307
0.415824,0.017441,0.204200,0.005248,0.047842,0.229865,0.000704,0.001792,0.001056,0.000352,0.932004
0.415793,0.017696,0.202568,0.004993,0.048577,0.197928,0.000704,0.001856,0.001280,0.000352,0.899139
0.415440,0.017600,0.202024,0.005344,0.048450,0.191752,0.000672,0.001728,0.001216,0.000384,0.892419
0.420657,0.017601,0.202536,0.005248,0.047874,0.186247,0.000736,0.001696,0.001184,0.000320,0.891235
0.431280,0.017664,0.202728,0.005344,0.047234,0.200616,0.000768,0.001696,0.001120,0.000352,0.917059
0.419697,0.017472,0.202600,0.005345,0.048673,0.203976,0.000769,0.001728,0.001248,0.000384,0.908900
0.415249,0.017760,0.202280,0.005345,0.048578,0.191367,0.000768,0.001696,0.001216,0.000384,0.893027
0.415376,0.017729,0.202248,0.005376,0.048482,0.238346,0.000672,0.002400,0.001248,0.000416,0.939749
0.414992,0.017441,0.202024,0.005312,0.048130,0.186599,0.000672,0.001824,0.001120,0.000352,0.886114
0.415152,0.017697,0.202088,0.005248,0.048738,0.195079,0.000640,0.001696,0.000960,0.000320,0.893795
0.415697,0.017472,0.201959,0.005281,0.048578,0.184231,0.000736,0.001728,0.001120,0.000352,0.884579
0.434161,0.017472,0.202055,0.005185,0.048546,0.235593,0.000864,0.001888,0.001120,0.000320,0.954469
0.419600,0.017857,0.202536,0.005280,0.047586,0.205448,0.000672,0.001792,0.001120,0.000320,0.909763
0.415408,0.017633,0.202536,0.005280,0.047522,0.193479,0.000736,0.001665,0.001152,0.000352,0.892867
0.415408,0.017569,0.202504,0.005280,0.047234,0.210120,0.000736,0.001665,0.001152,0.000352,0.910468
0.415920,0.017472,0.202248,0.005344,0.048578,0.208648,0.000737,0.001664,0.001120,0.000256,0.909092
0.416113,0.017472,0.202792,0.005281,0.048609,0.198984,0.000672,0.001824,0.001216,0.000224,0.901540
0.415440,0.017665,0.203048,0.005280,0.047586,0.190375,0.000672,0.001696,0.001152,0.000352,0.890787
0.431952,0.017504,0.202248,0.005344,0.048194,0.181575,0.000736,0.001824,0.001120,0.000352,0.899011
0.420401,0.017760,0.202280,0.005313,0.048097,0.186887,0.000672,0.001696,0.001120,0.000384,0.891619
0.419792,0.017473,0.202376,0.005312,0.048962,0.193512,0.000736,0.001792,0.001248,0.000288,0.898115
0.420113,0.017536,0.203144,0.005473,0.048450,0.226664,0.000832,0.001761,0.001184,0.000384,0.932037
0.415760,0.017473,0.202120,0.005312,0.048962,0.191240,0.000832,0.001760,0.001024,0.000352,0.891587
0.415664,0.017377,0.202056,0.005312,0.048514,0.209704,0.000736,0.001792,0.001056,0.000352,0.909155
0.421040,0.017441,0.204584,0.005312,0.047778,0.212937,0.000672,0.001728,0.001120,0.000320,0.920356
0.436369,0.017505,0.202248,0.005280,0.048226,0.211048,0.000768,0.001760,0.001024,0.000288,0.931013
0.416208,0.017472,0.202728,0.005376,0.047874,0.213417,0.000736,0.001696,0.001184,0.000224,0.914788
0.415921,0.017569,0.202567,0.005281,0.048994,0.203432,0.000736,0.001696,0.001088,0.000352,0.904420
0.416080,0.017569,0.202344,0.005248,0.048290,0.215048,0.000736,0.001921,0.001152,0.000352,0.915812
0.420400,0.017504,0.201992,0.005280,0.048162,0.201736,0.000704,0.001664,0.001312,0.000384,0.906275
0.416240,0.017569,0.201896,0.005344,0.048162,0.200008,0.000672,0.001728,0.001120,0.000352,0.900803
0.416464,0.017537,0.202440,0.005248,0.047874,0.189671,0.000608,0.001920,0.001185,0.000352,0.890851
0.434577,0.017313,0.201960,0.005280,0.047970,0.203624,0.000800,0.001760,0.001152,0.000352,0.923300
0.420144,0.017505,0.202632,0.005216,0.048706,0.194184,0.000736,0.001760,0.001120,0.000352,0.899875
0.416369,0.017505,0.201991,0.005345,0.048386,0.203560,0.000704,0.001792,0.001216,0.000320,0.904644
0.420144,0.017761,0.201960,0.005344,0.048418,0.218824,0.000672,0.001760,0.001088,0.000352,0.923428
0.419953,0.017473,0.202952,0.005248,0.048130,0.189287,0.000864,0.001696,0.001184,0.000352,0.895811
0.415440,0.017441,0.202760,0.005216,0.048322,0.188263,0.000769,0.001728,0.001120,0.000352,0.888387
0.419888,0.017632,0.202056,0.005312,0.047586,0.201416,0.000672,0.001696,0.001088,0.000288,0.904739
0.438833,0.017505,0.202312,0.005344,0.048418,0.190407,0.000640,0.002240,0.001216,0.000320,0.913955
0.415632,0.017729,0.204552,0.005344,0.048098,0.196872,0.000800,0.001760,0.001120,0.000320,0.899587
0.419889,0.017632,0.203720,0.005249,0.049346,0.185191,0.000768,0.001664,0.001120,0.000352,0.892323
0.415824,0.017473,0.202632,0.005280,0.048706,0.201544,0.000768,0.001952,0.001120,0.000384,0.902595
0.420240,0.017472,0.202536,0.005376,0.048354,0.205768,0.000736,0.001793,0.001280,0.000352,0.911620
0.420465,0.017537,0.202408,0.005280,0.048258,0.207688,0.000704,0.001728,0.001440,0.000352,0.912996
0.415728,0.017697,0.202568,0.005280,0.048098,0.193735,0.000704,0.001760,0.001184,0.000352,0.895139
0.434129,0.017697,0.202824,0.005024,0.047970,0.185191,0.000736,0.001696,0.001088,0.000352,0.904996
0.415856,0.017633,0.202664,0.005312,0.048482,0.206120,0.000704,0.001760,0.001216,0.000320,0.907492
0.420081,0.017472,0.202280,0.005345,0.048482,0.189447,0.000864,0.001728,0.001120,0.000384,0.894915
0.415440,0.017377,0.202408,0.005312,0.049090,0.203112,0.000704,0.001760,0.001024,0.000320,0.903171
0.415312,0.017409,0.202152,0.005472,0.048482,0.190087,0.000641,0.001760,0.001184,0.000384,0.890147
0.416176,0.017729,0.203080,0.005312,0.048738,0.189352,0.000672,0.001728,0.001184,0.000352,0.891299
0.414897,0.017408,0.203015,0.005281,0.048354,0.201928,0.000672,0.001664,0.001088,0.000352,0.902276
0.440401,0.017536,0.202536,0.005376,0.048578,0.203720,0.000704,0.001760,0.001280,0.000320,0.929893
0.420177,0.017441,0.202215,0.005248,0.047586,0.183207,0.000672,0.001856,0.001184,0.000352,0.887459
0.416081,0.017408,0.203784,0.005281,0.048706,0.205704,0.000640,0.001792,0.001152,0.000352,0.908836
0.415728,0.017569,0.202472,0.005248,0.047586,0.198631,0.000673,0.001696,0.001184,0.000352,0.899011
0.415184,0.017665,0.202184,0.005248,0.047778,0.193351,0.000672,0.001760,0.001120,0.000320,0.892707
0.420241,0.017505,0.201607,0.005313,0.048418,0.204360,0.000736,0.001792,0.001088,0.000320,0.908644
0.415697,0.017440,0.202056,0.005248,0.048162,0.186056,0.000768,0.001792,0.001216,0.000384,0.886051
0.415632,0.033281,0.202056,0.005216,0.048546,0.186984,0.000704,0.001760,0.001184,0.000320,0.903651
0.415632,0.017473,0.202280,0.005408,0.048514,0.195912,0.000704,0.001696,0.001152,0.000384,0.896259
0.416432,0.017729,0.202312,0.005280,0.047682,0.206088,0.000704,0.001728,0.001089,0.000352,0.906692
0.420272,0.017505,0.203784,0.005280,0.049314,0.186216,0.000672,0.001696,0.001120,0.000320,0.895363
0.415345,0.017537,0.202567,0.005313,0.047554,0.190375,0.000672,0.001792,0.001120,0.000320,0.890691
0.420752,0.017664,0.203592,0.005248,0.048545,0.203336,0.000736,0.001761,0.001216,0.000384,0.911300
0.415664,0.017601,0.202664,0.005248,0.048258,0.194567,0.000768,0.001760,0.001152,0.000384,0.895875
0.420049,0.017600,0.221512,0.005600,0.047938,0.195656,0.000672,0.001760,0.001088,0.000352,0.920388
0.415537,0.017568,0.202280,0.005537,0.048098,0.186759,0.000640,0.001760,0.001184,0.000352,0.887523
0.416273,0.017472,0.202216,0.005249,0.048130,0.191079,0.000672,0.001696,0.001120,0.000320,0.890915
0.415600,0.017473,0.201864,0.005376,0.048578,0.228041,0.000736,0.002144,0.001184,0.000320,0.928804
0.419472,0.017728,0.202216,0.005312,0.048002,0.191272,0.000672,0.001728,0.001216,0.000352,0.895235
0.415248,0.017505,0.201992,0.005312,0.048514,0.184039,0.000640,0.001824,0.001088,0.000320,0.883618
0.419857,0.017504,0.202151,0.005249,0.048258,0.191175,0.000832,0.001824,0.001152,0.000352,0.896547
