Layer[0],TEE[1-8],Layer[9],Layer[10],classifier
0.414993,0.758782,0.001248,0.000384,1.180783
0.433682,0.761566,0.001312,0.000385,1.202609
0.415473,0.796512,0.001312,0.000320,1.221393
0.416177,0.794368,0.001312,0.000384,1.218033
0.415216,0.790304,0.001248,0.000352,1.212816
0.416529,0.768607,0.001152,0.000640,1.192496
0.415505,0.786176,0.001184,0.000256,1.207985
0.416177,0.780960,0.001152,0.000352,1.203569
0.415313,0.755935,0.001280,0.000384,1.177744
0.415441,0.803776,0.001280,0.000352,1.226130
0.415441,0.759454,0.001153,0.000352,1.181360
0.414897,0.757726,0.001152,0.000577,1.179536
0.450290,0.769919,0.001184,0.000416,1.228177
0.415472,0.756094,0.001216,0.000384,1.178863
0.416273,0.786143,0.001248,0.000320,1.210193
0.415985,0.746302,0.001216,0.000416,1.169040
0.415600,0.762782,0.001248,0.000352,1.185040
0.415921,0.807424,0.001248,0.000384,1.230578
0.414609,0.766495,0.001120,0.000416,1.186480
0.415441,0.744702,0.001280,0.000384,1.166831
0.416817,0.771295,0.001248,0.000353,1.195089
0.414801,0.757279,0.001248,0.000352,1.178704
0.415760,0.765374,0.001344,0.000416,1.189008
0.415632,0.776543,0.001152,0.000416,1.198736
0.418384,0.773599,0.001472,0.000608,1.201648
0.416177,0.773087,0.001120,0.000352,1.195856
0.431442,0.769503,0.001184,0.000352,1.207441
0.414257,0.777631,0.001280,0.000544,1.199441
0.415792,0.749438,0.001152,0.000320,1.170991
0.419921,0.756062,0.001248,0.000320,1.181999
0.415409,0.753407,0.001216,0.000320,1.174864
0.415633,0.763070,0.001280,0.000416,1.185552
0.415536,0.764351,0.001184,0.000416,1.186991
0.417681,0.757758,0.001344,0.000352,1.183311
0.416849,0.808128,0.001409,0.000384,1.233490
0.415537,0.760351,0.001184,0.000352,1.183056
0.415441,0.762015,0.001408,0.000256,1.184528
0.417808,0.783679,0.001216,0.000320,1.207568
0.416241,0.758846,0.001152,0.000416,1.182159
0.414705,0.751743,0.001120,0.000384,1.172432
0.433682,0.771711,0.001184,0.000288,1.211633
0.415889,0.762751,0.001216,0.000384,1.186032
0.416305,0.787039,0.001408,0.000416,1.211153
0.433137,0.777408,0.001344,0.000320,1.226321
0.416337,0.770847,0.001472,0.000384,1.195312
0.416529,0.834466,0.001408,0.000384,1.258963
0.425233,0.842210,0.001312,0.000384,1.275603
0.415633,0.766943,0.001280,0.000352,1.189744
0.415697,0.773791,0.001248,0.000288,1.196624
0.414896,0.778176,0.001120,0.000288,1.200336
0.415153,0.743294,0.001120,0.000256,1.165103
0.448146,0.752191,0.001248,0.000352,1.208817
0.416368,0.775903,0.001248,0.000352,1.200944
0.419761,0.789760,0.001568,0.000416,1.220209
0.416657,0.782368,0.001280,0.000352,1.206865
0.416017,0.764863,0.001280,0.000352,1.187312
0.415569,0.791648,0.001184,0.000576,1.213745
0.416912,0.777408,0.001376,0.000352,1.201680
0.415601,0.763775,0.001600,0.000384,1.187728
0.417329,0.788160,0.001280,0.000384,1.212753
0.416945,0.757247,0.001376,0.000352,1.181904
0.416464,0.745310,0.001248,0.000384,1.170319
0.416113,0.790816,0.001312,0.000480,1.215569
0.416113,0.774335,0.001568,0.000448,1.200656
0.416401,0.758623,0.001408,0.000608,1.183248
0.433169,0.755263,0.001280,0.000416,1.196496
0.416369,0.766111,0.001248,0.000416,1.190544
0.416497,0.758943,0.001248,0.000416,1.182352
0.415569,0.759422,0.001248,0.000640,1.182127
0.415633,0.751903,0.001248,0.000416,1.174672
0.415441,0.774464,0.001248,0.000320,1.196881
0.416336,0.760894,0.001248,0.000384,1.184495
0.414544,0.760223,0.000992,0.000448,1.181423
0.416433,0.792608,0.001280,0.000480,1.217265
0.415760,0.767519,0.001184,0.000609,1.190544
0.415057,0.749182,0.001184,0.000384,1.170639
0.418193,0.782591,0.001216,0.000352,1.207696
0.415025,0.779904,0.001248,0.000384,1.201585
0.415569,0.753310,0.001088,0.000384,1.174895
0.436530,0.785024,0.001152,0.000352,1.227794
0.415824,0.755135,0.001056,0.000288,1.176207
0.416113,0.749694,0.001248,0.000384,1.173519
0.416177,0.762814,0.001120,0.000416,1.185712
0.415856,0.771007,0.001312,0.000416,1.195408
0.415473,0.788864,0.001216,0.000640,1.211153
0.415888,0.758015,0.001248,0.000416,1.180367
0.415057,0.779647,0.001184,0.000384,1.201776
0.415857,0.798496,0.001216,0.000384,1.221201
0.416337,0.761662,0.001184,0.000384,1.184527
0.415377,0.750494,0.001152,0.000416,1.172815
0.433585,0.767711,0.001313,0.000384,1.208817
0.415632,0.755135,0.001280,0.000352,1.177231
0.415985,0.754047,0.001056,0.000416,1.176112
0.431569,0.757246,0.001088,0.000288,1.196368
0.415569,0.778335,0.001312,0.000640,1.201040
0.415440,0.749887,0.001152,0.000320,1.172367
0.415441,0.755230,0.001217,0.000384,1.177008
0.417329,0.764831,0.001600,0.000384,1.191184
0.416977,0.813313,0.001504,0.000448,1.239154
0.415696,0.776479,0.001440,0.000384,1.201328
0.416145,0.775712,0.001600,0.000416,1.199985
0.418993,0.786432,0.001600,0.000416,1.216721
0.416721,0.774175,0.001568,0.000384,1.199408
0.417489,0.783776,0.001600,0.000416,1.211185
0.436529,0.774528,0.001472,0.000448,1.220049
0.417073,0.767199,0.001568,0.000416,1.192400
0.417201,0.764383,0.001600,0.000416,1.189936
0.417713,0.779807,0.001440,0.000352,1.205745
0.416273,0.777919,0.001376,0.000416,1.202800
0.416305,0.789280,0.001504,0.000480,1.214129
0.416625,0.757183,0.001568,0.000448,1.182544
0.416657,0.781663,0.001696,0.000640,1.206704
0.416945,0.790880,0.001664,0.000416,1.217169
0.417809,0.768575,0.001568,0.000704,1.196176
0.416880,0.779519,0.001600,0.000416,1.205232
