Layer[0],IN[1],INFER[1-9],OUT[9],TEE[1-9],Layer[10],classifier
0.397964,0.181541,0.607698,0.068450,0.861273,0.000832,1.264805
0.396651,0.161796,0.608882,0.067106,0.841848,0.000896,1.244068
0.397292,0.179877,0.625907,0.066274,0.876154,0.000704,1.279206
0.401484,0.187078,0.606802,0.064322,0.861978,0.000896,1.269222
0.396716,0.159589,0.607410,0.064514,0.835193,0.000704,1.236613
0.424108,0.179973,0.617810,0.066050,0.867705,0.000704,1.296710
0.402476,0.145700,0.606674,0.065186,0.821528,0.000704,1.229412
0.397291,0.185702,0.624530,0.082403,0.896795,0.000800,1.299238
0.398412,0.148325,0.608114,0.066626,0.828409,0.000800,1.234309
0.402123,0.144164,0.606962,0.064386,0.819512,0.000736,1.227172
0.397772,0.182117,0.639283,0.066306,0.891418,0.000736,1.294246
0.397387,0.185254,0.608178,0.066274,0.863706,0.000704,1.266117
0.401900,0.142052,0.607121,0.065153,0.818232,0.000704,1.225893
0.396684,0.161541,0.607186,0.066818,0.839577,0.000736,1.241413
0.398347,0.146149,0.606258,0.063842,0.819737,0.000864,1.223044
0.397260,0.143652,0.620851,0.069986,0.838873,0.000768,1.241221
0.397644,0.160485,0.606706,0.065154,0.837145,0.000864,1.240517
0.396940,0.162725,0.606386,0.065762,0.839641,0.000800,1.242309
0.402188,0.169733,0.653747,0.068482,0.896187,0.000768,1.304679
0.396428,0.157029,0.608914,0.064354,0.834393,0.000832,1.235845
0.395404,0.147684,0.606258,0.063202,0.820824,0.000832,1.221508
0.396012,0.161829,0.608498,0.065890,0.840345,0.000768,1.241381
0.400300,0.166309,0.607666,0.065538,0.843417,0.000736,1.249093
0.396108,0.158885,0.624562,0.090659,0.879802,0.000896,1.281318
0.400492,0.144772,0.608018,0.064993,0.821785,0.000768,1.227173
0.396940,0.179013,0.607890,0.062434,0.853369,0.000864,1.254725
0.395947,0.185893,0.626035,0.064354,0.880474,0.000864,1.281030
0.395692,0.148548,0.605458,0.062946,0.820632,0.000704,1.220996
0.395755,0.163396,0.606738,0.065026,0.838968,0.000704,1.241668
