Layer[0],TEE[1-9],Layer[10],classifier
0.433490,0.783743,0.000928,1.224881
0.416400,0.779423,0.000672,1.202928
0.416241,0.775167,0.000672,1.198128
0.415729,0.771743,0.000704,1.193872
0.420977,0.761214,0.000896,1.188783
0.420657,0.792320,0.000832,1.219633
0.420369,0.761407,0.000640,1.187984
0.420017,0.752926,0.000576,1.179247
0.415856,0.797632,0.000768,1.220593
0.419633,0.779167,0.000640,1.205552
0.416177,0.831297,0.000736,1.255122
0.431313,0.764319,0.000800,1.202608
0.420208,0.797375,0.000640,1.223633
0.420497,0.776319,0.000736,1.204752
0.420273,0.788320,0.000576,1.214481
0.421617,0.770687,0.000512,1.198320
0.420593,0.832258,0.000576,1.259411
0.416369,0.752350,0.000672,1.176015
0.420401,0.768510,0.000640,1.195248
0.420433,0.828481,0.000736,1.255698
0.416945,0.770271,0.000640,1.195632
0.415665,0.773727,0.000640,1.195056
0.438609,0.782880,0.000832,1.228625
0.416272,0.760318,0.000608,1.183599
0.415536,0.760830,0.000736,1.182639
0.420369,0.782208,0.000704,1.208849
0.420209,0.775903,0.000832,1.203568
0.417040,0.797599,0.000736,1.222481
0.420177,0.771359,0.000736,1.197808
0.416369,0.815009,0.000736,1.238482
0.416657,0.787615,0.000640,1.212400
0.421393,0.814240,0.000896,1.242513
0.420592,0.771551,0.000769,1.199056
0.433137,0.779840,0.000800,1.220081
0.420657,0.775487,0.000768,1.202577
0.419889,0.760479,0.000864,1.186352
0.416689,0.777663,0.000800,1.200336
0.416401,0.772287,0.000736,1.195792
0.417009,0.783647,0.000768,1.208464
0.421009,0.774655,0.000960,1.202128
0.417009,0.772191,0.000672,1.197104
0.416656,0.775071,0.000864,1.198608
0.420465,0.786176,0.000832,1.212945
0.420785,0.770655,0.000736,1.197520
0.435793,0.802305,0.000896,1.244914
0.420336,0.769951,0.000768,1.196560
0.421073,0.773119,0.000736,1.201328
0.421585,0.778303,0.000673,1.207441
0.421649,0.764223,0.000672,1.191760
0.420561,0.780991,0.000768,1.207600
0.416976,0.779007,0.000672,1.204144
0.416625,0.760319,0.000736,1.184080
0.416784,0.781856,0.000864,1.206160
0.417041,0.770719,0.000832,1.194768
0.416753,0.764863,0.000640,1.188016
0.434161,0.796864,0.000768,1.237969
0.420465,0.803201,0.000800,1.231026
0.417361,0.778207,0.000608,1.202736
0.417393,0.768927,0.000832,1.193136
0.416913,0.772607,0.000608,1.196048
0.416945,0.805088,0.000704,1.229521
0.415696,0.770015,0.000736,1.192271
0.419249,0.770335,0.000800,1.196688
0.420400,0.784768,0.000768,1.211632
0.420209,0.806912,0.000640,1.232657
0.415376,0.770399,0.000672,1.192367
0.418769,0.781855,0.000832,1.207856
0.420977,0.775999,0.000832,1.204240
0.420337,0.777279,0.000896,1.204752
0.432593,0.805184,0.000864,1.245554
0.421232,0.769886,0.000800,1.198064
0.420720,0.821921,0.001088,1.249970
0.416593,0.775167,0.000960,1.198384
0.416049,0.774943,0.000576,1.197232
0.417137,0.797856,0.001024,1.222161
0.416176,0.759326,0.000896,1.182159
0.420976,0.761022,0.000640,1.189231
0.417681,0.815201,0.000864,1.239922
0.421008,0.796576,0.000865,1.223665
0.421617,0.783135,0.000864,1.212944
0.438514,0.764511,0.000960,1.210417
0.421457,0.779520,0.000832,1.208177
0.421233,0.788735,0.000896,1.217008
0.416977,0.775551,0.000896,1.199312
0.420560,0.812320,0.000960,1.239633
0.417425,0.851106,0.001025,1.276628
0.420113,0.786912,0.000704,1.213777
0.421233,0.790240,0.000736,1.218801
0.435538,0.776671,0.000672,1.219633
0.417009,0.776639,0.000736,1.201680
0.417233,0.761758,0.000832,1.185712
0.421265,0.781247,0.000640,1.209009
0.421233,0.759231,0.000672,1.186384
0.420944,0.795679,0.000832,1.223441
0.415985,0.761022,0.000640,1.183471
0.421105,0.759775,0.000768,1.187152
0.420529,0.802752,0.000928,1.230769
0.421201,0.778463,0.000800,1.205488
0.420177,0.776927,0.000704,1.204176
0.433041,0.782015,0.000800,1.223089
0.416977,0.811296,0.000832,1.235633
0.418033,0.761791,0.000832,1.186896
0.434545,0.758015,0.000672,1.198992
0.416017,0.775231,0.000608,1.197968
0.420529,0.800352,0.000864,1.227665
