Layer[0],Layer[1],Layer[2],IN[3],INFER[3-8],OUT[8],TEE[3-8],Layer[9],Layer[10],classifier
0.435619,0.017696,0.202562,0.127297,0.102144,0.062081,0.295074,0.001408,0.000416,0.958535
0.415811,0.017216,0.202625,0.133313,0.100481,0.063104,0.300258,0.001216,0.000416,0.942086
0.420163,0.017664,0.202466,0.158433,0.102720,0.063809,0.328258,0.001152,0.000448,0.975527
0.420675,0.017408,0.220257,0.128801,0.100257,0.066913,0.299363,0.001280,0.000320,0.965287
0.415907,0.017377,0.203041,0.136769,0.099393,0.064640,0.304258,0.001216,0.000352,0.947175
0.415651,0.017824,0.203009,0.144321,0.097729,0.061921,0.307331,0.001184,0.000352,0.949895
0.416451,0.017729,0.203297,0.137665,0.101313,0.062688,0.304994,0.001248,0.000384,0.950311
0.420675,0.017216,0.202817,0.131649,0.100161,0.062081,0.297219,0.001152,0.000320,0.944039
0.420195,0.017440,0.202370,0.123617,0.099681,0.060864,0.287682,0.001056,0.000352,0.934023
0.419971,0.017440,0.202977,0.123169,0.100033,0.062592,0.288930,0.001152,0.000384,0.935526
0.434115,0.017504,0.202658,0.132993,0.099296,0.060289,0.295970,0.001376,0.000352,0.957351
0.422339,0.017280,0.202913,0.123489,0.100961,0.061344,0.288866,0.001248,0.000352,0.937766
0.416483,0.017248,0.202562,0.131809,0.098432,0.060929,0.294562,0.001216,0.000416,0.937415
0.416067,0.017601,0.202625,0.127873,0.117409,0.064672,0.313506,0.001536,0.000384,0.957255
0.421059,0.017440,0.202626,0.138337,0.100864,0.061953,0.304418,0.001248,0.000416,0.952327
0.420355,0.017504,0.202337,0.131169,0.098721,0.060640,0.293762,0.001504,0.000384,0.940838
0.421027,0.017216,0.202338,0.136321,0.100224,0.061697,0.301698,0.001280,0.000320,0.948647
0.438404,0.017408,0.202721,0.133153,0.100833,0.062912,0.299778,0.001088,0.000256,0.964583
0.420739,0.017216,0.202306,0.124961,0.100000,0.063041,0.291298,0.001312,0.000320,0.938023
0.421123,0.017249,0.202721,0.136001,0.099713,0.061920,0.300770,0.001184,0.000384,0.947975
0.420163,0.017472,0.218754,0.147457,0.099104,0.059969,0.310242,0.001216,0.000352,0.973767
0.416387,0.017248,0.202721,0.122465,0.108545,0.061600,0.297570,0.001280,0.000416,0.940550
0.420931,0.017376,0.202434,0.131105,0.097376,0.060033,0.291746,0.001152,0.000352,0.938983
0.419875,0.017504,0.202785,0.128161,0.099137,0.065408,0.295874,0.001504,0.000448,0.943654
0.420387,0.017472,0.202722,0.130945,0.099841,0.069664,0.303650,0.001280,0.000352,0.950759
0.419843,0.017568,0.202082,0.132161,0.101088,0.063105,0.299426,0.001280,0.000384,0.945223
0.415363,0.017281,0.202337,0.136737,0.098209,0.060864,0.298978,0.001120,0.000320,0.940167
0.443395,0.017376,0.202530,0.127681,0.100032,0.062561,0.293570,0.001184,0.000352,0.963367
0.419843,0.017248,0.202337,0.132065,0.100545,0.069184,0.304770,0.001184,0.000320,0.950567
0.420195,0.017312,0.202370,0.135137,0.100224,0.061761,0.300482,0.001312,0.000384,0.947015
0.420163,0.017376,0.202881,0.158305,0.101345,0.063136,0.327362,0.001344,0.000449,0.974567
0.420163,0.017824,0.203138,0.130113,0.097632,0.059873,0.290754,0.001280,0.000416,0.938471
0.419779,0.017216,0.202657,0.119329,0.099489,0.063616,0.285602,0.001216,0.000352,0.931590
0.420451,0.017280,0.202338,0.125025,0.099904,0.063521,0.292898,0.001504,0.000416,0.941447
0.422947,0.017440,0.202369,0.135233,0.100737,0.064192,0.303394,0.001376,0.000352,0.952903
0.419779,0.017312,0.202466,0.127041,0.100032,0.062209,0.292578,0.001216,0.000352,0.938471
0.420483,0.017184,0.202433,0.154753,0.101537,0.063137,0.322627,0.001152,0.000288,0.969063
0.419747,0.033825,0.202945,0.119361,0.099329,0.063040,0.285122,0.001216,0.000352,0.948039
0.419907,0.017152,0.202849,0.135617,0.099681,0.061856,0.300450,0.001216,0.000384,0.946950
0.419843,0.017376,0.202530,0.121121,0.098528,0.061345,0.284450,0.001184,0.000352,0.930311
0.420451,0.017568,0.202785,0.134145,0.098849,0.082817,0.319107,0.001344,0.000416,0.966599
0.415555,0.017408,0.202786,0.131009,0.098945,0.060416,0.293378,0.001216,0.000320,0.935495
0.420451,0.017248,0.203233,0.154818,0.097152,0.061825,0.316899,0.001248,0.000352,0.963975
0.419523,0.017441,0.202689,0.132193,0.097633,0.061120,0.294434,0.001312,0.000384,0.941223
0.432643,0.017408,0.203682,0.137953,0.108352,0.062913,0.312962,0.001344,0.000384,0.973223
0.419939,0.017664,0.202945,0.148065,0.098593,0.060160,0.310178,0.001376,0.000352,0.957446
0.416387,0.017408,0.202786,0.119649,0.101824,0.060193,0.284930,0.001184,0.000352,0.927559
0.420195,0.017633,0.222337,0.135745,0.101217,0.063104,0.303554,0.001120,0.000384,0.970727
0.415235,0.017408,0.202594,0.131329,0.098144,0.060929,0.293474,0.001024,0.000416,0.934439
0.420035,0.017441,0.203201,0.131809,0.097953,0.060352,0.293378,0.001248,0.000352,0.940551
0.420067,0.017280,0.202657,0.134337,0.099873,0.063329,0.300931,0.001248,0.000352,0.947495
0.419843,0.017504,0.202402,0.136321,0.108001,0.061824,0.309346,0.001248,0.000352,0.955335
0.420003,0.017248,0.202369,0.126145,0.099777,0.063136,0.292194,0.001344,0.000512,0.938438
0.420355,0.017504,0.202498,0.139713,0.100545,0.069632,0.313154,0.001344,0.000608,0.960551
0.431907,0.017248,0.203298,0.137953,0.098912,0.060833,0.300898,0.001248,0.000416,0.959783
0.419395,0.017536,0.202369,0.134337,0.099585,0.061184,0.298178,0.001344,0.000384,0.944006
0.415203,0.017472,0.202562,0.134177,0.100448,0.064769,0.302466,0.001408,0.000416,0.944327
0.420035,0.017472,0.202913,0.125857,0.116257,0.071104,0.316642,0.001376,0.000320,0.963655
0.419875,0.017376,0.202242,0.120545,0.100640,0.062049,0.286434,0.001280,0.000384,0.932231
0.420163,0.017441,0.202657,0.139393,0.099105,0.060576,0.302274,0.001632,0.000352,0.949671
0.419939,0.017568,0.202594,0.133025,0.100704,0.061665,0.298626,0.001312,0.000416,0.945351
0.429828,0.017280,0.202657,0.138593,0.100289,0.061888,0.303938,0.001312,0.000352,0.960359
0.420611,0.017184,0.202658,0.125824,0.099841,0.068193,0.296898,0.001376,0.000352,0.943911
0.420003,0.017537,0.203169,0.137985,0.100417,0.061824,0.303714,0.001344,0.000448,0.950951
0.420291,0.017216,0.220674,0.136065,0.101600,0.063489,0.304674,0.001312,0.000320,0.969863
0.420867,0.017248,0.202657,0.123777,0.100545,0.062464,0.289954,0.001376,0.000384,0.937222
0.420355,0.017280,0.202850,0.132545,0.099648,0.061505,0.296930,0.001120,0.000384,0.943559
0.420163,0.017344,0.202593,0.119969,0.100129,0.063968,0.287394,0.001312,0.000448,0.934566
0.420675,0.017344,0.202914,0.153377,0.100225,0.064736,0.321410,0.001120,0.000352,0.968807
0.415811,0.017248,0.203073,0.140737,0.101665,0.062721,0.308163,0.001376,0.000384,0.951015
0.420387,0.017312,0.203138,0.133825,0.099201,0.061376,0.297858,0.001216,0.000416,0.944999
0.457443,0.017536,0.202786,0.160257,0.101953,0.063648,0.328994,0.001120,0.000352,1.012647
0.416803,0.017376,0.202978,0.145537,0.100896,0.064033,0.313730,0.001248,0.000416,0.957671
0.416067,0.017568,0.202849,0.122209,0.108257,0.061888,0.296482,0.001472,0.000512,0.941702
0.421059,0.017248,0.220194,0.128961,0.110561,0.061984,0.305154,0.001408,0.000416,0.970695
0.416067,0.017376,0.202593,0.157537,0.115073,0.062209,0.338403,0.001184,0.000352,0.980487
0.415139,0.017248,0.202146,0.109409,0.108832,0.062945,0.284514,0.001216,0.000352,0.925351
0.421155,0.017280,0.202433,0.131201,0.099969,0.061440,0.295874,0.001248,0.000384,0.943974
0.419043,0.017376,0.205410,0.138881,0.102912,0.064609,0.310050,0.001696,0.000416,0.960167
0.421475,0.017312,0.203554,0.139617,0.103872,0.063585,0.310626,0.001440,0.000416,0.961319
