Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.397035,0.017312,0.191782,0.004832,0.047361,0.105315,0.056194,0.061762,0.226919,0.890394
0.395947,0.017473,0.191686,0.004832,0.047297,0.103491,0.054434,0.062370,0.223463,0.885914
0.396043,0.017345,0.210022,0.005184,0.047362,0.110563,0.066690,0.063522,0.243975,0.925627
0.396012,0.017536,0.191750,0.004864,0.047393,0.107332,0.059777,0.061954,0.232455,0.895610
0.396139,0.017569,0.192070,0.004832,0.047137,0.107715,0.054402,0.062466,0.228103,0.890810
0.396108,0.017312,0.192070,0.004800,0.047585,0.107204,0.051585,0.068386,0.230727,0.893818
0.396940,0.017408,0.192805,0.004832,0.047170,0.107171,0.051618,0.061825,0.224198,0.888730
0.396460,0.017569,0.192997,0.004832,0.047298,0.106947,0.054434,0.063138,0.228039,0.892219
0.399052,0.017632,0.192358,0.005024,0.047778,0.106883,0.054913,0.064258,0.230278,0.898074
0.397100,0.017377,0.209542,0.005120,0.047265,0.115044,0.064130,0.064642,0.247784,0.930396
0.397644,0.017313,0.191909,0.005056,0.048450,0.093827,0.058785,0.059970,0.215942,0.880442
0.395756,0.017345,0.192453,0.004800,0.047554,0.098499,0.057986,0.060449,0.220550,0.883130
0.399244,0.017473,0.192293,0.004832,0.047842,0.111075,0.063490,0.061474,0.239335,0.905627
0.425005,0.017664,0.191686,0.004800,0.047681,0.123396,0.052034,0.059809,0.238695,0.930747
0.399212,0.017248,0.191590,0.004832,0.047298,0.094050,0.056449,0.060546,0.214438,0.878842
0.395788,0.017536,0.191974,0.004800,0.047874,0.100643,0.057377,0.059938,0.221542,0.883578
0.396652,0.017505,0.192037,0.004865,0.047201,0.114531,0.067970,0.069795,0.256328,0.919196
0.396939,0.017377,0.191590,0.004800,0.047041,0.096003,0.062018,0.063138,0.224391,0.886266
0.397164,0.017537,0.191813,0.004864,0.047138,0.104995,0.051394,0.061441,0.221574,0.886458
0.397228,0.017537,0.192326,0.004832,0.047553,0.104259,0.051234,0.060706,0.219495,0.884283
0.408748,0.017633,0.191685,0.004865,0.047361,0.110755,0.053282,0.060802,0.228103,0.902939
0.396428,0.017280,0.192422,0.004800,0.047329,0.106180,0.054561,0.062562,0.226759,0.889370
0.396075,0.017633,0.191557,0.004833,0.047553,0.097507,0.061442,0.060034,0.222471,0.884986
0.395851,0.017473,0.192742,0.004832,0.047521,0.100227,0.053122,0.060098,0.216743,0.879354
0.397163,0.017920,0.192582,0.004864,0.047169,0.099459,0.060898,0.060194,0.223655,0.887578
0.396107,0.017537,0.191974,0.004800,0.047201,0.112580,0.063137,0.060962,0.239655,0.901434
0.397164,0.017569,0.191397,0.004800,0.047650,0.096259,0.051905,0.061026,0.212198,0.874618
0.396716,0.017248,0.202950,0.004864,0.047201,0.102531,0.055106,0.061825,0.222598,0.896123
0.397836,0.017281,0.191813,0.005312,0.047010,0.098691,0.053505,0.061666,0.217478,0.882810
0.396716,0.017472,0.192262,0.004832,0.047810,0.101283,0.054753,0.064802,0.223782,0.887290
0.396044,0.017505,0.191333,0.004961,0.047073,0.093667,0.057185,0.059266,0.213382,0.874650
0.408044,0.017505,0.191942,0.004832,0.047105,0.098915,0.055234,0.065122,0.222119,0.895707
0.398444,0.017600,0.191494,0.004864,0.047554,0.095427,0.052449,0.064802,0.215974,0.880602
0.397068,0.017728,0.191782,0.005312,0.047746,0.115523,0.063234,0.067970,0.250663,0.916091
0.396492,0.017600,0.191846,0.005024,0.047298,0.105539,0.073410,0.091107,0.273768,0.937180
0.397067,0.017761,0.191526,0.004864,0.047649,0.108579,0.053474,0.066850,0.232551,0.896538
0.399532,0.017632,0.191430,0.004864,0.047298,0.111139,0.064258,0.063778,0.242471,0.908699
0.396492,0.017600,0.192294,0.004832,0.047330,0.106659,0.064002,0.063938,0.237927,0.901883
0.416621,0.017920,0.195750,0.004864,0.047234,0.115587,0.066370,0.073250,0.259911,0.949596
0.398572,0.017952,0.193030,0.005120,0.048258,0.132676,0.057377,0.071171,0.265224,0.935644
0.398059,0.017729,0.193414,0.005280,0.048577,0.111012,0.068514,0.070306,0.253320,0.921883
0.396556,0.017728,0.212903,0.005184,0.048577,0.111203,0.056705,0.063586,0.234983,0.922075
0.396908,0.017537,0.192965,0.005312,0.047746,0.110275,0.065538,0.064610,0.244167,0.909979
0.396268,0.017633,0.192453,0.005313,0.047585,0.107427,0.057154,0.062594,0.230855,0.895707
0.397548,0.017632,0.192198,0.005088,0.049282,0.105955,0.068034,0.063202,0.240711,0.907707
0.396524,0.017568,0.192934,0.005088,0.048066,0.107779,0.065218,0.062530,0.238823,0.904187
0.399628,0.017408,0.193126,0.005056,0.047394,0.106947,0.053793,0.062754,0.226630,0.894586
0.398027,0.017569,0.192646,0.005056,0.047393,0.109636,0.054785,0.074978,0.243079,0.908890
0.397804,0.017504,0.210182,0.005248,0.047361,0.112195,0.054786,0.066594,0.237191,0.922107
0.396300,0.017504,0.192070,0.005056,0.047426,0.106371,0.052065,0.062210,0.223910,0.887482
0.395947,0.017601,0.191654,0.005056,0.047169,0.111907,0.053762,0.067458,0.236615,0.899514
0.397164,0.017665,0.191909,0.005280,0.047298,0.111107,0.064386,0.063682,0.242983,0.907611
0.396332,0.017856,0.192614,0.005280,0.047170,0.114627,0.064770,0.063298,0.245959,0.910651
0.399724,0.017633,0.193893,0.005025,0.047265,0.109379,0.057826,0.068290,0.239239,0.908603
0.397708,0.017728,0.193157,0.004832,0.047650,0.114275,0.061378,0.069410,0.248839,0.915611
0.396460,0.017568,0.211078,0.005120,0.047489,0.109540,0.054145,0.063970,0.230791,0.914395
0.397132,0.017505,0.192773,0.005056,0.047330,0.107235,0.052162,0.063201,0.226022,0.891323
0.396843,0.017441,0.193286,0.005024,0.047329,0.111428,0.057089,0.062946,0.235527,0.901178
0.398348,0.017505,0.192133,0.004864,0.047330,0.110115,0.059362,0.063554,0.237095,0.903163
0.398315,0.017633,0.195462,0.004864,0.047457,0.111908,0.055041,0.064610,0.235431,0.905082
0.396748,0.017569,0.192357,0.004864,0.047650,0.107811,0.053314,0.063553,0.228167,0.891931
0.396204,0.017312,0.192742,0.005088,0.047522,0.107427,0.055074,0.063778,0.229863,0.893979
0.395372,0.017632,0.205927,0.004896,0.047457,0.107331,0.051106,0.064770,0.226439,0.902875
0.396555,0.017761,0.192006,0.004768,0.047169,0.105123,0.055138,0.064226,0.227943,0.891418
0.395788,0.017697,0.192165,0.005056,0.047682,0.101699,0.055618,0.065570,0.226119,0.890555
0.395147,0.017697,0.192453,0.004929,0.047041,0.105891,0.054754,0.063042,0.226983,0.889754
0.396588,0.017504,0.192390,0.004864,0.047681,0.115236,0.065122,0.061314,0.244840,0.909051
0.395787,0.017857,0.192102,0.004832,0.047233,0.111299,0.050370,0.060578,0.225735,0.889530
0.396076,0.017537,0.192133,0.004864,0.047458,0.112483,0.053794,0.063042,0.232743,0.896539
0.396524,0.017440,0.209958,0.005120,0.047169,0.113539,0.053378,0.065090,0.235367,0.917595
0.394796,0.017536,0.192037,0.004896,0.047298,0.110211,0.054338,0.062530,0.230727,0.893179
0.395723,0.017473,0.191589,0.004737,0.047137,0.108899,0.051202,0.060866,0.224423,0.886266
0.395532,0.017376,0.192678,0.004864,0.047233,0.108227,0.064002,0.068802,0.244199,0.907003
0.395692,0.017600,0.192966,0.005216,0.047202,0.110115,0.055938,0.063906,0.233479,0.897915
0.397548,0.017472,0.191622,0.004864,0.047074,0.106435,0.056257,0.062658,0.228774,0.892890
0.394284,0.017409,0.192037,0.005025,0.046977,0.102915,0.060642,0.063970,0.231783,0.893147
0.394956,0.017472,0.211111,0.005152,0.047201,0.114884,0.064929,0.066241,0.249512,0.931228
0.396331,0.017536,0.191750,0.005088,0.047457,0.104099,0.049634,0.062882,0.220551,0.884058
0.398508,0.017344,0.191558,0.005024,0.047234,0.110947,0.067138,0.065154,0.246343,0.911867
0.396268,0.017537,0.192517,0.005088,0.047234,0.110819,0.053090,0.063426,0.230759,0.894459
0.395660,0.017569,0.192005,0.005025,0.047777,0.098019,0.052257,0.063298,0.217094,0.880474
0.395563,0.017537,0.192742,0.005056,0.047265,0.109635,0.053762,0.063234,0.230119,0.893658
0.395563,0.017600,0.192358,0.005312,0.047521,0.091843,0.048514,0.060481,0.204422,0.868217
0.396044,0.017665,0.211302,0.005504,0.047489,0.113700,0.061794,0.063682,0.244136,0.928188
0.396332,0.017633,0.191685,0.004833,0.047553,0.104003,0.061954,0.065538,0.234951,0.898939
0.396460,0.017632,0.191366,0.005088,0.047650,0.111043,0.054433,0.062849,0.231654,0.895194
0.395372,0.017536,0.192614,0.004832,0.047074,0.108643,0.053474,0.062593,0.228134,0.891227
0.397739,0.017601,0.192486,0.004928,0.047137,0.114500,0.051009,0.061922,0.231335,0.896474
0.397932,0.017377,0.192325,0.005184,0.047458,0.109795,0.065602,0.064354,0.243047,0.908443
0.396108,0.017377,0.191845,0.005057,0.047201,0.110307,0.052834,0.063106,0.229543,0.892155
0.394987,0.017409,0.213574,0.005216,0.047458,0.107459,0.064802,0.063778,0.239335,0.924379
0.396108,0.017792,0.192134,0.004800,0.047266,0.118627,0.053378,0.067266,0.242503,0.905915
0.403564,0.017793,0.197062,0.005024,0.047265,0.113924,0.056257,0.064514,0.238919,0.916635
0.397260,0.017760,0.193158,0.004832,0.047234,0.107555,0.055650,0.064417,0.231399,0.897243
0.396812,0.017377,0.191813,0.005056,0.047586,0.106147,0.051426,0.065345,0.226855,0.891483
0.396268,0.017441,0.192261,0.004864,0.047490,0.105027,0.053634,0.064001,0.226151,0.889531
0.396620,0.017505,0.191429,0.005089,0.047489,0.109635,0.054114,0.063202,0.230375,0.894459
0.396748,0.038017,0.192742,0.005120,0.047073,0.115140,0.064962,0.063361,0.246919,0.933276
0.397963,0.017441,0.191622,0.005056,0.047425,0.111555,0.053282,0.062082,0.230471,0.894938
0.396523,0.017377,0.191750,0.004832,0.047585,0.109763,0.053634,0.063010,0.229831,0.892890
0.396235,0.017281,0.191878,0.004800,0.047201,0.106307,0.053442,0.062466,0.225543,0.887930
0.397708,0.017313,0.192645,0.004833,0.047329,0.138404,0.055714,0.063362,0.260744,0.925724
0.397100,0.017344,0.192198,0.005056,0.047329,0.107236,0.051713,0.062242,0.224807,0.890266
0.396652,0.017760,0.192166,0.004800,0.047170,0.100163,0.062145,0.061570,0.227142,0.890938
0.396684,0.017344,0.212647,0.005024,0.047233,0.109123,0.054401,0.062786,0.229735,0.914075
0.397164,0.017409,0.192261,0.004768,0.047202,0.106851,0.053474,0.062977,0.226663,0.890203
0.396427,0.017600,0.192070,0.004832,0.047201,0.105827,0.053441,0.062690,0.225927,0.889818
0.396876,0.017376,0.191558,0.004864,0.047138,0.107715,0.050113,0.061506,0.223430,0.887290
0.399724,0.017312,0.191622,0.004864,0.047585,0.105572,0.065122,0.062721,0.237031,0.903674
0.398348,0.017440,0.192006,0.004800,0.047937,0.109923,0.054977,0.062402,0.231111,0.896794
0.397580,0.017313,0.192037,0.005057,0.047521,0.110019,0.054370,0.065186,0.233287,0.899355
0.398220,0.017600,0.215046,0.005152,0.049633,0.107843,0.064098,0.063330,0.238695,0.929755
0.398188,0.017568,0.191814,0.004864,0.048770,0.105603,0.059458,0.063265,0.232166,0.899674
0.399052,0.017793,0.191877,0.005281,0.047745,0.105699,0.055234,0.064802,0.229223,0.896123
0.397420,0.017536,0.192198,0.005024,0.047906,0.107907,0.059938,0.068226,0.239719,0.905467
0.396620,0.017696,0.191942,0.004832,0.047393,0.110435,0.061730,0.062369,0.237960,0.901691
0.396588,0.017473,0.192005,0.005056,0.047490,0.112067,0.052930,0.062274,0.230343,0.894107
0.398411,0.017441,0.192134,0.004864,0.047553,0.112772,0.053985,0.065282,0.235399,0.901370
0.397836,0.017536,0.209543,0.005152,0.047521,0.116100,0.060385,0.062626,0.242503,0.925787
