Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-10],classifier
0.415697,0.017728,0.202376,0.004864,0.048834,0.152294,0.911844
0.416240,0.017505,0.202664,0.005024,0.047874,0.140549,0.899235
0.416272,0.017665,0.202152,0.004832,0.048386,0.132197,0.885954
0.415920,0.017569,0.202088,0.004832,0.049442,0.137221,0.895427
0.434641,0.017536,0.202120,0.004992,0.048769,0.133286,0.909347
0.416080,0.017505,0.202184,0.004896,0.047874,0.136325,0.893859
0.416208,0.017473,0.202664,0.005280,0.048642,0.139302,0.895331
0.415697,0.017536,0.201992,0.004897,0.048385,0.137030,0.913156
0.416305,0.017537,0.202087,0.004897,0.048994,0.135653,0.898948
0.415344,0.017665,0.201896,0.004832,0.050402,0.134533,0.889955
0.416784,0.017537,0.203848,0.004832,0.048258,0.134565,0.892067
0.439281,0.017825,0.203176,0.004864,0.048802,0.144518,0.929092
0.416080,0.017633,0.202920,0.004832,0.048418,0.159623,0.918628
0.415888,0.017537,0.202088,0.004800,0.047874,0.127557,0.881475
0.415856,0.017377,0.202088,0.004832,0.049762,0.134245,0.889058
0.415600,0.017601,0.202056,0.004800,0.048386,0.136357,0.893251
0.415696,0.017921,0.202088,0.004832,0.048130,0.133157,0.888515
0.415536,0.017409,0.201735,0.004961,0.047842,0.133029,0.888067
0.416208,0.036194,0.202760,0.004864,0.048418,0.145318,0.921028
0.415536,0.017537,0.201960,0.004832,0.048066,0.143046,0.901891
0.416080,0.017633,0.201992,0.004832,0.048706,0.145606,0.905379
0.415985,0.017504,0.202504,0.005249,0.048801,0.143206,0.903620
0.415664,0.017568,0.202216,0.004800,0.048034,0.138374,0.896227
0.416272,0.017664,0.201960,0.004768,0.048162,0.140198,0.896323
0.415504,0.017601,0.202056,0.004800,0.048866,0.138757,0.900067
0.434289,0.017729,0.201736,0.004864,0.048802,0.143974,0.919428
0.417168,0.017665,0.202376,0.004960,0.048322,0.141190,0.907364
0.416913,0.017440,0.202280,0.005248,0.049058,0.136774,0.893795
0.415760,0.017793,0.202056,0.004832,0.048834,0.137350,0.919876
0.416241,0.017408,0.201896,0.004833,0.048065,0.134758,0.888451
0.416240,0.017697,0.202376,0.004832,0.048578,0.140069,0.899715
0.415856,0.017825,0.202312,0.004832,0.048482,0.140133,0.898019
0.434097,0.017569,0.202824,0.004768,0.048674,0.136549,0.908804
0.416048,0.017729,0.202472,0.004864,0.048546,0.137349,0.891938
0.416400,0.017761,0.202088,0.004800,0.050018,0.129829,0.890659
0.414993,0.017600,0.202408,0.004960,0.048610,0.140454,0.920292
0.417873,0.017536,0.203144,0.004833,0.049473,0.135622,0.893699
0.416624,0.017665,0.202280,0.005152,0.048866,0.138757,0.896611
0.415984,0.017985,0.202760,0.004864,0.048642,0.137574,0.896451
0.434929,0.017569,0.201928,0.004896,0.049570,0.133989,0.908996
0.417808,0.017728,0.202824,0.004800,0.048130,0.145670,0.903459
0.416560,0.017633,0.203176,0.004800,0.047874,0.139845,0.900323
0.416272,0.017697,0.202056,0.004832,0.048898,0.136485,0.909764
0.416112,0.017441,0.202312,0.004864,0.048354,0.133669,0.894307
0.416560,0.017825,0.203592,0.004864,0.049730,0.137189,0.900163
0.415953,0.017504,0.203784,0.004833,0.048514,0.136261,0.893891
0.437073,0.017601,0.202280,0.004800,0.048418,0.140358,0.919140
0.416016,0.017665,0.202248,0.004832,0.048898,0.139653,0.901539
0.415920,0.017665,0.202216,0.004800,0.048994,0.136229,0.890979
0.415793,0.017536,0.202248,0.005249,0.048258,0.132741,0.889443
0.416016,0.017953,0.202632,0.004896,0.049058,0.141318,0.901955
0.417393,0.017504,0.202280,0.005312,0.048162,0.141606,0.902180
0.417296,0.017569,0.202568,0.004896,0.048226,0.138886,0.901443
0.435473,0.017761,0.202344,0.004800,0.049058,0.131525,0.907204
0.416753,0.017568,0.202536,0.004833,0.048481,0.139206,0.899523
0.416080,0.017473,0.202248,0.005056,0.049282,0.141606,0.900707
0.416529,0.017600,0.202920,0.004801,0.048257,0.140710,0.920228
0.416144,0.017537,0.202792,0.004864,0.049602,0.139174,0.901187
0.416720,0.017793,0.201960,0.005024,0.048322,0.130725,0.886370
0.417520,0.017889,0.202664,0.004832,0.049122,0.137638,0.896739
0.435761,0.017825,0.203816,0.004832,0.049698,0.145510,0.929317
0.417873,0.017536,0.202568,0.004768,0.048385,0.136998,0.894531
0.417776,0.017537,0.202632,0.004896,0.048802,0.141414,0.902627
0.418672,0.017632,0.201928,0.004800,0.048354,0.135174,0.914020
0.415857,0.017440,0.202312,0.004865,0.048385,0.139525,0.904036
0.416368,0.017761,0.202120,0.005056,0.047682,0.139269,0.900835
0.414928,0.017729,0.202472,0.004800,0.047586,0.143878,0.899491
0.432529,0.017665,0.202504,0.004992,0.048258,0.138309,0.914628
0.415600,0.017505,0.202024,0.004864,0.048962,0.134469,0.887043
0.416945,0.017441,0.202664,0.005120,0.048418,0.141157,0.902596
0.418064,0.017761,0.202504,0.005056,0.048322,0.161510,0.923524
0.417617,0.018304,0.202184,0.004865,0.048417,0.137926,0.897283
0.416304,0.017601,0.202344,0.005024,0.048866,0.137574,0.903555
0.417520,0.017537,0.202024,0.004800,0.048386,0.136581,0.895331
0.434769,0.017889,0.202344,0.004800,0.048546,0.139365,0.917348
0.415952,0.017665,0.203112,0.004800,0.048098,0.137541,0.895683
0.417328,0.017505,0.202568,0.004800,0.049410,0.135622,0.893475
0.418224,0.017601,0.202088,0.004832,0.048706,0.149926,0.910371
0.417328,0.017761,0.202280,0.005056,0.048770,0.135365,0.893891
