Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.400556,0.021024,0.193030,0.004896,0.048002,0.105795,0.049153,0.060226,0.220038,0.000736,0.894618
0.395883,0.017825,0.191782,0.004896,0.047521,0.109219,0.052897,0.064258,0.229447,0.000672,0.893594
0.395563,0.017729,0.192582,0.004896,0.047937,0.110883,0.053666,0.065986,0.233831,0.000768,0.899322
0.410700,0.017761,0.192294,0.004864,0.048129,0.104003,0.061698,0.067042,0.236103,0.000704,0.916411
0.396396,0.017729,0.192101,0.004832,0.047937,0.107811,0.052674,0.061026,0.224807,0.000768,0.890747
0.397484,0.017728,0.192198,0.004800,0.048546,0.113667,0.053794,0.067170,0.238055,0.000736,0.905819
0.396684,0.017601,0.192133,0.004833,0.066721,0.113827,0.053858,0.064033,0.235238,0.000705,0.920700
0.397324,0.017664,0.192230,0.004800,0.048258,0.109635,0.052513,0.061826,0.227398,0.000736,0.894042
0.396012,0.017441,0.192709,0.004929,0.048065,0.110851,0.052034,0.060450,0.226663,0.000704,0.892347
0.395948,0.017664,0.192198,0.004800,0.048354,0.112003,0.050497,0.061218,0.227110,0.000672,0.892378
0.414412,0.017857,0.192005,0.004961,0.048673,0.117572,0.062049,0.063778,0.246951,0.000640,0.931995
0.396683,0.017633,0.192390,0.004864,0.048737,0.109763,0.053570,0.062210,0.228967,0.000768,0.895578
0.396652,0.017633,0.192453,0.004833,0.048033,0.111619,0.052482,0.064226,0.231495,0.000736,0.897851
0.396716,0.017728,0.208262,0.004960,0.047841,0.110372,0.054241,0.062594,0.232263,0.000672,0.914779
0.396107,0.017729,0.192134,0.004896,0.048481,0.102179,0.052290,0.061634,0.219335,0.000768,0.885402
0.396748,0.017696,0.192102,0.004896,0.047650,0.117155,0.054018,0.066498,0.241511,0.000864,0.907355
0.397356,0.017729,0.191749,0.004896,0.048002,0.115459,0.063618,0.064706,0.247367,0.000704,0.914715
0.395564,0.017664,0.192166,0.004928,0.047874,0.110819,0.053794,0.062945,0.230982,0.000736,0.895867
0.397100,0.017568,0.191846,0.004992,0.048066,0.110115,0.052353,0.062786,0.228902,0.000736,0.895322
0.396364,0.017696,0.191718,0.004800,0.048289,0.111140,0.053409,0.064258,0.232519,0.000736,0.898010
0.397548,0.017312,0.213158,0.005120,0.048961,0.116420,0.062753,0.064449,0.247335,0.000672,0.937499
0.397579,0.017601,0.191846,0.004768,0.048129,0.109156,0.051265,0.065058,0.229351,0.000768,0.896058
0.396747,0.017569,0.191910,0.004768,0.047841,0.111939,0.052065,0.061986,0.229319,0.000640,0.894618
0.396524,0.017569,0.191781,0.004832,0.048002,0.108387,0.054594,0.067138,0.233447,0.000704,0.899003
0.396011,0.017505,0.192422,0.004832,0.048417,0.112452,0.053281,0.060258,0.229575,0.000672,0.895962
0.397132,0.017857,0.192933,0.004832,0.048642,0.112675,0.055010,0.064386,0.235815,0.000736,0.903899
0.396332,0.018017,0.191941,0.004800,0.048002,0.112291,0.053890,0.061698,0.231303,0.000736,0.896955
0.396364,0.017665,0.208934,0.004992,0.048097,0.109636,0.054945,0.064802,0.232743,0.000736,0.915803
0.395436,0.017696,0.192518,0.004864,0.047745,0.111043,0.053441,0.061442,0.229447,0.000896,0.894458
0.396459,0.017632,0.192294,0.004832,0.047905,0.110212,0.051041,0.060514,0.225191,0.000672,0.890650
0.396332,0.017633,0.192325,0.004897,0.048161,0.106243,0.052610,0.061474,0.224007,0.000704,0.890331
0.397580,0.017697,0.191813,0.004833,0.047713,0.108931,0.052738,0.062210,0.227303,0.000768,0.893499
0.395628,0.017601,0.192613,0.004832,0.047746,0.114851,0.053890,0.060706,0.232871,0.000864,0.898171
0.397612,0.017440,0.191878,0.004896,0.048385,0.109475,0.052161,0.060354,0.225543,0.000736,0.892282
0.397035,0.032737,0.192326,0.004832,0.048066,0.113507,0.052226,0.061186,0.230471,0.000672,0.913467
0.396716,0.017825,0.191845,0.004832,0.047586,0.110595,0.052770,0.061794,0.228647,0.000800,0.893915
0.396460,0.017760,0.192358,0.004864,0.048161,0.108483,0.053825,0.061698,0.227334,0.000800,0.893722
0.397387,0.017632,0.192262,0.004864,0.048481,0.111012,0.052865,0.061922,0.229063,0.000736,0.895994
0.395596,0.017792,0.191526,0.004928,0.047745,0.110980,0.053057,0.061602,0.229031,0.000672,0.893306
0.395851,0.017697,0.192006,0.004864,0.048737,0.112995,0.054305,0.061442,0.232135,0.000704,0.898170
0.396715,0.017697,0.191654,0.004896,0.047713,0.112772,0.051137,0.063938,0.231143,0.000768,0.896794
0.422445,0.017920,0.192454,0.004800,0.048098,0.113155,0.062786,0.062690,0.242439,0.000864,0.935420
0.396012,0.017856,0.192230,0.004832,0.047810,0.105251,0.050465,0.060834,0.219654,0.000896,0.885434
0.397643,0.017633,0.191942,0.004832,0.048289,0.110372,0.053313,0.062594,0.229991,0.000832,0.897466
0.395820,0.017793,0.191717,0.004833,0.047841,0.114083,0.053826,0.062754,0.234407,0.000832,0.899675
0.396236,0.017729,0.191877,0.004769,0.047841,0.111299,0.064098,0.062082,0.240999,0.000832,0.905723
0.397035,0.017569,0.192166,0.004800,0.047553,0.109668,0.053313,0.061250,0.227879,0.000768,0.893434
0.397516,0.017505,0.192517,0.004864,0.048130,0.114243,0.054274,0.063522,0.235463,0.000768,0.902651
0.414669,0.017600,0.192166,0.004864,0.048002,0.112291,0.059554,0.062274,0.237895,0.000672,0.922236
0.397163,0.017505,0.192710,0.004864,0.047777,0.111236,0.051969,0.061634,0.228423,0.000704,0.895066
