Layer[0],IN[1],INFER[1-5],OUT[5],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.394444,0.156485,0.586609,0.063682,0.810136,0.014561,0.000480,0.001600,0.001184,0.000352,1.228581
0.394636,0.160165,0.606034,0.073090,0.842713,0.014657,0.000512,0.001536,0.001088,0.000352,1.261958
0.394860,0.158117,0.605650,0.069922,0.837337,0.014593,0.000480,0.001536,0.001088,0.000320,1.256870
0.394955,0.163877,0.586738,0.062689,0.816921,0.014720,0.000512,0.001600,0.001248,0.000320,1.236580
0.412812,0.167781,0.587314,0.062690,0.821273,0.014432,0.000512,0.001536,0.001056,0.000352,1.257477
0.394347,0.163653,0.586994,0.064482,0.818553,0.014464,0.000480,0.001536,0.001280,0.000352,1.236932
0.394507,0.187622,0.617522,0.077923,0.886555,0.015264,0.000576,0.001440,0.001184,0.000320,1.305350
0.394475,0.151556,0.588178,0.063777,0.807128,0.014432,0.000480,0.001536,0.001120,0.000352,1.226628
0.394572,0.153220,0.587378,0.064162,0.808376,0.014432,0.000480,0.001568,0.001184,0.000352,1.226788
0.394924,0.148324,0.620146,0.096611,0.869465,0.014433,0.000576,0.001504,0.001184,0.000352,1.289094
0.394027,0.166245,0.588626,0.063682,0.821977,0.015008,0.000544,0.001600,0.001120,0.000320,1.240004
0.394220,0.193381,0.588498,0.064290,0.849753,0.016160,0.000512,0.001536,0.001184,0.000416,1.269669
0.411084,0.165061,0.588082,0.063650,0.820537,0.014720,0.000608,0.001536,0.001056,0.000416,1.256453
0.395691,0.157892,0.587730,0.064450,0.813720,0.015008,0.000512,0.001536,0.001120,0.000384,1.234564
0.395692,0.184613,0.607666,0.070850,0.867513,0.015553,0.000512,0.001568,0.001056,0.000384,1.288518
0.394124,0.162917,0.587921,0.064642,0.819096,0.014753,0.000512,0.001536,0.001024,0.000320,1.237349
0.395436,0.158501,0.589073,0.062978,0.813752,0.014561,0.000448,0.001408,0.001120,0.000320,1.232965
0.394316,0.186502,0.618418,0.064194,0.872602,0.015392,0.000576,0.001536,0.001056,0.000320,1.291367
0.394828,0.163333,0.590769,0.064258,0.821880,0.014657,0.000512,0.001600,0.001120,0.000384,1.241285
0.395532,0.166149,0.585745,0.063618,0.819192,0.015201,0.000544,0.001536,0.001216,0.000352,1.238981
0.394252,0.141124,0.585329,0.060994,0.791031,0.014593,0.000448,0.001472,0.001088,0.000288,1.208644
0.394700,0.161605,0.603698,0.062434,0.831417,0.014528,0.000576,0.001536,0.001184,0.000384,1.250949
0.394252,0.161221,0.618482,0.069186,0.852377,0.014784,0.000544,0.001537,0.001152,0.000384,1.270022
0.394028,0.140964,0.586513,0.062082,0.793015,0.014689,0.000448,0.001536,0.001152,0.000352,1.210212
0.394124,0.152708,0.587410,0.062690,0.806168,0.014400,0.000480,0.001504,0.000928,0.000320,1.222884
0.394284,0.167845,0.611026,0.066530,0.849241,0.015073,0.000512,0.001600,0.001120,0.000288,1.268358
0.394252,0.155940,0.585458,0.062018,0.806904,0.014400,0.000512,0.001536,0.001216,0.000288,1.225572
0.395116,0.163397,0.604145,0.064258,0.835608,0.014561,0.000512,0.001600,0.001280,0.000384,1.256517
0.415276,0.151877,0.598129,0.064162,0.817816,0.014593,0.000576,0.001504,0.001216,0.000384,1.258213
0.395244,0.151621,0.588017,0.063042,0.806296,0.014656,0.000480,0.001536,0.001088,0.000320,1.225284
0.394604,0.156868,0.607090,0.071362,0.839289,0.014912,0.000608,0.001536,0.001056,0.000352,1.258277
0.394635,0.197317,0.586802,0.062818,0.850361,0.014848,0.000640,0.001568,0.001248,0.000352,1.270533
0.394284,0.161797,0.587825,0.062914,0.816056,0.014784,0.000512,0.001473,0.001024,0.000288,1.233445
0.394828,0.149924,0.618322,0.073315,0.845177,0.014592,0.000480,0.001664,0.001056,0.000288,1.263205
0.394220,0.163813,0.597618,0.064226,0.829337,0.014336,0.000512,0.001568,0.001120,0.000288,1.246405
0.394252,0.153829,0.603058,0.063138,0.823673,0.014816,0.000544,0.001440,0.001216,0.000384,1.241829
0.416365,0.184165,0.604178,0.062626,0.854681,0.014689,0.000448,0.001536,0.001024,0.000352,1.294375
0.395116,0.159141,0.587985,0.064450,0.815544,0.014465,0.000512,0.001440,0.001088,0.000352,1.236645
0.394860,0.163941,0.623730,0.092067,0.883642,0.015137,0.000576,0.001568,0.001248,0.000384,1.304231
0.394476,0.147236,0.588177,0.062338,0.801432,0.014880,0.000544,0.001536,0.001152,0.000416,1.220068
0.394507,0.154853,0.587729,0.062241,0.808536,0.014721,0.000544,0.001504,0.000992,0.000352,1.227268
0.394476,0.166373,0.606354,0.068482,0.844793,0.015201,0.000512,0.001568,0.001120,0.000320,1.264230
0.395116,0.162629,0.587569,0.063362,0.817080,0.015552,0.000544,0.001408,0.000992,0.000352,1.236485
0.393643,0.147877,0.601234,0.061185,0.814041,0.014528,0.000512,0.001472,0.001024,0.000384,1.230788
0.413901,0.154916,0.600818,0.064098,0.823320,0.014369,0.000448,0.001440,0.000928,0.000320,1.260262
0.393868,0.165541,0.587537,0.063714,0.820376,0.014337,0.000512,0.001536,0.001152,0.000384,1.237733
0.395660,0.163077,0.606674,0.071650,0.844825,0.014816,0.000544,0.001664,0.001248,0.000384,1.264773
0.394796,0.161092,0.584978,0.063714,0.813272,0.015136,0.000480,0.001568,0.000960,0.000352,1.231876
0.394796,0.152293,0.588369,0.062722,0.807096,0.015393,0.000544,0.001536,0.001312,0.000384,1.227365
0.395468,0.161797,0.603410,0.089763,0.858714,0.015104,0.000544,0.001664,0.001248,0.000352,1.278534
0.395084,0.164133,0.588497,0.062434,0.818584,0.014977,0.000544,0.001696,0.001152,0.000352,1.237605
0.396076,0.167557,0.589361,0.064162,0.824408,0.014689,0.000544,0.001504,0.000960,0.000352,1.244709
0.410988,0.148132,0.597746,0.069634,0.818872,0.014816,0.000544,0.001664,0.001184,0.000352,1.254341
0.394571,0.144549,0.588145,0.062498,0.798744,0.014849,0.000480,0.001600,0.000992,0.000352,1.217316
0.395372,0.189318,0.585553,0.079747,0.858490,0.014496,0.000512,0.001568,0.001536,0.000288,1.278086
0.394764,0.184325,0.586802,0.064738,0.839257,0.015104,0.000544,0.001632,0.001280,0.000256,1.258565
0.394540,0.147749,0.587953,0.063266,0.802456,0.014464,0.000576,0.001440,0.001057,0.000288,1.220421
0.395852,0.158181,0.602162,0.079970,0.843865,0.015264,0.000576,0.001505,0.001248,0.000416,1.264646
0.395340,0.154788,0.588018,0.063394,0.810136,0.015104,0.000704,0.001536,0.001152,0.000384,1.230820
0.396172,0.155428,0.589266,0.065122,0.813336,0.014624,0.000544,0.001568,0.001216,0.000352,1.233924
0.411788,0.199014,0.586097,0.063234,0.851577,0.015873,0.000512,0.001568,0.001408,0.000352,1.289190
0.396236,0.158853,0.587697,0.064290,0.814680,0.015041,0.000512,0.001856,0.001152,0.000352,1.236293
0.395468,0.184710,0.588561,0.066530,0.843481,0.014753,0.000736,0.018240,0.001536,0.000384,1.281670
0.395916,0.164421,0.600786,0.064098,0.832825,0.014656,0.000544,0.001504,0.001472,0.000352,1.252741
0.395500,0.164037,0.586385,0.063874,0.817784,0.014912,0.000608,0.001504,0.000961,0.000352,1.237317
0.394316,0.156421,0.601586,0.070850,0.832313,0.014784,0.000576,0.001504,0.001088,0.000352,1.250501
0.395531,0.159589,0.587826,0.064386,0.815545,0.014880,0.000512,0.001504,0.001248,0.000384,1.236068
0.395243,0.152772,0.587250,0.064225,0.808279,0.015777,0.000480,0.001536,0.000960,0.000384,1.228740
0.411820,0.172709,0.598354,0.065634,0.840313,0.014752,0.000544,0.001600,0.001185,0.000384,1.277254
0.395500,0.162309,0.588945,0.063394,0.818424,0.014785,0.000480,0.001536,0.000960,0.000384,1.238853
0.396076,0.153061,0.588913,0.067490,0.813368,0.015905,0.000544,0.001536,0.001088,0.000384,1.235301
0.396075,0.164068,0.607346,0.064386,0.839544,0.014881,0.000512,0.001504,0.001152,0.000352,1.260773
0.394955,0.165989,0.590610,0.064546,0.824825,0.015168,0.000512,0.001504,0.000992,0.000384,1.244837
0.395148,0.150372,0.604722,0.072162,0.831128,0.015297,0.000544,0.001536,0.001024,0.000384,1.251941
0.396140,0.191782,0.590449,0.063554,0.849657,0.014720,0.000544,0.001472,0.001312,0.000384,1.270694
0.395404,0.194245,0.589106,0.062786,0.849945,0.014816,0.000544,0.001600,0.001120,0.000416,1.270533
0.412589,0.162404,0.604178,0.069762,0.840217,0.014720,0.000544,0.001472,0.001056,0.000384,1.277318
0.395276,0.147589,0.588369,0.063170,0.802584,0.014848,0.000544,0.001504,0.001248,0.000384,1.222021
0.396108,0.154372,0.589393,0.061954,0.809144,0.032929,0.000800,0.001760,0.001344,0.000384,1.248037
0.395692,0.152197,0.587985,0.063874,0.807384,0.015680,0.000704,0.001536,0.001120,0.000416,1.227813
0.395211,0.174662,0.587537,0.062082,0.827897,0.014528,0.000480,0.001409,0.001152,0.000384,1.247077
0.395211,0.156772,0.601874,0.074050,0.836504,0.015041,0.000512,0.001568,0.001184,0.000384,1.256773
0.396139,0.184358,0.589297,0.062722,0.839705,0.015105,0.000512,0.001504,0.001184,0.000416,1.259909
0.395212,0.183974,0.588369,0.062370,0.838361,0.014496,0.000448,0.001536,0.001120,0.000352,1.256869
0.412524,0.161701,0.597489,0.069474,0.832056,0.015169,0.000544,0.001440,0.001504,0.000352,1.269701
0.394668,0.162341,0.587282,0.073666,0.828057,0.014688,0.000512,0.001536,0.001184,0.000352,1.246917
0.394828,0.164101,0.600402,0.091555,0.859834,0.016192,0.000480,0.001568,0.001152,0.000416,1.282342
0.395116,0.148324,0.589810,0.063649,0.805559,0.016385,0.000704,0.001632,0.001376,0.000352,1.227236
0.395467,0.170725,0.599281,0.064898,0.838712,0.014881,0.000512,0.001632,0.001248,0.000352,1.259269
0.395435,0.162116,0.609971,0.073698,0.850137,0.015872,0.000544,0.001632,0.001472,0.000384,1.272421
0.395052,0.187045,0.590194,0.063234,0.843993,0.015520,0.000512,0.001632,0.001376,0.000384,1.264677
0.395691,0.156036,0.589170,0.063362,0.812216,0.014880,0.000704,0.001600,0.001280,0.000416,1.233828
0.412780,0.181062,0.600785,0.065953,0.851673,0.015681,0.000448,0.001632,0.001472,0.000352,1.290374
0.395148,0.146693,0.585937,0.062850,0.799416,0.014848,0.000544,0.001568,0.001025,0.000384,1.219013
0.396172,0.160293,0.604146,0.069218,0.837209,0.015104,0.000544,0.001504,0.001152,0.000384,1.257925
0.395275,0.191557,0.586322,0.063714,0.845113,0.014656,0.000672,0.001568,0.001280,0.000384,1.265061
0.395211,0.146565,0.588113,0.063074,0.801272,0.015169,0.000448,0.001504,0.001088,0.000320,1.221412
0.395500,0.184229,0.610674,0.070946,0.869786,0.015424,0.000576,0.001600,0.001280,0.000416,1.291494
0.395179,0.146437,0.587825,0.067650,0.805720,0.014913,0.000480,0.001568,0.001216,0.000384,1.226116
0.396203,0.192485,0.589106,0.064354,0.849689,0.016800,0.000544,0.001568,0.001152,0.000320,1.272581
0.409164,0.162181,0.600658,0.068162,0.834681,0.015488,0.000608,0.001632,0.000960,0.000352,1.269573
0.395756,0.182534,0.589297,0.063490,0.838969,0.014689,0.000672,0.001632,0.001056,0.000416,1.259270
0.397196,0.155044,0.618899,0.074178,0.851673,0.020321,0.000608,0.001536,0.001088,0.000384,1.278918
0.395500,0.165061,0.588593,0.063074,0.820376,0.015041,0.000640,0.001632,0.001152,0.000384,1.240581
0.394892,0.152452,0.589458,0.062210,0.807928,0.014976,0.000512,0.001600,0.001024,0.000384,1.227396
0.394764,0.180165,0.624754,0.069474,0.878266,0.014528,0.000544,0.001568,0.000992,0.000384,1.296966
0.397100,0.163461,0.601905,0.066274,0.835672,0.014625,0.000576,0.001664,0.001184,0.000384,1.258181
0.395116,0.188102,0.592145,0.064258,0.848441,0.014657,0.000608,0.001600,0.001088,0.000352,1.268614
0.395276,0.156005,0.589521,0.063970,0.813112,0.014625,0.000480,0.001536,0.001120,0.000352,1.232997
0.395308,0.162853,0.597842,0.063938,0.828345,0.014624,0.000512,0.001664,0.001088,0.000416,1.248197
0.395212,0.184421,0.606098,0.072130,0.866201,0.014977,0.000576,0.001568,0.001152,0.000416,1.286822
0.394988,0.155909,0.587985,0.063682,0.811448,0.014689,0.000544,0.001504,0.001088,0.000384,1.231877
0.395084,0.157669,0.587089,0.064290,0.813240,0.015617,0.000512,0.001600,0.001056,0.000352,1.234149
0.411853,0.149444,0.600914,0.062818,0.816952,0.014528,0.000512,0.001632,0.001025,0.000352,1.253702
0.394476,0.157668,0.586033,0.063266,0.810616,0.014560,0.000544,0.001536,0.001120,0.000416,1.229636
0.394700,0.152837,0.585777,0.062594,0.804952,0.014816,0.000480,0.001504,0.001088,0.000320,1.223461
0.394700,0.178373,0.598674,0.066594,0.847225,0.015265,0.000544,0.001600,0.001152,0.000352,1.267078
0.394508,0.160005,0.598897,0.061698,0.824536,0.014465,0.000576,0.001568,0.001120,0.000288,1.243109
0.394828,0.193637,0.605137,0.071235,0.873498,0.014912,0.000544,0.001568,0.001216,0.000256,1.292550
0.394124,0.183910,0.588785,0.063330,0.839353,0.014400,0.000512,0.001536,0.001056,0.000288,1.256774
0.394699,0.191109,0.587282,0.067234,0.850713,0.014848,0.000544,0.001504,0.001056,0.000352,1.269573
0.417708,0.174245,0.586418,0.064930,0.830265,0.015712,0.000512,0.001536,0.001120,0.000320,1.273477
0.394636,0.181893,0.592882,0.063522,0.841753,0.015360,0.000512,0.001568,0.001056,0.000320,1.260582
0.395883,0.188549,0.587378,0.067746,0.847321,0.014464,0.000480,0.001632,0.001120,0.000320,1.267237
0.396012,0.160196,0.587698,0.062690,0.813848,0.014720,0.000512,0.001504,0.001152,0.000384,1.234116
0.395404,0.145828,0.587601,0.063266,0.800247,0.014689,0.000448,0.001600,0.001024,0.000352,1.220036
0.394572,0.148677,0.607122,0.069058,0.828281,0.015072,0.000480,0.001824,0.001056,0.000320,1.247813
0.394924,0.177477,0.584338,0.062785,0.828408,0.015008,0.000512,0.001536,0.001312,0.000416,1.248805
0.394507,0.168517,0.590641,0.063586,0.826072,0.014464,0.000544,0.002017,0.001120,0.000352,1.245381
0.416652,0.156453,0.605618,0.063682,0.829433,0.015552,0.000480,0.001632,0.001088,0.000384,1.272325
0.394732,0.163940,0.587121,0.063362,0.818552,0.015392,0.000512,0.001568,0.001120,0.000384,1.238756
0.394956,0.152708,0.590002,0.063330,0.809560,0.015552,0.000704,0.001632,0.001057,0.000352,1.230341
0.394668,0.147364,0.587730,0.063234,0.801848,0.014752,0.000512,0.001728,0.001280,0.000416,1.221668
0.394828,0.148004,0.590738,0.063457,0.805752,0.015552,0.000480,0.001632,0.001312,0.000352,1.226436
0.395051,0.159237,0.602514,0.070818,0.836377,0.015361,0.000512,0.001632,0.001536,0.000416,1.257637
0.394828,0.164933,0.590162,0.063746,0.822553,0.014688,0.000480,0.001440,0.001088,0.000352,1.241957
0.395244,0.166597,0.587570,0.061953,0.820024,0.014913,0.000512,0.001600,0.001088,0.000288,1.240037
0.413100,0.156613,0.606130,0.066018,0.833145,0.014752,0.000608,0.001568,0.001184,0.000384,1.272069
0.395340,0.163332,0.586546,0.063586,0.817240,0.014976,0.000640,0.001664,0.001056,0.000384,1.237796
0.396588,0.166117,0.590641,0.063714,0.824824,0.014753,0.000576,0.001536,0.000992,0.000352,1.245829
0.396299,0.173862,0.590961,0.063970,0.832953,0.014689,0.000640,0.001568,0.001056,0.000384,1.253989
0.396556,0.157029,0.589969,0.062274,0.813304,0.014849,0.000544,0.001536,0.001056,0.000384,1.234277
0.395468,0.158469,0.605426,0.070914,0.838713,0.015200,0.000544,0.002016,0.001024,0.000416,1.259493
0.396140,0.162437,0.586193,0.062274,0.814872,0.014976,0.000512,0.001504,0.000928,0.000352,1.235748
0.395595,0.171718,0.589233,0.063138,0.828377,0.014656,0.000512,0.001536,0.001120,0.000384,1.248901
0.413004,0.161061,0.598450,0.065474,0.828249,0.014848,0.000928,0.001600,0.001056,0.000384,1.266565
0.395115,0.141061,0.594289,0.062242,0.801272,0.014689,0.000512,0.001568,0.001056,0.000352,1.220836
0.395211,0.163397,0.588114,0.065250,0.821209,0.015104,0.000608,0.001536,0.001344,0.000384,1.242084
0.396236,0.166469,0.588018,0.063841,0.822456,0.014625,0.000576,0.001536,0.001184,0.000352,1.243589
0.397355,0.162757,0.586738,0.061474,0.814809,0.015072,0.000512,0.001472,0.001152,0.000352,1.237124
0.395467,0.167557,0.603698,0.069538,0.844761,0.014977,0.000512,0.001536,0.001056,0.000288,1.265829
0.395755,0.202886,0.591761,0.066882,0.865754,0.014785,0.000576,0.001632,0.001248,0.000384,1.286406
0.394988,0.164709,0.589554,0.063969,0.821848,0.014849,0.000544,0.001632,0.001152,0.000352,1.241509
0.411500,0.158309,0.599889,0.064482,0.826520,0.014529,0.000576,0.001600,0.001120,0.000384,1.262821
0.395788,0.153860,0.589458,0.062498,0.809496,0.014944,0.000704,0.001600,0.001056,0.000384,1.230180
0.396363,0.157029,0.599986,0.064578,0.825337,0.032001,0.000576,0.001664,0.001184,0.000384,1.264197
0.395787,0.156293,0.589650,0.062881,0.812088,0.014816,0.000512,0.001536,0.001248,0.000352,1.232484
0.395468,0.171397,0.588242,0.064130,0.827321,0.014688,0.000512,0.001696,0.001376,0.000384,1.248037
0.395435,0.162789,0.605938,0.077859,0.850362,0.014688,0.000608,0.001504,0.000992,0.000384,1.270501
0.394988,0.163333,0.588433,0.064354,0.819768,0.014657,0.000544,0.001440,0.001152,0.000384,1.239045
0.396172,0.170757,0.591058,0.064802,0.830649,0.014880,0.000576,0.001600,0.001088,0.000384,1.252229
0.413228,0.156869,0.598322,0.064450,0.823353,0.014912,0.000640,0.001568,0.001056,0.000384,1.261829
0.395020,0.160741,0.589842,0.064097,0.818553,0.014688,0.000544,0.001632,0.001216,0.000384,1.238021
0.395052,0.162085,0.605138,0.064130,0.835001,0.035841,0.000608,0.001728,0.001184,0.000416,1.276390
0.395212,0.158309,0.587761,0.062850,0.812600,0.014593,0.000576,0.001504,0.001248,0.000384,1.232389
0.396396,0.148964,0.589234,0.062626,0.804440,0.014624,0.000576,0.001632,0.001120,0.000448,1.225508
0.395404,0.150309,0.610514,0.073282,0.838073,0.014912,0.000512,0.001568,0.001120,0.000321,1.258950
0.394668,0.190406,0.587569,0.063714,0.845977,0.014816,0.000608,0.001473,0.001152,0.000384,1.265510
0.394604,0.159012,0.587986,0.069794,0.820408,0.014624,0.000576,0.001632,0.001121,0.000384,1.239493
0.412620,0.161765,0.600082,0.066786,0.831993,0.014432,0.000512,0.001536,0.001216,0.000352,1.269253
0.395339,0.166468,0.588690,0.062754,0.821656,0.014944,0.000576,0.001568,0.000960,0.000320,1.242340
0.394956,0.156900,0.588082,0.079394,0.828216,0.015041,0.000896,0.001632,0.001152,0.000352,1.248869
0.395564,0.165733,0.590065,0.062626,0.822392,0.014816,0.000480,0.001568,0.001248,0.000352,1.242469
0.395468,0.145284,0.587089,0.063777,0.799991,0.015489,0.000480,0.001600,0.001056,0.000352,1.220676
0.395340,0.163301,0.604946,0.069794,0.841817,0.014753,0.000544,0.001600,0.001088,0.000352,1.261926
0.395180,0.164133,0.602098,0.064002,0.833785,0.014848,0.000480,0.001568,0.001120,0.000352,1.253669
0.395915,0.171878,0.588465,0.066306,0.830457,0.014785,0.000576,0.001536,0.001216,0.000320,1.251941
0.413069,0.151364,0.598226,0.064866,0.818360,0.014656,0.000512,0.001600,0.001312,0.000384,1.256581
0.395052,0.160484,0.589041,0.063938,0.817112,0.014784,0.000576,0.001568,0.001057,0.000384,1.236901
0.395051,0.160420,0.587698,0.080322,0.832472,0.015905,0.000512,0.001472,0.001152,0.000320,1.253285
0.395692,0.167557,0.587633,0.063937,0.822712,0.014817,0.000480,0.001536,0.001152,0.000384,1.242853
0.395596,0.152676,0.588850,0.062594,0.807608,0.015008,0.000512,0.001600,0.001056,0.000320,1.227716
0.394859,0.137572,0.602514,0.065122,0.809048,0.014657,0.000480,0.001568,0.001056,0.000352,1.227716
0.395083,0.165861,0.589778,0.063458,0.822585,0.014880,0.000480,0.001536,0.000992,0.000384,1.242244
0.394572,0.141892,0.585650,0.062402,0.793560,0.014944,0.000512,0.001504,0.001024,0.000352,1.212516
0.421356,0.165925,0.597842,0.073474,0.840761,0.014529,0.000512,0.001568,0.001024,0.000320,1.287494
0.395372,0.157988,0.589106,0.063138,0.814136,0.014688,0.000512,0.001568,0.001312,0.000352,1.234660
0.395115,0.178341,0.629746,0.063105,0.875065,0.020193,0.000512,0.001600,0.001024,0.000352,1.318343
0.394731,0.151972,0.589426,0.062209,0.807159,0.014529,0.000512,0.001504,0.001088,0.000384,1.226052
0.394700,0.194662,0.590449,0.064130,0.852697,0.014881,0.000480,0.001600,0.001056,0.000352,1.272486
0.394988,0.150149,0.605906,0.069154,0.829273,0.014944,0.000512,0.001568,0.001056,0.000352,1.249381
0.395371,0.164389,0.587186,0.061954,0.817433,0.014784,0.000480,0.001536,0.001024,0.000384,1.236548
0.395211,0.147685,0.586417,0.063074,0.800696,0.014817,0.000448,0.001504,0.001152,0.000352,1.220260
0.414060,0.162693,0.599762,0.064418,0.830585,0.015969,0.000544,0.001600,0.000992,0.000320,1.270630
0.394155,0.166181,0.587986,0.064066,0.822073,0.014656,0.000544,0.001536,0.001088,0.000352,1.240260
0.394764,0.161381,0.588689,0.064257,0.818296,0.014657,0.000544,0.001536,0.000992,0.000352,1.237637
0.398188,0.173605,0.592913,0.065697,0.836408,0.015680,0.000576,0.001664,0.001216,0.000320,1.261445
0.395499,0.165925,0.593458,0.066978,0.830681,0.014752,0.000513,0.001632,0.001248,0.000384,1.251205
0.395500,0.152772,0.604338,0.070882,0.832408,0.015649,0.000544,0.001632,0.001088,0.000352,1.253765
0.396044,0.189766,0.591601,0.065186,0.850649,0.015233,0.000544,0.001600,0.000992,0.000320,1.272486
0.396044,0.150788,0.589649,0.063618,0.807992,0.014720,0.000544,0.001600,0.001056,0.000352,1.228581
0.409164,0.186629,0.599250,0.075298,0.864953,0.015105,0.000448,0.001568,0.001056,0.000384,1.299110
0.395468,0.165253,0.590577,0.063970,0.823672,0.015201,0.000512,0.001568,0.000960,0.000320,1.243749
0.395660,0.167685,0.589105,0.080994,0.843065,0.015776,0.000544,0.001504,0.001248,0.000352,1.265286
0.395467,0.185221,0.590610,0.064353,0.844281,0.015424,0.000544,0.001536,0.001152,0.000384,1.265125
0.394763,0.148421,0.588657,0.064194,0.805176,0.015073,0.000480,0.001568,0.001120,0.000352,1.224740
0.396364,0.172933,0.606322,0.074722,0.858201,0.015681,0.000512,0.001536,0.001120,0.000384,1.280358
0.395980,0.165701,0.590065,0.065122,0.824728,0.014721,0.000576,0.001504,0.001184,0.000384,1.245189
0.396364,0.187334,0.591665,0.064866,0.847929,0.015617,0.000544,0.001632,0.001120,0.000352,1.270054
0.409996,0.172005,0.605362,0.067490,0.848857,0.015169,0.000608,0.001600,0.001216,0.000320,1.284870
