Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.396267,0.018049,0.191782,0.004864,0.109891,0.102819,0.063202,0.279016,0.000864,0.896378
0.395020,0.017441,0.192133,0.004864,0.108004,0.103395,0.064802,0.280969,0.000832,0.896187
0.396300,0.017568,0.191238,0.004896,0.109507,0.103523,0.063330,0.279816,0.000672,0.895738
0.410444,0.017697,0.192230,0.004896,0.116451,0.110948,0.065474,0.296553,0.000672,0.928156
0.394987,0.017345,0.191622,0.004832,0.111203,0.102627,0.062434,0.279176,0.000896,0.893818
0.395371,0.017921,0.191910,0.004896,0.118627,0.109572,0.064610,0.296137,0.000896,0.912731
0.395340,0.017472,0.191878,0.004896,0.127140,0.108259,0.065666,0.304457,0.000992,0.920795
0.396012,0.017281,0.191717,0.004864,0.113379,0.099939,0.059426,0.276201,0.000832,0.892059
0.395019,0.017505,0.191526,0.004832,0.111043,0.110467,0.062530,0.286824,0.000960,0.902266
0.395116,0.017344,0.191718,0.004832,0.111236,0.110915,0.060898,0.286057,0.000704,0.900923
0.415052,0.017281,0.191813,0.004897,0.130211,0.104099,0.062081,0.299624,0.001056,0.935195
0.394987,0.017345,0.191590,0.004832,0.115267,0.097923,0.059490,0.275784,0.000800,0.890554
0.396587,0.017729,0.192102,0.004864,0.126115,0.108036,0.067490,0.305481,0.000992,0.923963
0.398860,0.018113,0.193157,0.005088,0.156741,0.107811,0.070082,0.338602,0.001024,0.962557
0.395692,0.018080,0.192870,0.005120,0.113348,0.112611,0.063938,0.293481,0.000704,0.911035
0.397228,0.017920,0.193254,0.005088,0.136036,0.109412,0.064801,0.314506,0.001312,0.937852
0.395788,0.017472,0.192294,0.005120,0.115716,0.113955,0.064130,0.297161,0.000832,0.914235
0.395596,0.017921,0.191717,0.004865,0.108515,0.101987,0.062114,0.275944,0.000640,0.892507
0.395148,0.017760,0.191814,0.004864,0.111396,0.104419,0.062562,0.281481,0.000672,0.897339
0.396619,0.017952,0.192102,0.005056,0.134852,0.107555,0.063906,0.310345,0.000864,0.930395
0.415052,0.017761,0.191782,0.005152,0.125763,0.115555,0.066594,0.311881,0.000768,0.950268
0.395467,0.017984,0.191750,0.005248,0.108035,0.105763,0.062850,0.280232,0.000576,0.896378
0.395532,0.017505,0.192517,0.004865,0.107427,0.103715,0.059490,0.273576,0.000576,0.889787
0.395403,0.017953,0.191462,0.005152,0.114499,0.102435,0.060962,0.281224,0.000800,0.898010
0.396299,0.018049,0.192166,0.004864,0.113571,0.103427,0.062210,0.282472,0.000608,0.899482
0.397228,0.017985,0.192005,0.004896,0.113316,0.108227,0.063394,0.288553,0.000864,0.907323
0.396331,0.017984,0.192006,0.004864,0.100131,0.101603,0.062114,0.267208,0.000736,0.884026
0.409740,0.017440,0.191686,0.004864,0.111812,0.107747,0.062722,0.285481,0.000736,0.915291
0.395083,0.017505,0.191717,0.004833,0.104227,0.110819,0.062306,0.280520,0.000640,0.895386
0.395596,0.017536,0.191910,0.004832,0.122212,0.100419,0.060610,0.286409,0.000576,0.902203
0.395179,0.017441,0.191622,0.004832,0.106467,0.101987,0.061698,0.273320,0.000608,0.887994
0.395340,0.017280,0.192198,0.004832,0.116803,0.109027,0.065250,0.294249,0.000704,0.909563
0.395468,0.017344,0.192102,0.004832,0.112803,0.099491,0.061282,0.276904,0.000768,0.892186
0.396748,0.017569,0.191973,0.004833,0.111971,0.109539,0.063170,0.288136,0.000800,0.906139
0.394828,0.017504,0.208423,0.004864,0.109187,0.102531,0.061858,0.276776,0.000832,0.908507
0.395116,0.017857,0.191813,0.004961,0.104387,0.101571,0.060738,0.270216,0.000640,0.886587
0.395563,0.017313,0.191750,0.004864,0.099971,0.101763,0.061058,0.266600,0.000576,0.881018
