Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416556,0.178277,0.058370,0.063394,0.303273,0.192966,0.009472,0.047809,0.000576,0.013921,0.000352,0.001664,0.001024,0.000832,0.995901
0.399084,0.156997,0.050433,0.083747,0.294633,0.195782,0.005344,0.047457,0.000608,0.013569,0.000384,0.001440,0.001152,0.000352,0.966781
0.399756,0.166053,0.059746,0.072898,0.301961,0.192614,0.005536,0.047298,0.000576,0.013664,0.000448,0.001504,0.001088,0.000416,0.972445
0.408332,0.170629,0.060066,0.067042,0.301321,0.194982,0.005344,0.047553,0.000576,0.013505,0.000416,0.001536,0.001152,0.000352,0.983421
0.399116,0.158725,0.049570,0.069154,0.280649,0.192997,0.005281,0.047265,0.000544,0.013728,0.000384,0.001472,0.001344,0.000352,0.950685
0.399180,0.215174,0.053730,0.070498,0.343306,0.196678,0.006176,0.049250,0.000928,0.014240,0.000352,0.001440,0.002912,0.000608,1.024446
0.400492,0.183462,0.059970,0.069154,0.317738,0.195589,0.005280,0.048545,0.000608,0.014337,0.000352,0.001696,0.001376,0.000864,0.995390
0.399308,0.147077,0.048993,0.066402,0.265768,0.195014,0.005248,0.050434,0.000576,0.013824,0.000416,0.001408,0.001312,0.000800,0.941084
0.399979,0.144997,0.068194,0.063426,0.279977,0.193030,0.005504,0.048481,0.000576,0.013473,0.000416,0.001504,0.000992,0.000288,0.951196
0.399339,0.154788,0.060386,0.067106,0.285480,0.193670,0.005120,0.084386,0.000640,0.013569,0.000384,0.001472,0.000960,0.000288,0.993213
0.399180,0.146980,0.049378,0.065378,0.264840,0.192677,0.005089,0.047425,0.000576,0.013440,0.000416,0.001440,0.000961,0.000320,0.933628
0.399148,0.154788,0.050210,0.065602,0.273928,0.192422,0.005664,0.047649,0.000544,0.013697,0.000352,0.001408,0.001056,0.000384,0.943868
0.398700,0.144036,0.049954,0.063394,0.260648,0.192581,0.009377,0.047745,0.000576,0.013697,0.000384,0.001408,0.000960,0.000576,0.933724
0.410476,0.160837,0.059074,0.073314,0.297801,0.192646,0.005312,0.047457,0.000608,0.013729,0.000416,0.001504,0.000960,0.000384,0.979197
0.398828,0.187333,0.051297,0.065250,0.307177,0.192934,0.005536,0.047393,0.000576,0.013697,0.000352,0.001440,0.001024,0.000288,0.976381
0.395020,0.151588,0.050210,0.067202,0.272328,0.192422,0.009376,0.046913,0.000608,0.013473,0.000352,0.001504,0.000992,0.000256,0.939964
0.398892,0.177541,0.078370,0.064258,0.324841,0.193702,0.005056,0.046946,0.000608,0.013440,0.000384,0.001440,0.000992,0.000352,0.994301
0.399948,0.148965,0.049473,0.063234,0.264872,0.197190,0.005216,0.047041,0.000577,0.013472,0.000352,0.001472,0.001024,0.000320,0.938108
0.398860,0.140676,0.060706,0.064706,0.269160,0.192678,0.009408,0.046977,0.000576,0.013473,0.000384,0.001472,0.000864,0.000288,0.941148
0.403820,0.158309,0.049857,0.066210,0.277576,0.192934,0.005280,0.047010,0.000544,0.013472,0.000352,0.001472,0.000928,0.000256,0.950268
0.394891,0.161829,0.048770,0.065634,0.279209,0.192901,0.005217,0.047457,0.000864,0.013760,0.000384,0.001441,0.001312,0.000320,0.946492
0.399180,0.157796,0.059233,0.064258,0.284776,0.192614,0.005248,0.047298,0.000576,0.013696,0.000416,0.001536,0.000992,0.000320,0.954588
