Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395179,0.017857,0.138980,0.567441,0.065698,0.776119,0.000768,0.014720,0.000704,0.001505,0.001184,0.000416,1.215620
0.415501,0.018208,0.134724,0.577873,0.068610,0.785048,0.000736,0.015040,0.000640,0.001504,0.001056,0.000384,1.245701
0.395788,0.017824,0.137764,0.567377,0.066274,0.775639,0.000768,0.014721,0.000640,0.001824,0.001056,0.000608,1.216292
0.396236,0.017632,0.140996,0.596338,0.082626,0.823705,0.000768,0.014880,0.000640,0.001472,0.001056,0.000608,1.264453
0.395660,0.018049,0.136900,0.581073,0.074114,0.795479,0.000800,0.015169,0.000640,0.001664,0.001216,0.000384,1.236581
0.395660,0.017792,0.138500,0.570449,0.072514,0.785399,0.000800,0.014977,0.000640,0.001504,0.001120,0.000416,1.225444
0.395564,0.017632,0.133572,0.586322,0.079906,0.804088,0.000768,0.014753,0.000640,0.001504,0.001344,0.000576,1.244101
0.395820,0.017825,0.130724,0.580593,0.067938,0.782711,0.000736,0.014688,0.000640,0.001472,0.001281,0.000608,1.223173
0.395244,0.017569,0.135908,0.569072,0.072387,0.781175,0.000800,0.015008,0.000704,0.001568,0.001088,0.000384,1.220740
0.412748,0.017601,0.127332,0.579601,0.066306,0.776535,0.001056,0.014656,0.000704,0.001953,0.001216,0.000576,1.233925
0.395308,0.017600,0.134276,0.569809,0.072034,0.779511,0.000768,0.014465,0.000704,0.001472,0.001024,0.000384,1.217860
0.395563,0.017952,0.123044,0.569169,0.064065,0.759863,0.000832,0.014816,0.000640,0.001472,0.001216,0.000384,1.200131
0.395788,0.018176,0.137924,0.569201,0.066498,0.777911,0.000896,0.014913,0.000736,0.001632,0.001184,0.000384,1.219172
0.395627,0.017600,0.136196,0.569809,0.068162,0.778519,0.000800,0.015329,0.000928,0.001696,0.001344,0.000608,1.219460
0.395564,0.017697,0.132835,0.584305,0.071618,0.793239,0.000736,0.015137,0.000640,0.001568,0.001184,0.000352,1.233733
0.398892,0.017889,0.139236,0.579473,0.067682,0.790359,0.000800,0.015425,0.000960,0.001760,0.001152,0.000384,1.234629
0.395372,0.017793,0.140036,0.567697,0.071426,0.783575,0.000736,0.015648,0.000672,0.001696,0.001120,0.000384,1.224357
0.396492,0.018017,0.154852,0.578673,0.066274,0.803895,0.000800,0.015393,0.000640,0.001632,0.001088,0.000352,1.245701
0.395468,0.017664,0.140805,0.570769,0.075810,0.792120,0.000768,0.015520,0.000896,0.001472,0.001184,0.000416,1.232933
0.397004,0.017793,0.134852,0.569233,0.065282,0.772791,0.000768,0.015552,0.000640,0.001504,0.001216,0.000384,1.215012
0.398827,0.017568,0.120996,0.577777,0.066722,0.769111,0.001024,0.015328,0.000416,0.001792,0.001152,0.000384,1.213251
0.395692,0.017536,0.137637,0.578961,0.068354,0.788696,0.000736,0.015424,0.000640,0.001728,0.001184,0.000416,1.229540
0.399852,0.017697,0.138756,0.584049,0.095875,0.823864,0.001088,0.015233,0.000384,0.001536,0.001216,0.000384,1.269286
0.396235,0.017825,0.137540,0.568625,0.067906,0.778039,0.000832,0.015489,0.000704,0.001504,0.001088,0.000352,1.219492
0.396588,0.018049,0.135716,0.568753,0.066082,0.774199,0.000864,0.015232,0.000640,0.001536,0.001376,0.000384,1.216548
0.396396,0.018112,0.152357,0.580753,0.067362,0.804504,0.001088,0.015233,0.000640,0.001952,0.001216,0.000384,1.247109
0.396363,0.017761,0.136228,0.569329,0.066306,0.775895,0.000768,0.015360,0.000641,0.001376,0.001376,0.000384,1.217124
0.397100,0.017825,0.121507,0.570225,0.070114,0.765526,0.000736,0.015489,0.000832,0.001472,0.001088,0.000384,1.208132
0.416780,0.018273,0.138308,0.578929,0.068610,0.789495,0.001024,0.015201,0.000640,0.001696,0.001408,0.000480,1.252613
0.397996,0.017601,0.130980,0.579505,0.068674,0.783543,0.000800,0.015424,0.000672,0.001665,0.001280,0.000384,1.227205
0.396044,0.017921,0.140196,0.586385,0.077379,0.807608,0.001120,0.015232,0.000672,0.001472,0.001184,0.000608,1.249253
0.395404,0.017568,0.136932,0.567121,0.063938,0.771703,0.000736,0.015137,0.000672,0.001504,0.001184,0.000384,1.211652
0.400620,0.018016,0.142245,0.593681,0.074210,0.814424,0.001120,0.014593,0.000640,0.001600,0.001184,0.000384,1.261381
0.416140,0.018145,0.135844,0.582449,0.067778,0.790167,0.000832,0.015489,0.000640,0.001504,0.001088,0.000384,1.251845
0.396012,0.017825,0.135396,0.567633,0.068258,0.775447,0.000992,0.014560,0.000640,0.001536,0.001152,0.000480,1.215908
0.396843,0.017696,0.138084,0.581169,0.066402,0.790039,0.000768,0.015233,0.000672,0.001472,0.001152,0.000384,1.231972
0.396812,0.017697,0.136580,0.568657,0.065986,0.775159,0.000768,0.015072,0.000768,0.001536,0.001152,0.000384,1.216612
0.397420,0.017504,0.134820,0.568977,0.071010,0.778551,0.000768,0.014913,0.000672,0.001408,0.001024,0.000416,1.219780
0.395820,0.017889,0.130756,0.588817,0.083555,0.807640,0.000672,0.014752,0.000640,0.001536,0.001120,0.000384,1.247685
0.396203,0.017601,0.135524,0.569841,0.074402,0.783255,0.000768,0.015265,0.000864,0.001504,0.001024,0.000416,1.224068
0.396204,0.017793,0.137636,0.568241,0.075426,0.785239,0.000768,0.014688,0.000672,0.001536,0.001024,0.000352,1.225637
0.394635,0.017793,0.125316,0.601745,0.085219,0.816376,0.000736,0.015008,0.000640,0.001505,0.001120,0.000384,1.255397
0.395340,0.017888,0.134211,0.571088,0.066434,0.775766,0.000736,0.014688,0.000704,0.001600,0.001088,0.000672,1.216132
0.395564,0.017857,0.139300,0.580465,0.068738,0.792151,0.000768,0.014497,0.000480,0.001440,0.001120,0.000384,1.231397
0.411916,0.017792,0.125123,0.578321,0.067458,0.775926,0.000768,0.015073,0.000672,0.001536,0.001248,0.000384,1.232708
0.396172,0.017856,0.125444,0.580241,0.065346,0.774839,0.000832,0.015201,0.000640,0.001920,0.001152,0.000352,1.216420
0.395212,0.017536,0.130244,0.568977,0.097027,0.800376,0.001056,0.015616,0.000672,0.001600,0.001056,0.000641,1.241605
0.395564,0.017536,0.122084,0.569265,0.065570,0.761015,0.001120,0.015072,0.000928,0.001504,0.000992,0.000384,1.201156
0.395915,0.017569,0.140708,0.582065,0.067298,0.793751,0.000736,0.014337,0.000672,0.001600,0.001184,0.000448,1.233444
0.395340,0.017697,0.137476,0.588689,0.103747,0.834232,0.000832,0.014977,0.000672,0.001568,0.001120,0.000384,1.274086
0.395532,0.017696,0.141061,0.571024,0.067298,0.783832,0.000800,0.014784,0.000672,0.001504,0.001216,0.000640,1.224356
0.395564,0.017825,0.135844,0.568496,0.069282,0.777623,0.001088,0.014592,0.000640,0.001568,0.001184,0.000544,1.217796
0.416876,0.017920,0.133316,0.574577,0.070786,0.782935,0.001248,0.014817,0.000640,0.001632,0.001248,0.000608,1.245925
0.397356,0.017760,0.137796,0.583794,0.073986,0.799576,0.001088,0.015265,0.000896,0.001536,0.001408,0.000640,1.242597
0.395755,0.017984,0.121124,0.569649,0.072066,0.766295,0.000672,0.033537,0.000704,0.001760,0.001216,0.000352,1.225988
0.396588,0.017792,0.133284,0.572049,0.072578,0.781527,0.001088,0.014977,0.000640,0.001536,0.001248,0.000416,1.223140
0.395116,0.017760,0.135460,0.571473,0.065570,0.776631,0.000736,0.014849,0.000832,0.001568,0.001216,0.000640,1.216612
0.396300,0.017952,0.135812,0.581937,0.089539,0.811640,0.000800,0.014977,0.000864,0.001536,0.001088,0.000576,1.252773
0.395628,0.017984,0.137252,0.569713,0.070050,0.780663,0.000736,0.014913,0.000608,0.001600,0.001184,0.000640,1.220964
0.395628,0.017792,0.137476,0.568849,0.072450,0.782551,0.000768,0.014945,0.000640,0.001600,0.001376,0.000352,1.222980
0.412204,0.017888,0.128580,0.580945,0.067906,0.781431,0.001024,0.014880,0.000672,0.001536,0.001216,0.000608,1.238948
0.395916,0.017792,0.138564,0.579793,0.067042,0.789176,0.000704,0.015104,0.000832,0.001696,0.001280,0.000384,1.229956
0.396139,0.018017,0.127140,0.569009,0.066850,0.767255,0.000800,0.014720,0.000640,0.001984,0.001184,0.000384,1.208547
0.395659,0.017856,0.123396,0.568401,0.065666,0.761463,0.000800,0.014880,0.000672,0.001536,0.001120,0.000640,1.201539
0.395659,0.017600,0.138660,0.569169,0.065634,0.777047,0.000800,0.014849,0.000640,0.001504,0.001120,0.000640,1.216708
