Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-9],OUT[9],TEE[9-9],Layer[10],classifier
0.395595,0.017793,0.191909,0.005057,0.048225,0.000608,0.013569,0.000352,0.001440,0.099715,0.035617,0.059329,0.197733,0.000608,0.880507
0.397324,0.017761,0.192165,0.005184,0.049442,0.000608,0.013856,0.000352,0.001472,0.109860,0.042337,0.059778,0.215399,0.000704,0.901851
0.395948,0.017665,0.192037,0.005152,0.048866,0.000608,0.013728,0.000384,0.001440,0.106596,0.036577,0.059233,0.205638,0.000544,0.889466
0.395851,0.017697,0.208646,0.005376,0.047970,0.000608,0.013824,0.000384,0.001472,0.107267,0.043362,0.069442,0.222791,0.000672,0.922971
0.395531,0.017697,0.191430,0.004928,0.049249,0.000768,0.014241,0.000416,0.001472,0.108035,0.034817,0.058082,0.204102,0.000608,0.888474
0.396203,0.017505,0.191782,0.005152,0.049313,0.000736,0.013889,0.000352,0.001472,0.104099,0.038785,0.056802,0.202662,0.000672,0.886650
0.396107,0.017665,0.191654,0.005056,0.049153,0.000576,0.013857,0.000384,0.001440,0.099171,0.034785,0.058785,0.195942,0.000576,0.880058
0.396492,0.017505,0.191781,0.004864,0.048706,0.000608,0.013568,0.000320,0.001376,0.097347,0.035009,0.057602,0.193062,0.000576,0.875994
0.396140,0.017408,0.191846,0.004896,0.048162,0.000608,0.013600,0.000384,0.001376,0.101507,0.036161,0.060930,0.201926,0.001056,0.885498
0.396524,0.017408,0.191814,0.004896,0.047906,0.000640,0.013760,0.000384,0.001440,0.105027,0.035297,0.063682,0.207046,0.000576,0.889434
0.396396,0.017473,0.207366,0.005056,0.047809,0.000768,0.013569,0.000384,0.001504,0.106115,0.038401,0.062882,0.210470,0.000640,0.909307
0.396396,0.017345,0.191749,0.004961,0.047873,0.000640,0.013696,0.000352,0.001568,0.107300,0.041889,0.066850,0.219079,0.000640,0.901595
0.398988,0.017409,0.191686,0.005088,0.047361,0.000608,0.013569,0.000352,0.001408,0.105571,0.035905,0.061090,0.205510,0.000576,0.889851
0.396588,0.017313,0.191749,0.005121,0.047521,0.000544,0.013568,0.000384,0.001472,0.100195,0.035010,0.061857,0.200038,0.000640,0.881978
0.396108,0.017632,0.191622,0.005248,0.047841,0.000576,0.013633,0.000352,0.001440,0.109667,0.036065,0.059298,0.208422,0.000576,0.890490
0.396204,0.017440,0.191846,0.004896,0.047298,0.000544,0.013568,0.000352,0.001376,0.102147,0.036097,0.060578,0.201606,0.000544,0.882906
0.395820,0.017344,0.191974,0.004896,0.047426,0.000608,0.013600,0.000384,0.001408,0.105827,0.039682,0.061889,0.210342,0.000608,0.891674
0.395980,0.017441,0.212454,0.005152,0.047714,0.000576,0.013600,0.000352,0.001472,0.107203,0.035265,0.058978,0.204550,0.000544,0.907579
0.396172,0.017568,0.191206,0.004960,0.047393,0.000576,0.013696,0.000352,0.001440,0.105635,0.038657,0.056866,0.204326,0.000480,0.885562
0.395883,0.017377,0.191526,0.004864,0.047265,0.000576,0.013921,0.000352,0.001472,0.103491,0.031713,0.057537,0.195621,0.000513,0.875738
0.395691,0.017249,0.191558,0.004896,0.047073,0.000608,0.013537,0.000384,0.001408,0.100995,0.036065,0.058273,0.198181,0.000480,0.878266
0.409932,0.017409,0.191846,0.005408,0.047681,0.000576,0.013601,0.000352,0.001408,0.105571,0.037153,0.065026,0.210470,0.000512,0.906587
0.396140,0.017472,0.191974,0.004864,0.047682,0.000576,0.013664,0.000416,0.001440,0.104099,0.041153,0.071523,0.219591,0.000640,0.901659
0.396395,0.017505,0.191526,0.004864,0.048257,0.000800,0.013665,0.000384,0.001472,0.108355,0.040289,0.061154,0.212678,0.000576,0.895866
0.395660,0.017601,0.210886,0.004992,0.048642,0.000576,0.013664,0.000384,0.001440,0.101155,0.033921,0.054754,0.192486,0.000608,0.894587
0.396524,0.017984,0.191526,0.004864,0.048226,0.000608,0.013984,0.000320,0.001440,0.106147,0.037537,0.063906,0.210662,0.000512,0.894138
0.396715,0.017441,0.191686,0.005056,0.047777,0.000576,0.013825,0.000352,0.001440,0.107331,0.032961,0.058018,0.201350,0.000608,0.884314
0.395820,0.017600,0.192166,0.004864,0.047073,0.000576,0.013761,0.000384,0.001408,0.103043,0.038433,0.061026,0.205414,0.000480,0.886906
0.396523,0.017472,0.191622,0.004928,0.047073,0.000640,0.013953,0.000352,0.001472,0.105219,0.036353,0.059554,0.204806,0.000704,0.887610
0.395819,0.017537,0.191493,0.004993,0.047297,0.000608,0.013856,0.000352,0.001505,0.101123,0.036993,0.056737,0.197893,0.000480,0.878457
0.396396,0.017185,0.191685,0.004929,0.047489,0.000576,0.013568,0.000384,0.001473,0.095106,0.033825,0.057858,0.189861,0.000384,0.871130
0.396876,0.017536,0.191654,0.005024,0.063458,0.000672,0.013633,0.000384,0.001408,0.108675,0.036897,0.059170,0.207654,0.000448,0.906971
0.396268,0.017536,0.191814,0.005088,0.049441,0.000800,0.014209,0.000384,0.001472,0.115651,0.036418,0.059137,0.214982,0.000704,0.899802
0.396108,0.017952,0.191590,0.005088,0.048898,0.000832,0.014752,0.000320,0.001440,0.102787,0.035489,0.056194,0.197478,0.000544,0.881786
0.395275,0.017601,0.191654,0.005088,0.048609,0.000608,0.014241,0.000320,0.001472,0.101219,0.036193,0.056354,0.197158,0.000608,0.879418
0.407980,0.017665,0.192133,0.005089,0.048097,0.000544,0.013793,0.000352,0.001440,0.104163,0.037057,0.062530,0.206886,0.000576,0.901595
0.396011,0.017856,0.191526,0.004896,0.048577,0.000768,0.013729,0.000384,0.001504,0.107939,0.036257,0.060706,0.208358,0.000672,0.891034
0.398475,0.017825,0.191366,0.005120,0.049281,0.000800,0.013633,0.000352,0.001440,0.100131,0.037729,0.059330,0.200486,0.000480,0.886363
0.398699,0.017761,0.193382,0.005248,0.048705,0.000736,0.013889,0.000416,0.001472,0.125668,0.039201,0.062530,0.231847,0.000576,0.921628
0.396396,0.017601,0.191909,0.005025,0.047393,0.000768,0.013632,0.000384,0.001344,0.103076,0.038593,0.058081,0.203174,0.000576,0.885243
0.396652,0.017760,0.191845,0.004864,0.048450,0.000896,0.013632,0.000352,0.001504,0.103651,0.036033,0.061729,0.204710,0.000576,0.888730
0.396684,0.017600,0.191814,0.004896,0.047778,0.000640,0.013984,0.000384,0.001472,0.110244,0.036257,0.067010,0.216743,0.000640,0.900763
0.409100,0.017409,0.191942,0.005056,0.048897,0.000768,0.013825,0.000352,0.001440,0.098883,0.034945,0.056097,0.193349,0.000609,0.889755
0.396876,0.017920,0.192102,0.004832,0.049058,0.000608,0.013856,0.000352,0.001472,0.101123,0.039457,0.058050,0.202438,0.000608,0.887322
0.396939,0.017601,0.191750,0.005056,0.048609,0.000736,0.013985,0.000352,0.001664,0.104771,0.036097,0.060098,0.204198,0.000448,0.888410
0.396876,0.017440,0.191942,0.005280,0.048418,0.001056,0.013888,0.000384,0.001472,0.108323,0.035649,0.080898,0.228871,0.000672,0.913083
0.396588,0.017568,0.191622,0.005056,0.048130,0.000608,0.013824,0.000352,0.001440,0.094563,0.038657,0.056098,0.192806,0.000576,0.875386
0.396556,0.017376,0.191654,0.004896,0.048034,0.000608,0.013632,0.000416,0.001408,0.097667,0.034433,0.055586,0.191046,0.000480,0.872538
0.397708,0.017729,0.191493,0.005025,0.047393,0.000608,0.013824,0.000352,0.001504,0.111715,0.041025,0.060738,0.216902,0.000704,0.901531
0.396555,0.031936,0.192037,0.005120,0.051074,0.000800,0.014048,0.000352,0.001376,0.104804,0.042273,0.061250,0.211463,0.000672,0.912859
0.396236,0.018081,0.191909,0.005057,0.048705,0.000768,0.013856,0.000320,0.001408,0.105155,0.041825,0.059074,0.208998,0.000576,0.892955
0.396844,0.017632,0.191782,0.005088,0.048673,0.000576,0.013985,0.000352,0.001504,0.118179,0.042657,0.065986,0.229895,0.000608,0.914843
0.396460,0.017313,0.191877,0.005089,0.048385,0.000512,0.013664,0.000352,0.001441,0.098466,0.040322,0.057505,0.199685,0.000608,0.882714
0.397100,0.017376,0.191590,0.005248,0.047682,0.000608,0.013856,0.000384,0.001472,0.104931,0.033217,0.057122,0.198406,0.000576,0.881562
0.396652,0.017568,0.191846,0.005312,0.047745,0.000640,0.013601,0.000384,0.001664,0.096643,0.037761,0.065890,0.203718,0.000608,0.886778
0.395820,0.017601,0.191493,0.005024,0.047234,0.000768,0.013696,0.000384,0.001696,0.102915,0.036321,0.061474,0.204390,0.000672,0.885978
0.396364,0.017504,0.205222,0.005280,0.048738,0.000576,0.013568,0.000352,0.001376,0.100355,0.035905,0.064002,0.205190,0.000576,0.902170
0.397516,0.017600,0.192422,0.004864,0.047746,0.000608,0.013632,0.000384,0.001408,0.107395,0.036130,0.058593,0.205350,0.000512,0.890938
0.396428,0.017440,0.191750,0.004832,0.047522,0.000640,0.013728,0.000320,0.001408,0.096163,0.033313,0.055586,0.188230,0.000576,0.870362
0.395659,0.017697,0.191878,0.005024,0.047553,0.000672,0.013537,0.000384,0.001408,0.107843,0.035073,0.066978,0.213606,0.000576,0.895194
0.413004,0.017601,0.192069,0.005088,0.047394,0.000576,0.013568,0.000384,0.001440,0.095523,0.034625,0.057250,0.190694,0.000544,0.890458
0.397644,0.017600,0.192006,0.004832,0.047265,0.000960,0.013792,0.000416,0.001504,0.109219,0.038177,0.057922,0.208774,0.000672,0.893978
0.395851,0.017569,0.191974,0.004864,0.047201,0.000640,0.013473,0.000352,0.001312,0.105731,0.036065,0.060450,0.206022,0.000608,0.886970
0.396715,0.017761,0.191653,0.004928,0.047073,0.000608,0.034465,0.000544,0.001600,0.106915,0.037794,0.062721,0.210086,0.000736,0.914395
0.395276,0.017504,0.191878,0.005088,0.049058,0.000768,0.013568,0.000384,0.001408,0.103747,0.037057,0.060322,0.204358,0.000640,0.886746
0.395979,0.017633,0.191942,0.005088,0.047585,0.000576,0.013697,0.000384,0.001408,0.107907,0.035489,0.060034,0.207782,0.000608,0.889594
0.396236,0.017536,0.192102,0.004896,0.047138,0.000640,0.013824,0.000352,0.001376,0.095843,0.041729,0.059554,0.200646,0.000544,0.882010
0.417804,0.017665,0.192422,0.005280,0.047617,0.000576,0.013761,0.000384,0.001504,0.110467,0.038465,0.064546,0.216710,0.000672,0.922363
0.398700,0.017376,0.191622,0.005088,0.047106,0.000576,0.013856,0.000352,0.001472,0.102787,0.036481,0.064962,0.207654,0.000704,0.891674
