TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.761564,0.000928,0.002592,0.001344,0.000384,1.774653
1.784253,0.000896,0.002560,0.001312,0.000384,1.797022
1.759003,0.000832,0.002368,0.001152,0.000384,1.770333
1.763228,0.000672,0.002304,0.001216,0.000416,1.774077
1.763741,0.000864,0.002496,0.001216,0.000352,1.775581
1.809503,0.000992,0.002624,0.001088,0.000384,1.821887
1.716442,0.000800,0.002432,0.001248,0.000352,1.727738
1.728922,0.000800,0.002464,0.001152,0.000416,1.740251
1.735835,0.000800,0.002432,0.001120,0.000352,1.747771
1.722330,0.000736,0.002432,0.001216,0.000384,1.733946
1.764476,0.000800,0.002528,0.001216,0.000352,1.777021
1.760988,0.000832,0.002528,0.001152,0.000384,1.772732
1.764188,0.000736,0.002465,0.001184,0.000384,1.775741
1.726714,0.000864,0.002272,0.001184,0.000448,1.738394
1.748379,0.000832,0.002400,0.001120,0.000384,1.759996
1.726939,0.000832,0.002208,0.001184,0.000384,1.738011
1.750908,0.000928,0.002464,0.001216,0.000352,1.762908
1.775164,0.000832,0.002400,0.001248,0.000384,1.787293
1.739675,0.000864,0.003584,0.001280,0.000384,1.754203
1.763996,0.000768,0.002496,0.001152,0.000352,1.775421
1.700537,0.000768,0.003648,0.001312,0.000416,1.715193
1.755068,0.000800,0.002336,0.001152,0.000416,1.766588
1.794590,0.000864,0.003457,0.001248,0.000384,1.808703
1.715578,0.000672,0.002304,0.001217,0.000384,1.726843
1.783838,0.000960,0.002560,0.001216,0.000352,1.796446
1.746651,0.000736,0.002496,0.001120,0.000384,1.757564
1.756316,0.000800,0.003585,0.001280,0.000352,1.770173
1.766428,0.000769,0.002432,0.001184,0.000384,1.777885
1.764700,0.000832,0.003488,0.001280,0.000448,1.779357
1.716762,0.000896,0.002400,0.001216,0.000384,1.728154
1.808574,0.000960,0.002432,0.001057,0.000352,1.820607
1.761468,0.000736,0.002273,0.001184,0.000384,1.772509
1.813119,0.000864,0.002496,0.001088,0.000352,1.825503
1.765852,0.000768,0.002657,0.001312,0.000352,1.779293
1.778685,0.000928,0.002432,0.001216,0.000352,1.789950
1.785501,0.000896,0.003040,0.001184,0.000352,1.797566
1.785822,0.000832,0.002464,0.001024,0.000352,1.797086
1.759740,0.000864,0.002432,0.001088,0.000352,1.771677
1.798686,0.000960,0.002336,0.001088,0.000352,1.811231
1.767132,0.000800,0.002337,0.001120,0.000384,1.778429
1.742395,0.000864,0.002400,0.001120,0.000384,1.753564
1.727322,0.000704,0.002496,0.001088,0.000384,1.738714
1.797790,0.000768,0.002208,0.001184,0.000448,1.808958
1.761724,0.000800,0.002400,0.001120,0.000352,1.772828
1.801118,0.000865,0.002336,0.001024,0.000384,1.813119
1.763996,0.000800,0.002272,0.001120,0.000416,1.775069
1.736123,0.000736,0.002368,0.001088,0.000448,1.747003
1.732315,0.000768,0.002368,0.001120,0.000384,1.744187
1.760604,0.000864,0.002560,0.001152,0.000416,1.773116
1.759868,0.000736,0.002337,0.001184,0.000416,1.771101
1.761980,0.000801,0.002560,0.001152,0.000384,1.773117
1.787901,0.000768,0.002400,0.001152,0.000384,1.800030
1.787485,0.000928,0.002400,0.001152,0.000320,1.799742
1.800926,0.000768,0.002400,0.001153,0.000352,1.812575
1.750139,0.000800,0.002561,0.001056,0.000384,1.761852
1.772061,0.000800,0.002368,0.001120,0.000384,1.784093
1.789469,0.000736,0.002305,0.001216,0.000384,1.800382
1.761692,0.000832,0.002624,0.001120,0.000384,1.774556
1.751355,0.000800,0.002337,0.001216,0.000352,1.762780
1.748283,0.000768,0.002560,0.001120,0.000448,1.759836
1.789693,0.000896,0.002497,0.001184,0.000416,1.801150
1.716601,0.000864,0.002401,0.001152,0.000352,1.727738
1.803134,0.000800,0.002528,0.001088,0.000352,1.814462
1.785373,0.000928,0.002561,0.001056,0.000384,1.797790
1.766876,0.000704,0.002496,0.001120,0.000384,1.779005
1.762204,0.000800,0.002464,0.001152,0.000352,1.773564
1.814911,0.000896,0.002304,0.001088,0.000448,1.826879
1.750139,0.000737,0.002400,0.001120,0.000384,1.761340
1.747355,0.000736,0.002720,0.001024,0.000448,1.758844
1.738842,0.000768,0.002528,0.001184,0.000384,1.750651
1.796190,0.000736,0.005409,0.001056,0.000384,1.811487
1.727290,0.000704,0.002400,0.001153,0.000384,1.738523
1.748187,0.000832,0.003360,0.001280,0.000384,1.761788
1.765180,0.000832,0.002561,0.001184,0.000384,1.777469
1.800574,0.001056,0.002816,0.001632,0.000352,1.813662
1.743098,0.000960,0.002560,0.001248,0.000352,1.755292
1.752475,0.000768,0.002592,0.001248,0.000352,1.764731
1.775485,0.000704,0.002208,0.001184,0.000384,1.788413
1.759035,0.001120,0.002497,0.001440,0.000384,1.771644
1.781533,0.000832,0.002465,0.001184,0.000416,1.792574
1.757339,0.000864,0.002528,0.001088,0.000384,1.769148
1.757659,0.000736,0.002369,0.001152,0.000352,1.769212
1.757116,0.001088,0.002400,0.001120,0.000352,1.769436
1.759868,0.000736,0.002464,0.001184,0.000384,1.771229
1.760476,0.000768,0.002304,0.001056,0.000352,1.770972
1.758715,0.001184,0.002657,0.001120,0.000352,1.788765
1.750971,0.000800,0.002336,0.001216,0.000416,1.762940
1.769020,0.001024,0.003360,0.001184,0.000352,1.783037
1.753852,0.000800,0.002240,0.000960,0.000352,1.764220
1.754107,0.000960,0.002560,0.000928,0.000384,1.765276
1.752699,0.000736,0.002369,0.000928,0.000352,1.762524
1.739866,0.001025,0.003520,0.001120,0.000416,1.752123
1.755899,0.000961,0.003584,0.001056,0.000448,1.769724
1.778108,0.000833,0.002336,0.001088,0.000352,1.791101
1.741690,0.000608,0.002304,0.000992,0.000384,1.752603
1.727034,0.000928,0.002368,0.001024,0.000416,1.738586
1.756123,0.001120,0.003520,0.001088,0.000320,1.770396
1.756956,0.000992,0.002368,0.001120,0.000352,1.768764
1.729594,0.000736,0.002336,0.000992,0.000416,1.740539
1.783101,0.000736,0.002304,0.001057,0.000352,1.794302
1.733018,0.000640,0.002432,0.000992,0.000352,1.742714
1.776733,0.000672,0.002368,0.000992,0.000352,1.786781
1.748667,0.000992,0.002305,0.000960,0.000384,1.759260
1.788893,0.001184,0.002336,0.000992,0.000417,1.800862
1.761788,0.001056,0.002336,0.000928,0.000352,1.773565
1.785309,0.001024,0.002752,0.001056,0.000384,1.797405
1.734970,0.000704,0.002368,0.001024,0.000416,1.746650
1.753916,0.000896,0.002240,0.001216,0.000352,1.765020
1.739482,0.000993,0.002560,0.001152,0.000416,1.751611
