Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415185,0.017441,0.738877,0.001376,0.015009,0.000352,0.001408,0.000928,0.000352,1.199024
0.417585,0.017409,0.737021,0.000896,0.014176,0.000384,0.001473,0.000864,0.000384,1.197488
0.415409,0.020768,0.730652,0.000865,0.014080,0.000352,0.001408,0.000864,0.000352,1.191503
0.415824,0.017601,0.722621,0.000832,0.014656,0.000384,0.001376,0.000865,0.000352,1.181455
0.415408,0.017344,0.726205,0.000928,0.014465,0.000384,0.001440,0.000928,0.000384,1.184303
0.415217,0.017408,0.701084,0.000768,0.014081,0.000352,0.001504,0.000992,0.000256,1.157902
0.416337,0.017601,0.716188,0.000992,0.015297,0.000352,0.001440,0.000928,0.000352,1.176879
0.431345,0.017569,0.720701,0.000768,0.014112,0.000576,0.001376,0.000961,0.000384,1.194320
0.415473,0.017377,0.707964,0.000832,0.014016,0.000384,0.001377,0.000896,0.000352,1.165647
0.415280,0.017217,0.722300,0.000800,0.013984,0.000352,0.001408,0.000864,0.000352,1.178702
0.441521,0.018273,0.711484,0.000800,0.014369,0.000384,0.001536,0.000864,0.000256,1.197679
0.415888,0.017633,0.704796,0.000896,0.014785,0.000352,0.001472,0.000800,0.000384,1.164366
0.415217,0.017664,0.741278,0.000832,0.014016,0.000352,0.001472,0.001024,0.000321,1.199088
0.414608,0.017665,0.709660,0.000800,0.014369,0.000384,0.001504,0.000960,0.000320,1.167118
0.416625,0.017633,0.712060,0.000960,0.014145,0.000352,0.001376,0.000928,0.000384,1.171695
0.415697,0.017696,0.710461,0.000896,0.014048,0.000384,0.001376,0.001024,0.000288,1.169070
0.416017,0.017505,0.714076,0.000928,0.014369,0.000384,0.001504,0.000960,0.000480,1.173711
0.415024,0.017504,0.751070,0.000960,0.014241,0.000384,0.001408,0.000864,0.000384,1.209072
0.420785,0.017409,0.735549,0.001024,0.015137,0.000416,0.001440,0.000864,0.000320,1.200400
0.416305,0.017664,0.706236,0.000832,0.014113,0.000576,0.001408,0.000928,0.000352,1.165070
0.416209,0.017345,0.731421,0.000960,0.014080,0.000384,0.001440,0.000992,0.000353,1.191120
0.417873,0.017473,0.770974,0.001088,0.014113,0.000576,0.001440,0.000960,0.000352,1.232977
0.417360,0.017280,0.752318,0.000832,0.014017,0.000640,0.001376,0.000960,0.000384,1.211504
0.414416,0.017409,0.733725,0.000864,0.015201,0.000352,0.001408,0.000896,0.000320,1.191055
0.416656,0.017472,0.745310,0.000864,0.014560,0.000384,0.001377,0.001056,0.000352,1.205264
0.415793,0.017505,0.741149,0.000896,0.014433,0.000384,0.001472,0.000864,0.000320,1.199920
0.416081,0.017409,0.695259,0.000768,0.013889,0.000352,0.001472,0.000864,0.000352,1.153166
