Layer[0],Layer[1],Layer[2],IN[3],INFER[3-9],OUT[9],TEE[3-9],Layer[10],classifier
0.394284,0.017440,0.191781,0.123812,0.112803,0.064322,0.304105,0.000544,0.912699
0.394412,0.017440,0.191814,0.137252,0.104291,0.064930,0.309865,0.000576,0.918779
0.394315,0.017249,0.191814,0.124451,0.103299,0.063138,0.294184,0.000544,0.902586
0.394507,0.017312,0.191750,0.125251,0.105444,0.063489,0.297417,0.000512,0.905883
0.419532,0.017377,0.191621,0.127812,0.102819,0.066914,0.300809,0.000576,0.934715
0.394092,0.017441,0.191781,0.145637,0.102851,0.063202,0.314762,0.000544,0.922492
0.394252,0.017280,0.191910,0.115683,0.104035,0.062721,0.285609,0.000640,0.894171
0.395148,0.017504,0.191718,0.133348,0.104611,0.064130,0.305609,0.000544,0.915643
0.394316,0.017344,0.191846,0.113540,0.102467,0.061505,0.280808,0.000544,0.889115
0.394795,0.017249,0.191750,0.141348,0.105283,0.064034,0.313865,0.000512,0.922331
0.394316,0.017248,0.191462,0.116676,0.101187,0.061089,0.282024,0.000576,0.889754
0.395372,0.017152,0.207878,0.130148,0.114692,0.063553,0.311529,0.000512,0.937084
0.394571,0.017505,0.191845,0.142756,0.102531,0.062274,0.311690,0.000544,0.920635
0.394828,0.017440,0.191782,0.131364,0.104227,0.063906,0.302665,0.000512,0.911387
0.394220,0.017408,0.191590,0.115139,0.100995,0.061090,0.280488,0.000544,0.888474
0.394443,0.017249,0.191493,0.144389,0.103459,0.063714,0.314698,0.000576,0.922843
0.393996,0.017216,0.191910,0.151685,0.101699,0.064066,0.320362,0.000544,0.928476
0.394668,0.017409,0.191973,0.122084,0.102243,0.061506,0.289161,0.000576,0.898843
0.394284,0.017408,0.212263,0.130436,0.114979,0.071266,0.319817,0.000576,0.948892
0.394443,0.017409,0.191526,0.126787,0.102243,0.062338,0.294312,0.000512,0.902586
0.394059,0.017281,0.191558,0.126947,0.103364,0.064609,0.297960,0.000577,0.905563
0.395019,0.017281,0.191942,0.139268,0.102371,0.064866,0.310345,0.000608,0.920283
0.394987,0.017472,0.191494,0.123043,0.101827,0.061666,0.289736,0.000544,0.899866
0.393963,0.017409,0.191622,0.136900,0.101827,0.062498,0.304201,0.000544,0.911963
0.393868,0.017184,0.191750,0.150180,0.102211,0.062562,0.318025,0.000512,0.925371
0.417484,0.017249,0.191909,0.153861,0.110339,0.062562,0.329738,0.000544,0.961372
0.394059,0.017185,0.191845,0.129124,0.102083,0.066658,0.301193,0.000672,0.909882
0.394924,0.017472,0.191590,0.135652,0.106243,0.064514,0.309769,0.000576,0.920731
0.395019,0.017537,0.191910,0.137188,0.102467,0.081154,0.324809,0.000608,0.934939
0.394955,0.017313,0.191974,0.122115,0.105571,0.064450,0.295272,0.000672,0.904634
