Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421059,0.017536,0.204930,0.135585,0.035584,0.060769,0.235682,0.049696,0.000832,0.013792,0.000416,0.001472,0.001152,0.000384,0.954151
0.416451,0.017408,0.202529,0.141794,0.036384,0.063744,0.245442,0.066913,0.000864,0.013632,0.000416,0.001536,0.001312,0.000320,0.975975
0.416995,0.017472,0.202689,0.130945,0.036384,0.059713,0.230338,0.047840,0.000832,0.013568,0.000384,0.001600,0.001216,0.000320,0.940646
0.421059,0.017568,0.202626,0.151521,0.035008,0.058401,0.248674,0.048288,0.000576,0.013600,0.000416,0.001472,0.001312,0.000320,0.963559
0.415779,0.017344,0.202946,0.145313,0.036832,0.064928,0.250305,0.047361,0.000544,0.013600,0.000384,0.001568,0.001280,0.000352,0.958535
0.434787,0.017504,0.203106,0.136577,0.035392,0.058784,0.233953,0.048449,0.000800,0.013504,0.000384,0.001536,0.001248,0.000352,0.963303
0.414915,0.017312,0.202817,0.131361,0.035648,0.060065,0.230562,0.048128,0.000576,0.013664,0.000352,0.001600,0.001312,0.000352,0.938886
0.414467,0.017312,0.202914,0.140321,0.035968,0.060353,0.240162,0.048320,0.000800,0.013440,0.000384,0.001472,0.001088,0.000320,0.947559
0.415491,0.017280,0.222338,0.144065,0.035392,0.058656,0.241441,0.048769,0.000864,0.013472,0.000416,0.001472,0.001248,0.000320,0.970567
0.413378,0.017729,0.202785,0.141249,0.036096,0.064353,0.244930,0.047616,0.000576,0.013408,0.000416,0.001536,0.000928,0.000352,0.951174
0.415779,0.017760,0.203010,0.132641,0.034272,0.057792,0.228161,0.047745,0.000832,0.013440,0.000352,0.001536,0.001024,0.000352,0.936871
0.415203,0.017409,0.202721,0.128289,0.035808,0.062721,0.229922,0.047680,0.000832,0.013792,0.000416,0.001536,0.000960,0.000352,0.956327
0.420003,0.017408,0.203010,0.145857,0.034624,0.059072,0.242529,0.048769,0.000800,0.013408,0.000384,0.001472,0.000992,0.000320,0.956135
0.414563,0.017216,0.202497,0.141857,0.034880,0.062241,0.242114,0.047232,0.000864,0.013408,0.000384,0.001440,0.001024,0.000288,0.947942
0.415267,0.017248,0.202626,0.121280,0.034305,0.057152,0.215649,0.047233,0.000608,0.013472,0.000416,0.001504,0.000960,0.000288,0.922311
0.436899,0.017473,0.202529,0.141697,0.040032,0.059585,0.244994,0.048000,0.000768,0.013440,0.000352,0.001536,0.001088,0.000320,0.975591
0.419651,0.017376,0.202338,0.123361,0.041280,0.059424,0.227649,0.047361,0.000800,0.013440,0.000384,0.001440,0.000992,0.000320,0.939047
0.414403,0.017376,0.202401,0.141665,0.034528,0.058113,0.237762,0.047072,0.000896,0.013408,0.000384,0.001504,0.000896,0.000288,0.943430
0.414883,0.017184,0.222114,0.138945,0.035456,0.059969,0.237506,0.047328,0.000864,0.013408,0.000384,0.001472,0.000928,0.000320,0.963655
0.414947,0.017312,0.202145,0.134945,0.035552,0.058945,0.232386,0.047104,0.000832,0.013440,0.000384,0.001504,0.000992,0.000320,0.938470
0.416035,0.017344,0.203106,0.125889,0.034624,0.058528,0.222049,0.047297,0.000544,0.013440,0.000416,0.001472,0.000992,0.000288,0.929607
0.414563,0.017441,0.203329,0.134401,0.034336,0.057793,0.229442,0.047264,0.000576,0.013440,0.000352,0.001408,0.000960,0.000224,0.935271
0.415971,0.017472,0.203362,0.141825,0.035264,0.059232,0.239809,0.047265,0.000512,0.013408,0.000384,0.001472,0.000992,0.000352,0.947815
0.415235,0.017216,0.202529,0.140609,0.035584,0.059297,0.238818,0.047264,0.000512,0.013344,0.000416,0.001440,0.000960,0.000320,0.944902
0.415747,0.017344,0.203394,0.121537,0.034112,0.059552,0.218465,0.047233,0.000544,0.013408,0.000352,0.001472,0.001024,0.000288,0.926247
0.441028,0.017600,0.202977,0.129313,0.035168,0.059969,0.228002,0.047968,0.000544,0.013504,0.000352,0.001440,0.001152,0.000320,0.962311
0.415139,0.017472,0.202978,0.134785,0.040992,0.060064,0.239329,0.047777,0.000576,0.013408,0.000384,0.001536,0.000992,0.000320,0.946695
0.415203,0.017344,0.202273,0.139649,0.035424,0.061601,0.239618,0.049472,0.000544,0.013536,0.000416,0.001472,0.001184,0.000288,0.947878
0.420163,0.017472,0.203106,0.140929,0.035968,0.083617,0.263874,0.047328,0.000800,0.013504,0.000384,0.001536,0.001056,0.000288,0.976455
0.419875,0.017248,0.203137,0.118689,0.035681,0.060128,0.217762,0.047136,0.000864,0.013440,0.000352,0.001504,0.001089,0.000256,0.929223
0.419427,0.017280,0.203362,0.135681,0.034304,0.058464,0.232129,0.047265,0.000608,0.013440,0.000352,0.001408,0.001056,0.000320,0.943111
0.414723,0.017408,0.203329,0.135489,0.034976,0.059969,0.233730,0.047520,0.000576,0.013376,0.000416,0.001440,0.000992,0.000288,0.940614
0.438115,0.017440,0.203522,0.136705,0.034720,0.059905,0.234818,0.047936,0.000608,0.013568,0.000352,0.001536,0.001280,0.000288,0.967111
0.416803,0.017504,0.202690,0.145185,0.035424,0.060224,0.244385,0.047969,0.000768,0.013600,0.000352,0.001632,0.001280,0.000352,0.954919
0.420355,0.017536,0.203233,0.133345,0.034304,0.060737,0.231394,0.047744,0.000608,0.013632,0.000416,0.001472,0.001184,0.000416,0.945222
0.419971,0.017345,0.221537,0.148929,0.041793,0.062272,0.256450,0.048160,0.000800,0.013600,0.000416,0.001536,0.001120,0.000384,0.990151
0.416419,0.017889,0.202881,0.145825,0.035712,0.058977,0.244130,0.049408,0.000832,0.013568,0.000352,0.001504,0.001216,0.000384,0.955943
0.416291,0.017728,0.202530,0.144353,0.034016,0.058464,0.239873,0.049633,0.000800,0.013600,0.000384,0.001504,0.001216,0.000352,0.951463
0.416643,0.017344,0.203073,0.148001,0.052769,0.068032,0.272834,0.049089,0.000832,0.013504,0.000416,0.001536,0.001120,0.000352,0.984007
0.417155,0.017376,0.203009,0.143521,0.034529,0.060448,0.241858,0.048416,0.000608,0.013632,0.000416,0.001536,0.001152,0.000320,0.952742
0.416387,0.017536,0.203074,0.144257,0.034720,0.058337,0.240866,0.048960,0.000768,0.013568,0.000352,0.001472,0.001056,0.000288,0.951527
0.415523,0.017472,0.203170,0.147201,0.034752,0.059200,0.244769,0.048065,0.000576,0.013568,0.000416,0.001536,0.001024,0.000352,0.953767
0.416003,0.017696,0.204129,0.130337,0.035233,0.059360,0.228450,0.047904,0.000832,0.013569,0.000384,0.001504,0.001120,0.000384,0.939207
0.414755,0.017505,0.204257,0.137793,0.033632,0.060001,0.235010,0.047712,0.000544,0.013504,0.000384,0.001568,0.001088,0.000352,0.944199
0.415491,0.017248,0.202818,0.143809,0.035552,0.060800,0.243649,0.047585,0.000576,0.013536,0.000416,0.001440,0.001120,0.000384,0.951335
0.437219,0.017632,0.203105,0.146337,0.035969,0.061984,0.247202,0.048128,0.000800,0.013601,0.000384,0.001600,0.001088,0.000320,0.978567
0.416994,0.018208,0.203041,0.135361,0.035680,0.060225,0.235074,0.049728,0.000576,0.013536,0.000352,0.001536,0.001216,0.000352,0.948102
0.415203,0.017632,0.202402,0.145057,0.035296,0.060832,0.244545,0.048161,0.000576,0.013600,0.000352,0.001568,0.001024,0.000352,0.952743
0.415843,0.017312,0.202401,0.161569,0.036865,0.061760,0.264002,0.048577,0.000544,0.013600,0.000384,0.001504,0.001120,0.000384,0.972775
0.416003,0.017280,0.202434,0.134145,0.033824,0.060481,0.232034,0.049600,0.000800,0.013536,0.000384,0.001504,0.001120,0.000352,0.942247
0.415363,0.017408,0.202754,0.128832,0.035329,0.060544,0.227969,0.049089,0.000576,0.013600,0.000384,0.001408,0.001088,0.000384,0.937287
0.414946,0.017313,0.202881,0.142753,0.035264,0.059329,0.240866,0.047872,0.000864,0.013632,0.000384,0.001536,0.001088,0.000384,0.949030
0.416835,0.017665,0.203745,0.162465,0.036416,0.058977,0.262306,0.049472,0.001024,0.013952,0.000384,0.001440,0.002368,0.000320,0.979047
0.415459,0.017601,0.202305,0.146401,0.035296,0.060257,0.245858,0.048384,0.000768,0.014720,0.000384,0.001536,0.001184,0.000320,0.955911
0.415747,0.017760,0.204386,0.145185,0.036256,0.059137,0.244098,0.048384,0.000640,0.014400,0.000352,0.001632,0.001120,0.000352,0.955911
0.434435,0.017664,0.203106,0.144001,0.036896,0.061857,0.246754,0.048896,0.000800,0.014080,0.000352,0.001632,0.001248,0.000384,0.977159
0.420611,0.017248,0.202913,0.127841,0.035457,0.058688,0.225922,0.048320,0.000544,0.013761,0.000608,0.001632,0.001216,0.000416,0.940103
0.416515,0.017505,0.202561,0.134625,0.039104,0.058497,0.235714,0.048544,0.000896,0.014304,0.000608,0.001600,0.001536,0.000352,0.947047
0.416451,0.017440,0.202657,0.187042,0.036352,0.064129,0.291235,0.047808,0.000832,0.013920,0.000608,0.001440,0.001184,0.000352,1.000807
0.415363,0.017312,0.202689,0.138849,0.036289,0.059520,0.238050,0.047584,0.000800,0.013472,0.000416,0.001440,0.000960,0.000352,0.944967
0.421955,0.017376,0.202626,0.141281,0.036192,0.066273,0.246882,0.047488,0.000576,0.013472,0.000608,0.001408,0.001056,0.000352,0.960039
0.415619,0.017472,0.202913,0.138145,0.035521,0.059520,0.236642,0.047456,0.000832,0.013473,0.000352,0.001536,0.001120,0.000320,0.944551
0.420643,0.017633,0.203681,0.140865,0.035648,0.061473,0.241314,0.047552,0.000832,0.013568,0.000352,0.001504,0.001184,0.000416,0.955815
0.415971,0.017216,0.202050,0.138241,0.035040,0.059616,0.235937,0.047329,0.000832,0.013504,0.000384,0.001376,0.001120,0.000320,0.943079
0.420067,0.017504,0.202337,0.140129,0.036065,0.060736,0.240386,0.047712,0.000832,0.013504,0.000416,0.001472,0.001120,0.000320,0.952582
0.441379,0.017505,0.203233,0.143937,0.035840,0.061313,0.244322,0.047968,0.000768,0.013536,0.000384,0.001408,0.001088,0.000320,0.979175
0.419715,0.017376,0.203618,0.138625,0.035296,0.059392,0.236833,0.049825,0.000864,0.013440,0.000352,0.001504,0.001088,0.000384,0.952135
0.416675,0.017472,0.203617,0.141889,0.036737,0.063424,0.245186,0.047904,0.000832,0.013697,0.000384,0.001472,0.001056,0.000352,0.955591
0.415043,0.017248,0.203010,0.157409,0.033600,0.060001,0.254594,0.047968,0.000864,0.013504,0.000352,0.001504,0.001024,0.000352,0.962983
0.416259,0.017216,0.203298,0.139233,0.036096,0.063552,0.242113,0.047681,0.000800,0.013568,0.000352,0.001376,0.001152,0.000352,0.951111
0.415587,0.017344,0.203937,0.137153,0.035105,0.063488,0.239138,0.047584,0.000800,0.013408,0.000416,0.001504,0.001024,0.000352,0.947622
0.417283,0.017408,0.203586,0.139937,0.035232,0.063393,0.242018,0.047648,0.000800,0.013472,0.000384,0.001472,0.001056,0.000320,0.952263
0.415523,0.017152,0.202721,0.136961,0.035329,0.062464,0.238050,0.047904,0.000832,0.013665,0.000448,0.001568,0.001120,0.000352,0.946343
0.415843,0.017248,0.203298,0.136257,0.035424,0.060257,0.235170,0.047360,0.000832,0.013536,0.000416,0.001504,0.001056,0.000352,0.943495
0.415619,0.017408,0.202145,0.128129,0.034913,0.061216,0.227426,0.047456,0.000832,0.013440,0.000384,0.001472,0.001088,0.000288,0.934406
0.434243,0.017568,0.204290,0.131201,0.034880,0.058689,0.228162,0.047680,0.000800,0.013504,0.000352,0.001504,0.001088,0.000384,0.957319
